[2026-05-11 11:05:22] #0001/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:07:44] #0023/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:07:46] #0024/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:07] #0026/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 11:08:09] #0027/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:11] #0028/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:14] #0029/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:17] #0030/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:29] #0031/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:08:36] #0032/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:40] #0033/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:08:43] #0034/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:08:46] #0035/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:48] #0036/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:51] #0037/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:54] #0038/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:56] #0039/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:58] #0040/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:09:01] #0041/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:04] #0042/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:06] #0043/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:11] #0044/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:09:15] #0045/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:24] #0046/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 11:09:28] #0047/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:30] #0048/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:09:33] #0049/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:41] #0050/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-11 11:09:43] #0051/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:46] #0052/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:52] #0053/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:09:57] #0054/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:00] #0055/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:02] #0056/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:12] #0057/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:10:15] #0058/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:19] #0059/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:22] #0060/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:10:42] #0061/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:10:45] #0062/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:02] #0063/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:11] #0064/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-11 11:11:16] #0065/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:11:37] #0067/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:41] #0068/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:07] #0069/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:12:09] #0070/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:17] #0071/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:12:20] #0072/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:23] #0073/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:25] #0074/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:12:28] #0075/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:30] #0076/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 11:12:41] #0077/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:49] #0078/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:56] #0079/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:59] #0080/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:13:02] #0081/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:13:04] #0082/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:13:06] #0083/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 11:13:08] #0084/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:13:19] #0085/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:13:21] #0086/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:13:37] #0087/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.813 conf=0.720 gap=0.520
[2026-05-11 11:13:45] #0089/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:13:50] #0090/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:13:57] #0091/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:14:06] #0093/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:14:15] #0094/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 11:14:31] #0095/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:14:37] #0096/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-11 11:14:40] #0097/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:14:48] #0098/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-11 11:14:53] #0099/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:14:58] #0100/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:15:00] #0101/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:15:02] #0102/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:15:08] #0103/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:15:11] #0104/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:15:21] #0105/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:15:25] #0106/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:15:28] #0107/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:15:31] #0108/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:15:33] #0109/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:15:39] #0110/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:15:45] #0111/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:02] #0113/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:16:05] #0114/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:09] #0115/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:12] #0116/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:16:15] #0117/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:17] #0118/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:19] #0119/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:31] #0120/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.365 conf=0.920 gap=0.890
[2026-05-11 11:16:36] #0121/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:16:38] #0122/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:16:42] #0123/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:45] #0124/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:16:48] #0125/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 11:16:50] #0126/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:16:54] #0127/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:57] #0128/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:16:59] #0129/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:17:02] #0130/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:17:04] #0131/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:17:07] #0132/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:17:14] #0133/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-11 11:17:21] #0134/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:17:25] #0135/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:17:28] #0136/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:17:31] #0137/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:17:39] #0138/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:17:46] #0139/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:17:48] #0140/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:17:56] #0141/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:17:59] #0142/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 11:18:12] #0143/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:18:17] #0144/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:18:19] #0145/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:18:21] #0146/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:18:26] #0147/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:18:29] #0148/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:18:39] #0149/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=1.187 conf=0.450 gap=0.100
[2026-05-11 11:19:00] #0150/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:04] #0151/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:08] #0152/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 11:19:09] #0153/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:14] #0154/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:18] #0155/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:20] #0156/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:30] #0157/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:19:40] #0158/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:42] #0159/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:45] #0160/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:47] #0161/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 11:19:52] #0162/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:20:00] #0163/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:20:02] #0164/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:20:06] #0165/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-11 11:20:08] #0166/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:20:16] #0167/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:20:18] #0168/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:20:21] #0169/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:20:25] #0170/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:20:29] #0171/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:20:34] #0172/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 11:20:44] #0173/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:20:47] #0174/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:20:51] #0175/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 11:21:02] #0176/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:21:11] #0177/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:21:14] #0178/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:21:24] #0179/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:21:27] #0180/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:21:29] #0181/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 11:21:34] #0182/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:21:37] #0183/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:21:48] #0184/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:21:56] #0185/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:22:09] #0187/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:22:12] #0188/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:22:15] #0189/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:22:18] #0190/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:22:24] #0191/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 11:22:27] #0192/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:22:30] #0193/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 11:22:33] #0194/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:22:36] #0195/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:22:49] #0197/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:22:51] #0198/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:22:59] #0199/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:02] #0200/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:05] #0201/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:23:11] #0202/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:23:17] #0203/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:20] #0204/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:23] #0205/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:25] #0206/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:33] #0207/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:37] #0208/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:23:40] #0209/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:23:43] #0210/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:45] #0211/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:48] #0212/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:23:51] #0213/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:23:59] #0215/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:24:06] #0216/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:24:13] #0217/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:24:16] #0218/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:24:24] #0219/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:24:27] #0220/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 11:24:30] #0221/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:24:39] #0222/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:24:51] #0223/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:24:54] #0224/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:24:57] #0225/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
