[2026-05-12 10:27:39] PAMAP2 class 1 (sitting) start T=0.8
[2026-05-12 10:27:39]   1989 windows
[2026-05-12 10:28:02] #0001/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 10:47:15] #0045/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=1.087 conf=0.620 gap=0.400
[2026-05-12 10:47:56] #0046/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-12 10:48:23] #0047/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:48:48] #0048/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:49:12] #0049/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 10:49:58] #0050/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 10:50:09] #0051/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.128 conf=0.500 gap=0.150
[2026-05-12 10:50:34] #0052/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 10:50:52] #0053/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 10:51:14] #0054/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:51:26] #0055/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:51:37] #0056/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 10:51:54] #0057/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.707 conf=0.800 gap=0.680
[2026-05-12 10:52:07] #0058/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 10:52:31] #0059/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:52:59] #0060/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:52:59]   [60/1989] acc=50/60=83% filt=56
[2026-05-12 10:53:09] #0061/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 10:53:29] #0062/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:53:44] #0063/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:54:06] #0064/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 10:54:24] #0065/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:54:50] #0066/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.707 conf=0.800 gap=0.680
[2026-05-12 10:55:21] #0067/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.051 conf=0.650 gap=0.450
[2026-05-12 10:55:39] #0068/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 10:56:03] #0069/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:56:34] #0070/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:57:15] #0071/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:57:45] #0072/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 10:58:12] #0073/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:58:36] #0074/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.816 conf=0.650 gap=0.350
[2026-05-12 10:58:45] #0075/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.096 conf=0.600 gap=0.400
[2026-05-12 10:58:58] #0076/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.067 conf=0.600 gap=0.350
[2026-05-12 10:59:26] #0077/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 10:59:41] #0078/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.046 conf=0.500 gap=0.100
[2026-05-12 11:00:08] #0079/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 11:00:34] #0080/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.579 conf=0.850 gap=0.780
[2026-05-12 11:00:34]   [80/1989] acc=64/80=80% filt=75
[2026-05-12 11:00:47] #0081/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 11:01:14] #0082/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 11:01:36] #0083/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:02:00] #0084/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:02:23] #0085/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 11:02:40] #0086/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:02:59] #0087/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.176 conf=0.500 gap=0.200
[2026-05-12 11:03:41] #0088/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 11:03:57] #0089/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 11:04:25] #0090/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.860 conf=0.750 gap=0.650
[2026-05-12 11:04:47] #0091/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:05:01] #0092/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 11:05:21] #0093/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:06:04] #0094/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 11:06:36] #0095/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 11:07:05] #0096/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 11:07:39] #0097/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.897 conf=0.700 gap=0.500
[2026-05-12 11:08:17] #0098/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.919 conf=0.650 gap=0.380
[2026-05-12 11:09:01] #0099/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 11:09:43] #0100/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 11:09:43]   [100/1989] acc=76/100=76% filt=93
[2026-05-12 11:10:13] #0101/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 11:10:22] #0102/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.239 conf=0.400 gap=0.050
[2026-05-12 11:10:45] #0103/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 11:11:03] #0104/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.195 conf=0.450 gap=0.100
[2026-05-12 11:11:30] #0105/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:11:49] #0106/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.896 conf=0.700 gap=0.500
[2026-05-12 11:12:17] #0107/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:12:41] #0108/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:13:02] #0109/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:13:29] #0110/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 11:13:50] #0111/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:14:15] #0112/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 11:14:32] #0113/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:15:02] #0114/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.907 conf=0.720 gap=0.570
[2026-05-12 11:15:26] #0115/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 11:15:36] #0116/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:15:49] #0117/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 11:16:03] #0118/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 11:16:25] #0119/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 11:16:48] #0120/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 11:16:48]   [120/1989] acc=91/120=76% filt=111
[2026-05-12 11:17:01] #0121/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:17:36] #0122/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.769 conf=0.800 gap=0.730
[2026-05-12 11:18:04] #0123/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:18:18] #0124/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.673 conf=0.780 gap=0.600
[2026-05-12 11:18:37] #0125/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.175 conf=0.600 gap=0.450
[2026-05-12 11:19:04] #0126/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:19:42] #0127/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 11:19:55] #0128/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 11:20:22] #0129/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 11:20:38] #0130/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.837 conf=0.720 gap=0.540
[2026-05-12 11:21:01] #0131/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:21:17] #0132/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:21:42] #0133/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.660 conf=0.800 gap=0.650
[2026-05-12 11:21:55] #0134/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 11:22:12] #0135/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:22:28] #0136/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 11:22:49] #0137/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 11:23:09] #0138/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.608 conf=0.820 gap=0.680
[2026-05-12 11:23:21] #0139/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:23:59] #0140/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 11:23:59]   [140/1989] acc=105/140=75% filt=131
[2026-05-12 11:24:24] #0141/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.731 conf=0.780 gap=0.630
[2026-05-12 11:24:45] #0142/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 11:25:13] #0143/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:25:26] #0144/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 11:25:50] #0145/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:26:11] #0146/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 11:26:43] #0147/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 11:26:59] #0148/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.318 conf=0.400 gap=0.050
[2026-05-12 11:27:12] #0149/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.120 conf=0.550 gap=0.250
[2026-05-12 11:27:39] #0150/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 11:27:51] #0151/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.121 conf=0.650 gap=0.550
[2026-05-12 11:28:18] #0152/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 11:28:31] #0153/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.032 conf=0.600 gap=0.350
[2026-05-12 11:28:47] #0154/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.799 conf=0.700 gap=0.450
[2026-05-12 11:29:14] #0155/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.530 conf=0.880 gap=0.840
[2026-05-12 11:29:57] #0156/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:30:13] #0157/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:30:25] #0158/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.195 conf=0.450 gap=0.100
[2026-05-12 11:30:35] #0159/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.021 conf=0.550 gap=0.200
[2026-05-12 11:31:01] #0160/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 11:31:01]   [160/1989] acc=119/160=74% filt=149
[2026-05-12 11:31:12] #0161/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.822 conf=0.750 gap=0.630
[2026-05-12 11:31:34] #0162/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.977 conf=0.550 gap=0.200
[2026-05-12 11:31:57] #0163/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 11:32:21] #0164/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:32:51] #0165/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 11:33:05] #0166/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.981 conf=0.520 gap=0.120
[2026-05-12 11:33:32] #0167/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 11:33:55] #0168/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:34:20] #0169/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:34:30] #0170/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.085 conf=0.520 gap=0.190
[2026-05-12 11:34:58] #0171/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.285 conf=0.450 gap=0.150
[2026-05-12 11:35:28] #0172/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.598 conf=0.850 gap=0.780
[2026-05-12 11:36:07] #0173/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 11:36:21] #0174/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.011 conf=0.480 gap=0.060
[2026-05-12 11:36:36] #0175/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.186 conf=0.450 gap=0.100
[2026-05-12 11:37:02] #0176/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 11:37:21] #0177/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 11:37:37] #0178/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:37:58] #0179/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.666 conf=0.800 gap=0.650
[2026-05-12 11:38:16] #0180/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:38:16]   [180/1989] acc=133/180=74% filt=166
[2026-05-12 11:38:32] #0181/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.409 conf=0.895 gap=0.842
[2026-05-12 11:38:42] #0182/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.825 conf=0.720 gap=0.540
[2026-05-12 11:39:21] #0183/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.951 conf=0.650 gap=0.400
[2026-05-12 11:39:46] #0184/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 11:40:26] #0185/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.731 conf=0.780 gap=0.630
[2026-05-12 11:40:47] #0186/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:41:00] #0187/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.102 conf=0.600 gap=0.350
[2026-05-12 11:41:29] #0188/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:41:53] #0189/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 11:42:08] #0190/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.965 conf=0.650 gap=0.470
[2026-05-12 11:43:11] #0191/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:43:28] #0192/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.794 conf=0.750 gap=0.600
[2026-05-12 11:43:49] #0193/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:44:18] #0194/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:44:37] #0195/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 11:45:04] #0196/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.949 conf=0.700 gap=0.550
[2026-05-12 11:46:18] #0197/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 11:46:42] #0198/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=1.175 conf=0.600 gap=0.450
[2026-05-12 11:47:00] #0199/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 11:47:29] #0200/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 11:47:29]   [200/1989] acc=149/200=74% filt=186
[2026-05-12 11:47:45] #0201/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.104 conf=0.550 gap=0.250
