[2026-05-11 11:04:27] Class 13 (Walk-circle) 软标签生成开始
[2026-05-11 11:04:27]   QUICK=False LIMIT=50
[2026-05-11 11:04:27]   温度=0.8 (from api_config)
[2026-05-11 11:04:27]   本类: 818窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:27]   实际生成: 818 窗口
[2026-05-11 11:05:29] #0001/00818 | true=Walk-circle(13) | pred=Talk-stand(3) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 11:26:26] #0029/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:27:02] #0030/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:27:33] #0031/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:28:01] #0032/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:28:34] #0033/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:29:19] #0034/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 11:29:47] #0035/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:30:17] #0036/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 11:30:54] #0037/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 11:31:32] #0038/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 11:32:06] #0039/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:32:47] #0040/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.463 | conf=0.900 | gap=0.870
[2026-05-11 11:32:47]   [40/818] acc=15/40=37.5% filtered=39/40
[2026-05-11 11:33:18] #0041/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.434 | conf=0.900 | gap=0.860
[2026-05-11 11:33:37] #0042/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.102 | conf=0.600 | gap=0.350
[2026-05-11 11:34:05] #0043/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:43] #0044/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:35:31] #0045/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:35:50] #0046/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.543 | conf=0.350 | gap=0.050
[2026-05-11 11:36:25] #0047/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 11:36:58] #0048/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:37:25] #0049/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:38:14] #0050/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.928 | conf=0.750 | gap=0.630
[2026-05-11 11:38:47] #0051/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=1.154 | conf=0.650 | gap=0.550
[2026-05-11 11:39:46] #0052/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.063 | conf=0.700 | gap=0.600
[2026-05-11 11:40:23] #0053/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.206 | conf=0.400 | gap=0.050
[2026-05-11 11:41:01] #0054/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.798 | conf=0.800 | gap=0.720
[2026-05-11 11:41:45] #0055/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.585 | conf=0.850 | gap=0.750
[2026-05-11 11:42:14] #0056/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.038 | conf=0.720 | gap=0.640
[2026-05-11 11:42:46] #0057/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.348 | conf=0.930 | gap=0.910
[2026-05-11 11:43:22] #0058/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:44:10] #0059/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:44:48] #0060/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 11:44:48]   [60/818] acc=26/60=43.3% filtered=57/60
[2026-05-11 11:45:20] #0061/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:46:01] #0062/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:46:31] #0063/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:46:59] #0064/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:47:45] #0065/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:49:11] #0066/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:49:48] #0067/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=1.206 | conf=0.400 | gap=0.050
[2026-05-11 11:50:42] #0068/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.238 | conf=0.620 | gap=0.440
[2026-05-11 11:50:56] #0069/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.496 | conf=0.450 | gap=0.250
[2026-05-11 11:51:39] #0070/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-11 11:52:28] #0071/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 11:53:02] #0072/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:53:32] #0073/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:54:10] #0074/00818 | true=Walk-circle(13) | pred=Pick(7) | ✗ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 11:55:15] #0075/00818 | true=Walk-circle(13) | pred=Walk-backwards(12) | ✗ | ent=1.825 | conf=0.300 | gap=0.150
[2026-05-11 11:55:44] #0076/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 11:56:14] #0077/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:56:41] #0078/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:57:15] #0079/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.960 | conf=0.650 | gap=0.400
[2026-05-11 11:57:50] #0080/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:57:50]   [80/818] acc=33/80=41.2% filtered=73/80
[2026-05-11 11:58:21] #0081/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 11:59:14] #0082/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:59:48] #0083/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.624 | conf=0.850 | gap=0.800
[2026-05-11 12:00:16] #0084/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:00:52] #0085/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 12:01:23] #0086/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:01:57] #0087/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:02:26] #0088/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 12:03:18] #0089/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:03:48] #0090/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:04:20] #0091/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:05:05] #0092/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.557 | conf=0.500 | gap=0.350
[2026-05-11 12:05:40] #0093/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:06:08] #0094/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:06:33] #0095/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:07:15] #0096/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 12:07:52] #0097/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:08:25] #0098/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:09:28] #0099/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.412 | conf=0.920 | gap=0.890
[2026-05-11 12:09:59] #0100/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:09:59]   [100/818] acc=41/100=41.0% filtered=92/100
[2026-05-11 12:10:14] #0101/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.565 | conf=0.450 | gap=0.250
[2026-05-11 12:10:41] #0102/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.665 | conf=0.850 | gap=0.800
[2026-05-11 12:11:06] #0103/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:48] #0104/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-11 12:12:20] #0105/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 12:12:46] #0106/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:13:14] #0107/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.990 | conf=0.750 | gap=0.680
[2026-05-11 12:13:49] #0108/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.446 | conf=0.500 | gap=0.350
[2026-05-11 12:14:30] #0109/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 12:15:08] #0110/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 12:15:40] #0111/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:16:24] #0112/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-11 12:16:47] #0113/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 12:17:16] #0114/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:17:28] #0115/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.163 | conf=0.500 | gap=0.150
[2026-05-11 12:17:51] #0116/00818 | true=Walk-circle(13) | pred=Talk-stand(3) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:18:42] #0117/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 12:18:56] #0118/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 12:19:19] #0119/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.472 | conf=0.900 | gap=0.860
[2026-05-11 12:19:46] #0120/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-11 12:19:46]   [120/818] acc=44/120=36.7% filtered=107/120
[2026-05-11 12:20:10] #0121/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:38] #0122/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.969 | conf=0.750 | gap=0.650
[2026-05-11 12:21:13] #0123/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 12:21:46] #0124/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:22:20] #0125/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:22:48] #0126/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:23:15] #0127/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:23:48] #0128/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:24:20] #0129/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:25:02] #0130/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:25:43] #0131/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:26:13] #0132/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:26:50] #0133/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=1.035 | conf=0.650 | gap=0.450
[2026-05-11 12:27:18] #0134/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:27:47] #0135/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:28:15] #0136/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:28:52] #0137/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 12:29:46] #0138/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=1.777 | conf=0.350 | gap=0.200
[2026-05-11 12:30:14] #0139/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:30:47] #0140/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 12:30:47]   [140/818] acc=48/140=34.3% filtered=126/140
[2026-05-11 12:31:14] #0141/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=1.498 | conf=0.500 | gap=0.400
[2026-05-11 12:31:47] #0142/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:32:17] #0143/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.812 | conf=0.800 | gap=0.740
[2026-05-11 12:32:37] #0144/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 12:33:09] #0145/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.446 | conf=0.550 | gap=0.430
[2026-05-11 12:33:47] #0146/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:34:29] #0147/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=1.623 | conf=0.400 | gap=0.150
[2026-05-11 12:35:12] #0148/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.940 | conf=0.700 | gap=0.600
[2026-05-11 12:35:45] #0149/00818 | true=Walk-circle(13) | pred=Pick(7) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:36:18] #0150/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:36:50] #0151/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:37:17] #0152/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:38:30] #0153/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:38:44] #0154/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:39:17] #0155/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:39:43] #0156/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 12:40:12] #0157/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:40:39] #0158/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 12:41:07] #0159/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:41:26] #0160/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:41:26]   [160/818] acc=54/160=33.8% filtered=144/160
[2026-05-11 12:42:08] #0161/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:42:37] #0162/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:43:05] #0163/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:43:41] #0164/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.477 | conf=0.880 | gap=0.820
[2026-05-11 12:44:11] #0165/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:44:59] #0166/00818 | true=Walk-circle(13) | pred=Walk-backwards(12) | ✗ | ent=1.567 | conf=0.250 | gap=0.000
[2026-05-11 12:45:34] #0167/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 12:46:09] #0168/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:46:34] #0169/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 12:47:02] #0170/00818 | true=Walk-circle(13) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:47:38] #0171/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 12:48:07] #0172/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:48:32] #0173/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:49:00] #0174/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:49:20] #0175/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:49:50] #0176/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:50:46] #0177/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:51:11] #0178/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.790 | conf=0.800 | gap=0.700
[2026-05-11 12:51:38] #0179/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
