[2026-05-11 11:02:36] Class 2 (Talk-sit) 软标签生成开始
[2026-05-11 11:02:36]   QUICK=False LIMIT=50
[2026-05-11 11:02:36]   温度=0.8 (from api_config)
[2026-05-11 11:02:36]   本类: 5799窗口 (仅加载本类, 内存友好)
[2026-05-11 11:02:36]   实际生成: 5799 窗口
[2026-05-11 11:03:05] #0001/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:13:55] #0020/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:13:55]   [20/5799] acc=3/20=15.0% filtered=20/20
[2026-05-11 11:14:24] #0021/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.254 | conf=0.950 | gap=0.933
[2026-05-11 11:14:49] #0022/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:15:25] #0023/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 11:15:55] #0024/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:16:28] #0025/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:16:54] #0026/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:17:19] #0027/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:49] #0028/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 11:18:24] #0029/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.210 | conf=0.960 | gap=0.940
[2026-05-11 11:18:55] #0030/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 11:19:25] #0031/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.172 | conf=0.969 | gap=0.959
[2026-05-11 11:20:06] #0032/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:20:55] #0033/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:21:28] #0034/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=1.199 | conf=0.677 | gap=0.521
[2026-05-11 11:22:06] #0035/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.856 | conf=0.500 | gap=0.050
[2026-05-11 11:22:35] #0036/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 11:23:02] #0037/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.169 | conf=0.970 | gap=0.960
[2026-05-11 11:23:32] #0038/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:24:00] #0039/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:24:31] #0040/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:24:31]   [40/5799] acc=6/40=15.0% filtered=39/40
[2026-05-11 11:25:33] #0041/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 11:26:03] #0042/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:26:32] #0043/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.735 | conf=0.850 | gap=0.820
[2026-05-11 11:27:04] #0044/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=1.519 | conf=0.579 | gap=0.474
[2026-05-11 11:27:34] #0045/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=1.149 | conf=0.722 | gap=0.670
[2026-05-11 11:28:11] #0046/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:28:40] #0047/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:29:14] #0048/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=2.095 | conf=0.300 | gap=0.050
[2026-05-11 11:29:39] #0049/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:30:06] #0050/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:30:43] #0051/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:31:11] #0052/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 11:31:45] #0053/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:32:10] #0054/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 11:32:42] #0055/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:33:19] #0056/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 11:33:52] #0057/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=1.763 | conf=0.550 | gap=0.470
[2026-05-11 11:34:18] #0058/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=2.104 | conf=0.350 | gap=0.250
[2026-05-11 11:34:49] #0059/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 11:35:17] #0060/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.337 | conf=0.918 | gap=0.867
[2026-05-11 11:35:17]   [60/5799] acc=10/60=16.7% filtered=55/60
[2026-05-11 11:35:47] #0061/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:36:19] #0062/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:36:49] #0063/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.302 | conf=0.938 | gap=0.917
[2026-05-11 11:37:17] #0064/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:37:48] #0065/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=1.234 | conf=0.474 | gap=0.211
[2026-05-11 11:38:18] #0066/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:38:47] #0067/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:13] #0068/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 11:39:46] #0069/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.534 | conf=0.867 | gap=0.816
[2026-05-11 11:40:19] #0070/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:40:51] #0071/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:41:23] #0072/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=1.819 | conf=0.400 | gap=0.200
[2026-05-11 11:41:53] #0073/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=1.747 | conf=0.490 | gap=0.294
[2026-05-11 11:42:21] #0074/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.689 | conf=0.800 | gap=0.700
[2026-05-11 11:42:50] #0075/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:43:13] #0076/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 11:43:44] #0077/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:44:06] #0078/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:44:30] #0079/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:44:56] #0080/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.701 | conf=0.690 | gap=0.402
[2026-05-11 11:44:56]   [80/5799] acc=16/80=20.0% filtered=72/80
[2026-05-11 11:45:19] #0081/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:45:41] #0082/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 11:46:12] #0083/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.257 | conf=0.948 | gap=0.928
[2026-05-11 11:46:39] #0084/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:47:15] #0085/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 11:47:42] #0086/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 11:48:40] #0087/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:49:11] #0088/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=1.643 | conf=0.500 | gap=0.250
[2026-05-11 11:49:40] #0089/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:50:06] #0090/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.451 | conf=0.895 | gap=0.853
[2026-05-11 11:50:34] #0091/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:50:58] #0092/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:51:28] #0093/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:51:51] #0094/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:52:15] #0095/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:52:38] #0096/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:53:04] #0097/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:53:34] #0098/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:54:02] #0099/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:27] #0100/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.431 | conf=0.907 | gap=0.876
[2026-05-11 11:54:27]   [100/5799] acc=17/100=17.0% filtered=91/100
[2026-05-11 11:54:55] #0101/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.210 | conf=0.960 | gap=0.940
[2026-05-11 11:55:20] #0102/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:55:50] #0103/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 11:56:25] #0104/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.499 | conf=0.606 | gap=0.455
[2026-05-11 11:56:58] #0105/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.602 | conf=0.812 | gap=0.688
[2026-05-11 11:57:30] #0106/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.563 | conf=0.851 | gap=0.766
[2026-05-11 11:58:08] #0107/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.935 | conf=0.765 | gap=0.663
[2026-05-11 11:58:37] #0108/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:59:13] #0109/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.786 | conf=0.750 | gap=0.562
[2026-05-11 11:59:45] #0110/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=2.014 | conf=0.300 | gap=0.050
[2026-05-11 12:00:15] #0111/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 12:00:43] #0112/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:01:11] #0113/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.337 | conf=0.918 | gap=0.867
[2026-05-11 12:01:40] #0114/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.242 | conf=0.947 | gap=0.916
[2026-05-11 12:02:07] #0115/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:02:46] #0116/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.566 | conf=0.850 | gap=0.750
[2026-05-11 12:03:19] #0117/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:03:44] #0118/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=1.238 | conf=0.500 | gap=0.200
[2026-05-11 12:04:07] #0119/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:04:33] #0120/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.826 | conf=0.737 | gap=0.579
[2026-05-11 12:04:33]   [120/5799] acc=19/120=15.8% filtered=109/120
[2026-05-11 12:04:59] #0121/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:05:36] #0122/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:06:00] #0123/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:06:30] #0124/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.537 | conf=0.842 | gap=0.737
[2026-05-11 12:06:59] #0125/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:07:23] #0126/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 12:07:40] #0127/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:08:03] #0128/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:08:29] #0129/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:08:48] #0130/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:09:16] #0131/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.003 | conf=0.667 | gap=0.556
[2026-05-11 12:09:50] #0132/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=1.639 | conf=0.500 | gap=0.250
[2026-05-11 12:10:13] #0133/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:10:43] #0134/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:07] #0135/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:34] #0136/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.730 | conf=0.722 | gap=0.500
[2026-05-11 12:11:53] #0137/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:12:18] #0138/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 12:12:37] #0139/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:13:01] #0140/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:13:01]   [140/5799] acc=22/140=15.7% filtered=128/140
[2026-05-11 12:13:32] #0141/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:13:51] #0142/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:14:28] #0143/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:14:56] #0144/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 12:15:27] #0145/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:15:54] #0146/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=1.799 | conf=0.550 | gap=0.450
[2026-05-11 12:16:43] #0147/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 12:17:13] #0148/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 12:17:45] #0149/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=1.723 | conf=0.561 | gap=0.439
[2026-05-11 12:18:10] #0150/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:18:34] #0151/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:18:59] #0152/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.158 | conf=0.979 | gap=0.976
[2026-05-11 12:19:24] #0153/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:19:46] #0154/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=1.166 | conf=0.550 | gap=0.350
[2026-05-11 12:20:04] #0155/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:23] #0156/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.302 | conf=0.938 | gap=0.917
[2026-05-11 12:20:45] #0157/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:15] #0158/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=1.227 | conf=0.700 | gap=0.620
[2026-05-11 12:21:57] #0159/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=1.304 | conf=0.612 | gap=0.459
[2026-05-11 12:22:21] #0160/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:22:21]   [160/5799] acc=25/160=15.6% filtered=146/160
[2026-05-11 12:22:47] #0161/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=1.476 | conf=0.620 | gap=0.540
[2026-05-11 12:23:16] #0162/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:23:38] #0163/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.343 | conf=0.926 | gap=0.895
[2026-05-11 12:24:03] #0164/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:24:19] #0165/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:24:50] #0166/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.706 | conf=0.780 | gap=0.630
[2026-05-11 12:25:14] #0167/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-11 12:25:39] #0168/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:26:11] #0169/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=1.559 | conf=0.421 | gap=0.105
[2026-05-11 12:26:43] #0170/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:26:58] #0171/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.166 | conf=0.550 | gap=0.350
[2026-05-11 12:27:19] #0172/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:27:54] #0173/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=1.633 | conf=0.350 | gap=0.050
[2026-05-11 12:28:19] #0174/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:28:59] #0175/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 12:29:22] #0176/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:29:43] #0177/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 12:30:07] #0178/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.210 | conf=0.960 | gap=0.940
[2026-05-11 12:30:32] #0179/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:30:54] #0180/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:30:54]   [180/5799] acc=30/180=16.7% filtered=164/180
[2026-05-11 12:31:30] #0181/05799 | true=Talk-sit(2) | pred=Talk-stand(3) | ✗ | ent=0.500 | conf=0.800 | gap=0.600
