[2026-05-11 11:08:08] #0011/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 12:42:54] #0206/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:43:34] #0207/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:44:33] #0209/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:46:17] #0213/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:49:03] #0219/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:53:46] #0231/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=2.032 | conf=0.250 | gap=0.050
[2026-05-11 12:54:35] #0233/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 12:55:03] #0234/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 13:00:07] #0245/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:00:29] #0246/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 13:01:49] #0249/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 13:04:07] #0255/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:05:41] #0259/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.166 | conf=0.550 | gap=0.350
[2026-05-11 13:11:41] #0271/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.943 | conf=0.684 | gap=0.526
[2026-05-11 13:13:40] #0276/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.870 | conf=0.720 | gap=0.540
[2026-05-11 13:14:08] #0277/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.262 | conf=0.700 | gap=0.620
[2026-05-11 13:24:50] #0299/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.320 | conf=0.700 | gap=0.650
[2026-05-11 13:26:07] #0302/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.753 | conf=0.737 | gap=0.579
[2026-05-11 13:32:19] #0316/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.552 | conf=0.820 | gap=0.670
[2026-05-11 13:33:26] #0319/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:45:52] #0348/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:48:52] #0356/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.626 | conf=0.825 | gap=0.722
[2026-05-11 13:50:33] #0360/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.256 | conf=0.950 | gap=0.920
[2026-05-11 13:51:09] #0362/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:52:02] #0364/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 13:54:03] #0368/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:56:07] #0373/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:57:15] #0375/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:58:25] #0378/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 14:00:58] #0384/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 14:04:30] #0392/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 14:04:54] #0393/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 14:06:11] #0396/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.734 | conf=0.789 | gap=0.684
[2026-05-11 14:07:58] #0400/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 14:12:17] #0409/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:16:07] #0418/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 14:16:50] #0420/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 14:19:03] #0425/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:26:58] #0440/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 14:35:10] #0457/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 14:36:39] #0461/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:39:01] #0466/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-11 14:42:40] #0473/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 14:45:17] #0478/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.543 | conf=0.850 | gap=0.750
[2026-05-11 14:51:59] #0492/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 14:58:27] #0505/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 15:02:31] #0513/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 15:04:48] #0517/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.626 | conf=0.825 | gap=0.722
[2026-05-11 15:10:50] #0528/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 15:16:00] #0538/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 15:16:45] #0539/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.734 | conf=0.789 | gap=0.684
[2026-05-11 15:20:57] #0548/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 15:24:50] #0556/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.546 | conf=0.500 | gap=0.350
[2026-05-11 15:31:10] #0568/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 15:54:44] #0613/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.307 | conf=0.940 | gap=0.920
[2026-05-11 15:55:19] #0614/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.698 | conf=0.820 | gap=0.740
[2026-05-11 16:00:41] #0625/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:04:19] #0631/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:15:58] #0654/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 16:18:12] #0658/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.840 | conf=0.800 | gap=0.720
[2026-05-11 16:28:53] #0679/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:35:49] #0691/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.878 | conf=0.800 | gap=0.750
[2026-05-11 16:38:02] #0695/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 16:38:58] #0697/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:39:30] #0698/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 16:40:40] #0700/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.547 | conf=0.857 | gap=0.776
[2026-05-11 16:41:45] #0702/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:44:03] #0706/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 16:45:19] #0708/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:48:18] #0714/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:51:27] #0721/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:53:52] #0726/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.015 | conf=0.750 | gap=0.650
[2026-05-11 16:54:19] #0727/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:57:08] #0733/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.208 | conf=0.500 | gap=0.250
[2026-05-11 16:58:10] #0735/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.858 | conf=0.808 | gap=0.758
[2026-05-11 17:04:23] #0747/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.395 | conf=0.909 | gap=0.859
[2026-05-11 17:05:00] #0748/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 17:18:51] #0752/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.790 | conf=0.765 | gap=0.647
[2026-05-11 17:22:22] #0759/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.249 | conf=0.400 | gap=0.050
[2026-05-11 17:22:46] #0760/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:24:22] #0763/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 17:25:20] #0765/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 17:26:17] #0767/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:32:26] #0779/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 17:33:44] #0781/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:38:24] #0790/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.318 | conf=0.650 | gap=0.550
[2026-05-11 17:42:45] #0797/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:45:03] #0802/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.634 | conf=0.833 | gap=0.778
[2026-05-11 17:49:19] #0811/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.885 | conf=0.706 | gap=0.529
[2026-05-11 17:49:54] #0812/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.216 | conf=0.700 | gap=0.620
[2026-05-11 17:50:33] #0813/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.971 | conf=0.792 | gap=0.743
[2026-05-11 17:52:00] #0815/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 17:53:17] #0817/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.866 | conf=0.758 | gap=0.653
[2026-05-11 17:53:46] #0818/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.084 | conf=0.750 | gap=0.700
[2026-05-11 17:54:16] #0819/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.854 | conf=0.737 | gap=0.632
[2026-05-11 17:54:44] #0820/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.169 | conf=0.960 | gap=0.919
