[2026-05-11 23:14:57] #0002/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 23:35:17] #0045/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:35:35] #0046/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:38:59] #0052/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-11 23:39:34] #0054/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-11 23:39:57] #0055/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:42:28] #0060/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.028 conf=0.650 gap=0.490
[2026-05-11 23:44:29] #0063/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-11 23:44:52] #0064/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 23:45:04] #0065/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.246 conf=0.400 gap=0.030
[2026-05-11 23:45:10] #0066/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:46:24] #0068/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.858 conf=0.720 gap=0.520
[2026-05-11 23:46:47] #0069/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:47:18] #0070/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.900 conf=0.520 gap=0.100
[2026-05-11 23:49:11] #0076/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:49:16] #0077/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:49:28] #0078/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:49:53] #0079/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:49:58] #0080/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:52:21] #0086/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-11 23:52:27] #0087/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-11 23:52:34] #0088/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:53:00] #0089/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 23:53:31] #0091/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.390 conf=0.350 gap=0.000
[2026-05-11 23:55:01] #0094/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:56:52] #0097/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-11 23:57:05] #0098/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:58:00] #0101/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-11 23:58:03] #0102/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.352 conf=0.400 gap=0.050
[2026-05-11 23:58:14] #0103/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:58:32] #0104/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:59:02] #0105/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:59:24] #0106/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.873 conf=0.720 gap=0.570
[2026-05-11 23:59:49] #0108/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 00:00:36] #0111/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-12 00:01:08] #0112/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-12 00:02:23] #0113/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.078 conf=0.620 gap=0.370
[2026-05-12 00:04:01] #0116/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 00:06:21] #0123/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:07:39] #0126/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 00:07:56] #0127/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 00:12:09] #0136/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.888 conf=0.650 gap=0.360
[2026-05-12 00:12:37] #0137/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:12:50] #0138/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.769 conf=0.620 gap=0.270
[2026-05-12 00:13:50] #0140/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:14:08] #0142/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-12 00:15:21] #0144/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 00:17:12] #0146/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.305 conf=0.400 gap=0.100
[2026-05-12 00:17:40] #0148/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.067 conf=0.450 gap=0.150
[2026-05-12 00:18:26] #0150/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 00:19:06] #0152/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.733 conf=0.780 gap=0.680
[2026-05-12 00:20:36] #0155/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:21:35] #0157/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.911 conf=0.700 gap=0.500
[2026-05-12 00:21:48] #0158/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 00:23:50] #0163/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.019 conf=0.620 gap=0.360
[2026-05-12 00:24:43] #0165/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.593 conf=0.720 gap=0.440
[2026-05-12 00:25:22] #0167/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.090 conf=0.450 gap=0.070
[2026-05-12 00:26:39] #0170/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.185 conf=0.550 gap=0.300
[2026-05-12 00:27:50] #0173/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:28:08] #0174/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:28:52] #0176/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:30:01] #0177/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:31:02] #0179/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:32:32] #0185/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:33:24] #0188/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.106 conf=0.450 gap=0.050
[2026-05-12 00:35:00] #0192/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:35:35] #0194/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.052 conf=0.650 gap=0.500
[2026-05-12 00:35:49] #0195/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.035 conf=0.650 gap=0.450
[2026-05-12 00:36:21] #0196/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.223 conf=0.450 gap=0.090
[2026-05-12 00:37:31] #0198/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.192 conf=0.450 gap=0.150
[2026-05-12 00:37:45] #0199/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.272 conf=0.500 gap=0.200
[2026-05-12 00:38:12] #0201/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.345 conf=0.350 gap=0.100
[2026-05-12 00:38:31] #0202/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:39:53] #0205/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:40:15] #0206/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.170 conf=0.450 gap=0.050
[2026-05-12 00:40:42] #0207/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:43:12] #0214/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:43:16] #0215/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:43:26] #0216/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.010 conf=0.450 gap=0.050
[2026-05-12 00:44:52] #0219/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:46:03] #0222/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:46:48] #0224/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.292 conf=0.350 gap=0.050
[2026-05-12 00:46:59] #0225/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:47:01] #0226/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:49:07] #0230/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:52:11] #0239/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.758 conf=0.720 gap=0.490
[2026-05-12 00:53:46] #0244/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.114 conf=0.620 gap=0.420
[2026-05-12 00:54:29] #0246/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.081 conf=0.650 gap=0.470
[2026-05-12 00:55:20] #0249/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:57:44] #0254/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 00:59:03] #0256/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:59:30] #0258/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 00:59:54] #0261/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 01:00:38] #0263/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:00:54] #0264/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 01:01:23] #0266/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 01:01:54] #0267/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.890 conf=0.750 gap=0.650
[2026-05-12 01:02:17] #0268/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 01:02:37] #0270/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.235 conf=0.450 gap=0.150
[2026-05-12 01:03:34] #0273/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.681 conf=0.820 gap=0.720
[2026-05-12 01:03:56] #0274/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:05:42] #0276/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.007 conf=0.650 gap=0.410
[2026-05-12 01:06:03] #0277/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:07:17] #0280/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:08:30] #0283/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.081 conf=0.400 gap=0.050
[2026-05-12 01:08:49] #0284/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 01:09:23] #0285/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 01:10:10] #0287/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 01:10:47] #0289/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.760 conf=0.720 gap=0.520
[2026-05-12 01:10:58] #0290/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:12:00] #0292/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.129 conf=0.520 gap=0.200
[2026-05-12 01:14:03] #0294/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.007 conf=0.650 gap=0.410
[2026-05-12 01:15:12] #0296/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 01:16:17] #0299/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:18:01] #0301/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 01:24:09] #0306/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:24:45] #0307/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.073 conf=0.620 gap=0.370
[2026-05-12 01:28:28] #0318/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:28:32] #0319/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.090 conf=0.450 gap=0.070
[2026-05-12 01:30:30] #0322/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:31:20] #0325/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.019 conf=0.620 gap=0.360
[2026-05-12 01:31:23] #0326/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 01:33:05] #0330/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.779 conf=0.780 gap=0.650
[2026-05-12 01:33:43] #0332/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:35:10] #0337/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:35:26] #0338/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:37:58] #0344/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:38:55] #0346/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.019 conf=0.620 gap=0.360
[2026-05-12 01:39:38] #0347/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.857 conf=0.720 gap=0.570
[2026-05-12 01:39:56] #0348/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:40:54] #0351/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:41:11] #0353/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.035 conf=0.650 gap=0.450
[2026-05-12 01:41:32] #0354/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 01:43:23] #0357/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 01:45:16] #0361/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 01:45:40] #0362/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.721 conf=0.750 gap=0.550
[2026-05-12 01:46:49] #0365/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 01:47:48] #0367/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-12 01:52:35] #0377/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:54:13] #0380/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 01:54:35] #0382/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:55:02] #0384/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:56:38] #0387/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.945 conf=0.650 gap=0.450
[2026-05-12 01:58:02] #0391/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:58:22] #0392/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.335 conf=0.350 gap=0.050
[2026-05-12 01:58:53] #0393/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:00:21] #0395/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.890 conf=0.750 gap=0.650
[2026-05-12 02:03:16] #0398/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 02:05:10] #0401/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.167 conf=0.400 gap=0.000
[2026-05-12 02:06:00] #0403/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 02:07:25] #0407/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 02:09:55] #0414/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.192 conf=0.450 gap=0.150
[2026-05-12 02:11:03] #0416/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:11:30] #0417/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:11:38] #0418/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.659 conf=0.780 gap=0.600
[2026-05-12 02:16:05] #0423/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.106 conf=0.450 gap=0.050
[2026-05-12 02:17:00] #0424/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 02:20:28] #0429/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 02:20:44] #0430/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.781 conf=0.750 gap=0.600
[2026-05-12 02:21:04] #0431/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:21:16] #0432/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.107 conf=0.500 gap=0.150
[2026-05-12 02:22:31] #0436/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 02:25:26] #0442/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.510 conf=0.350 gap=0.100
[2026-05-12 02:29:17] #0451/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:29:42] #0452/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.702 conf=0.800 gap=0.660
[2026-05-12 02:31:13] #0455/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.049 conf=0.450 gap=0.100
[2026-05-12 02:37:41] #0465/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 02:38:50] #0466/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:40:08] #0468/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:41:04] #0470/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.825 conf=0.720 gap=0.540
[2026-05-12 02:41:11] #0471/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:41:54] #0473/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 02:42:05] #0474/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.159 conf=0.450 gap=0.050
[2026-05-12 02:42:59] #0478/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:44:46] #0482/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 02:46:02] #0486/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 02:49:43] #0498/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:49:54] #0499/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 02:50:16] #0500/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 02:51:08] #0503/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:51:46] #0505/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:54:32] #0512/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.010 conf=0.450 gap=0.050
[2026-05-12 02:55:22] #0514/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 02:55:37] #0515/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:56:15] #0516/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 02:57:30] #0520/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 02:59:35] #0525/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 03:01:16] #0531/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.298 conf=0.420 gap=0.140
[2026-05-12 03:01:45] #0533/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.846 conf=0.720 gap=0.520
[2026-05-12 03:02:00] #0534/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 03:03:11] #0535/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.884 conf=0.680 gap=0.430
[2026-05-12 03:04:14] #0538/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.240 conf=0.350 gap=0.050
[2026-05-12 03:05:54] #0542/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.911 conf=0.700 gap=0.500
[2026-05-12 03:06:33] #0544/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-12 03:06:41] #0545/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 03:06:43] #0546/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.284 conf=0.350 gap=0.000
[2026-05-12 03:07:58] #0548/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.226 conf=0.450 gap=0.190
[2026-05-12 03:08:10] #0549/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 03:10:34] #0557/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 03:11:07] #0559/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:12:19] #0562/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:12:34] #0563/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 03:12:45] #0564/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.214 conf=0.450 gap=0.100
[2026-05-12 03:14:36] #0569/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
