[2026-05-11 23:15:44] #0003/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:52:34] #0088/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:53:00] #0089/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 23:53:29] #0090/01395 | true=downstairs | pred=jogging | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:54:41] #0093/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.213 conf=0.550 gap=0.320
[2026-05-11 23:55:01] #0094/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:55:29] #0095/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:56:42] #0096/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:56:52] #0097/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-11 23:57:05] #0098/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:57:35] #0099/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:58:00] #0101/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-11 23:58:14] #0103/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:58:32] #0104/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:59:02] #0105/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:59:24] #0106/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.873 conf=0.720 gap=0.570
[2026-05-11 23:59:44] #0107/01395 | true=downstairs | pred=jogging | ✗ | ent=1.003 conf=0.550 gap=0.220
[2026-05-11 23:59:49] #0108/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 00:00:00] #0109/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:00:13] #0110/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:00:36] #0111/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-12 00:01:08] #0112/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-12 00:02:23] #0113/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.078 conf=0.620 gap=0.370
[2026-05-12 00:03:39] #0115/01395 | true=downstairs | pred=walking | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:04:01] #0116/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 00:04:14] #0117/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:04:27] #0118/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.895 conf=0.750 gap=0.640
[2026-05-12 00:05:05] #0119/01395 | true=downstairs | pred=walking | ✗ | ent=1.035 conf=0.550 gap=0.200
[2026-05-12 00:05:10] #0120/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.910 conf=0.750 gap=0.650
[2026-05-12 00:05:36] #0121/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:05:51] #0122/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 00:06:21] #0123/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:06:28] #0124/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:06:40] #0125/01395 | true=downstairs | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:07:39] #0126/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 00:07:56] #0127/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 00:08:29] #0128/01395 | true=downstairs | pred=walking | ✗ | ent=1.019 conf=0.680 gap=0.530
[2026-05-12 00:08:35] #0129/01395 | true=downstairs | pred=walking | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:08:47] #0130/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 00:09:02] #0131/01395 | true=downstairs | pred=walking | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:09:39] #0132/01395 | true=downstairs | pred=jogging | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:10:07] #0133/01395 | true=downstairs | pred=walking | ✗ | ent=1.097 conf=0.600 gap=0.350
[2026-05-12 00:10:43] #0134/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.106 conf=0.550 gap=0.220
[2026-05-12 00:10:50] #0135/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 00:12:09] #0136/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.888 conf=0.650 gap=0.360
[2026-05-12 00:12:37] #0137/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:12:50] #0138/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.769 conf=0.620 gap=0.270
[2026-05-12 00:13:50] #0140/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:13:56] #0141/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.502 conf=0.890 gap=0.840
[2026-05-12 00:14:08] #0142/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-12 00:14:46] #0143/01395 | true=downstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:15:21] #0144/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 00:16:42] #0145/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:17:36] #0147/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.890 conf=0.720 gap=0.570
[2026-05-12 00:18:12] #0149/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:18:26] #0150/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 00:19:06] #0152/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.733 conf=0.780 gap=0.680
[2026-05-12 00:19:29] #0153/01395 | true=downstairs | pred=walking | ✗ | ent=0.911 conf=0.700 gap=0.500
[2026-05-12 00:20:24] #0154/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:20:36] #0155/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:21:16] #0156/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.949 conf=0.720 gap=0.580
[2026-05-12 00:21:35] #0157/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.911 conf=0.700 gap=0.500
[2026-05-12 00:21:48] #0158/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 00:22:27] #0159/01395 | true=downstairs | pred=sitting | ✗ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 00:23:01] #0160/01395 | true=downstairs | pred=jogging | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:23:17] #0161/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:23:35] #0162/01395 | true=downstairs | pred=walking | ✗ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:23:50] #0163/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.019 conf=0.620 gap=0.360
[2026-05-12 00:24:23] #0164/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 00:24:43] #0165/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.593 conf=0.720 gap=0.440
[2026-05-12 00:25:12] #0166/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:25:48] #0168/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:26:26] #0169/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.362 conf=0.930 gap=0.910
[2026-05-12 00:26:39] #0170/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.185 conf=0.550 gap=0.300
[2026-05-12 00:26:58] #0171/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.910 conf=0.750 gap=0.650
[2026-05-12 00:27:40] #0172/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.192 conf=0.600 gap=0.400
[2026-05-12 00:27:50] #0173/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:28:08] #0174/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:28:39] #0175/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.949 conf=0.720 gap=0.580
[2026-05-12 00:28:52] #0176/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:30:01] #0177/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:30:31] #0178/01395 | true=downstairs | pred=walking | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:31:02] #0179/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:31:18] #0180/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:31:32] #0181/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:31:50] #0182/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:32:05] #0183/01395 | true=downstairs | pred=walking | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:32:13] #0184/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:32:32] #0185/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:32:57] #0186/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.700 conf=0.820 gap=0.730
[2026-05-12 00:33:21] #0187/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:33:50] #0189/01395 | true=downstairs | pred=jogging | ✗ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 00:34:13] #0190/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:34:24] #0191/01395 | true=downstairs | pred=walking | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:35:00] #0192/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:35:13] #0193/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 00:35:35] #0194/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.052 conf=0.650 gap=0.500
[2026-05-12 00:35:49] #0195/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.035 conf=0.650 gap=0.450
[2026-05-12 00:36:38] #0197/01395 | true=downstairs | pred=walking | ✗ | ent=1.013 conf=0.600 gap=0.350
[2026-05-12 00:38:09] #0200/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.028 conf=0.650 gap=0.490
[2026-05-12 00:38:31] #0202/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:38:37] #0203/01395 | true=downstairs | pred=walking | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 00:38:53] #0204/01395 | true=downstairs | pred=jogging | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:39:53] #0205/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:40:42] #0207/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:40:47] #0208/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 00:41:47] #0211/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 00:42:00] #0212/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.700 conf=0.820 gap=0.730
[2026-05-12 00:42:57] #0213/01395 | true=downstairs | pred=walking | ✗ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 00:43:12] #0214/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:43:16] #0215/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:43:33] #0217/01395 | true=downstairs | pred=walking | ✗ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:44:13] #0218/01395 | true=downstairs | pred=walking | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:44:52] #0219/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:45:19] #0220/01395 | true=downstairs | pred=jogging | ✗ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 00:45:41] #0221/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 00:46:03] #0222/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:46:33] #0223/01395 | true=downstairs | pred=walking | ✗ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 00:46:59] #0225/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:47:17] #0227/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 00:47:52] #0228/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:48:09] #0229/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.191 conf=0.550 gap=0.310
[2026-05-12 00:49:07] #0230/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:49:31] #0231/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:49:46] #0232/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 00:50:07] #0233/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:50:23] #0234/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 00:50:38] #0235/01395 | true=downstairs | pred=walking | ✗ | ent=0.967 conf=0.700 gap=0.550
[2026-05-12 00:51:07] #0236/01395 | true=downstairs | pred=walking | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 00:51:38] #0237/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.980 conf=0.700 gap=0.540
[2026-05-12 00:51:54] #0238/01395 | true=downstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:52:11] #0239/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.758 conf=0.720 gap=0.490
[2026-05-12 00:52:49] #0240/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:53:21] #0242/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:53:41] #0243/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.833 conf=0.780 gap=0.700
[2026-05-12 00:53:46] #0244/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.114 conf=0.620 gap=0.420
[2026-05-12 00:54:15] #0245/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:54:29] #0246/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.081 conf=0.650 gap=0.470
[2026-05-12 00:54:52] #0247/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 00:55:08] #0248/01395 | true=downstairs | pred=walking | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:55:20] #0249/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:56:03] #0251/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:56:19] #0252/01395 | true=downstairs | pred=walking | ✗ | ent=1.046 conf=0.600 gap=0.350
[2026-05-12 00:57:29] #0253/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:57:44] #0254/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 00:58:11] #0255/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:59:03] #0256/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:59:18] #0257/01395 | true=downstairs | pred=jogging | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 00:59:30] #0258/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 00:59:38] #0259/01395 | true=downstairs | pred=walking | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 00:59:45] #0260/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 00:59:54] #0261/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
