[2026-05-11 21:52:20] HARTH class 7 (lying) T=0.8
[2026-05-11 21:52:20]   4689 windows
[2026-05-11 21:52:27] #0001/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:10] #0042/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:19] #0043/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:29] #0044/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:56] #0045/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:01:07] #0046/04689 | true=lying | pred=sit | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:01:20] #0047/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:01:48] #0048/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:07] #0049/04689 | true=lying | pred=lying | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:02:31] #0050/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:02] #0051/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:03:05] #0052/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:03:19] #0053/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:03:53] #0054/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:04:01] #0055/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:04:18] #0056/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:04:26] #0057/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:04:33] #0058/04689 | true=lying | pred=stand | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:04:49] #0059/04689 | true=lying | pred=sit | ✗ | ent=0.459 conf=0.910 gap=0.890
[2026-05-11 22:04:59] #0060/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:04:59]   [60/4689] acc=38% filt=60
[2026-05-11 22:05:05] #0061/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:05:14] #0062/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:05:18] #0063/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:05:26] #0064/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:05:34] #0065/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:14] #0066/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:23] #0067/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:41] #0068/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:07:41] #0069/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:08:28] #0070/04689 | true=lying | pred=stand | ✗ | ent=0.649 conf=0.850 gap=0.770
[2026-05-11 22:08:36] #0071/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:08:55] #0072/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:09:08] #0073/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:09:18] #0074/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 22:09:42] #0075/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:10:08] #0076/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:14] #0077/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:17] #0078/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:32] #0079/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:11:19] #0080/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:11:19]   [80/4689] acc=38% filt=79
[2026-05-11 22:11:41] #0081/04689 | true=lying | pred=stand | ✗ | ent=0.982 conf=0.750 gap=0.650
[2026-05-11 22:11:50] #0082/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 22:12:21] #0083/04689 | true=lying | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:12:28] #0084/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:12:31] #0085/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:12:51] #0086/04689 | true=lying | pred=sit | ✗ | ent=0.375 conf=0.900 gap=0.820
[2026-05-11 22:12:58] #0087/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-11 22:13:10] #0088/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:13:16] #0089/04689 | true=lying | pred=stand | ✗ | ent=1.151 conf=0.660 gap=0.480
[2026-05-11 22:13:22] #0090/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:13:26] #0091/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:13:35] #0092/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:13:56] #0093/04689 | true=lying | pred=sit | ✗ | ent=0.040 conf=0.995 gap=0.994
[2026-05-11 22:14:17] #0094/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:25] #0095/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:14:31] #0096/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:39] #0097/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:14:51] #0098/04689 | true=lying | pred=lying | ✓ | ent=0.802 conf=0.800 gap=0.730
[2026-05-11 22:15:31] #0099/04689 | true=lying | pred=stand | ✗ | ent=1.466 conf=0.400 gap=0.050
[2026-05-11 22:15:39] #0100/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:15:39]   [100/4689] acc=38% filt=98
[2026-05-11 22:15:53] #0101/04689 | true=lying | pred=stand | ✗ | ent=0.269 conf=0.940 gap=0.890
[2026-05-11 22:15:59] #0102/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:16:17] #0103/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:16:23] #0104/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:38] #0105/04689 | true=lying | pred=stand | ✗ | ent=0.279 conf=0.940 gap=0.900
[2026-05-11 22:16:46] #0106/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:58] #0107/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:18:00] #0108/04689 | true=lying | pred=stand | ✗ | ent=1.609 conf=0.400 gap=0.200
[2026-05-11 22:18:10] #0109/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:18:27] #0110/04689 | true=lying | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:18:34] #0111/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:16] #0112/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:19:22] #0113/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:49] #0114/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:20:13] #0115/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:20:30] #0116/04689 | true=lying | pred=stand | ✗ | ent=0.993 conf=0.620 gap=0.320
[2026-05-11 22:20:39] #0117/04689 | true=lying | pred=lying | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 22:21:19] #0118/04689 | true=lying | pred=lying | ✓ | ent=0.102 conf=0.985 gap=0.980
[2026-05-11 22:21:24] #0119/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:21:36] #0120/04689 | true=lying | pred=lying | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:21:36]   [120/4689] acc=37% filt=117
[2026-05-11 22:21:48] #0121/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:22:16] #0122/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:22:25] #0123/04689 | true=lying | pred=lying | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:22:32] #0124/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:22:45] #0125/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:23:04] #0126/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:23:34] #0127/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:23:44] #0128/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:23:52] #0129/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:15] #0130/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:24:36] #0131/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:25:01] #0132/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:25:14] #0133/04689 | true=lying | pred=lying | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:25:31] #0134/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:26:29] #0135/04689 | true=lying | pred=stand | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:26:42] #0136/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:27:20] #0137/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:27:36] #0138/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:27:45] #0139/04689 | true=lying | pred=stand | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:28:12] #0140/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:28:12]   [140/4689] acc=35% filt=137
[2026-05-11 22:28:15] #0141/04689 | true=lying | pred=lying | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:28:23] #0142/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:28:32] #0143/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:28:40] #0144/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:28:48] #0145/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:23] #0146/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:34] #0147/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:42] #0148/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:29:51] #0149/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:30:20] #0150/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:30:22] #0151/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:30:41] #0152/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-11 22:30:59] #0153/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:31:14] #0154/04689 | true=lying | pred=stand | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:31:50] #0155/04689 | true=lying | pred=stand | ✗ | ent=0.477 conf=0.840 gap=0.690
[2026-05-11 22:31:56] #0156/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:32:06] #0157/04689 | true=lying | pred=lying | ✓ | ent=0.781 conf=0.800 gap=0.700
[2026-05-11 22:32:49] #0158/04689 | true=lying | pred=stand | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 22:33:12] #0159/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:33:33] #0160/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:33:33]   [160/4689] acc=37% filt=157
[2026-05-11 22:34:00] #0161/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:34:13] #0162/04689 | true=lying | pred=lying | ✓ | ent=0.995 conf=0.700 gap=0.550
[2026-05-11 22:34:19] #0163/04689 | true=lying | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:34:33] #0164/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:34:41] #0165/04689 | true=lying | pred=lying | ✓ | ent=1.076 conf=0.700 gap=0.600
[2026-05-11 22:34:57] #0166/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:34:59] #0167/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:35:19] #0168/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:35:22] #0169/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:35:30] #0170/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:36:01] #0171/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:36:09] #0172/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:36:21] #0173/04689 | true=lying | pred=shuffle | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:38:53] #0174/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:39:10] #0175/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:39:16] #0176/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:39:25] #0177/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:39:32] #0178/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:39:37] #0179/04689 | true=lying | pred=stand | ✗ | ent=0.993 conf=0.620 gap=0.320
[2026-05-11 22:40:07] #0180/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:40:07]   [180/4689] acc=38% filt=177
[2026-05-11 22:40:37] #0181/04689 | true=lying | pred=stand | ✗ | ent=1.062 conf=0.700 gap=0.550
[2026-05-11 22:41:00] #0182/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:41:15] #0183/04689 | true=lying | pred=lying | ✓ | ent=0.827 conf=0.800 gap=0.730
[2026-05-11 22:41:40] #0184/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:42:05] #0185/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:42:19] #0186/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:42:28] #0187/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:42:34] #0188/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:42:57] #0189/04689 | true=lying | pred=stand | ✗ | ent=0.579 conf=0.850 gap=0.780
[2026-05-11 22:43:03] #0190/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:43:27] #0191/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:43:35] #0192/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:44:39] #0193/04689 | true=lying | pred=stand | ✗ | ent=0.430 conf=0.896 gap=0.846
[2026-05-11 22:44:48] #0194/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:45:14] #0195/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:45:50] #0196/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:45:57] #0197/04689 | true=lying | pred=stand | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:46:18] #0198/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:46:24] #0199/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:46:47] #0200/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:46:47]   [200/4689] acc=38% filt=196
[2026-05-11 22:46:59] #0201/04689 | true=lying | pred=lying | ✓ | ent=0.417 conf=0.910 gap=0.870
[2026-05-11 22:47:24] #0202/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:47:40] #0203/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:47:51] #0204/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:48:05] #0205/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:48:18] #0206/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:48:24] #0207/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:48:31] #0208/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:48:45] #0209/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:49:23] #0210/04689 | true=lying | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:49:37] #0211/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:49:51] #0212/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:50:13] #0213/04689 | true=lying | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:50:19] #0214/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:50:30] #0215/04689 | true=lying | pred=stand | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:50:36] #0216/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:50:47] #0217/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:50:52] #0218/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:51:23] #0219/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:51:43] #0220/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:51:43]   [220/4689] acc=39% filt=216
[2026-05-11 22:52:47] #0221/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:52:51] #0222/04689 | true=lying | pred=lying | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-11 22:53:06] #0223/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:53:15] #0224/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:53:33] #0225/04689 | true=lying | pred=sit | ✗ | ent=0.158 conf=0.973 gap=0.958
[2026-05-11 22:53:39] #0226/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:53:55] #0227/04689 | true=lying | pred=stand | ✗ | ent=1.040 conf=0.500 gap=0.250
[2026-05-11 22:54:12] #0228/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
