[2026-05-11 11:05:05] #0001/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:11:44] #0026/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:11:58] #0027/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:12:26] #0028/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.196 | conf=0.960 | gap=0.940
[2026-05-11 11:12:41] #0029/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:12:51] #0030/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:13:26] #0031/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:13:37] #0032/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:13:54] #0033/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:14:56] #0035/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:15:34] #0037/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:15:50] #0038/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:16:02] #0039/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:16:10] #0040/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:45] #0043/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:58] #0044/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:18:16] #0045/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:18:27] #0046/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:18:36] #0047/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:18:45] #0048/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:19:20] #0050/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:19:50] #0051/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:20:03] #0052/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:20:20] #0053/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:22:06] #0057/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:23:25] #0060/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:23:38] #0061/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:23:55] #0062/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 11:24:05] #0063/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:24:19] #0064/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:24:44] #0065/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:25:59] #0068/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:26:13] #0069/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:26:24] #0070/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:26:40] #0071/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:27:10] #0072/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:28:00] #0074/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:28:34] #0075/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:28:47] #0076/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:28:58] #0077/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:29:11] #0078/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:29:24] #0079/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:29:48] #0080/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:30:04] #0081/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:30:19] #0082/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:30:27] #0083/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:30:40] #0084/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.196 | conf=0.960 | gap=0.940
[2026-05-11 11:30:52] #0085/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:31:02] #0086/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:31:16] #0087/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:31:28] #0088/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:31:44] #0089/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:32:15] #0090/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:32:30] #0091/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:32:44] #0092/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:32:58] #0093/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:33:41] #0095/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:33:50] #0096/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:01] #0097/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:26] #0098/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 11:34:39] #0099/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:35:40] #0102/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:35:52] #0103/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 11:36:48] #0105/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:37:27] #0107/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:38:23] #0109/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:39:08] #0110/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:39:19] #0111/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:47] #0112/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:40:00] #0113/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:40:36] #0114/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:40:47] #0115/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:00] #0116/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:41:14] #0117/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:41:32] #0118/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:57] #0119/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:42:24] #0120/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:43:24] #0122/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:43:39] #0123/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:43:53] #0124/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:44:05] #0125/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:44:43] #0127/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:44:51] #0128/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:45:05] #0129/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:45:27] #0130/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:45:38] #0131/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:45:48] #0132/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:46:03] #0133/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.647 | conf=0.650 | gap=0.300
[2026-05-11 11:46:18] #0134/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 11:47:08] #0136/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:47:19] #0137/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:47:27] #0138/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:47:37] #0139/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:48:32] #0141/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.100 | conf=0.980 | gap=0.959
[2026-05-11 11:48:43] #0142/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:48:57] #0143/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:49:23] #0144/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:49:33] #0145/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:49:42] #0146/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:50:28] #0148/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:50:44] #0149/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:51:19] #0150/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:51:55] #0152/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:52:06] #0153/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:52:22] #0154/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:52:55] #0155/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:53:12] #0156/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:53:25] #0157/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:13] #0159/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:24] #0160/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:54:36] #0161/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:54:48] #0162/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:55:14] #0163/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:55:29] #0164/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:55:39] #0165/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:55:54] #0166/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:57:04] #0168/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:57:17] #0169/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:57:31] #0170/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:57:47] #0171/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:59:14] #0174/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:00:53] #0177/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:01:11] #0178/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:01:22] #0179/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:01:34] #0180/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:01:46] #0181/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:01:58] #0182/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:02:12] #0183/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:02:23] #0184/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:02:38] #0185/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:02:51] #0186/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:03:05] #0187/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:03:15] #0188/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:03:28] #0189/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:03:42] #0190/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:04:20] #0192/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:04:32] #0193/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:04:41] #0194/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:04:57] #0195/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 12:05:14] #0196/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:05:42] #0197/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:05:54] #0198/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:06:05] #0199/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:06:17] #0200/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:06:29] #0201/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:06:41] #0202/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:07:11] #0203/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.647 | conf=0.650 | gap=0.300
[2026-05-11 12:07:30] #0204/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:07:43] #0205/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:08:10] #0206/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:08:23] #0207/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:08:33] #0208/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 12:08:45] #0209/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:09:12] #0210/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:10:13] #0213/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:10:34] #0214/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:10:47] #0215/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:11:03] #0216/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 12:11:17] #0217/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:11:31] #0218/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:41] #0219/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:11:58] #0220/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:12:08] #0221/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:12:22] #0222/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 12:12:35] #0223/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:12:46] #0224/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:13:16] #0225/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:13:30] #0226/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:13:40] #0227/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:14:06] #0228/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:14:18] #0229/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:14:32] #0230/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 12:14:43] #0231/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:14:51] #0232/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:15:05] #0233/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.647 | conf=0.650 | gap=0.300
[2026-05-11 12:15:18] #0234/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:15:30] #0235/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 12:15:58] #0236/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:16:59] #0239/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:17:43] #0241/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:18:11] #0242/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:18:25] #0243/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:18:51] #0244/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:19:06] #0245/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 12:19:18] #0246/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:20:02] #0248/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.647 | conf=0.650 | gap=0.300
[2026-05-11 12:20:14] #0249/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
