[2026-05-11 21:51:59] HARTH class 5 (stand) T=0.8
[2026-05-11 21:51:59]   8147 windows
[2026-05-11 21:52:24] #0001/08147 | true=stand | pred=stairs_up | ✗ | ent=1.808 conf=0.250 gap=0.050
[2026-05-11 21:58:15] #0022/08147 | true=stand | pred=lying | ✗ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 21:58:25] #0023/08147 | true=stand | pred=shuffle | ✗ | ent=1.789 conf=0.250 gap=0.000
[2026-05-11 21:58:54] #0024/08147 | true=stand | pred=stand | ✓ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 21:58:58] #0025/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 21:59:03] #0026/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:59:22] #0027/08147 | true=stand | pred=stand | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-11 21:59:52] #0028/08147 | true=stand | pred=stand | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-11 22:00:00] #0029/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:00:10] #0030/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:00:13] #0031/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:00:44] #0032/08147 | true=stand | pred=stand | ✓ | ent=0.527 conf=0.880 gap=0.830
[2026-05-11 22:00:58] #0033/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:01:21] #0034/08147 | true=stand | pred=shuffle | ✗ | ent=0.853 conf=0.800 gap=0.750
[2026-05-11 22:01:25] #0035/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:01:59] #0036/08147 | true=stand | pred=stairs_down | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-11 22:02:02] #0037/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:02:08] #0038/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:20] #0039/08147 | true=stand | pred=shuffle | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:02:44] #0040/08147 | true=stand | pred=walk | ✗ | ent=1.590 conf=0.450 gap=0.250
[2026-05-11 22:02:44]   [40/8147] acc=75% filt=35
[2026-05-11 22:03:00] #0041/08147 | true=stand | pred=sit | ✗ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 22:03:05] #0042/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:03:25] #0043/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:03:34] #0044/08147 | true=stand | pred=stand | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-11 22:03:45] #0045/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:03:49] #0046/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:04:03] #0047/08147 | true=stand | pred=stand | ✓ | ent=0.829 conf=0.780 gap=0.660
[2026-05-11 22:04:23] #0048/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:04:54] #0049/08147 | true=stand | pred=stand | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-11 22:04:57] #0050/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:05:00] #0051/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:05:05] #0052/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:05:20] #0053/08147 | true=stand | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:05:24] #0054/08147 | true=stand | pred=stand | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:05:40] #0055/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:05:44] #0056/08147 | true=stand | pred=stand | ✓ | ent=1.062 conf=0.700 gap=0.550
[2026-05-11 22:05:50] #0057/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:05:59] #0058/08147 | true=stand | pred=stand | ✓ | ent=0.526 conf=0.870 gap=0.790
[2026-05-11 22:06:19] #0059/08147 | true=stand | pred=sit | ✗ | ent=0.168 conf=0.970 gap=0.960
[2026-05-11 22:06:29] #0060/08147 | true=stand | pred=stand | ✓ | ent=0.553 conf=0.870 gap=0.790
[2026-05-11 22:06:29]   [60/8147] acc=78% filt=55
[2026-05-11 22:06:41] #0061/08147 | true=stand | pred=stand | ✓ | ent=0.756 conf=0.820 gap=0.740
[2026-05-11 22:07:04] #0062/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:07:09] #0063/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:07:18] #0064/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:07:28] #0065/08147 | true=stand | pred=stand | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-11 22:07:37] #0066/08147 | true=stand | pred=stand | ✓ | ent=1.242 conf=0.450 gap=0.050
[2026-05-11 22:07:40] #0067/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:07:49] #0068/08147 | true=stand | pred=shuffle | ✗ | ent=1.124 conf=0.450 gap=0.000
[2026-05-11 22:08:02] #0069/08147 | true=stand | pred=stand | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-11 22:08:24] #0070/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:08:27] #0071/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:08:33] #0072/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:08:40] #0073/08147 | true=stand | pred=stand | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-11 22:08:44] #0074/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:09:44] #0075/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:09:54] #0076/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:10:15] #0077/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:10:23] #0078/08147 | true=stand | pred=stand | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:10:28] #0079/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:41] #0080/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:10:41]   [80/8147] acc=82% filt=72
[2026-05-11 22:10:51] #0081/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:11:15] #0082/08147 | true=stand | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:11:25] #0083/08147 | true=stand | pred=stand | ✓ | ent=0.595 conf=0.850 gap=0.750
[2026-05-11 22:11:41] #0084/08147 | true=stand | pred=lying | ✗ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:11:44] #0085/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:11:53] #0086/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:12:20] #0087/08147 | true=stand | pred=stand | ✓ | ent=0.995 conf=0.700 gap=0.550
[2026-05-11 22:12:29] #0088/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:12:37] #0089/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:13:03] #0090/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:13:31] #0091/08147 | true=stand | pred=stand | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:13:36] #0092/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:13:39] #0093/08147 | true=stand | pred=stand | ✓ | ent=0.774 conf=0.800 gap=0.680
[2026-05-11 22:13:46] #0094/08147 | true=stand | pred=stand | ✓ | ent=0.571 conf=0.880 gap=0.830
[2026-05-11 22:14:10] #0095/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:14:36] #0096/08147 | true=stand | pred=stand | ✓ | ent=0.828 conf=0.800 gap=0.730
[2026-05-11 22:14:47] #0097/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:15:09] #0098/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:15:29] #0099/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:15:40] #0100/08147 | true=stand | pred=stand | ✓ | ent=0.332 conf=0.920 gap=0.870
[2026-05-11 22:15:40]   [100/8147] acc=84% filt=91
[2026-05-11 22:15:43] #0101/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:15:52] #0102/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:16:02] #0103/08147 | true=stand | pred=stand | ✓ | ent=0.841 conf=0.800 gap=0.730
[2026-05-11 22:16:07] #0104/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:11] #0105/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:16:15] #0106/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:16:21] #0107/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:16:49] #0108/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:16:53] #0109/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:16:56] #0110/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:17:19] #0111/08147 | true=stand | pred=stairs_up | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:17:24] #0112/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:17:30] #0113/08147 | true=stand | pred=stand | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 22:17:40] #0114/08147 | true=stand | pred=stand | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-11 22:18:02] #0115/08147 | true=stand | pred=stand | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-11 22:18:07] #0116/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:18:16] #0117/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:19:08] #0118/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:19:22] #0119/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:19:25] #0120/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:25]   [120/8147] acc=86% filt=111
[2026-05-11 22:19:42] #0121/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:19:49] #0122/08147 | true=stand | pred=stand | ✓ | ent=0.653 conf=0.840 gap=0.740
[2026-05-11 22:20:20] #0123/08147 | true=stand | pred=shuffle | ✗ | ent=1.639 conf=0.350 gap=0.150
[2026-05-11 22:20:35] #0124/08147 | true=stand | pred=stand | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 22:21:03] #0125/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:21:19] #0126/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:21:25] #0127/08147 | true=stand | pred=shuffle | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:21:28] #0128/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:21:37] #0129/08147 | true=stand | pred=stand | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 22:21:39] #0130/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:21:52] #0131/08147 | true=stand | pred=stand | ✓ | ent=1.218 conf=0.600 gap=0.440
[2026-05-11 22:21:55] #0132/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:21:59] #0133/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:22:25] #0134/08147 | true=stand | pred=stand | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:22:27] #0135/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:22:37] #0136/08147 | true=stand | pred=stand | ✓ | ent=0.572 conf=0.820 gap=0.670
[2026-05-11 22:22:53] #0137/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:23:04] #0138/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:23:42] #0139/08147 | true=stand | pred=stand | ✓ | ent=1.015 conf=0.630 gap=0.380
[2026-05-11 22:23:51] #0140/08147 | true=stand | pred=stand | ✓ | ent=0.254 conf=0.940 gap=0.890
[2026-05-11 22:23:51]   [140/8147] acc=86% filt=130
[2026-05-11 22:24:01] #0141/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:24:15] #0142/08147 | true=stand | pred=stand | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-11 22:24:19] #0143/08147 | true=stand | pred=stand | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-11 22:24:31] #0144/08147 | true=stand | pred=stand | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 22:24:55] #0145/08147 | true=stand | pred=stand | ✓ | ent=0.975 conf=0.700 gap=0.520
[2026-05-11 22:24:59] #0146/08147 | true=stand | pred=stand | ✓ | ent=1.122 conf=0.480 gap=0.060
[2026-05-11 22:25:12] #0147/08147 | true=stand | pred=stand | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-11 22:25:16] #0148/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:25:20] #0149/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:25:23] #0150/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:25:31] #0151/08147 | true=stand | pred=stand | ✓ | ent=0.967 conf=0.750 gap=0.640
[2026-05-11 22:25:47] #0152/08147 | true=stand | pred=shuffle | ✗ | ent=1.566 conf=0.450 gap=0.200
[2026-05-11 22:25:49] #0153/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:25:58] #0154/08147 | true=stand | pred=stand | ✓ | ent=0.380 conf=0.890 gap=0.790
[2026-05-11 22:26:02] #0155/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:26:18] #0156/08147 | true=stand | pred=shuffle | ✗ | ent=1.914 conf=0.250 gap=0.000
[2026-05-11 22:26:31] #0157/08147 | true=stand | pred=stand | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-11 22:26:42] #0158/08147 | true=stand | pred=stand | ✓ | ent=0.219 conf=0.948 gap=0.899
[2026-05-11 22:27:02] #0159/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:27:30] #0160/08147 | true=stand | pred=stand | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-11 22:27:30]   [160/8147] acc=87% filt=147
[2026-05-11 22:27:41] #0161/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:28:14] #0162/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:28:35] #0163/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:28:38] #0164/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:29:05] #0165/08147 | true=stand | pred=stand | ✓ | ent=1.062 conf=0.650 gap=0.450
[2026-05-11 22:29:12] #0166/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:29:19] #0167/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:29:29] #0168/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:29:38] #0169/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 22:29:40] #0170/08147 | true=stand | pred=stand | ✓ | ent=0.752 conf=0.800 gap=0.670
[2026-05-11 22:30:14] #0171/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:30:31] #0172/08147 | true=stand | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:30:44] #0173/08147 | true=stand | pred=stand | ✓ | ent=0.585 conf=0.820 gap=0.670
[2026-05-11 22:30:48] #0174/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:30:53] #0175/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:31:19] #0176/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:31:23] #0177/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:31:32] #0178/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:32:07] #0179/08147 | true=stand | pred=stand | ✓ | ent=0.841 conf=0.800 gap=0.730
[2026-05-11 22:32:16] #0180/08147 | true=stand | pred=stand | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-11 22:32:16]   [180/8147] acc=88% filt=167
[2026-05-11 22:32:29] #0181/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:32:32] #0182/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:32:43] #0183/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:32:47] #0184/08147 | true=stand | pred=stand | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-11 22:32:53] #0185/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:32:57] #0186/08147 | true=stand | pred=stand | ✓ | ent=0.867 conf=0.800 gap=0.750
[2026-05-11 22:33:12] #0187/08147 | true=stand | pred=stairs_down | ✗ | ent=1.522 conf=0.300 gap=0.050
[2026-05-11 22:33:36] #0188/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 22:33:46] #0189/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:34:18] #0190/08147 | true=stand | pred=stand | ✓ | ent=0.137 conf=0.976 gap=0.958
[2026-05-11 22:34:21] #0191/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:34:52] #0192/08147 | true=stand | pred=lying | ✗ | ent=1.672 conf=0.220 gap=0.020
[2026-05-11 22:34:55] #0193/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:35:00] #0194/08147 | true=stand | pred=stand | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-11 22:35:20] #0195/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:35:27] #0196/08147 | true=stand | pred=stand | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-11 22:35:48] #0197/08147 | true=stand | pred=walk | ✗ | ent=0.576 conf=0.876 gap=0.836
[2026-05-11 22:36:01] #0198/08147 | true=stand | pred=shuffle | ✗ | ent=1.326 conf=0.450 gap=0.100
[2026-05-11 22:36:12] #0199/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:36:19] #0200/08147 | true=stand | pred=stand | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-11 22:36:19]   [200/8147] acc=87% filt=184
[2026-05-11 22:36:23] #0201/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:36:26] #0202/08147 | true=stand | pred=stand | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:36:29] #0203/08147 | true=stand | pred=stand | ✓ | ent=0.787 conf=0.780 gap=0.630
[2026-05-11 22:36:33] #0204/08147 | true=stand | pred=stand | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-11 22:36:56] #0205/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:37:00] #0206/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.800 gap=0.650
[2026-05-11 22:37:06] #0207/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:37:37] #0208/08147 | true=stand | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:37:44] #0209/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:38:04] #0210/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:38:17] #0211/08147 | true=stand | pred=stand | ✓ | ent=0.258 conf=0.950 gap=0.920
[2026-05-11 22:38:28] #0212/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:38:30] #0213/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:39:33] #0214/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:39:43] #0215/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:40:04] #0216/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:40:09] #0217/08147 | true=stand | pred=stand | ✓ | ent=1.088 conf=0.600 gap=0.350
[2026-05-11 22:40:11] #0218/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:40:39] #0219/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:41:01] #0220/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:41:01]   [220/8147] acc=88% filt=204
[2026-05-11 22:41:10] #0221/08147 | true=stand | pred=stand | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-11 22:41:12] #0222/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:41:32] #0223/08147 | true=stand | pred=stairs_up | ✗ | ent=1.617 conf=0.300 gap=0.000
[2026-05-11 22:41:41] #0224/08147 | true=stand | pred=stand | ✓ | ent=0.630 conf=0.850 gap=0.770
[2026-05-11 22:41:44] #0225/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:41:49] #0226/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:41:53] #0227/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
