[2026-05-08 16:32:10]   [002/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 16:43:34]   [054/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.84 | top=15:0.55, 16:0.08
[2026-05-08 16:43:49]   [055/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.03 | top=14:0.99, 8:0.01
[2026-05-08 16:44:35]   [059/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.73 | top=4:0.56, 6:0.12
[2026-05-08 16:45:22]   [062/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.13 | top=14:0.97, 8:0.02
[2026-05-08 16:47:26]   [070/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.87 | top=16:0.70, 11:0.20
[2026-05-08 16:47:34]   [071/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.22 | top=8:0.95, 14:0.04
[2026-05-08 16:48:10]   [073/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.38 | top=9:0.70, 10:0.05
[2026-05-08 16:48:56]   [076/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.88 | top=9:0.57, 5:0.05
[2026-05-08 16:50:24]   [083/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.35 | top=8:0.92, 14:0.06
[2026-05-08 16:50:34]   [084/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.76 | top=10:0.60, 6:0.05
[2026-05-08 16:51:45]   [090/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.32 | top=5:0.95, 1:0.02
[2026-05-08 16:51:58]   [091/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.42 | top=8:0.93, 7:0.01
[2026-05-08 16:52:23]   [092/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.55 | top=4:0.65, 3:0.04
[2026-05-08 16:52:49]   [094/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.58 | top=8:0.85, 14:0.10
[2026-05-08 16:53:09]   [096/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.41 | top=1:0.89, 0:0.05
[2026-05-08 16:54:01]   [101/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=2.13 | top=16:0.45, 11:0.08
[2026-05-08 16:54:19]   [103/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=-0.00 | top=5:1.00, 0:0.00
[2026-05-08 16:54:45]   [105/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.73 | top=4:0.55, 3:0.15
[2026-05-08 16:55:00]   [106/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.33 | top=8:0.93, 14:0.04
[2026-05-08 16:55:10]   [107/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.31 | top=11:0.95, 13:0.02
[2026-05-08 16:55:53]   [111/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.58 | top=0:0.90, 1:0.01
[2026-05-08 16:56:25]   [114/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.85 | top=1:0.78, 0:0.12
[2026-05-08 16:59:34]   [128/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.20 | top=17:0.95, 16:0.05
[2026-05-08 16:59:58]   [130/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.02 | top=0:0.81, 1:0.02
[2026-05-08 17:00:27]   [132/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.22 | top=5:0.96, 1:0.02
[2026-05-08 17:01:12]   [136/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.09 | top=6:0.77, 4:0.05
[2026-05-08 17:01:24]   [137/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.36 | top=16:0.71, 11:0.05
[2026-05-08 17:02:19]   [141/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.20 | top=6:0.73, 10:0.10
[2026-05-08 17:02:31]   [142/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.59 | top=0:0.90, 1:0.01
[2026-05-08 17:02:40]   [143/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=2.00 | top=4:0.50, 6:0.10
[2026-05-08 17:02:52]   [144/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.19 | top=4:0.72, 3:0.08
[2026-05-08 17:03:12]   [145/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.99 | top=11:0.65, 16:0.25
[2026-05-08 17:03:22]   [146/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 17:03:49]   [147/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.27 | top=6:0.72, 5:0.10
[2026-05-08 17:04:17]   [149/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.21 | top=8:0.97, 11:0.01
[2026-05-08 17:04:44]   [151/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.84 | top=7:0.55, 4:0.08
[2026-05-08 17:04:51]   [152/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.60 | top=0:0.85, 1:0.10
[2026-05-08 17:06:46]   [161/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.66 | top=16:0.82, 11:0.12
[2026-05-08 17:07:19]   [163/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.69 | top=1:0.82, 2:0.08
[2026-05-08 17:07:30]   [164/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.14 | top=0:0.72, 2:0.08
[2026-05-08 17:08:11]   [167/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.59 | top=0:0.90, 1:0.01
[2026-05-08 17:08:29]   [169/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.87 | top=0:0.84, 1:0.01
[2026-05-08 17:09:31]   [172/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.62 | top=3:0.63, 0:0.05
[2026-05-08 17:09:40]   [173/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.10 | top=14:0.98, 8:0.02
[2026-05-08 17:10:43]   [178/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=1.40 | top=14:0.65, 11:0.08
[2026-05-08 17:11:16]   [181/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=0.66 | top=10:0.85, 17:0.05
[2026-05-08 17:12:50]   [188/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.42 | top=9:0.70, 7:0.05
[2026-05-08 17:13:11]   [189/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.79 | top=9:0.55, 12:0.08
[2026-05-08 17:13:25]   [190/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.12 | top=0:0.70, 1:0.17
[2026-05-08 17:14:15]   [193/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.88 | top=6:0.55, 10:0.08
[2026-05-08 17:15:13]   [197/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.75 | top=3:0.55, 0:0.08
[2026-05-08 17:16:09]   [202/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.46 | top=1:0.89, 0:0.05
[2026-05-08 17:16:33]   [204/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 17:16:49]   [206/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.52 | top=5:0.92, 0:0.00
[2026-05-08 17:16:59]   [207/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.52 | top=8:0.85, 14:0.10
[2026-05-08 17:17:31]   [210/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 8:0.05
[2026-05-08 17:19:38]   [220/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.85 | top=6:0.67, 10:0.22
[2026-05-08 17:19:49]   [221/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.75 | top=8:0.78, 14:0.17
[2026-05-08 17:20:38]   [224/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=2.17 | top=16:0.40, 15:0.10
[2026-05-08 17:20:54]   [226/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.50 | top=8:0.85, 14:0.12
[2026-05-08 17:21:14]   [227/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.70 | top=3:0.56, 2:0.15
[2026-05-08 17:21:26]   [228/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.11 | top=15:0.70, 11:0.08
[2026-05-08 17:22:01]   [230/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.85 | top=11:0.55, 12:0.08
[2026-05-08 17:22:25]   [232/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.66 | top=0:0.88, 1:0.03
[2026-05-08 17:22:31]   [233/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.89 | top=1:0.81, 2:0.08
[2026-05-08 17:22:42]   [234/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.28 | top=6:0.73, 5:0.08
[2026-05-08 17:23:13]   [237/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=1.51 | top=8:0.65, 14:0.10
[2026-05-08 17:23:33]   [238/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.13 | top=17:0.71, 16:0.10
[2026-05-08 17:24:34]   [243/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.20 | top=6:0.95, 10:0.05
[2026-05-08 17:25:46]   [249/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.92 | top=4:0.83, 0:0.01
[2026-05-08 17:26:53]   [255/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.38 | top=4:0.65, 6:0.10
[2026-05-08 17:27:21]   [257/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.64 | top=1:0.85, 2:0.08
[2026-05-08 17:28:34]   [263/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.43 | top=8:0.92, 14:0.04
[2026-05-08 17:28:49]   [264/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.53 | top=5:0.92, 0:0.00
[2026-05-08 17:29:14]   [266/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.96 | top=8:0.72, 14:0.18
[2026-05-08 17:29:50]   [269/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.04 | top=11:0.72, 12:0.08
[2026-05-08 17:30:10]   [270/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.73 | top=15:0.55, 12:0.12
[2026-05-08 17:30:19]   [271/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.86, 1:0.05
[2026-05-08 17:30:30]   [272/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.04 | top=2:0.71, 1:0.15
[2026-05-08 17:31:03]   [274/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.58 | top=0:0.88, 1:0.05
[2026-05-08 17:31:17]   [275/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.41 | top=0:0.93, 1:0.01
[2026-05-08 17:31:49]   [277/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.48 | top=0:0.91, 1:0.04
[2026-05-08 17:32:22]   [279/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.63 | top=16:0.59, 11:0.15
[2026-05-08 17:33:20]   [283/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.57 | top=3:0.62, 7:0.10
[2026-05-08 17:33:46]   [285/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.60 | top=0:0.88, 2:0.03
[2026-05-08 17:34:27]   [288/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.42 | top=0:0.92, 1:0.03
[2026-05-08 17:35:03]   [291/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.14 | top=5:0.98, 1:0.00
[2026-05-08 17:36:30]   [298/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.31 | top=4:0.73, 3:0.04
[2026-05-08 17:36:39]   [299/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.64 | top=1:0.87, 0:0.05
[2026-05-08 17:36:50]   [300/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.02 | top=4:0.81, 3:0.02
[2026-05-08 17:36:58]   [301/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.29 | top=8:0.95, 14:0.03
[2026-05-08 17:37:48]   [307/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.22 | top=8:0.95, 14:0.04
[2026-05-08 17:38:33]   [310/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.93 | top=4:0.82, 17:0.03
[2026-05-08 17:39:05]   [313/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=1.02 | top=5:0.81, 0:0.02
[2026-05-08 17:39:38]   [315/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.88 | top=11:0.48, 16:0.14
[2026-05-08 17:40:10]   [317/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.21 | top=5:0.97, 0:0.01
[2026-05-08 17:41:16]   [323/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.27 | top=6:0.65, 5:0.20
[2026-05-08 17:41:50]   [326/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.59 | top=0:0.90, 1:0.01
[2026-05-08 17:44:46]   [339/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 17:45:01]   [340/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.59 | top=5:0.90, 1:0.02
[2026-05-08 17:45:33]   [342/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=0.84 | top=2:0.83, 1:0.08
[2026-05-08 17:45:41]   [343/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.17 | top=11:0.76, 12:0.04
[2026-05-08 17:47:07]   [350/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.32 | top=0:0.95, 3:0.02
[2026-05-08 17:49:00]   [359/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.30 | top=11:0.55, 16:0.25
[2026-05-08 17:49:23]   [361/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.87 | top=0:0.83, 1:0.05
[2026-05-08 17:49:54]   [363/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.73 | top=8:0.85, 14:0.07
[2026-05-08 17:50:12]   [365/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.37 | top=14:0.93, 8:0.05
[2026-05-08 17:50:51]   [368/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.31 | top=5:0.95, 1:0.03
[2026-05-08 17:51:09]   [369/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.54 | top=10:0.65, 6:0.08
[2026-05-08 17:52:55]   [375/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.24 | top=10:0.74, 5:0.05
[2026-05-08 17:55:25]   [388/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.90 | top=11:0.75, 16:0.10
[2026-05-08 17:55:47]   [390/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.29 | top=0:0.94, 1:0.03
[2026-05-08 17:55:58]   [391/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.21 | top=0:0.96, 2:0.02
[2026-05-08 17:56:48]   [396/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.07 | top=4:0.80, 0:0.02
[2026-05-08 17:58:38]   [406/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.72 | top=6:0.55, 7:0.10
[2026-05-08 17:58:55]   [407/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.43 | top=17:0.90, 16:0.06
[2026-05-08 17:59:12]   [408/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.39 | top=15:0.65, 9:0.08
[2026-05-08 18:00:32]   [414/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.06 | top=14:0.99, 8:0.01
[2026-05-08 18:02:31]   [423/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.35 | top=6:0.70, 4:0.05
[2026-05-08 18:03:23]   [428/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=1.01 | top=5:0.81, 1:0.03
[2026-05-08 18:03:32]   [429/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 3:0.02
[2026-05-08 18:04:06]   [432/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.22 | top=14:0.96, 8:0.02
[2026-05-08 18:04:48]   [436/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=-0.00 | top=5:1.00, 0:0.00
[2026-05-08 18:05:45]   [440/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=2.11 | top=16:0.45, 11:0.10
[2026-05-08 18:06:04]   [442/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.96 | top=0:0.83, 1:0.02
[2026-05-08 18:06:46]   [445/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.78 | top=14:0.70, 8:0.25
[2026-05-08 18:07:14]   [448/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.35 | top=0:0.94, 1:0.01
[2026-05-08 18:07:49]   [451/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.65 | top=17:0.85, 16:0.05
[2026-05-08 18:09:30]   [460/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=2.04 | top=3:0.45, 7:0.15
[2026-05-08 18:09:58]   [462/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.70 | top=3:0.62, 2:0.05
[2026-05-08 18:10:42]   [466/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.54 | top=0:0.91, 1:0.01
[2026-05-08 18:11:18]   [469/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.80 | top=0:0.82, 2:0.06
[2026-05-08 18:12:44]   [476/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.25 | top=11:0.74, 12:0.05
[2026-05-08 18:13:10]   [478/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.52 | top=11:0.56, 16:0.20
[2026-05-08 18:13:18]   [479/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.84 | top=9:0.83, 7:0.03
[2026-05-08 18:13:33]   [481/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=0.92 | top=3:0.83, 0:0.01
[2026-05-08 18:13:51]   [483/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.84 | top=9:0.85, 11:0.02
[2026-05-08 18:14:15]   [486/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.17 | top=5:0.98, 1:0.00
[2026-05-08 18:14:35]   [488/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.41 | top=0:0.92, 1:0.03
[2026-05-08 18:14:45]   [489/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.48 | top=1:0.90, 0:0.05
[2026-05-08 18:16:46]   [499/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.82 | top=10:0.55, 4:0.08
[2026-05-08 18:17:14]   [502/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.34 | top=3:0.71, 2:0.08
[2026-05-08 18:17:46]   [505/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.90 | top=11:0.84, 12:0.02
[2026-05-08 18:18:12]   [507/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.84 | top=0:0.82, 1:0.06
[2026-05-08 18:18:19]   [508/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=-0.00 | top=5:1.00, 0:0.00
[2026-05-08 18:19:15]   [514/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.08 | top=3:0.78, 17:0.04
[2026-05-08 18:19:21]   [515/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.20 | top=4:0.75, 17:0.04
[2026-05-08 18:19:29]   [516/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.86 | top=0:0.83, 3:0.06
[2026-05-08 18:19:36]   [517/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=-0.00 | top=14:1.00, 0:0.00
[2026-05-08 18:19:43]   [518/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.39 | top=11:0.70, 12:0.07
[2026-05-08 18:20:26]   [522/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.73 | top=4:0.85, 17:0.03
[2026-05-08 18:21:03]   [525/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.58 | top=0:0.84, 3:0.12
[2026-05-08 18:21:12]   [526/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.15 | top=17:0.75, 11:0.05
[2026-05-08 18:22:03]   [529/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.24 | top=0:0.72, 1:0.08
[2026-05-08 18:23:14]   [536/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.96 | top=5:0.83, 1:0.02
[2026-05-08 18:23:26]   [537/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.62 | top=8:0.82, 14:0.14
[2026-05-08 18:23:52]   [539/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.35 | top=17:0.67, 8:0.12
[2026-05-08 18:24:31]   [542/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=2.19 | top=15:0.38, 11:0.15
[2026-05-08 18:24:39]   [543/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.74 | top=4:0.85, 3:0.03
[2026-05-08 18:24:52]   [544/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.30 | top=5:0.96, 0:0.01
[2026-05-08 18:25:55]   [551/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.79 | top=11:0.55, 12:0.12
[2026-05-08 18:26:03]   [552/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.68 | top=16:0.85, 11:0.04
[2026-05-08 18:26:25]   [553/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.52 | top=8:0.85, 14:0.10
[2026-05-08 18:26:44]   [555/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.83 | top=5:0.83, 2:0.04
[2026-05-08 18:27:03]   [557/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.34 | top=3:0.72, 2:0.04
[2026-05-08 18:27:10]   [558/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.50 | top=8:0.88, 14:0.08
[2026-05-08 18:27:48]   [561/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.98 | top=6:0.40, 5:0.25
[2026-05-08 18:28:01]   [562/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.19 | top=5:0.97, 0:0.00
[2026-05-08 18:28:38]   [565/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=0.74 | top=3:0.85, 4:0.03
[2026-05-08 18:29:54]   [571/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=-0.00 | top=17:1.00, 0:0.00
