[2026-05-08 11:36:33]   [001/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:38:07]   [021/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.91 | top=2:0.70, 0:0.15
[2026-05-08 11:38:11]   [022/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:38:14]   [023/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:38:16]   [024/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:38:23]   [025/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:38:26]   [026/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:38:28]   [027/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.89 | top=0:0.68, 1:0.22
[2026-05-08 11:38:31]   [028/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:38:32]   [029/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:38:35]   [030/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:38:42]   [031/673] | true=lying(2) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 11:38:44]   [032/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:38:47]   [033/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 11:38:49]   [034/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:38:52]   [035/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:38:58]   [036/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:05]   [037/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 11:39:07]   [038/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:39:09]   [039/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:11]   [040/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:39:18]   [041/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:22]   [042/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:26]   [043/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:28]   [044/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:31]   [045/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:37]   [046/673] | true=lying(2) | pred=sit_on_bed(0) |  ✗ | ent=1.00 | top=0:0.65, 1:0.15
[2026-05-08 11:39:40]   [047/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:47]   [048/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:53]   [049/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:39:59]   [050/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:40:02]   [051/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.97 | top=2:0.68, 0:0.12
[2026-05-08 11:40:09]   [052/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:40:14]   [053/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 11:40:17]   [054/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:40:28]   [055/673] | true=lying(2) | pred=sit_on_chair(1) |  ✗ | ent=1.25 | top=1:0.40, 0:0.35
[2026-05-08 11:40:30]   [056/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:40:33]   [057/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:40:39]   [058/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:40:43]   [059/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:40:47]   [060/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:40:54]   [061/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.91 | top=2:0.70, 0:0.15
[2026-05-08 11:41:01]   [062/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 11:41:05]   [063/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:41:10]   [064/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.14 | top=0:0.55, 1:0.25
[2026-05-08 11:41:13]   [065/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:41:15]   [066/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:41:23]   [067/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:41:29]   [068/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 11:41:32]   [069/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:41:34]   [070/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:41:36]   [071/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:41:42]   [072/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:41:45]   [073/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:41:53]   [074/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.07 | top=1:0.58, 3:0.25
[2026-05-08 11:41:58]   [075/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:42:04]   [076/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:42:07]   [077/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:42:12]   [078/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:14]   [079/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:16]   [080/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:21]   [081/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:23]   [082/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:25]   [083/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:28]   [084/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:32]   [085/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:42:36]   [086/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:41]   [087/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:42:45]   [088/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.00 | top=0:0.65, 1:0.15
[2026-05-08 11:42:50]   [089/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:53]   [090/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:42:58]   [091/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:43:00]   [092/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:43:05]   [093/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:43:10]   [094/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:43:13]   [095/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:43:21]   [096/673] | true=lying(2) | pred=ambulating(3) |  ✗ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 11:43:24]   [097/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.10 | top=2:0.60, 1:0.18
[2026-05-08 11:43:27]   [098/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:43:31]   [099/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:43:34]   [100/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:43:37]   [101/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 11:43:48]   [102/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.83 | top=2:0.75, 1:0.10
[2026-05-08 11:43:51]   [103/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:43:54]   [104/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:43:56]   [105/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:43:58]   [106/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:44:02]   [107/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:44:09]   [108/673] | true=ambulating(3) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 11:44:12]   [109/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:44:15]   [110/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:44:21]   [111/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:44:30]   [112/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 11:44:33]   [113/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:44:34]   [114/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:44:38]   [115/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.03 | top=0:0.62, 1:0.22
[2026-05-08 11:44:42]   [116/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:44:48]   [117/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 11:44:52]   [118/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 11:45:02]   [119/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:45:05]   [120/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 11:45:07]   [121/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.14 | top=0:0.55, 1:0.25
[2026-05-08 11:45:12]   [122/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:45:15]   [123/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:45:20]   [124/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 11:45:24]   [125/673] | true=lying(2) | pred=sit_on_chair(1) |  ✗ | ent=1.17 | top=1:0.55, 3:0.20
[2026-05-08 11:45:28]   [126/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:45:30]   [127/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:45:34]   [128/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:45:37]   [129/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.14 | top=0:0.55, 1:0.25
[2026-05-08 11:45:44]   [130/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.17 | top=1:0.55, 3:0.20
[2026-05-08 11:45:50]   [131/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 11:45:55]   [132/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:45:59]   [133/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:46:03]   [134/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:46:10]   [135/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:46:13]   [136/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:46:18]   [137/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:46:21]   [138/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:46:25]   [139/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:46:28]   [140/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:46:32]   [141/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:46:37]   [142/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.03 | top=0:0.62, 1:0.22
[2026-05-08 11:46:44]   [143/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 11:46:49]   [144/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:46:55]   [145/673] | true=sit_on_bed(0) | pred=ambulating(3) |  ✗ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 11:46:59]   [146/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:03]   [147/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 3:0.15
[2026-05-08 11:47:07]   [148/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:11]   [149/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:16]   [150/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.90 | top=2:0.72, 1:0.12
[2026-05-08 11:47:22]   [151/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:27]   [152/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:30]   [153/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:35]   [154/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:42]   [155/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:46]   [156/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:47:54]   [157/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:47:57]   [158/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:48:00]   [159/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:48:04]   [160/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.17 | top=1:0.55, 3:0.20
[2026-05-08 11:48:12]   [161/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.83 | top=2:0.75, 1:0.10
[2026-05-08 11:48:17]   [162/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 11:48:21]   [163/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:48:28]   [164/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 11:48:30]   [165/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:48:34]   [166/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:48:36]   [167/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:48:43]   [168/673] | true=sit_on_bed(0) | pred=ambulating(3) |  ✗ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 11:48:51]   [169/673] | true=lying(2) | pred=sit_on_bed(0) |  ✗ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:48:53]   [170/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:48:59]   [171/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:49:02]   [172/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:49:05]   [173/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:49:08]   [174/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:49:11]   [175/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:49:16]   [176/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:49:19]   [177/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:49:21]   [178/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:49:29]   [179/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 11:49:37]   [180/673] | true=lying(2) | pred=sit_on_bed(0) |  ✗ | ent=1.03 | top=0:0.65, 1:0.15
[2026-05-08 11:49:42]   [181/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:49:48]   [182/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:50:00]   [183/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 11:50:06]   [184/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:50:09]   [185/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:50:13]   [186/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:50:18]   [187/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:50:26]   [188/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:50:29]   [189/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:50:33]   [190/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:50:39]   [191/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=1.11 | top=2:0.60, 1:0.15
[2026-05-08 11:50:46]   [192/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:50:48]   [193/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:50:51]   [194/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:50:56]   [195/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:50:58]   [196/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:51:04]   [197/673] | true=lying(2) | pred=sit_on_chair(1) |  ✗ | ent=1.17 | top=1:0.55, 3:0.20
[2026-05-08 11:51:07]   [198/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:51:12]   [199/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
