[2026-05-08 13:50:53]   [000/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 13:54:07]   [018/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 13:54:18]   [019/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.37 | top=0:0.55, 1:0.15
[2026-05-08 13:54:29]   [020/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.27 | top=0:0.62, 1:0.08
[2026-05-08 13:55:16]   [023/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 13:55:47]   [020/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 13:56:33]   [023/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.76, 3:0.13
[2026-05-08 13:57:05]   [025/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 13:57:16]   [026/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.34 | top=1:0.58, 0:0.12
[2026-05-08 13:57:42]   [028/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 13:58:22]   [030/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.27 | top=2:0.62, 5:0.10
[2026-05-08 13:58:30]   [031/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.03 | top=4:0.68, 3:0.18
[2026-05-08 13:58:39]   [032/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.10 | top=3:0.62, 4:0.24
[2026-05-08 13:58:48]   [033/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.97 | top=3:0.62, 4:0.30
[2026-05-08 13:58:57]   [034/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 13:59:21]   [036/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 13:59:29]   [037/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=0.94 | top=2:0.75, 0:0.08
[2026-05-08 13:59:36]   [038/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 13:59:49]   [039/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.16 | top=4:0.65, 3:0.15
[2026-05-08 13:59:58]   [040/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.19 | top=4:0.62, 3:0.18
[2026-05-08 14:00:07]   [041/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.91 | top=3:0.72, 4:0.18
[2026-05-08 14:00:51]   [044/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 14:01:03]   [045/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:01:15]   [046/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 14:01:38]   [047/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 14:01:50]   [048/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 14:01:57]   [049/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.37 | top=1:0.55, 0:0.15
[2026-05-08 14:02:22]   [051/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.98 | top=4:0.72, 3:0.14
[2026-05-08 14:02:31]   [052/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 14:02:40]   [053/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 14:02:52]   [054/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:03:02]   [055/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.91 | top=4:0.72, 3:0.18
[2026-05-08 14:03:10]   [056/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 14:03:20]   [057/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:03:30]   [058/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.97 | top=4:0.62, 3:0.30
[2026-05-08 14:03:40]   [059/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.19 | top=2:0.65, 1:0.12
[2026-05-08 14:03:49]   [060/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:03:58]   [061/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 14:04:09]   [062/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.33 | top=0:0.58, 1:0.12
[2026-05-08 14:04:16]   [063/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 14:04:27]   [064/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 14:04:39]   [065/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.70, 4:0.18
[2026-05-08 14:04:51]   [066/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.49 | top=5:0.90, 0:0.02
[2026-05-08 14:05:15]   [068/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 14:05:22]   [069/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:05:33]   [070/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.27 | top=0:0.55, 1:0.25
[2026-05-08 14:05:40]   [071/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 14:05:47]   [072/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 14:05:55]   [073/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 14:06:03]   [074/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 14:06:13]   [075/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 14:06:25]   [076/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.77 | top=4:0.80, 3:0.10
[2026-05-08 14:06:32]   [077/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:06:46]   [078/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 14:06:56]   [079/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 14:07:08]   [080/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:07:17]   [081/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 14:07:28]   [082/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.65 | top=5:0.85, 3:0.05
[2026-05-08 14:07:36]   [083/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.26 | top=2:0.62, 0:0.10
[2026-05-08 14:07:46]   [084/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 14:07:55]   [085/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 14:08:02]   [086/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:08:15]   [087/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.34 | top=1:0.58, 0:0.12
[2026-05-08 14:08:25]   [088/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 14:08:34]   [089/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 14:09:03]   [091/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 14:09:11]   [092/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:09:22]   [093/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 14:09:32]   [094/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 14:09:42]   [095/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.34 | top=1:0.58, 0:0.11
[2026-05-08 14:09:52]   [096/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 14:10:02]   [097/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.04 | top=3:0.70, 4:0.14
[2026-05-08 14:10:11]   [098/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 14:10:22]   [099/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 14:10:32]   [100/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 14:10:39]   [101/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.77 | top=4:0.80, 3:0.10
[2026-05-08 14:11:12]   [103/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 14:11:30]   [104/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.42 | top=2:0.52, 0:0.18
[2026-05-08 14:12:01]   [106/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 14:12:24]   [108/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.75 | top=3:0.80, 4:0.12
[2026-05-08 14:12:32]   [109/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.06 | top=4:0.70, 3:0.12
[2026-05-08 14:13:19]   [112/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 14:13:29]   [113/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:14:02]   [115/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 14:14:15]   [116/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 14:14:22]   [117/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 14:14:36]   [118/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=0.93 | top=2:0.75, 0:0.08
[2026-05-08 14:15:03]   [120/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.78 | top=3:0.78, 4:0.14
[2026-05-08 14:15:13]   [121/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 14:15:29]   [122/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.16 | top=2:0.65, 0:0.15
[2026-05-08 14:15:41]   [123/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 14:15:51]   [124/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.90 | top=3:0.70, 4:0.22
[2026-05-08 14:16:06]   [125/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.49 | top=5:0.90, 0:0.02
[2026-05-08 14:16:14]   [126/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 14:16:45]   [128/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.02 | top=4:0.70, 3:0.15
[2026-05-08 14:16:55]   [129/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.56 | top=5:0.88, 3:0.03
[2026-05-08 14:17:03]   [130/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.91 | top=4:0.75, 3:0.12
[2026-05-08 14:17:13]   [131/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.81 | top=3:0.78, 4:0.12
[2026-05-08 14:17:49]   [133/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.07 | top=3:0.68, 4:0.16
[2026-05-08 14:17:57]   [134/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.33 | top=0:0.58, 1:0.12
[2026-05-08 14:18:07]   [135/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 14:18:18]   [136/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.24 | top=0:0.62, 1:0.12
[2026-05-08 14:18:43]   [138/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 14:18:57]   [139/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.84 | top=3:0.78, 4:0.10
[2026-05-08 14:19:11]   [140/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.16 | top=3:0.65, 4:0.15
[2026-05-08 14:19:24]   [141/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 14:19:33]   [142/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 14:19:40]   [143/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=0.81 | top=2:0.80, 0:0.05
[2026-05-08 14:20:44]   [146/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.91 | top=4:0.72, 3:0.18
[2026-05-08 14:20:56]   [147/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.77 | top=4:0.80, 3:0.10
[2026-05-08 14:21:06]   [148/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 14:21:15]   [149/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.80 | top=4:0.78, 3:0.13
[2026-05-08 14:21:24]   [150/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 14:21:33]   [151/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 14:21:43]   [152/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.08 | top=2:0.70, 0:0.08
[2026-05-08 14:21:53]   [153/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.91 | top=3:0.72, 4:0.18
[2026-05-08 14:22:07]   [154/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.94 | top=5:0.70, 3:0.20
[2026-05-08 14:22:20]   [155/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 14:22:28]   [156/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.23 | top=3:0.60, 4:0.20
[2026-05-08 14:22:38]   [157/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 14:22:50]   [158/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 14:23:02]   [159/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 14:23:12]   [160/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 14:23:23]   [161/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 14:23:34]   [162/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 14:23:45]   [163/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.77 | top=4:0.80, 3:0.10
[2026-05-08 14:23:54]   [164/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.65 | top=5:0.85, 4:0.05
