[2026-05-08 11:52:25]   [001/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:02:00]   [056/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.16 | top=4:0.65, 3:0.15
[2026-05-08 12:02:08]   [057/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 12:02:14]   [058/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 12:02:20]   [059/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.16 | top=4:0.65, 3:0.15
[2026-05-08 12:02:27]   [060/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 12:02:34]   [061/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.77 | top=3:0.80, 4:0.10
[2026-05-08 12:02:41]   [062/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 12:02:51]   [063/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:03:01]   [064/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 12:03:08]   [065/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=0.96 | top=2:0.75, 0:0.05
[2026-05-08 12:03:14]   [066/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.86 | top=3:0.75, 4:0.15
[2026-05-08 12:03:23]   [067/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.73 | top=5:0.82, 4:0.07
[2026-05-08 12:03:37]   [068/5881] | true=SITTING(3) | pred=STANDING(4) |  ✗ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:03:46]   [069/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.32 | top=2:0.58, 5:0.15
[2026-05-08 12:03:56]   [070/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.90 | top=3:0.70, 4:0.22
[2026-05-08 12:04:02]   [071/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:04:12]   [072/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.97 | top=4:0.70, 3:0.18
[2026-05-08 12:04:19]   [073/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 12:04:31]   [074/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.35 | top=2:0.58, 0:0.12
[2026-05-08 12:04:37]   [075/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:04:44]   [076/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:04:53]   [077/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:04:59]   [078/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.64 | top=3:0.85, 4:0.07
[2026-05-08 12:05:06]   [079/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.56 | top=5:0.88, 3:0.03
[2026-05-08 12:05:13]   [080/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.74 | top=5:0.82, 3:0.06
[2026-05-08 12:05:21]   [081/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.71 | top=3:0.82, 4:0.10
[2026-05-08 12:05:29]   [082/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:05:35]   [083/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:05:45]   [084/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 12:05:52]   [085/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:06:00]   [086/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:06:07]   [087/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.04 | top=3:0.68, 4:0.18
[2026-05-08 12:06:14]   [088/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 12:06:20]   [089/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.02 | top=4:0.70, 3:0.15
[2026-05-08 12:06:26]   [090/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 12:06:42]   [091/5881] | true=WALKING_UP(1) | pred=WALKING(0) |  ✗ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 12:06:48]   [092/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:06:54]   [093/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 12:07:00]   [094/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:07:07]   [095/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.16 | top=4:0.65, 3:0.15
[2026-05-08 12:07:18]   [096/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 12:07:27]   [097/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.12
[2026-05-08 12:07:37]   [098/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.17 | top=3:0.62, 4:0.20
[2026-05-08 12:07:47]   [099/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 12:07:53]   [100/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=0.96 | top=2:0.75, 0:0.05
[2026-05-08 12:07:58]   [101/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:08:06]   [102/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 12:08:20]   [103/5881] | true=SITTING(3) | pred=STANDING(4) |  ✗ | ent=0.91 | top=4:0.72, 3:0.18
[2026-05-08 12:08:26]   [104/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:08:33]   [105/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.34 | top=2:0.58, 0:0.12
[2026-05-08 12:08:46]   [106/5881] | true=WALKING_UP(1) | pred=WALKING(0) |  ✗ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:08:53]   [107/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:09:05]   [108/5881] | true=SITTING(3) | pred=STANDING(4) |  ✗ | ent=1.10 | top=4:0.66, 3:0.18
[2026-05-08 12:09:12]   [109/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 12:09:18]   [110/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:09:30]   [111/5881] | true=WALKING_UP(1) | pred=WALKING(0) |  ✗ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:09:43]   [112/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 12:09:49]   [113/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 12:09:55]   [114/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.87 | top=3:0.72, 4:0.20
[2026-05-08 12:10:08]   [115/5881] | true=WALKING_UP(1) | pred=WALKING(0) |  ✗ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:10:15]   [116/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.37 | top=2:0.55, 0:0.15
[2026-05-08 12:10:20]   [117/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 12:10:27]   [118/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:10:40]   [119/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.35 | top=2:0.58, 0:0.12
[2026-05-08 12:10:50]   [120/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 12:10:57]   [121/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.97 | top=3:0.72, 4:0.15
[2026-05-08 12:11:04]   [122/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:11:10]   [123/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.27 | top=2:0.62, 5:0.10
[2026-05-08 12:11:16]   [124/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:11:22]   [125/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.75 | top=3:0.80, 4:0.12
[2026-05-08 12:11:27]   [126/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:11:37]   [127/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:11:49]   [128/5881] | true=SITTING(3) | pred=STANDING(4) |  ✗ | ent=0.91 | top=4:0.72, 3:0.18
[2026-05-08 12:11:56]   [129/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.04 | top=4:0.68, 3:0.18
[2026-05-08 12:12:02]   [130/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:12:08]   [131/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 12:12:16]   [132/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.04 | top=3:0.70, 4:0.14
[2026-05-08 12:12:27]   [133/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 12:12:34]   [134/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.70, 4:0.18
[2026-05-08 12:12:41]   [135/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.24 | top=0:0.62, 1:0.12
[2026-05-08 12:12:48]   [136/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 12:12:55]   [137/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.03 | top=0:0.72, 1:0.08
[2026-05-08 12:13:05]   [138/5881] | true=SITTING(3) | pred=STANDING(4) |  ✗ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 12:13:13]   [139/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.17 | top=0:0.65, 1:0.12
[2026-05-08 12:13:20]   [140/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 12:13:26]   [141/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.70, 4:0.18
[2026-05-08 12:13:32]   [142/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.49 | top=5:0.90, 0:0.02
[2026-05-08 12:13:39]   [143/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 12:13:45]   [144/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=0.96 | top=2:0.75, 0:0.05
[2026-05-08 12:14:00]   [145/5881] | true=WALKING_DOWN(2) | pred=WALKING(0) |  ✗ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:14:12]   [146/5881] | true=WALKING(0) | pred=WALKING_DOWN(2) |  ✗ | ent=1.19 | top=2:0.65, 0:0.12
[2026-05-08 12:14:21]   [147/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 12:14:32]   [148/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.87 | top=4:0.75, 3:0.15
[2026-05-08 12:14:38]   [149/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.26 | top=0:0.62, 1:0.12
[2026-05-08 12:14:46]   [150/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.81 | top=4:0.78, 3:0.12
[2026-05-08 12:14:52]   [151/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:14:59]   [152/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=1.09 | top=4:0.65, 3:0.20
[2026-05-08 12:15:07]   [153/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=0.96 | top=2:0.75, 0:0.05
[2026-05-08 12:15:14]   [154/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.86 | top=3:0.75, 4:0.15
[2026-05-08 12:15:20]   [155/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 12:15:28]   [156/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.30 | top=2:0.60, 0:0.10
[2026-05-08 12:15:36]   [157/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.16 | top=3:0.62, 4:0.18
[2026-05-08 12:15:43]   [158/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 12:15:50]   [159/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:15:59]   [160/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.78 | top=3:0.78, 4:0.14
[2026-05-08 12:16:06]   [161/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:16:15]   [162/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:16:24]   [163/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 12:16:34]   [164/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.73 | top=4:0.82, 3:0.08
[2026-05-08 12:16:41]   [165/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:16:56]   [166/5881] | true=SITTING(3) | pred=LAYING(5) |  ✗ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:17:02]   [167/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.08 | top=2:0.70, 0:0.10
[2026-05-08 12:17:17]   [168/5881] | true=LAYING(5) | pred=WALKING_DOWN(2) |  ✗ | ent=1.13 | top=2:0.65, 0:0.15
[2026-05-08 12:17:24]   [169/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.65 | top=5:0.85, 3:0.05
[2026-05-08 12:17:31]   [170/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 12:17:39]   [171/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 12:17:47]   [172/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 12:17:54]   [173/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 12:18:08]   [174/5881] | true=WALKING(0) | pred=WALKING_DOWN(2) |  ✗ | ent=0.96 | top=2:0.75, 0:0.05
[2026-05-08 12:18:19]   [175/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.34 | top=2:0.45, 1:0.30
[2026-05-08 12:18:29]   [176/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 12:18:37]   [177/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:18:46]   [178/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.25 | top=1:0.62, 0:0.12
[2026-05-08 12:18:55]   [179/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.33 | top=1:0.45, 0:0.35
[2026-05-08 12:19:01]   [180/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:19:06]   [181/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.72, 4:0.14
[2026-05-08 12:19:18]   [182/5881] | true=WALKING_DOWN(2) | pred=WALKING(0) |  ✗ | ent=1.07 | top=0:0.70, 1:0.10
[2026-05-08 12:19:23]   [183/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 12:19:28]   [184/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:19:35]   [185/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:19:45]   [186/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 12:19:51]   [187/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.65 | top=5:0.85, 3:0.05
