[2026-05-08 13:50:50]   [001/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:51:58]   [016/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:52:02]   [017/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:52:11]   [018/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 13:52:17]   [019/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:52:22]   [020/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.16 | top=1:0.65, 0:0.15
[2026-05-08 13:52:28]   [021/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:52:32]   [022/12738] | true=jogging(1) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:52:39]   [023/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:52:48]   [024/12738] | true=walking(5) | pred=downstairs(0) |  ✗ | ent=1.35 | top=0:0.55, 4:0.15
[2026-05-08 13:52:53]   [025/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 13:52:59]   [026/12738] | true=upstairs(4) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:53:01]   [027/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:53:08]   [028/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:53:11]   [029/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.16 | top=1:0.65, 0:0.15
[2026-05-08 13:53:14]   [030/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:53:16]   [031/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.27 | top=1:0.60, 0:0.15
[2026-05-08 13:53:19]   [032/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:53:28]   [033/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 13:53:33]   [034/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:53:42]   [035/12738] | true=upstairs(4) | pred=walking(5) |  ✗ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 13:53:46]   [036/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:53:49]   [037/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:53:56]   [038/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 13:54:03]   [039/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:54:07]   [040/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:54:17]   [041/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:54:20]   [042/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.93 | top=3:0.76, 0:0.05
[2026-05-08 13:54:23]   [043/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:54:27]   [044/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 13:54:33]   [045/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-08 13:54:39]   [046/12738] | true=walking(5) | pred=downstairs(0) |  ✗ | ent=1.16 | top=0:0.65, 5:0.15
[2026-05-08 13:54:42]   [047/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 13:54:50]   [048/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 13:54:55]   [049/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:55:01]   [050/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:55:10]   [051/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.35 | top=0:0.55, 4:0.15
[2026-05-08 13:55:14]   [052/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 13:55:45]   [001/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:55:48]   [002/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:55:55]   [003/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 13:55:59]   [004/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 13:56:05]   [005/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 13:56:12]   [006/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 13:56:15]   [007/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.13 | top=1:0.67, 0:0.14
[2026-05-08 13:56:20]   [008/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:56:24]   [009/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.54 | top=5:0.35, 4:0.30
[2026-05-08 13:56:32]   [010/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 13:56:36]   [011/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:56:39]   [012/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-08 13:56:43]   [013/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 13:56:45]   [014/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:56:48]   [015/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:56:54]   [016/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 13:57:01]   [017/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:57:05]   [018/12738] | true=sitting(2) | pred=standing(3) |  ✗ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:57:12]   [019/12738] | true=downstairs(0) | pred=jogging(1) |  ✗ | ent=1.27 | top=1:0.60, 0:0.15
[2026-05-08 13:57:18]   [020/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:57:23]   [021/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.13 | top=3:0.67, 0:0.14
[2026-05-08 13:57:26]   [022/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:57:30]   [023/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:57:37]   [024/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:57:40]   [025/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:57:44]   [026/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:57:49]   [027/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:57:59]   [028/12738] | true=walking(5) | pred=downstairs(0) |  ✗ | ent=1.33 | top=0:0.55, 5:0.20
[2026-05-08 13:58:02]   [029/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:58:07]   [030/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.04 | top=1:0.71, 0:0.10
[2026-05-08 13:58:10]   [031/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:58:15]   [032/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:58:23]   [033/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:58:29]   [034/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 13:58:37]   [035/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:58:43]   [036/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 13:58:49]   [037/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.37 | top=5:0.50, 0:0.25
[2026-05-08 13:58:53]   [038/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 13:58:59]   [039/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:59:03]   [040/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:59:07]   [041/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:59:19]   [042/12738] | true=standing(3) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:59:24]   [043/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:59:28]   [044/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:59:32]   [045/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:59:35]   [046/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:59:38]   [047/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:59:42]   [048/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:59:48]   [049/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:59:55]   [050/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.33 | top=0:0.55, 5:0.20
[2026-05-08 14:00:01]   [051/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:00:03]   [052/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:00:08]   [053/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:00:21]   [054/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:00:28]   [055/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:00:34]   [056/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:00:42]   [057/12738] | true=upstairs(4) | pred=walking(5) |  ✗ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:00:45]   [058/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:00:48]   [059/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:01:01]   [060/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:01:08]   [061/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:01:13]   [062/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:01:18]   [063/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:01:22]   [064/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:01:31]   [065/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:01:36]   [066/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:01:44]   [067/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:01:47]   [068/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.37 | top=1:0.55, 5:0.15
[2026-05-08 14:01:53]   [069/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:02:00]   [070/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:02:03]   [071/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:02:13]   [072/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:02:17]   [073/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:02:21]   [074/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:02:27]   [075/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:02:33]   [076/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:02:41]   [077/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:02:47]   [078/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.19 | top=5:0.65, 0:0.10
[2026-05-08 14:02:52]   [079/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:02:56]   [080/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:03:06]   [081/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:03:15]   [082/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=1.08 | top=4:0.70, 0:0.10
[2026-05-08 14:03:26]   [083/12738] | true=standing(3) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:03:35]   [084/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:03:44]   [085/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:03:47]   [086/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-08 14:03:51]   [087/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:03:57]   [088/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:04:02]   [089/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:04:08]   [090/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:04:11]   [091/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.19 | top=1:0.65, 0:0.10
[2026-05-08 14:04:16]   [092/12738] | true=sitting(2) | pred=standing(3) |  ✗ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:04:19]   [093/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:04:24]   [094/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:04:32]   [095/12738] | true=jogging(1) | pred=walking(5) |  ✗ | ent=1.37 | top=5:0.55, 0:0.15
[2026-05-08 14:04:46]   [096/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:04:55]   [097/12738] | true=upstairs(4) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:05:03]   [098/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:05:09]   [099/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:05:12]   [100/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:05:19]   [101/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 14:05:26]   [102/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:05:31]   [103/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.45 | top=5:0.50, 0:0.15
[2026-05-08 14:05:40]   [104/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 14:05:42]   [105/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:05:54]   [106/12738] | true=upstairs(4) | pred=downstairs(0) |  ✗ | ent=1.33 | top=0:0.55, 5:0.20
[2026-05-08 14:05:58]   [107/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:06:03]   [108/12738] | true=walking(5) | pred=downstairs(0) |  ✗ | ent=1.35 | top=0:0.55, 4:0.15
[2026-05-08 14:06:05]   [109/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:06:10]   [110/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.16 | top=1:0.65, 0:0.15
[2026-05-08 14:06:14]   [111/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:06:28]   [112/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:06:32]   [113/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:06:35]   [114/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:06:45]   [115/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:06:50]   [116/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 14:06:54]   [117/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:06:57]   [118/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:07:07]   [119/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:07:13]   [120/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:07:18]   [121/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:07:25]   [122/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:07:28]   [123/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:07:34]   [124/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:07:42]   [125/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:07:45]   [126/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:07:50]   [127/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:07:54]   [128/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:08:01]   [129/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:08:05]   [130/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.08 | top=4:0.70, 0:0.10
[2026-05-08 14:08:10]   [131/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:08:19]   [132/12738] | true=standing(3) | pred=sitting(2) |  ✗ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:08:30]   [133/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:08:38]   [134/12738] | true=sitting(2) | pred=walking(5) |  ✗ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:08:46]   [135/12738] | true=standing(3) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:08:48]   [136/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:08:51]   [137/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:09:02]   [138/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:09:08]   [139/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:09:11]   [140/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:09:21]   [141/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:09:27]   [142/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:09:39]   [143/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:09:42]   [144/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 14:09:47]   [145/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:09:49]   [146/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:09:56]   [147/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:10:00]   [148/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.09 | top=1:0.68, 0:0.14
