[2026-05-09 15:35:39]   [001/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.90 | top=2:0.75, 3:0.10
[2026-05-09 15:44:30]   [083/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.53 | top=5:0.40, 4:0.25
[2026-05-09 15:44:34]   [084/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.16 | top=1:0.65, 0:0.15
[2026-05-09 15:44:37]   [085/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:44:40]   [086/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.43 | top=5:0.50, 4:0.20
[2026-05-09 15:44:46]   [087/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.19 | top=0:0.65, 4:0.10
[2026-05-09 15:44:52]   [088/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-09 15:44:59]   [089/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.76, 0:0.05
[2026-05-09 15:45:01]   [090/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:45:05]   [091/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:45:13]   [092/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.93 | top=3:0.76, 0:0.05
[2026-05-09 15:45:16]   [093/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.93 | top=3:0.76, 0:0.05
[2026-05-09 15:45:18]   [094/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-09 15:45:21]   [095/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-09 15:45:32]   [097/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-09 15:45:44]   [098/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:45:56]   [099/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.08 | top=3:0.70, 0:0.10
[2026-05-09 15:46:15]   [101/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.81 | top=2:0.80, 0:0.05
[2026-05-09 15:46:20]   [102/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:46:27]   [103/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.13 | top=2:0.67, 3:0.14
[2026-05-09 15:46:44]   [104/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.16 | top=0:0.65, 4:0.15
[2026-05-09 15:46:46]   [105/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:46:48]   [106/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:47:09]   [108/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.02 | top=2:0.70, 3:0.15
[2026-05-09 15:47:15]   [109/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.12 | top=2:0.68, 0:0.09
[2026-05-09 15:47:20]   [110/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.27 | top=2:0.55, 3:0.25
[2026-05-09 15:47:25]   [111/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:47:40]   [113/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-09 15:47:59]   [114/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:48:05]   [115/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-09 15:48:09]   [116/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:48:27]   [118/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.93 | top=1:0.75, 0:0.10
[2026-05-09 15:48:30]   [119/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-09 15:48:33]   [120/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-09 15:48:56]   [123/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:49:06]   [124/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-09 15:49:10]   [125/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:49:24]   [126/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:49:43]   [129/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-09 15:49:46]   [130/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.58 | top=3:0.40, 2:0.20
[2026-05-09 15:49:50]   [131/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:50:04]   [133/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.93 | top=3:0.76, 0:0.05
[2026-05-09 15:50:28]   [136/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.02 | top=2:0.70, 3:0.15
[2026-05-09 15:50:31]   [137/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:50:36]   [138/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.37 | top=3:0.55, 2:0.15
[2026-05-09 15:50:45]   [139/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.33 | top=4:0.45, 0:0.35
[2026-05-09 15:50:50]   [140/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.42 | top=1:0.40, 0:0.35
[2026-05-09 15:50:57]   [141/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.08 | top=1:0.70, 5:0.10
[2026-05-09 15:51:01]   [142/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:51:09]   [143/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:51:12]   [144/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-09 15:51:17]   [145/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.27 | top=1:0.60, 0:0.15
[2026-05-09 15:51:22]   [146/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.81 | top=2:0.80, 0:0.05
[2026-05-09 15:51:36]   [148/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.44 | top=2:0.45, 3:0.25
[2026-05-09 15:51:41]   [149/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-09 15:51:54]   [150/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.37 | top=3:0.55, 2:0.15
[2026-05-09 15:52:04]   [151/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:52:20]   [154/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-09 15:52:42]   [156/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.52 | top=4:0.30, 5:0.30
[2026-05-09 15:52:44]   [157/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-09 15:52:58]   [158/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.44 | top=5:0.45, 0:0.25
[2026-05-09 15:53:02]   [159/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:53:07]   [160/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:53:12]   [161/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.93 | top=3:0.76, 0:0.05
[2026-05-09 15:53:26]   [163/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-09 15:53:33]   [164/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:53:55]   [166/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.44 | top=5:0.45, 4:0.25
[2026-05-09 15:54:03]   [167/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-09 15:54:08]   [168/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:54:11]   [169/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.09 | top=2:0.65, 3:0.15
[2026-05-09 15:54:19]   [170/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:54:28]   [171/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.21 | top=2:0.60, 0:0.15
[2026-05-09 15:54:30]   [172/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.47 | top=1:0.45, 0:0.25
[2026-05-09 15:54:35]   [173/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.13 | top=2:0.65, 3:0.15
[2026-05-09 15:54:45]   [174/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.40 | top=5:0.45, 0:0.30
[2026-05-09 15:55:11]   [176/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.16 | top=3:0.65, 0:0.15
[2026-05-09 15:55:19]   [177/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-09 15:55:32]   [178/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:55:39]   [179/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.93 | top=3:0.76, 0:0.05
[2026-05-09 15:55:44]   [180/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.08 | top=4:0.70, 0:0.10
[2026-05-09 15:55:48]   [181/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-09 15:55:51]   [182/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:55:56]   [183/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.33 | top=5:0.45, 0:0.35
[2026-05-09 15:56:05]   [185/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.19 | top=3:0.65, 2:0.10
[2026-05-09 15:56:10]   [186/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.16 | top=1:0.65, 0:0.15
[2026-05-09 15:56:13]   [187/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.63 | top=4:0.40, 0:0.15
[2026-05-09 15:56:42]   [190/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-09 15:57:06]   [193/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.19 | top=5:0.65, 0:0.10
[2026-05-09 15:57:20]   [195/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:57:25]   [196/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.33 | top=1:0.45, 0:0.35
[2026-05-09 15:57:32]   [198/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.37 | top=1:0.55, 0:0.15
[2026-05-09 15:57:39]   [199/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-09 15:57:45]   [200/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:57:48]   [201/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:57:52]   [202/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.98 | top=2:0.74, 3:0.07
[2026-05-09 15:58:05]   [204/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:58:11]   [205/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.45 | top=5:0.50, 0:0.15
[2026-05-09 15:58:13]   [206/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.57 | top=2:0.35, 0:0.25
[2026-05-09 15:58:16]   [207/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.19 | top=1:0.65, 0:0.10
[2026-05-09 15:58:19]   [208/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:58:21]   [209/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.12 | top=3:0.68, 0:0.12
[2026-05-09 15:58:53]   [213/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:58:58]   [214/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:59:04]   [215/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.40 | top=5:0.45, 0:0.30
[2026-05-09 15:59:09]   [216/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:59:13]   [217/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.37 | top=0:0.55, 4:0.15
[2026-05-09 15:59:23]   [219/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:59:34]   [221/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.37 | top=4:0.55, 0:0.15
[2026-05-09 15:59:37]   [222/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.44 | top=0:0.45, 5:0.25
[2026-05-09 15:59:40]   [223/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.44 | top=1:0.45, 4:0.25
[2026-05-09 15:59:45]   [224/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.37 | top=4:0.50, 0:0.25
[2026-05-09 16:00:11]   [227/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-09 16:00:14]   [228/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-09 16:00:33]   [229/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.37 | top=2:0.52, 3:0.19
[2026-05-09 16:00:36]   [230/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.19 | top=2:0.62, 3:0.19
[2026-05-09 16:00:45]   [231/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 16:01:09]   [234/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.41 | top=5:0.40, 0:0.35
[2026-05-09 16:01:13]   [235/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.08 | top=3:0.70, 5:0.10
[2026-05-09 16:01:17]   [236/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.19 | top=4:0.65, 0:0.10
[2026-05-09 16:01:21]   [237/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 16:01:30]   [238/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 16:01:54]   [240/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 16:01:58]   [241/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.44 | top=5:0.45, 4:0.25
[2026-05-09 16:02:02]   [242/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 16:02:08]   [243/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 16:02:25]   [245/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.16 | top=2:0.60, 0:0.23
[2026-05-09 16:02:29]   [246/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 16:02:33]   [247/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-09 16:02:54]   [249/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.44 | top=4:0.45, 5:0.25
[2026-05-09 16:02:58]   [250/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.58 | top=5:0.33, 4:0.32
[2026-05-09 16:03:03]   [251/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.46 | top=5:0.40, 4:0.30
[2026-05-09 16:03:20]   [253/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 16:03:43]   [256/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.37 | top=0:0.50, 4:0.25
