[2026-05-08 11:37:52]   [003/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.06 | top=0:0.72, 4:0.12
[2026-05-08 11:46:21]   [039/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.32 | top=2:0.62, 3:0.12
[2026-05-08 11:46:29]   [040/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 7:0.03
[2026-05-08 11:46:38]   [041/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 11:47:25]   [044/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.43 | top=1:0.92, 0:0.02
[2026-05-08 11:47:33]   [045/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 7:0.03
[2026-05-08 11:47:43]   [046/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.43 | top=1:0.92, 0:0.02
[2026-05-08 11:47:53]   [047/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 11:48:22]   [049/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.81 | top=6:0.82, 5:0.04
[2026-05-08 11:48:48]   [050/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=1.04 | top=7:0.71, 6:0.15
[2026-05-08 11:49:25]   [052/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=1.52 | top=7:0.40, 6:0.32
[2026-05-08 11:50:15]   [055/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.58 | top=5:0.88, 6:0.04
[2026-05-08 11:50:23]   [056/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 11:51:09]   [059/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=1.00 | top=7:0.69, 6:0.18
[2026-05-08 11:51:19]   [060/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.39 | top=1:0.93, 0:0.01
[2026-05-08 11:51:45]   [062/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.43 | top=1:0.92, 0:0.02
[2026-05-08 11:51:53]   [063/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.18 | top=0:0.66, 4:0.15
[2026-05-08 11:52:03]   [064/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.51 | top=6:0.90, 7:0.03
[2026-05-08 11:52:25]   [065/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.49 | top=2:0.52, 3:0.18
[2026-05-08 11:52:54]   [067/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.48 | top=0:0.52, 4:0.20
[2026-05-08 11:53:23]   [069/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.67 | top=5:0.85, 6:0.05
[2026-05-08 11:53:31]   [070/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.43 | top=1:0.92, 0:0.02
[2026-05-08 11:53:42]   [071/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=0.88 | top=7:0.75, 6:0.15
[2026-05-08 11:53:53]   [072/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.67 | top=5:0.85, 6:0.05
[2026-05-08 11:54:47]   [075/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.67 | top=5:0.85, 6:0.05
[2026-05-08 11:54:55]   [076/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.90 | top=5:0.78, 6:0.08
[2026-05-08 11:55:04]   [077/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.30 | top=0:0.62, 4:0.12
[2026-05-08 11:55:32]   [079/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.06 | top=0:0.72, 4:0.10
[2026-05-08 11:55:46]   [080/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.57 | top=6:0.88, 7:0.05
[2026-05-08 11:55:56]   [081/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.99 | top=5:0.70, 7:0.15
[2026-05-08 11:56:05]   [082/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.57 | top=6:0.88, 7:0.05
[2026-05-08 11:58:28]   [090/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=0.80 | top=7:0.79, 6:0.12
[2026-05-08 11:58:39]   [091/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.90 | top=5:0.78, 6:0.08
[2026-05-08 11:58:49]   [092/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=1.08 | top=5:0.70, 7:0.11
[2026-05-08 11:58:58]   [093/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 11:59:09]   [094/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.51 | top=6:0.90, 7:0.03
[2026-05-08 11:59:16]   [095/18893] | true=stairs_down(4) | pred=stairs_down(4) |  ✓ | ent=1.65 | top=4:0.45, 3:0.18
[2026-05-08 12:00:06]   [098/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=0.79 | top=7:0.80, 6:0.10
[2026-05-08 12:00:15]   [099/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 12:00:24]   [100/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 12:00:31]   [101/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 7:0.04
[2026-05-08 12:00:41]   [102/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.59 | top=1:0.88, 0:0.03
[2026-05-08 12:01:30]   [105/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.51 | top=6:0.90, 5:0.03
[2026-05-08 12:02:40]   [109/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 7:0.03
[2026-05-08 12:02:52]   [110/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.43 | top=6:0.92, 5:0.02
[2026-05-08 12:03:18]   [112/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.32 | top=0:0.62, 4:0.12
[2026-05-08 12:03:25]   [113/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.59 | top=1:0.88, 0:0.03
[2026-05-08 12:03:32]   [114/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 7:0.03
[2026-05-08 12:03:41]   [115/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 12:03:50]   [116/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 7:0.03
[2026-05-08 12:03:58]   [117/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.49 | top=2:0.52, 3:0.18
[2026-05-08 12:04:25]   [119/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.58 | top=5:0.88, 6:0.04
[2026-05-08 12:04:35]   [120/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.57 | top=6:0.88, 7:0.05
[2026-05-08 12:04:45]   [121/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.90 | top=5:0.78, 6:0.08
[2026-05-08 12:04:57]   [122/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.28 | top=0:0.62, 4:0.15
[2026-05-08 12:06:36]   [127/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.90 | top=5:0.78, 6:0.08
[2026-05-08 12:07:46]   [131/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 12:07:53]   [132/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.81 | top=1:0.82, 4:0.04
[2026-05-08 12:08:42]   [135/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.49 | top=2:0.52, 3:0.18
[2026-05-08 12:08:50]   [136/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.07 | top=2:0.72, 3:0.08
[2026-05-08 12:08:59]   [137/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=1.28 | top=7:0.48, 6:0.35
[2026-05-08 12:09:08]   [138/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.09 | top=2:0.72, 3:0.08
[2026-05-08 12:09:35]   [140/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.90 | top=5:0.78, 6:0.08
[2026-05-08 12:09:45]   [141/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.51 | top=6:0.90, 7:0.03
[2026-05-08 12:09:55]   [142/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=0.88 | top=7:0.75, 6:0.15
[2026-05-08 12:10:02]   [143/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=0.69 | top=7:0.84, 6:0.07
[2026-05-08 12:10:26]   [145/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.43 | top=1:0.92, 0:0.02
[2026-05-08 12:10:51]   [147/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=0.80 | top=7:0.79, 6:0.12
[2026-05-08 12:10:58]   [148/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.69 | top=1:0.85, 0:0.05
[2026-05-08 12:11:24]   [150/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.91 | top=5:0.78, 7:0.07
[2026-05-08 12:11:32]   [151/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=1.22 | top=7:0.58, 6:0.25
[2026-05-08 12:11:56]   [153/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.51 | top=6:0.90, 7:0.03
[2026-05-08 12:12:06]   [154/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=1.05 | top=7:0.65, 6:0.22
[2026-05-08 12:12:15]   [155/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.28 | top=0:0.62, 4:0.12
[2026-05-08 12:12:41]   [157/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.35 | top=0:0.52, 4:0.28
[2026-05-08 12:12:58]   [158/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.24 | top=2:0.62, 3:0.18
[2026-05-08 12:13:07]   [159/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 12:13:43]   [161/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.18 | top=2:0.68, 3:0.10
[2026-05-08 12:14:15]   [163/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 7:0.04
[2026-05-08 12:14:23]   [164/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=0.90 | top=7:0.75, 6:0.12
[2026-05-08 12:15:19]   [168/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.59 | top=1:0.88, 0:0.03
[2026-05-08 12:16:00]   [170/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.32 | top=0:0.62, 4:0.14
[2026-05-08 12:16:08]   [171/18893] | true=run(1) | pred=run(1) |  ✓ | ent=1.31 | top=1:0.58, 0:0.22
[2026-05-08 12:16:46]   [174/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 0:0.02
[2026-05-08 12:16:55]   [175/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.67 | top=6:0.85, 7:0.06
[2026-05-08 12:17:20]   [177/18893] | true=run(1) | pred=run(1) |  ✓ | ent=1.06 | top=1:0.70, 0:0.15
[2026-05-08 12:17:27]   [178/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.67 | top=6:0.85, 7:0.06
[2026-05-08 12:17:54]   [180/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=1.22 | top=7:0.51, 6:0.35
[2026-05-08 12:18:00]   [181/18893] | true=stairs_up(3) | pred=stairs_up(3) |  ✓ | ent=1.40 | top=3:0.52, 4:0.25
[2026-05-08 12:18:10]   [182/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.24 | top=0:0.62, 4:0.20
[2026-05-08 12:18:34]   [184/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.33 | top=2:0.62, 3:0.12
[2026-05-08 12:19:03]   [186/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.20 | top=0:0.63, 4:0.18
[2026-05-08 12:19:11]   [187/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.87 | top=1:0.80, 0:0.05
[2026-05-08 12:19:32]   [189/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.59 | top=1:0.88, 0:0.03
[2026-05-08 12:20:20]   [192/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=0.80 | top=7:0.79, 6:0.12
[2026-05-08 12:20:28]   [193/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
