[2026-05-08 11:37:38]   [000/41505] | true=Pick(7) | pred=Walk-backwards(12) |  ✗ | ent=0.92 | top=15:0.78, 11:0.05
[2026-05-08 11:42:18]   [016/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.68 | top=11:0.85, 12:0.06
[2026-05-08 11:43:09]   [017/41505] | true=Walk(11) | pred=Walk-backwards(12) |  ✗ | ent=1.04 | top=12:0.67, 11:0.16
[2026-05-08 11:43:47]   [018/41505] | true=Lay-stand(6) | pred=Stair-up(15) |  ✗ | ent=1.81 | top=15:0.55, 11:0.10
[2026-05-08 11:44:17]   [019/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.48 | top=1:0.90, 0:0.05
[2026-05-08 11:44:31]   [020/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.68 | top=1:0.78, 0:0.16
[2026-05-08 11:44:38]   [021/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.66 | top=0:0.88, 1:0.03
[2026-05-08 11:45:07]   [022/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.79 | top=11:0.55, 9:0.08
[2026-05-08 11:45:34]   [023/41505] | true=Sit(1) | pred=Stand(0) |  ✗ | ent=0.58 | top=0:0.90, 1:0.01
[2026-05-08 11:45:41]   [024/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.76 | top=8:0.85, 14:0.04
[2026-05-08 11:45:48]   [025/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.44 | top=9:0.92, 11:0.02
[2026-05-08 11:45:58]   [026/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=-0.00 | top=5:1.00, 0:0.00
[2026-05-08 11:46:33]   [027/41505] | true=Sit-up(10) | pred=Push-up(9) |  ✗ | ent=0.74 | top=9:0.85, 10:0.03
[2026-05-08 11:46:42]   [028/41505] | true=Walk-circle(13) | pred=Walk-circle(13) |  ✓ | ent=1.47 | top=13:0.55, 11:0.15
[2026-05-08 11:46:54]   [029/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.43 | top=14:0.92, 8:0.04
[2026-05-08 11:47:01]   [030/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.22 | top=8:0.95, 14:0.04
[2026-05-08 11:47:39]   [031/41505] | true=Sit-up(10) | pred=Stair-up(15) |  ✗ | ent=1.90 | top=15:0.46, 11:0.10
[2026-05-08 11:48:10]   [032/41505] | true=Sit(1) | pred=Stand(0) |  ✗ | ent=0.41 | top=0:0.92, 1:0.03
[2026-05-08 11:48:44]   [033/41505] | true=Walk(11) | pred=Sit-up(10) |  ✗ | ent=2.25 | top=15:0.25, 13:0.20
[2026-05-08 11:49:14]   [034/41505] | true=Push-up(9) | pred=Stand-sit(4) |  ✗ | ent=0.73 | top=4:0.85, 6:0.05
[2026-05-08 11:49:22]   [035/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.61 | top=14:0.80, 8:0.15
[2026-05-08 11:50:04]   [036/41505] | true=Walk(11) | pred=Sit-up(10) |  ✗ | ent=0.58 | top=10:0.82, 6:0.16
[2026-05-08 11:50:39]   [037/41505] | true=Talk-stand(3) | pred=Sit-up(10) |  ✗ | ent=1.08 | top=6:0.79, 5:0.05
[2026-05-08 11:50:49]   [038/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.88 | top=3:0.55, 2:0.08
[2026-05-08 11:51:14]   [039/41505] | true=Push-up(9) | pred=Lay-stand(6) |  ✗ | ent=1.78 | top=10:0.54, 6:0.12
[2026-05-08 11:51:44]   [040/41505] | true=Sit(1) | pred=Stand(0) |  ✗ | ent=0.59 | top=0:0.90, 1:0.01
[2026-05-08 11:52:15]   [041/41505] | true=Pick(7) | pred=Stair-up(15) |  ✗ | ent=0.81 | top=15:0.83, 11:0.05
[2026-05-08 11:52:55]   [042/41505] | true=Sit-up(10) | pred=Talk-sit(2) |  ✗ | ent=1.84 | top=6:0.55, 10:0.08
[2026-05-08 11:53:05]   [043/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.66 | top=0:0.88, 1:0.03
[2026-05-08 11:53:42]   [044/41505] | true=Stair-up(15) | pred=Walk-backwards(12) |  ✗ | ent=1.24 | top=15:0.65, 13:0.10
[2026-05-08 11:53:53]   [045/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.15 | top=3:0.78, 2:0.03
[2026-05-08 11:54:08]   [046/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.92 | top=1:0.81, 0:0.05
[2026-05-08 11:54:34]   [047/41505] | true=Talk-sit(2) | pred=Stand(0) |  ✗ | ent=0.66 | top=0:0.84, 1:0.10
[2026-05-08 11:54:42]   [048/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 11:54:54]   [049/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.52 | top=5:0.92, 0:0.00
[2026-05-08 11:55:32]   [050/41505] | true=Walk(11) | pred=Stair-up(15) |  ✗ | ent=1.56 | top=9:0.65, 12:0.05
[2026-05-08 11:55:52]   [051/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.86 | top=7:0.55, 3:0.08
[2026-05-08 11:56:23]   [052/41505] | true=Stand-sit(4) | pred=Lay-stand(6) |  ✗ | ent=1.20 | top=6:0.76, 5:0.05
[2026-05-08 11:56:40]   [053/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=2.06 | top=7:0.45, 9:0.10
[2026-05-08 11:56:53]   [054/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.42 | top=15:0.65, 12:0.08
[2026-05-08 11:57:02]   [055/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.11 | top=14:0.98, 8:0.01
[2026-05-08 11:57:30]   [056/41505] | true=Stair-up(15) | pred=Push-up(9) |  ✗ | ent=0.43 | top=9:0.92, 7:0.02
[2026-05-08 11:57:59]   [057/41505] | true=Talk-stand(3) | pred=Sit-up(10) |  ✗ | ent=1.37 | top=6:0.71, 4:0.05
[2026-05-08 11:58:28]   [058/41505] | true=Lay-stand(6) | pred=Talk-stand(3) |  ✗ | ent=1.45 | top=3:0.69, 0:0.05
[2026-05-08 11:59:00]   [059/41505] | true=Stand-sit(4) | pred=Talk-stand(3) |  ✗ | ent=1.82 | top=3:0.54, 4:0.10
[2026-05-08 11:59:27]   [060/41505] | true=Sit(1) | pred=Stand(0) |  ✗ | ent=0.58 | top=0:0.90, 1:0.01
[2026-05-08 11:59:57]   [061/41505] | true=Talk-stand(3) | pred=Lay-stand(6) |  ✗ | ent=1.26 | top=6:0.74, 10:0.05
[2026-05-08 12:00:24]   [062/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.13 | top=14:0.98, 0:0.00
[2026-05-08 12:01:06]   [063/41505] | true=Pick(7) | pred=Stand-sit(4) |  ✗ | ent=1.32 | top=4:0.70, 6:0.08
[2026-05-08 12:01:47]   [064/41505] | true=Pick(7) | pred=Lay-stand(6) |  ✗ | ent=1.38 | top=6:0.70, 4:0.05
[2026-05-08 12:02:22]   [065/41505] | true=Walk(11) | pred=Table-tennis(17) |  ✗ | ent=0.86 | top=17:0.80, 16:0.07
[2026-05-08 12:02:37]   [066/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.65 | top=6:0.85, 5:0.05
[2026-05-08 12:03:08]   [067/41505] | true=Jump(8) | pred=Run(14) |  ✗ | ent=0.81 | top=14:0.82, 11:0.05
[2026-05-08 12:03:43]   [068/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.22 | top=4:0.72, 10:0.08
[2026-05-08 12:04:15]   [069/41505] | true=Walk(11) | pred=Walk-backwards(12) |  ✗ | ent=1.78 | top=12:0.45, 13:0.20
[2026-05-08 12:04:44]   [070/41505] | true=Stair-down(16) | pred=Walk(11) |  ✗ | ent=0.42 | top=9:0.85, 17:0.15
[2026-05-08 12:04:50]   [071/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.22 | top=8:0.95, 14:0.04
[2026-05-08 12:05:37]   [072/41505] | true=Talk-stand(3) | pred=Jump(8) |  ✗ | ent=1.16 | top=17:0.70, 16:0.12
[2026-05-08 12:05:43]   [073/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.01 | top=9:0.81, 7:0.02
[2026-05-08 12:06:07]   [074/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.62 | top=6:0.51, 10:0.23
[2026-05-08 12:06:38]   [075/41505] | true=Push-up(9) | pred=Talk-stand(3) |  ✗ | ent=1.02 | top=3:0.81, 0:0.02
[2026-05-08 12:06:45]   [076/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.20 | top=9:0.97, 15:0.01
[2026-05-08 12:07:15]   [077/41505] | true=Talk-stand(3) | pred=Sit-up(10) |  ✗ | ent=1.33 | top=3:0.70, 7:0.08
[2026-05-08 12:07:45]   [078/41505] | true=Sit(1) | pred=Lay(5) |  ✗ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 12:08:09]   [079/41505] | true=Talk-stand(3) | pred=Lay-stand(6) |  ✗ | ent=1.01 | top=6:0.80, 5:0.05
[2026-05-08 12:08:34]   [080/41505] | true=Stair-down(16) | pred=Walk(11) |  ✗ | ent=1.20 | top=11:0.65, 16:0.10
[2026-05-08 12:09:00]   [081/41505] | true=Lay(5) | pred=Stand(0) |  ✗ | ent=0.40 | top=0:0.92, 17:0.03
[2026-05-08 12:09:16]   [082/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.35 | top=2:0.69, 1:0.10
[2026-05-08 12:09:47]   [083/41505] | true=Jump(8) | pred=Run(14) |  ✗ | ent=0.09 | top=14:0.98, 8:0.01
[2026-05-08 12:10:03]   [084/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.17 | top=10:0.75, 7:0.05
[2026-05-08 12:10:30]   [085/41505] | true=Pick(7) | pred=Stand-sit(4) |  ✗ | ent=1.20 | top=4:0.72, 6:0.10
[2026-05-08 12:10:37]   [086/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.59 | top=3:0.64, 0:0.05
[2026-05-08 12:14:13]   [085/41505] | true=Pick(7) | pred=Sit-up(10) |  ✗ | ent=1.46 | top=10:0.69, 4:0.05
[2026-05-08 12:14:20]   [086/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.59 | top=3:0.65, 0:0.05
[2026-05-08 12:14:33]   [087/41505] | true=Stair-up(15) | pred=Walk(11) |  ✗ | ent=1.28 | top=11:0.74, 12:0.03
[2026-05-08 12:14:47]   [088/41505] | true=Pick(7) | pred=Sit-up(10) |  ✗ | ent=1.79 | top=10:0.55, 7:0.10
[2026-05-08 12:15:00]   [089/41505] | true=Stand-sit(4) | pred=Lay-stand(6) |  ✗ | ent=0.90 | top=4:0.83, 1:0.02
[2026-05-08 12:15:07]   [090/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-08 12:15:28]   [091/41505] | true=Jump(8) | pred=Run(14) |  ✗ | ent=1.42 | top=11:0.70, 12:0.04
[2026-05-08 12:15:40]   [092/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.11 | top=4:0.78, 0:0.02
[2026-05-08 12:15:53]   [093/41505] | true=Table-tennis(17) | pred=Stair-down(16) |  ✗ | ent=1.29 | top=16:0.65, 11:0.12
[2026-05-08 12:16:05]   [094/41505] | true=Jump(8) | pred=Run(14) |  ✗ | ent=0.20 | top=14:0.95, 8:0.05
[2026-05-08 12:16:20]   [095/41505] | true=Talk-stand(3) | pred=Lay-stand(6) |  ✗ | ent=0.98 | top=5:0.82, 6:0.03
[2026-05-08 12:16:26]   [096/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.62 | top=1:0.86, 0:0.05
[2026-05-08 12:16:39]   [097/41505] | true=Sit(1) | pred=Stand(0) |  ✗ | ent=0.87 | top=0:0.84, 1:0.01
[2026-05-08 12:16:53]   [098/41505] | true=Sit(1) | pred=Lay(5) |  ✗ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-08 12:17:16]   [099/41505] | true=Stair-down(16) | pred=Table-tennis(17) |  ✗ | ent=0.13 | top=17:0.98, 0:0.00
[2026-05-08 12:17:34]   [100/41505] | true=Talk-sit(2) | pred=Stand(0) |  ✗ | ent=0.65 | top=0:0.85, 1:0.05
[2026-05-08 12:17:51]   [101/41505] | true=Stair-down(16) | pred=Sit-up(10) |  ✗ | ent=-0.00 | top=17:1.00, 0:0.00
[2026-05-08 12:18:06]   [102/41505] | true=Stair-down(16) | pred=Table-tennis(17) |  ✗ | ent=1.35 | top=17:0.60, 16:0.15
[2026-05-08 12:18:10]   [103/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-08 12:18:27]   [104/41505] | true=Sit-up(10) | pred=Walk(11) |  ✗ | ent=0.90 | top=11:0.83, 12:0.03
[2026-05-08 12:18:32]   [105/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.41 | top=4:0.70, 3:0.04
[2026-05-08 12:18:38]   [106/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.20 | top=8:0.97, 14:0.01
[2026-05-08 12:18:46]   [107/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.93 | top=11:0.82, 12:0.04
[2026-05-08 12:19:03]   [108/41505] | true=Stair-up(15) | pred=Walk-backwards(12) |  ✗ | ent=0.83 | top=9:0.82, 11:0.03
[2026-05-08 12:19:13]   [109/41505] | true=Stand(0) | pred=Talk-sit(2) |  ✗ | ent=0.96 | top=5:0.83, 1:0.02
[2026-05-08 12:19:26]   [110/41505] | true=Talk-sit(2) | pred=Stand(0) |  ✗ | ent=0.66 | top=0:0.88, 1:0.02
[2026-05-08 12:19:36]   [111/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.40 | top=0:0.92, 1:0.05
[2026-05-08 12:19:47]   [112/41505] | true=Jump(8) | pred=Run(14) |  ✗ | ent=0.13 | top=17:0.98, 0:0.00
[2026-05-08 12:20:02]   [113/41505] | true=Talk-stand(3) | pred=Lay(5) |  ✗ | ent=1.23 | top=6:0.75, 5:0.05
[2026-05-08 12:20:13]   [114/41505] | true=Sit(1) | pred=Stand(0) |  ✗ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-08 12:20:21]   [115/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.73 | top=14:0.80, 8:0.15
[2026-05-08 12:20:27]   [116/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.85 | top=7:0.54, 4:0.08
[2026-05-08 12:20:41]   [117/41505] | true=Pick(7) | pred=Sit-up(10) |  ✗ | ent=0.37 | top=10:0.93, 4:0.02
