[2026-05-08 13:50:53]   [001/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:52:55]   [025/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 13:52:59]   [026/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 13:53:02]   [027/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 13:53:05]   [028/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:07]   [029/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:17]   [031/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:20]   [032/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 13:53:24]   [033/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:26]   [034/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:29]   [035/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:36]   [037/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 13:53:39]   [038/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:41]   [039/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 13:53:53]   [041/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:56]   [042/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:53:59]   [043/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:54:05]   [044/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.98 | top=2:0.68, 0:0.12
[2026-05-08 13:54:14]   [045/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 13:54:17]   [046/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:54:35]   [049/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:54:38]   [050/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.89 | top=2:0.72, 3:0.13
[2026-05-08 13:54:40]   [051/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:54:44]   [052/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 13:54:51]   [053/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 13:55:02]   [055/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 13:55:05]   [056/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 13:55:09]   [057/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 13:55:39]   [055/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:55:41]   [056/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:55:43]   [057/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 13:55:45]   [058/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 13:55:49]   [059/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 13:56:05]   [062/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:56:12]   [063/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 13:56:17]   [064/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:56:19]   [065/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:56:25]   [066/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 13:56:35]   [068/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:56:40]   [069/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 13:56:43]   [070/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:56:53]   [072/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:57:14]   [076/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:57:17]   [077/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:57:19]   [078/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:57:21]   [079/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:57:31]   [081/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 13:57:34]   [082/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:57:39]   [083/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:57:43]   [084/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.89 | top=2:0.72, 3:0.13
[2026-05-08 13:57:56]   [087/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 13:57:59]   [088/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:58:01]   [089/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 13:58:08]   [091/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:58:11]   [092/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:58:16]   [093/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 13:58:18]   [094/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:58:24]   [095/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.11 | top=2:0.60, 1:0.15
[2026-05-08 13:58:37]   [097/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:58:41]   [098/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.17 | top=2:0.55, 3:0.20
[2026-05-08 13:58:44]   [099/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:59:00]   [101/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.14 | top=0:0.55, 1:0.25
[2026-05-08 13:59:06]   [102/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:59:10]   [103/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:59:13]   [104/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:59:20]   [106/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:59:35]   [109/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:59:39]   [110/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 13:59:46]   [112/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 13:59:48]   [113/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:59:50]   [114/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 13:59:54]   [115/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 13:59:57]   [116/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:00:00]   [117/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 14:00:20]   [120/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 14:00:32]   [122/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:00:35]   [123/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:00:48]   [125/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:00:51]   [126/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:00:57]   [127/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 14:01:05]   [128/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.03 | top=0:0.62, 1:0.22
[2026-05-08 14:01:18]   [129/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 14:01:26]   [131/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 14:01:31]   [132/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 14:01:35]   [133/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 14:01:41]   [134/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 14:01:44]   [135/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:01]   [137/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:08]   [138/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:13]   [139/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:19]   [140/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 14:02:24]   [141/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 14:02:33]   [143/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:44]   [145/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:46]   [146/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:48]   [147/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 14:02:51]   [148/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:54]   [149/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:57]   [150/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:02:59]   [151/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:03:03]   [152/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:03:07]   [153/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:03:11]   [154/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:03:20]   [156/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 14:03:23]   [157/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:03:29]   [158/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:03:31]   [159/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 14:03:41]   [161/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 14:03:47]   [162/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 14:03:59]   [164/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:04:03]   [165/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:04:05]   [166/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:04:20]   [169/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:04:27]   [170/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 14:04:31]   [171/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:04:41]   [173/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 14:04:43]   [174/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:04:47]   [175/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:04:53]   [176/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 14:04:56]   [177/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:05:15]   [180/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:05:20]   [181/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:05:40]   [184/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 14:05:45]   [185/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 14:05:56]   [187/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:06:00]   [188/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:06:03]   [189/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:06:15]   [191/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 14:06:18]   [192/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:06:23]   [193/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:06:41]   [194/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:06:45]   [195/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:06:58]   [197/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.98 | top=2:0.68, 0:0.12
[2026-05-08 14:07:03]   [198/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 14:07:06]   [199/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:07:12]   [200/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 14:07:29]   [203/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:07:31]   [204/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.90 | top=2:0.72, 0:0.10
[2026-05-08 14:07:37]   [205/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:07:40]   [206/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 14:07:49]   [208/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:07:52]   [209/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:07:58]   [210/673] | true=ambulating(3) | pred=ambulating(3) |  ✓ | ent=1.25 | top=3:0.45, 1:0.28
[2026-05-08 14:08:14]   [212/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 14:08:30]   [214/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:08:33]   [215/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:08:37]   [216/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:08:42]   [217/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 14:08:53]   [219/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 3:0.15
[2026-05-08 14:09:01]   [221/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:09:08]   [222/673] | true=ambulating(3) | pred=ambulating(3) |  ✓ | ent=1.15 | top=3:0.52, 1:0.28
[2026-05-08 14:09:19]   [224/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:09:23]   [225/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 14:09:27]   [226/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:09:32]   [227/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:09:52]   [230/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:10:27]   [235/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 14:10:30]   [236/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:10:41]   [238/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:10:43]   [239/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:10:47]   [240/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 14:10:50]   [241/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:10:54]   [242/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:10:57]   [243/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:11:04]   [244/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 14:11:07]   [245/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 14:11:10]   [246/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 14:11:15]   [247/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:11:31]   [250/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:11:34]   [251/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:11:38]   [252/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:11:43]   [253/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:12:02]   [256/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 14:12:06]   [257/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 14:12:10]   [258/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:12:19]   [260/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.16 | top=0:0.45, 1:0.35
[2026-05-08 14:12:22]   [261/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:12:27]   [262/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:12:32]   [263/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 14:12:37]   [264/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 14:12:46]   [266/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 14:12:50]   [267/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:13:02]   [269/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:13:11]   [271/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 14:13:13]   [272/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
