[2026-05-11 11:04:17] Class 12 (Walk-backwards) 软标签生成开始
[2026-05-11 11:04:17]   QUICK=False LIMIT=50
[2026-05-11 11:04:17]   温度=0.8 (from api_config)
[2026-05-11 11:04:17]   本类: 986窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:17]   实际生成: 986 窗口
[2026-05-11 11:04:50] #0001/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:14:28] #0017/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.407 | conf=0.550 | gap=0.400
[2026-05-11 11:15:10] #0018/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:15:42] #0019/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 11:16:41] #0020/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 11:16:41]   [20/986] acc=3/20=15.0% filtered=19/20
[2026-05-11 11:16:56] #0021/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.344 | conf=0.400 | gap=0.050
[2026-05-11 11:17:25] #0022/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 11:17:54] #0023/00986 | true=Walk-backwards(12) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:18:38] #0024/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:19:05] #0025/00986 | true=Walk-backwards(12) | pred=Run(14) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:19:36] #0026/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:20:09] #0027/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:20:25] #0028/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.122 | conf=0.550 | gap=0.350
[2026-05-11 11:21:02] #0029/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:21:45] #0030/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.303 | conf=0.500 | gap=0.250
[2026-05-11 11:22:18] #0031/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 11:22:55] #0032/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.752 | conf=0.300 | gap=0.050
[2026-05-11 11:24:02] #0033/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 11:24:36] #0034/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 11:25:14] #0035/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:25:45] #0036/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:26:26] #0037/00986 | true=Walk-backwards(12) | pred=Walk-circle(13) | ✗ | ent=1.205 | conf=0.550 | gap=0.300
[2026-05-11 11:26:57] #0038/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 11:27:28] #0039/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 11:27:58] #0040/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:27:58]   [40/986] acc=10/40=25.0% filtered=36/40
[2026-05-11 11:28:27] #0041/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:29:02] #0042/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:29:54] #0043/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 11:31:25] #0044/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.484 | conf=0.400 | gap=0.150
[2026-05-11 11:31:56] #0045/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.269 | conf=0.940 | gap=0.910
[2026-05-11 11:32:50] #0046/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:33:14] #0047/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.272 | conf=0.950 | gap=0.930
[2026-05-11 11:33:40] #0048/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:34:23] #0049/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:35:02] #0050/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.943 | conf=0.684 | gap=0.526
[2026-05-11 11:35:37] #0051/00986 | true=Walk-backwards(12) | pred=Table-tennis(17) | ✗ | ent=2.273 | conf=0.400 | gap=0.320
[2026-05-11 11:36:23] #0052/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:36:56] #0053/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=2.366 | conf=0.250 | gap=0.050
[2026-05-11 11:37:32] #0054/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:38:20] #0055/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.784 | conf=0.800 | gap=0.720
[2026-05-11 11:38:54] #0056/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.224 | conf=0.650 | gap=0.550
[2026-05-11 11:39:28] #0057/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.904 | conf=0.770 | gap=0.670
[2026-05-11 11:40:43] #0058/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.153 | conf=0.684 | gap=0.579
[2026-05-11 11:41:28] #0059/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:42:00] #0060/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 11:42:00]   [60/986] acc=12/60=20.0% filtered=53/60
[2026-05-11 11:42:29] #0061/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:43:03] #0062/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:43:29] #0063/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:43:57] #0064/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:44:27] #0065/00986 | true=Walk-backwards(12) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:44:58] #0066/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 11:45:41] #0067/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 11:46:22] #0068/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 11:46:53] #0069/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:47:16] #0070/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:48:13] #0071/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.962 | conf=0.700 | gap=0.550
[2026-05-11 11:48:48] #0072/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.635 | conf=0.850 | gap=0.800
[2026-05-11 11:49:15] #0073/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:50:01] #0074/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.526 | conf=0.880 | gap=0.840
[2026-05-11 11:50:17] #0075/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.371 | conf=0.450 | gap=0.200
[2026-05-11 11:50:43] #0076/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.685 | conf=0.562 | gap=0.125
[2026-05-11 11:51:23] #0077/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:52:03] #0078/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:52:29] #0079/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.579 | conf=0.850 | gap=0.780
[2026-05-11 11:53:03] #0080/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:53:03]   [80/986] acc=17/80=21.2% filtered=72/80
[2026-05-11 11:53:33] #0081/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:54:14] #0082/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.996 | conf=0.550 | gap=0.200
[2026-05-11 11:55:08] #0083/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.034 | conf=0.700 | gap=0.550
[2026-05-11 11:55:43] #0084/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:56:18] #0085/00986 | true=Walk-backwards(12) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:57:02] #0086/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.564 | conf=0.350 | gap=0.000
[2026-05-11 11:57:40] #0087/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.827 | conf=0.700 | gap=0.450
[2026-05-11 11:58:17] #0088/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:58:32] #0089/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.106 | conf=0.450 | gap=0.050
[2026-05-11 11:59:04] #0090/00986 | true=Walk-backwards(12) | pred=Jump(8) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:59:15] #0091/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 11:59:57] #0092/00986 | true=Walk-backwards(12) | pred=Run(14) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:00:32] #0093/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.075 | conf=0.650 | gap=0.500
[2026-05-11 12:01:04] #0094/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 12:01:47] #0095/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.608 | conf=0.450 | gap=0.300
[2026-05-11 12:02:31] #0096/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:03:05] #0097/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.565 | conf=0.450 | gap=0.300
[2026-05-11 12:03:34] #0098/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.898 | conf=0.684 | gap=0.474
[2026-05-11 12:04:20] #0099/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:04:56] #0100/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.330 | conf=0.550 | gap=0.350
[2026-05-11 12:04:56]   [100/986] acc=21/100=21.0% filtered=88/100
[2026-05-11 12:05:33] #0101/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.635 | conf=0.850 | gap=0.800
[2026-05-11 12:06:03] #0102/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:06:32] #0103/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:07:00] #0104/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:07:49] #0105/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.861 | conf=0.200 | gap=0.000
[2026-05-11 12:08:39] #0106/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:09:05] #0107/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:09:36] #0108/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:10:11] #0109/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.466 | conf=0.450 | gap=0.200
[2026-05-11 12:11:03] #0110/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:11:34] #0111/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:12:05] #0112/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:12:56] #0113/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.558 | conf=0.880 | gap=0.850
[2026-05-11 12:13:29] #0114/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:13:53] #0115/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-11 12:14:28] #0116/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:15:19] #0117/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:15:43] #0118/00986 | true=Walk-backwards(12) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:16:15] #0119/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.035 | conf=0.720 | gap=0.600
[2026-05-11 12:16:41] #0120/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:16:41]   [120/986] acc=26/120=21.7% filtered=106/120
[2026-05-11 12:17:24] #0121/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 12:17:53] #0122/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:18:25] #0123/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.498 | conf=0.500 | gap=0.300
[2026-05-11 12:19:04] #0124/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.939 | conf=0.770 | gap=0.720
[2026-05-11 12:19:29] #0125/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:26] #0126/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.261 | conf=0.550 | gap=0.350
[2026-05-11 12:20:58] #0127/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 12:21:27] #0128/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:21:55] #0129/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:22:25] #0130/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:22:44] #0131/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.285 | conf=0.420 | gap=0.100
[2026-05-11 12:23:29] #0132/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:24:09] #0133/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:24:40] #0134/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:25:08] #0135/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:25:36] #0136/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:26:02] #0137/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.857 | conf=0.650 | gap=0.400
[2026-05-11 12:26:43] #0138/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 12:26:58] #0139/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.473 | conf=0.450 | gap=0.200
[2026-05-11 12:27:53] #0140/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.824 | conf=0.600 | gap=0.250
[2026-05-11 12:27:53]   [140/986] acc=32/140=22.9% filtered=123/140
[2026-05-11 12:28:22] #0141/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:29:02] #0142/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:29:27] #0143/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 12:30:08] #0144/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:30:49] #0145/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 12:31:17] #0146/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 12:31:46] #0147/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:32:25] #0148/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:33:01] #0149/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.305 | conf=0.450 | gap=0.150
[2026-05-11 12:33:28] #0150/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.967 | conf=0.600 | gap=0.300
[2026-05-11 12:33:53] #0151/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.081 | conf=0.400 | gap=0.050
[2026-05-11 12:34:22] #0152/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 12:34:59] #0153/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.500 | conf=0.900 | gap=0.880
[2026-05-11 12:35:29] #0154/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:35:57] #0155/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 12:36:48] #0156/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:37:59] #0157/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:38:25] #0158/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:38:52] #0159/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:39:15] #0160/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:15]   [160/986] acc=35/160=21.9% filtered=141/160
[2026-05-11 12:39:48] #0161/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:40:15] #0162/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:40:40] #0163/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:41:08] #0164/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.124 | conf=0.650 | gap=0.450
[2026-05-11 12:41:44] #0165/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-11 12:42:15] #0166/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:42:45] #0167/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.651 | conf=0.850 | gap=0.800
[2026-05-11 12:43:12] #0168/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:43:27] #0169/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.845 | conf=0.550 | gap=0.150
[2026-05-11 12:43:52] #0170/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:44:23] #0171/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 12:44:54] #0172/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:45:28] #0173/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 12:45:58] #0174/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.205 | conf=0.550 | gap=0.300
[2026-05-11 12:46:32] #0175/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:47:01] #0176/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:47:52] #0177/00986 | true=Walk-backwards(12) | pred=Walk-circle(13) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
