[2026-05-11 11:03:56] #0001/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 11:18:04] #0027/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:18:32] #0028/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:19:10] #0029/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:19:41] #0030/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.302 | conf=0.928 | gap=0.876
[2026-05-11 11:20:14] #0031/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:20:29] #0032/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.613 | conf=0.850 | gap=0.780
[2026-05-11 11:21:54] #0034/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:22:24] #0035/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:22:39] #0036/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:23:43] #0038/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 11:24:10] #0039/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:24:27] #0040/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:26:22] #0043/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 11:26:52] #0044/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.606 | conf=0.706 | gap=0.412
[2026-05-11 11:29:43] #0049/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.118 | conf=0.750 | gap=0.700
[2026-05-11 11:30:45] #0051/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.421 | conf=0.880 | gap=0.780
[2026-05-11 11:31:20] #0052/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 11:31:54] #0053/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:32:41] #0055/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.139 | conf=0.550 | gap=0.250
[2026-05-11 11:34:41] #0057/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:35:15] #0058/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:36:44] #0060/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:37:23] #0061/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:37:49] #0062/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:38:17] #0063/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:34] #0065/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.927 | conf=0.737 | gap=0.632
[2026-05-11 11:41:45] #0069/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:42:21] #0070/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.253 | conf=0.950 | gap=0.930
[2026-05-11 11:42:55] #0071/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:43:13] #0072/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:44:16] #0074/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:44:29] #0075/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:46:08] #0078/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:47:38] #0081/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:48:40] #0083/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.471 | conf=0.880 | gap=0.800
[2026-05-11 11:50:14] #0086/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.713 | conf=0.850 | gap=0.820
[2026-05-11 11:51:19] #0088/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.599 | conf=0.850 | gap=0.750
[2026-05-11 11:52:06] #0089/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:53:04] #0091/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 11:53:36] #0092/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:15] #0093/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:55:03] #0095/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:55:17] #0096/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:55:57] #0097/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.566 | conf=0.850 | gap=0.750
[2026-05-11 11:58:50] #0102/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.257 | conf=0.450 | gap=0.100
[2026-05-11 12:01:03] #0106/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:02:17] #0107/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:03:37] #0109/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:04:48] #0111/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.386 | conf=0.900 | gap=0.830
[2026-05-11 12:05:17] #0112/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:05:33] #0113/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:05:47] #0114/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.259 | conf=0.650 | gap=0.500
[2026-05-11 12:06:30] #0115/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.754 | conf=0.850 | gap=0.820
[2026-05-11 12:07:06] #0116/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:07:38] #0117/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:07:53] #0118/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:09:27] #0121/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:10:27] #0123/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:10:41] #0124/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:11:53] #0126/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 12:12:20] #0127/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:12:57] #0128/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 12:13:35] #0129/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 12:14:06] #0130/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.509 | conf=0.900 | gap=0.870
[2026-05-11 12:14:55] #0132/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:15:43] #0134/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.926 | conf=0.750 | gap=0.670
[2026-05-11 12:16:08] #0135/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:17:03] #0137/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:17:44] #0139/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 12:18:14] #0140/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:18:50] #0141/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.514 | conf=0.900 | gap=0.880
[2026-05-11 12:19:18] #0142/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 12:20:18] #0143/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:21:36] #0145/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.375 | conf=0.900 | gap=0.820
[2026-05-11 12:22:04] #0146/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:22:20] #0147/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:23:40] #0150/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 12:24:18] #0151/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 12:25:27] #0153/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:27:26] #0156/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:28:03] #0157/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:28:18] #0158/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:29:27] #0160/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.375 | conf=0.900 | gap=0.820
[2026-05-11 12:30:32] #0162/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 12:31:04] #0163/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:32:45] #0166/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.203 | conf=0.948 | gap=0.897
[2026-05-11 12:33:20] #0167/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.970 | conf=0.700 | gap=0.520
[2026-05-11 12:33:48] #0168/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:33:58] #0169/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:35:18] #0172/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:35:51] #0173/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.970 | conf=0.700 | gap=0.520
[2026-05-11 12:36:19] #0174/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 12:37:17] #0176/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:37:34] #0177/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.838 | conf=0.700 | gap=0.480
[2026-05-11 12:37:58] #0178/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:38:37] #0179/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:39:19] #0181/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:39:50] #0182/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:40:20] #0183/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:41:14] #0185/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 12:43:32] #0190/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
[2026-05-11 12:44:11] #0192/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:44:41] #0193/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:46:00] #0195/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:46:40] #0197/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.769 | conf=0.800 | gap=0.730
[2026-05-11 12:46:52] #0198/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:47:03] #0199/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 12:48:11] #0201/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:48:42] #0202/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 12:48:53] #0203/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:50:16] #0205/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:50:58] #0206/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 12:51:11] #0207/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:51:39] #0208/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:52:30] #0210/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.527 | conf=0.400 | gap=0.150
[2026-05-11 12:53:46] #0212/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:54:09] #0213/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:54:57] #0215/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.471 | conf=0.880 | gap=0.800
[2026-05-11 12:56:34] #0218/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.370 | conf=0.918 | gap=0.867
[2026-05-11 12:56:45] #0219/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:57:38] #0221/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:59:02] #0222/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 12:59:30] #0223/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.500 | conf=0.900 | gap=0.880
[2026-05-11 12:59:54] #0224/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:00:22] #0225/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.436 | conf=0.842 | gap=0.684
[2026-05-11 13:02:04] #0229/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.825 | conf=0.684 | gap=0.474
[2026-05-11 13:02:52] #0230/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:03:07] #0231/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 13:04:22] #0233/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:07:47] #0239/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.541 | conf=0.500 | gap=0.350
[2026-05-11 13:09:05] #0241/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 13:10:19] #0244/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 13:11:29] #0246/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 13:11:54] #0247/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.032 | conf=0.750 | gap=0.700
[2026-05-11 13:12:28] #0248/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 13:13:13] #0250/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:13:25] #0251/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:13:36] #0252/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:14:17] #0254/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.807 | conf=0.789 | gap=0.737
[2026-05-11 13:15:05] #0256/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 13:15:18] #0257/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:16:19] #0259/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.120 | conf=0.650 | gap=0.500
[2026-05-11 13:17:01] #0261/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.303 | conf=0.500 | gap=0.250
[2026-05-11 13:17:34] #0262/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.571 | conf=0.850 | gap=0.750
[2026-05-11 13:17:52] #0263/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.144 | conf=0.650 | gap=0.500
[2026-05-11 13:19:12] #0265/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:20:06] #0267/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.870 | conf=0.800 | gap=0.750
[2026-05-11 13:20:18] #0268/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 13:20:30] #0269/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 13:20:56] #0270/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 13:21:18] #0271/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:22:17] #0273/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 13:22:32] #0274/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:23:27] #0275/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 13:24:10] #0277/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 13:24:24] #0278/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.140 | conf=0.968 | gap=0.937
[2026-05-11 13:24:52] #0279/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.351 | conf=0.924 | gap=0.891
[2026-05-11 13:25:03] #0280/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:25:16] #0281/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 13:25:40] #0282/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:26:18] #0283/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:27:01] #0284/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 13:27:26] #0285/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.659 | conf=0.780 | gap=0.600
[2026-05-11 13:28:06] #0287/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:28:52] #0289/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:29:58] #0292/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 13:30:29] #0293/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:30:42] #0294/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:31:59] #0297/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:32:31] #0298/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.593 | conf=0.720 | gap=0.440
[2026-05-11 13:32:42] #0299/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:33:49] #0301/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:34:55] #0303/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.665 | conf=0.850 | gap=0.800
[2026-05-11 13:35:24] #0304/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 13:37:55] #0309/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:38:43] #0311/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 13:39:15] #0312/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 13:39:41] #0313/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:40:15] #0314/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 13:41:24] #0316/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.100 | conf=0.979 | gap=0.959
[2026-05-11 13:42:03] #0317/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 13:42:45] #0319/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:44:37] #0323/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.265 | conf=0.940 | gap=0.900
