[2026-05-12 10:27:50] #0001/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 10:58:24] #0081/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.459 conf=0.850 gap=0.710
[2026-05-12 10:58:47] #0083/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.879 conf=0.550 gap=0.150
[2026-05-12 10:59:07] #0084/02089 | true=lying(0) | pred=jogging(4) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 10:59:48] #0086/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 11:00:20] #0087/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 11:00:32] #0088/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.766 conf=0.750 gap=0.570
[2026-05-12 11:00:43] #0089/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.819 conf=0.720 gap=0.520
[2026-05-12 11:00:57] #0090/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.870 conf=0.550 gap=0.150
[2026-05-12 11:01:26] #0092/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.977 conf=0.550 gap=0.200
[2026-05-12 11:02:27] #0093/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.707 conf=0.720 gap=0.470
[2026-05-12 11:02:38] #0094/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.666 conf=0.800 gap=0.650
[2026-05-12 11:03:00] #0095/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 11:03:12] #0096/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 11:03:37] #0097/02089 | true=lying(0) | pred=jogging(4) | ✗ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 11:03:59] #0098/02089 | true=lying(0) | pred=jogging(4) | ✗ | ent=0.740 conf=0.780 gap=0.630
[2026-05-12 11:04:27] #0099/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 11:04:37] #0100/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 11:05:04] #0102/02089 | true=lying(0) | pred=standing(2) | ✗ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 11:05:20] #0103/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.800 gap=0.650
[2026-05-12 11:05:55] #0104/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.928 conf=0.700 gap=0.520
[2026-05-12 11:06:22] #0106/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.749 conf=0.720 gap=0.490
[2026-05-12 11:06:36] #0107/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 11:06:49] #0108/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.126 conf=0.550 gap=0.250
[2026-05-12 11:07:01] #0109/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:07:13] #0110/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.877 conf=0.550 gap=0.150
[2026-05-12 11:07:40] #0112/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 11:07:59] #0113/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 11:08:11] #0114/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.572 conf=0.820 gap=0.670
[2026-05-12 11:08:54] #0115/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 11:09:08] #0116/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.794 conf=0.700 gap=0.450
[2026-05-12 11:09:20] #0117/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.719 conf=0.750 gap=0.550
[2026-05-12 11:09:43] #0118/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:09:58] #0119/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 11:10:25] #0120/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.839 conf=0.650 gap=0.350
[2026-05-12 11:11:27] #0121/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.719 conf=0.750 gap=0.550
[2026-05-12 11:12:41] #0122/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.857 conf=0.700 gap=0.480
[2026-05-12 11:14:02] #0123/02089 | true=lying(0) | pred=sitting(1) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:14:18] #0124/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 11:14:47] #0125/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:15:33] #0126/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.754 conf=0.720 gap=0.490
[2026-05-12 11:15:45] #0127/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 11:15:57] #0128/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 11:16:09] #0129/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 11:16:42] #0130/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 11:17:14] #0131/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.764 conf=0.750 gap=0.570
[2026-05-12 11:17:43] #0132/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:17:58] #0133/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.670 conf=0.780 gap=0.610
[2026-05-12 11:18:15] #0134/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:18:38] #0135/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.794 conf=0.700 gap=0.450
[2026-05-12 11:18:57] #0136/02089 | true=lying(0) | pred=jogging(4) | ✗ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 11:19:09] #0137/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.552 conf=0.820 gap=0.670
[2026-05-12 11:19:55] #0138/02089 | true=lying(0) | pred=sitting(1) | ✗ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 11:20:05] #0139/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 11:20:36] #0140/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 11:21:05] #0141/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.579 conf=0.820 gap=0.670
[2026-05-12 11:21:20] #0142/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 11:22:04] #0143/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.552 conf=0.820 gap=0.670
[2026-05-12 11:22:21] #0144/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.007 conf=0.550 gap=0.200
[2026-05-12 11:22:50] #0145/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.543 conf=0.850 gap=0.750
[2026-05-12 11:23:14] #0146/02089 | true=lying(0) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:23:50] #0148/02089 | true=lying(0) | pred=standing(2) | ✗ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 11:25:12] #0150/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 11:25:36] #0151/02089 | true=lying(0) | pred=sitting(1) | ✗ | ent=1.033 conf=0.650 gap=0.500
[2026-05-12 11:26:01] #0152/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 11:26:25] #0153/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 11:26:40] #0154/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 11:26:53] #0155/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.839 conf=0.650 gap=0.350
[2026-05-12 11:27:34] #0156/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.624 conf=0.820 gap=0.700
[2026-05-12 11:27:53] #0157/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.844 conf=0.620 gap=0.290
[2026-05-12 11:28:09] #0158/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.938 conf=0.550 gap=0.170
[2026-05-12 11:28:22] #0159/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 11:28:34] #0160/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.794 conf=0.700 gap=0.450
[2026-05-12 11:28:44] #0161/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 11:29:08] #0162/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-12 11:29:25] #0163/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 11:30:16] #0165/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:30:48] #0166/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.338 conf=0.920 gap=0.860
[2026-05-12 11:31:15] #0167/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.988 conf=0.520 gap=0.140
[2026-05-12 11:31:39] #0168/02089 | true=lying(0) | pred=sitting(1) | ✗ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 11:32:06] #0169/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.714 conf=0.720 gap=0.470
[2026-05-12 11:32:19] #0170/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.845 conf=0.650 gap=0.350
[2026-05-12 11:32:47] #0171/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.041 conf=0.520 gap=0.140
[2026-05-12 11:33:31] #0172/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.772 conf=0.720 gap=0.500
[2026-05-12 11:33:42] #0173/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.712 conf=0.750 gap=0.550
[2026-05-12 11:33:56] #0174/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 11:34:32] #0175/02089 | true=lying(0) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:35:03] #0176/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.792 conf=0.750 gap=0.600
[2026-05-12 11:35:29] #0177/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.673 conf=0.780 gap=0.600
[2026-05-12 11:35:39] #0178/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 11:36:07] #0179/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 11:36:31] #0180/02089 | true=lying(0) | pred=jogging(4) | ✗ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 11:36:55] #0181/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.720 conf=0.780 gap=0.630
[2026-05-12 11:37:10] #0182/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 11:37:34] #0183/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-12 11:37:51] #0184/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 11:38:20] #0185/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 11:38:38] #0186/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.712 conf=0.750 gap=0.550
[2026-05-12 11:38:54] #0187/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.030 conf=0.550 gap=0.200
[2026-05-12 11:39:20] #0188/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.688 conf=0.720 gap=0.470
[2026-05-12 11:39:34] #0189/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.839 conf=0.650 gap=0.350
[2026-05-12 11:39:45] #0190/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 11:39:57] #0191/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.938 conf=0.550 gap=0.170
[2026-05-12 11:40:11] #0192/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 11:40:38] #0193/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.610 conf=0.820 gap=0.690
[2026-05-12 11:40:53] #0194/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.925 conf=0.580 gap=0.230
[2026-05-12 11:41:23] #0195/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 11:41:47] #0196/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 11:42:00] #0197/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.780 conf=0.700 gap=0.450
[2026-05-12 11:42:31] #0199/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 11:42:57] #0200/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 11:43:15] #0201/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 11:43:28] #0202/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.069 conf=0.550 gap=0.250
[2026-05-12 11:43:49] #0203/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-12 11:44:23] #0204/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 11:44:59] #0205/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:45:16] #0206/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.786 conf=0.750 gap=0.570
[2026-05-12 11:45:39] #0207/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:45:55] #0208/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 11:46:32] #0209/02089 | true=lying(0) | pred=sitting(1) | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:46:53] #0210/02089 | true=lying(0) | pred=jogging(4) | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 11:47:06] #0211/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.875 conf=0.550 gap=0.150
[2026-05-12 11:47:19] #0212/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 11:47:47] #0213/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 11:47:58] #0214/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:48:10] #0215/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.720 conf=0.780 gap=0.630
[2026-05-12 11:48:22] #0216/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 11:48:48] #0217/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 11:49:12] #0218/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 11:50:32] #0219/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 11:50:58] #0220/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.596 conf=0.820 gap=0.680
[2026-05-12 11:51:11] #0221/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.992 conf=0.600 gap=0.300
[2026-05-12 11:51:24] #0222/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.661 conf=0.780 gap=0.600
[2026-05-12 11:52:04] #0223/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 11:52:14] #0224/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.893 conf=0.550 gap=0.150
[2026-05-12 11:52:27] #0225/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.766 conf=0.750 gap=0.570
[2026-05-12 11:52:39] #0226/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.851 conf=0.680 gap=0.430
[2026-05-12 11:53:00] #0227/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.712 conf=0.750 gap=0.550
