[2026-05-11 23:15:03] MotionSense class 5 (walking) T=0.8
[2026-05-11 23:15:03]   3743 windows
[2026-05-11 23:15:14] #0001/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:32:25] #0049/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:32:28] #0050/03743 | true=walking | pred=walking | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:32:40] #0051/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:32:45] #0052/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:33:25] #0053/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:34:22] #0054/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:34:41] #0055/03743 | true=walking | pred=upstairs | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:35:08] #0056/03743 | true=walking | pred=walking | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:35:21] #0057/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:35:34] #0058/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-11 23:35:46] #0059/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:35:57] #0060/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:35:57]   [60/3743] acc=72% filt=52
[2026-05-11 23:36:24] #0061/03743 | true=walking | pred=walking | ✓ | ent=1.166 conf=0.580 gap=0.380
[2026-05-11 23:36:35] #0062/03743 | true=walking | pred=walking | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-11 23:36:43] #0063/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:37:08] #0064/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:37:28] #0065/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:37:37] #0066/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-11 23:37:43] #0067/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:37:49] #0068/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-11 23:38:05] #0069/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:38:29] #0070/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:38:45] #0071/03743 | true=walking | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:38:48] #0072/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:38:51] #0073/03743 | true=walking | pred=walking | ✓ | ent=1.142 conf=0.500 gap=0.200
[2026-05-11 23:39:43] #0074/03743 | true=walking | pred=walking | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-11 23:39:54] #0075/03743 | true=walking | pred=walking | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-11 23:40:31] #0076/03743 | true=walking | pred=upstairs | ✗ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 23:40:58] #0077/03743 | true=walking | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:41:11] #0078/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.600 gap=0.250
[2026-05-11 23:41:36] #0079/03743 | true=walking | pred=walking | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-11 23:41:39] #0080/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:41:39]   [80/3743] acc=75% filt=69
[2026-05-11 23:41:52] #0081/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.800 gap=0.650
[2026-05-11 23:42:00] #0082/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.720 gap=0.570
[2026-05-11 23:42:28] #0083/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:42:42] #0084/03743 | true=walking | pred=walking | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:43:01] #0085/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:43:54] #0086/03743 | true=walking | pred=walking | ✓ | ent=1.440 conf=0.450 gap=0.200
[2026-05-11 23:44:04] #0087/03743 | true=walking | pred=upstairs | ✗ | ent=0.924 conf=0.700 gap=0.500
[2026-05-11 23:44:38] #0088/03743 | true=walking | pred=upstairs | ✗ | ent=1.127 conf=0.650 gap=0.500
[2026-05-11 23:44:59] #0089/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:45:22] #0090/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:45:31] #0091/03743 | true=walking | pred=walking | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 23:45:33] #0092/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 23:46:05] #0093/03743 | true=walking | pred=upstairs | ✗ | ent=1.297 conf=0.600 gap=0.500
[2026-05-11 23:46:08] #0094/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:46:17] #0095/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:46:30] #0096/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 23:46:44] #0097/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:46:47] #0098/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-11 23:47:17] #0099/03743 | true=walking | pred=walking | ✓ | ent=0.946 conf=0.630 gap=0.380
[2026-05-11 23:47:30] #0100/03743 | true=walking | pred=walking | ✓ | ent=0.911 conf=0.580 gap=0.230
[2026-05-11 23:47:30]   [100/3743] acc=75% filt=86
[2026-05-11 23:47:34] #0101/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:47:49] #0102/03743 | true=walking | pred=upstairs | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:48:06] #0103/03743 | true=walking | pred=walking | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:48:24] #0104/03743 | true=walking | pred=downstairs | ✗ | ent=0.946 conf=0.620 gap=0.320
[2026-05-11 23:48:28] #0105/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-11 23:48:38] #0106/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-11 23:48:48] #0107/03743 | true=walking | pred=walking | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 23:49:23] #0108/03743 | true=walking | pred=upstairs | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:49:38] #0109/03743 | true=walking | pred=upstairs | ✗ | ent=1.216 conf=0.550 gap=0.290
[2026-05-11 23:49:43] #0110/03743 | true=walking | pred=upstairs | ✗ | ent=1.275 conf=0.550 gap=0.300
[2026-05-11 23:50:02] #0111/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:50:17] #0112/03743 | true=walking | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:50:27] #0113/03743 | true=walking | pred=walking | ✓ | ent=1.268 conf=0.550 gap=0.350
[2026-05-11 23:50:37] #0114/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:50:50] #0115/03743 | true=walking | pred=upstairs | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:50:54] #0116/03743 | true=walking | pred=walking | ✓ | ent=1.404 conf=0.450 gap=0.200
[2026-05-11 23:51:15] #0117/03743 | true=walking | pred=downstairs | ✗ | ent=1.240 conf=0.350 gap=0.050
[2026-05-11 23:51:43] #0118/03743 | true=walking | pred=walking | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-11 23:52:05] #0119/03743 | true=walking | pred=walking | ✓ | ent=0.498 conf=0.870 gap=0.790
[2026-05-11 23:52:24] #0120/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-11 23:52:24]   [120/3743] acc=72% filt=102
[2026-05-11 23:52:28] #0121/03743 | true=walking | pred=walking | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:52:31] #0122/03743 | true=walking | pred=walking | ✓ | ent=1.338 conf=0.450 gap=0.150
[2026-05-11 23:52:34] #0123/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-11 23:52:48] #0124/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:52:59] #0125/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.610 gap=0.360
[2026-05-11 23:53:18] #0126/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-11 23:53:27] #0127/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:53:38] #0128/03743 | true=walking | pred=walking | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-11 23:53:44] #0129/03743 | true=walking | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:53:49] #0130/03743 | true=walking | pred=walking | ✓ | ent=1.180 conf=0.460 gap=0.110
[2026-05-11 23:54:11] #0131/03743 | true=walking | pred=upstairs | ✗ | ent=0.796 conf=0.780 gap=0.680
[2026-05-11 23:54:15] #0132/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:54:25] #0133/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.720 gap=0.600
[2026-05-11 23:54:35] #0134/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.560 gap=0.310
[2026-05-11 23:54:45] #0135/03743 | true=walking | pred=upstairs | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:56:04] #0136/03743 | true=walking | pred=walking | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:56:31] #0137/03743 | true=walking | pred=walking | ✓ | ent=0.927 conf=0.590 gap=0.240
[2026-05-11 23:56:51] #0138/03743 | true=walking | pred=upstairs | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 23:58:01] #0139/03743 | true=walking | pred=upstairs | ✗ | ent=0.595 conf=0.820 gap=0.720
[2026-05-11 23:58:32] #0140/03743 | true=walking | pred=jogging | ✗ | ent=0.825 conf=0.650 gap=0.350
[2026-05-11 23:58:32]   [140/3743] acc=71% filt=119
[2026-05-11 23:58:53] #0141/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 23:59:53] #0142/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:59:55] #0143/03743 | true=walking | pred=walking | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 23:59:57] #0144/03743 | true=walking | pred=walking | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:00:01] #0145/03743 | true=walking | pred=downstairs | ✗ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 00:00:04] #0146/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:00:08] #0147/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:01:09] #0148/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:01:17] #0149/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:01:24] #0150/03743 | true=walking | pred=walking | ✓ | ent=1.214 conf=0.450 gap=0.100
[2026-05-12 00:01:35] #0151/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.800 gap=0.680
[2026-05-12 00:01:40] #0152/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:02:02] #0153/03743 | true=walking | pred=walking | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 00:02:16] #0154/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:02:29] #0155/03743 | true=walking | pred=walking | ✓ | ent=1.005 conf=0.580 gap=0.300
[2026-05-12 00:02:50] #0156/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:02:52] #0157/03743 | true=walking | pred=walking | ✓ | ent=1.452 conf=0.450 gap=0.250
[2026-05-12 00:03:05] #0158/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:03:18] #0159/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:03:21] #0160/03743 | true=walking | pred=walking | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:03:21]   [160/3743] acc=74% filt=134
[2026-05-12 00:03:31] #0161/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:03:42] #0162/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:04:11] #0163/03743 | true=walking | pred=walking | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:04:14] #0164/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:04:16] #0165/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:04:28] #0166/03743 | true=walking | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:04:49] #0167/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:04:59] #0168/03743 | true=walking | pred=walking | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 00:05:02] #0169/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:05:04] #0170/03743 | true=walking | pred=walking | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:05:07] #0171/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:05:29] #0172/03743 | true=walking | pred=upstairs | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 00:05:43] #0173/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:06:09] #0174/03743 | true=walking | pred=upstairs | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:06:14] #0175/03743 | true=walking | pred=walking | ✓ | ent=0.928 conf=0.730 gap=0.610
[2026-05-12 00:06:18] #0176/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:06:29] #0177/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:06:38] #0178/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-12 00:06:54] #0179/03743 | true=walking | pred=walking | ✓ | ent=1.087 conf=0.640 gap=0.490
[2026-05-12 00:07:20] #0180/03743 | true=walking | pred=walking | ✓ | ent=0.781 conf=0.750 gap=0.600
[2026-05-12 00:07:20]   [180/3743] acc=74% filt=152
[2026-05-12 00:07:32] #0181/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:07:49] #0182/03743 | true=walking | pred=walking | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 00:08:03] #0183/03743 | true=walking | pred=walking | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 00:08:22] #0184/03743 | true=walking | pred=walking | ✓ | ent=1.290 conf=0.400 gap=0.150
[2026-05-12 00:08:24] #0185/03743 | true=walking | pred=walking | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:08:38] #0186/03743 | true=walking | pred=jogging | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:08:52] #0187/03743 | true=walking | pred=walking | ✓ | ent=0.878 conf=0.740 gap=0.620
[2026-05-12 00:09:03] #0188/03743 | true=walking | pred=walking | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:09:33] #0189/03743 | true=walking | pred=walking | ✓ | ent=1.020 conf=0.600 gap=0.300
[2026-05-12 00:10:00] #0190/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:10:04] #0191/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:10:18] #0192/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:10:39] #0193/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:10:49] #0194/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:10:53] #0195/03743 | true=walking | pred=walking | ✓ | ent=0.889 conf=0.500 gap=0.050
[2026-05-12 00:11:05] #0196/03743 | true=walking | pred=walking | ✓ | ent=0.946 conf=0.630 gap=0.380
[2026-05-12 00:11:36] #0197/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:11:41] #0198/03743 | true=walking | pred=walking | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-12 00:12:07] #0199/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:13:02] #0200/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:13:02]   [200/3743] acc=76% filt=170
[2026-05-12 00:13:06] #0201/03743 | true=walking | pred=walking | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 00:13:49] #0202/03743 | true=walking | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 00:13:59] #0203/03743 | true=walking | pred=walking | ✓ | ent=0.780 conf=0.700 gap=0.450
[2026-05-12 00:14:15] #0204/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:14:18] #0205/03743 | true=walking | pred=walking | ✓ | ent=1.446 conf=0.500 gap=0.350
[2026-05-12 00:14:33] #0206/03743 | true=walking | pred=walking | ✓ | ent=0.904 conf=0.680 gap=0.500
[2026-05-12 00:14:36] #0207/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 00:14:39] #0208/03743 | true=walking | pred=walking | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:15:06] #0209/03743 | true=walking | pred=walking | ✓ | ent=0.835 conf=0.760 gap=0.640
[2026-05-12 00:15:18] #0210/03743 | true=walking | pred=walking | ✓ | ent=1.235 conf=0.600 gap=0.450
[2026-05-12 00:15:39] #0211/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:15:44] #0212/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 00:16:05] #0213/03743 | true=walking | pred=downstairs | ✗ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 00:17:18] #0214/03743 | true=walking | pred=upstairs | ✗ | ent=1.202 conf=0.450 gap=0.200
[2026-05-12 00:17:31] #0215/03743 | true=walking | pred=upstairs | ✗ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 00:17:42] #0216/03743 | true=walking | pred=walking | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 00:18:18] #0217/03743 | true=walking | pred=upstairs | ✗ | ent=0.735 conf=0.800 gap=0.710
[2026-05-12 00:18:30] #0218/03743 | true=walking | pred=walking | ✓ | ent=1.030 conf=0.500 gap=0.200
[2026-05-12 00:18:37] #0219/03743 | true=walking | pred=walking | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:18:51] #0220/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 00:18:51]   [220/3743] acc=75% filt=186
[2026-05-12 00:18:53] #0221/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:19:06] #0222/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:19:17] #0223/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:19:21] #0224/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:19:51] #0225/03743 | true=walking | pred=walking | ✓ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 00:20:29] #0226/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
