[2026-05-11 23:15:14] #0001/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:29:07] #0042/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 23:30:48] #0044/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:31:55] #0046/03743 | true=walking | pred=walking | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 23:31:58] #0047/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:32:25] #0049/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:32:28] #0050/03743 | true=walking | pred=walking | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:32:40] #0051/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:32:45] #0052/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:34:22] #0054/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:35:08] #0056/03743 | true=walking | pred=walking | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:35:34] #0058/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-11 23:35:46] #0059/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:35:57] #0060/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:36:24] #0061/03743 | true=walking | pred=walking | ✓ | ent=1.166 conf=0.580 gap=0.380
[2026-05-11 23:36:35] #0062/03743 | true=walking | pred=walking | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-11 23:36:43] #0063/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:37:08] #0064/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:37:28] #0065/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:37:37] #0066/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-11 23:37:43] #0067/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:37:49] #0068/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-11 23:38:05] #0069/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:38:29] #0070/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:38:48] #0072/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:38:51] #0073/03743 | true=walking | pred=walking | ✓ | ent=1.142 conf=0.500 gap=0.200
[2026-05-11 23:39:43] #0074/03743 | true=walking | pred=walking | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-11 23:39:54] #0075/03743 | true=walking | pred=walking | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-11 23:41:11] #0078/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.600 gap=0.250
[2026-05-11 23:41:36] #0079/03743 | true=walking | pred=walking | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-11 23:41:39] #0080/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:41:52] #0081/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.800 gap=0.650
[2026-05-11 23:42:00] #0082/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.720 gap=0.570
[2026-05-11 23:42:28] #0083/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:42:42] #0084/03743 | true=walking | pred=walking | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:43:01] #0085/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:43:54] #0086/03743 | true=walking | pred=walking | ✓ | ent=1.440 conf=0.450 gap=0.200
[2026-05-11 23:45:22] #0090/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:45:31] #0091/03743 | true=walking | pred=walking | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 23:45:33] #0092/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 23:46:08] #0094/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:46:17] #0095/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:46:30] #0096/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 23:46:47] #0098/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-11 23:47:17] #0099/03743 | true=walking | pred=walking | ✓ | ent=0.946 conf=0.630 gap=0.380
[2026-05-11 23:47:30] #0100/03743 | true=walking | pred=walking | ✓ | ent=0.911 conf=0.580 gap=0.230
[2026-05-11 23:47:34] #0101/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:48:06] #0103/03743 | true=walking | pred=walking | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:48:28] #0105/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-11 23:48:38] #0106/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-11 23:48:48] #0107/03743 | true=walking | pred=walking | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 23:50:27] #0113/03743 | true=walking | pred=walking | ✓ | ent=1.268 conf=0.550 gap=0.350
[2026-05-11 23:50:37] #0114/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:50:54] #0116/03743 | true=walking | pred=walking | ✓ | ent=1.404 conf=0.450 gap=0.200
[2026-05-11 23:51:43] #0118/03743 | true=walking | pred=walking | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-11 23:52:05] #0119/03743 | true=walking | pred=walking | ✓ | ent=0.498 conf=0.870 gap=0.790
[2026-05-11 23:52:24] #0120/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-11 23:52:28] #0121/03743 | true=walking | pred=walking | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:52:31] #0122/03743 | true=walking | pred=walking | ✓ | ent=1.338 conf=0.450 gap=0.150
[2026-05-11 23:52:34] #0123/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-11 23:52:48] #0124/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:52:59] #0125/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.610 gap=0.360
[2026-05-11 23:53:18] #0126/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-11 23:53:27] #0127/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:53:38] #0128/03743 | true=walking | pred=walking | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-11 23:53:49] #0130/03743 | true=walking | pred=walking | ✓ | ent=1.180 conf=0.460 gap=0.110
[2026-05-11 23:54:15] #0132/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:54:25] #0133/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.720 gap=0.600
[2026-05-11 23:54:35] #0134/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.560 gap=0.310
[2026-05-11 23:56:04] #0136/03743 | true=walking | pred=walking | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:56:31] #0137/03743 | true=walking | pred=walking | ✓ | ent=0.927 conf=0.590 gap=0.240
[2026-05-11 23:58:53] #0141/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 23:59:53] #0142/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:59:55] #0143/03743 | true=walking | pred=walking | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 23:59:57] #0144/03743 | true=walking | pred=walking | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:00:04] #0146/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:00:08] #0147/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:01:17] #0149/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:01:24] #0150/03743 | true=walking | pred=walking | ✓ | ent=1.214 conf=0.450 gap=0.100
[2026-05-12 00:01:35] #0151/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.800 gap=0.680
[2026-05-12 00:01:40] #0152/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:02:02] #0153/03743 | true=walking | pred=walking | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 00:02:16] #0154/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:02:29] #0155/03743 | true=walking | pred=walking | ✓ | ent=1.005 conf=0.580 gap=0.300
[2026-05-12 00:02:50] #0156/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:02:52] #0157/03743 | true=walking | pred=walking | ✓ | ent=1.452 conf=0.450 gap=0.250
[2026-05-12 00:03:05] #0158/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:03:18] #0159/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:03:21] #0160/03743 | true=walking | pred=walking | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:03:31] #0161/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:03:42] #0162/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:04:11] #0163/03743 | true=walking | pred=walking | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:04:14] #0164/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:04:16] #0165/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:04:49] #0167/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:04:59] #0168/03743 | true=walking | pred=walking | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 00:05:02] #0169/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:05:04] #0170/03743 | true=walking | pred=walking | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:05:07] #0171/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:05:43] #0173/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:06:14] #0175/03743 | true=walking | pred=walking | ✓ | ent=0.928 conf=0.730 gap=0.610
[2026-05-12 00:06:29] #0177/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:06:38] #0178/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-12 00:06:54] #0179/03743 | true=walking | pred=walking | ✓ | ent=1.087 conf=0.640 gap=0.490
[2026-05-12 00:07:20] #0180/03743 | true=walking | pred=walking | ✓ | ent=0.781 conf=0.750 gap=0.600
[2026-05-12 00:07:49] #0182/03743 | true=walking | pred=walking | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 00:08:03] #0183/03743 | true=walking | pred=walking | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 00:08:22] #0184/03743 | true=walking | pred=walking | ✓ | ent=1.290 conf=0.400 gap=0.150
[2026-05-12 00:08:24] #0185/03743 | true=walking | pred=walking | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:08:52] #0187/03743 | true=walking | pred=walking | ✓ | ent=0.878 conf=0.740 gap=0.620
[2026-05-12 00:09:03] #0188/03743 | true=walking | pred=walking | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:09:33] #0189/03743 | true=walking | pred=walking | ✓ | ent=1.020 conf=0.600 gap=0.300
[2026-05-12 00:10:00] #0190/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:10:04] #0191/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:10:18] #0192/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:10:39] #0193/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:10:49] #0194/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:10:53] #0195/03743 | true=walking | pred=walking | ✓ | ent=0.889 conf=0.500 gap=0.050
[2026-05-12 00:11:05] #0196/03743 | true=walking | pred=walking | ✓ | ent=0.946 conf=0.630 gap=0.380
[2026-05-12 00:11:36] #0197/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:11:41] #0198/03743 | true=walking | pred=walking | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-12 00:13:02] #0200/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:13:06] #0201/03743 | true=walking | pred=walking | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 00:13:59] #0203/03743 | true=walking | pred=walking | ✓ | ent=0.780 conf=0.700 gap=0.450
[2026-05-12 00:14:15] #0204/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:14:18] #0205/03743 | true=walking | pred=walking | ✓ | ent=1.446 conf=0.500 gap=0.350
[2026-05-12 00:14:33] #0206/03743 | true=walking | pred=walking | ✓ | ent=0.904 conf=0.680 gap=0.500
[2026-05-12 00:14:36] #0207/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 00:14:39] #0208/03743 | true=walking | pred=walking | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:15:06] #0209/03743 | true=walking | pred=walking | ✓ | ent=0.835 conf=0.760 gap=0.640
[2026-05-12 00:15:18] #0210/03743 | true=walking | pred=walking | ✓ | ent=1.235 conf=0.600 gap=0.450
[2026-05-12 00:15:39] #0211/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:15:44] #0212/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 00:17:42] #0216/03743 | true=walking | pred=walking | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 00:18:30] #0218/03743 | true=walking | pred=walking | ✓ | ent=1.030 conf=0.500 gap=0.200
[2026-05-12 00:18:37] #0219/03743 | true=walking | pred=walking | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:18:51] #0220/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 00:18:53] #0221/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:19:17] #0223/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:19:21] #0224/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:19:51] #0225/03743 | true=walking | pred=walking | ✓ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 00:20:29] #0226/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-12 00:22:36] #0230/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:23:35] #0232/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 00:23:53] #0233/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:24:19] #0234/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:25:23] #0237/03743 | true=walking | pred=walking | ✓ | ent=0.826 conf=0.770 gap=0.650
[2026-05-12 00:25:33] #0238/03743 | true=walking | pred=walking | ✓ | ent=1.081 conf=0.400 gap=0.050
[2026-05-12 00:25:45] #0239/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 00:25:59] #0240/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 00:26:11] #0241/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:26:14] #0242/03743 | true=walking | pred=walking | ✓ | ent=0.950 conf=0.600 gap=0.400
[2026-05-12 00:26:23] #0243/03743 | true=walking | pred=walking | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:27:47] #0248/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 00:28:02] #0249/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:28:29] #0250/03743 | true=walking | pred=walking | ✓ | ent=0.559 conf=0.830 gap=0.710
[2026-05-12 00:28:41] #0251/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:28:52] #0252/03743 | true=walking | pred=walking | ✓ | ent=1.006 conf=0.710 gap=0.590
[2026-05-12 00:29:01] #0254/03743 | true=walking | pred=walking | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:30:45] #0255/03743 | true=walking | pred=walking | ✓ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 00:30:51] #0256/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.730 gap=0.580
[2026-05-12 00:31:07] #0257/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:31:29] #0258/03743 | true=walking | pred=walking | ✓ | ent=1.206 conf=0.400 gap=0.050
[2026-05-12 00:31:41] #0259/03743 | true=walking | pred=walking | ✓ | ent=1.238 conf=0.430 gap=0.030
[2026-05-12 00:32:12] #0260/03743 | true=walking | pred=walking | ✓ | ent=1.263 conf=0.480 gap=0.230
[2026-05-12 00:32:15] #0261/03743 | true=walking | pred=walking | ✓ | ent=0.813 conf=0.760 gap=0.610
[2026-05-12 00:32:25] #0262/03743 | true=walking | pred=walking | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:33:16] #0263/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 00:33:28] #0264/03743 | true=walking | pred=walking | ✓ | ent=1.142 conf=0.500 gap=0.200
[2026-05-12 00:33:40] #0265/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:34:26] #0267/03743 | true=walking | pred=walking | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:35:23] #0268/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:35:26] #0269/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-12 00:35:36] #0270/03743 | true=walking | pred=walking | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:37:41] #0272/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-12 00:37:43] #0273/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:38:36] #0274/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 00:38:39] #0275/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:39:15] #0277/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:39:28] #0278/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:41:00] #0281/03743 | true=walking | pred=walking | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-12 00:41:11] #0282/03743 | true=walking | pred=walking | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:41:44] #0285/03743 | true=walking | pred=walking | ✓ | ent=1.192 conf=0.450 gap=0.150
[2026-05-12 00:41:47] #0286/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 00:41:49] #0287/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 00:41:51] #0288/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:43:57] #0291/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:44:10] #0292/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:44:21] #0293/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:44:23] #0294/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:44:31] #0295/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.680 gap=0.480
[2026-05-12 00:44:51] #0296/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:45:32] #0298/03743 | true=walking | pred=walking | ✓ | ent=0.774 conf=0.770 gap=0.620
[2026-05-12 00:45:51] #0299/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:46:57] #0302/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:47:43] #0304/03743 | true=walking | pred=walking | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:48:34] #0306/03743 | true=walking | pred=walking | ✓ | ent=1.224 conf=0.400 gap=0.100
[2026-05-12 00:48:47] #0307/03743 | true=walking | pred=walking | ✓ | ent=0.965 conf=0.650 gap=0.430
[2026-05-12 00:49:02] #0308/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:49:51] #0310/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:50:08] #0311/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:50:11] #0312/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:50:31] #0313/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:50:33] #0314/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:50:36] #0315/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:50:50] #0316/03743 | true=walking | pred=walking | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:50:59] #0317/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
