[2026-05-11 11:02:44] #0001/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:15:49] #0196/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:17:40] #0201/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 12:18:06] #0202/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:19:54] #0207/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:20:06] #0208/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:20:44] #0210/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 12:21:10] #0211/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:21:24] #0212/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.592 | conf=0.837 | gap=0.735
[2026-05-11 12:22:29] #0215/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:22:42] #0216/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:23:46] #0219/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:24:01] #0220/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:24:14] #0221/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:24:24] #0222/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 12:24:51] #0223/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.647 | conf=0.800 | gap=0.650
[2026-05-11 12:25:19] #0224/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:25:30] #0225/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.100 | conf=0.979 | gap=0.959
[2026-05-11 12:26:23] #0227/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.419 | conf=0.900 | gap=0.850
[2026-05-11 12:27:31] #0230/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:27:44] #0231/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.574 | conf=0.850 | gap=0.770
[2026-05-11 12:28:16] #0232/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 12:28:44] #0233/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:28:57] #0234/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.210 | conf=0.960 | gap=0.940
[2026-05-11 12:29:10] #0235/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:29:47] #0237/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:29:59] #0238/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:31:20] #0241/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 12:31:51] #0243/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:32:02] #0244/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:32:14] #0245/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:32:50] #0247/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.337 | conf=0.918 | gap=0.867
[2026-05-11 12:33:03] #0248/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:33:15] #0249/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:33:29] #0250/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 12:34:35] #0253/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:35:09] #0255/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:35:21] #0256/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:35:43] #0257/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:37:23] #0261/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:38:47] #0265/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:39:03] #0266/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:39:41] #0268/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:53] #0269/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:41:43] #0274/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:41:54] #0275/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:42:49] #0278/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:42:59] #0279/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:43:32] #0281/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.293 | conf=0.940 | gap=0.920
[2026-05-11 12:44:09] #0283/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 12:44:22] #0284/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:46:09] #0289/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:46:22] #0290/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:46:38] #0291/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.356 | conf=0.918 | gap=0.867
[2026-05-11 12:46:48] #0292/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.288 | conf=0.940 | gap=0.910
[2026-05-11 12:48:06] #0296/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.780 | conf=0.700 | gap=0.450
[2026-05-11 12:48:29] #0297/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.419 | conf=0.900 | gap=0.850
[2026-05-11 12:49:23] #0300/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.288 | conf=0.940 | gap=0.910
[2026-05-11 12:49:48] #0301/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 12:50:02] #0302/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 12:50:13] #0303/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:51:04] #0305/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:51:27] #0306/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:51:33] #0307/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:52:26] #0309/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 12:52:48] #0310/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.638 | conf=0.800 | gap=0.650
[2026-05-11 12:53:37] #0312/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=1.022 | conf=0.550 | gap=0.200
[2026-05-11 12:53:48] #0313/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.648 | conf=0.820 | gap=0.720
[2026-05-11 12:54:04] #0314/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:54:15] #0315/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:55:36] #0319/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:56:00] #0320/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.852 | conf=0.700 | gap=0.500
[2026-05-11 12:56:10] #0321/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.293 | conf=0.940 | gap=0.920
[2026-05-11 12:58:24] #0327/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:58:33] #0328/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:58:45] #0329/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:59:00] #0330/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:59:10] #0331/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:59:45] #0333/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 13:00:43] #0336/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:01:11] #0337/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 13:01:27] #0338/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 13:01:52] #0339/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=1.075 | conf=0.650 | gap=0.500
[2026-05-11 13:02:05] #0340/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 13:02:41] #0342/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 13:03:09] #0343/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:03:37] #0344/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 13:04:36] #0347/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
