[2026-05-12 10:28:09] PAMAP2 class 4 (jogging) start T=0.8
[2026-05-12 10:28:09]   602 windows
[2026-05-12 10:28:34] #0001/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 10:36:17] #0024/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 10:36:32] #0025/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:36:43] #0026/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 10:36:51] #0027/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 10:37:03] #0028/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 10:37:15] #0029/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.517 conf=0.830 gap=0.680
[2026-05-12 10:37:36] #0030/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:37:48] #0031/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.444 conf=0.890 gap=0.810
[2026-05-12 10:38:27] #0032/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 10:38:39] #0033/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 10:38:43] #0034/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:39:47] #0035/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 10:40:01] #0036/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.531 conf=0.850 gap=0.730
[2026-05-12 10:40:27] #0037/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 10:40:54] #0038/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.910 conf=0.720 gap=0.580
[2026-05-12 10:41:03] #0039/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:41:15] #0040/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:41:15]   [40/602] acc=31/40=78% filt=40
[2026-05-12 10:41:40] #0041/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:41:49] #0042/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 10:42:00] #0043/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:42:10] #0044/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 10:42:20] #0045/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:42:31] #0046/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 10:42:41] #0047/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 10:43:00] #0048/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:43:11] #0049/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 10:43:23] #0050/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.781 conf=0.780 gap=0.660
[2026-05-12 10:43:41] #0051/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:43:51] #0052/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.254 conf=0.930 gap=0.860
[2026-05-12 10:44:02] #0053/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:44:13] #0054/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 10:44:41] #0055/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:44:49] #0056/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 10:45:18] #0057/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:45:34] #0058/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:45:46] #0059/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:45:57] #0060/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.684 conf=0.700 gap=0.420
[2026-05-12 10:45:57]   [60/602] acc=48/60=80% filt=60
[2026-05-12 10:46:43] #0061/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 10:46:55] #0062/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 10:48:07] #0063/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 10:48:17] #0064/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.666 conf=0.800 gap=0.650
[2026-05-12 10:48:26] #0065/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 10:48:56] #0066/00602 | true=jogging(4) | pred=sitting(1) | ✗ | ent=1.278 conf=0.550 gap=0.400
[2026-05-12 10:49:06] #0067/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:49:17] #0068/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 10:49:45] #0069/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.573 conf=0.850 gap=0.750
[2026-05-12 10:50:06] #0070/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 10:50:26] #0071/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.396 conf=0.900 gap=0.820
[2026-05-12 10:50:35] #0072/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:50:45] #0073/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:50:54] #0074/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 10:51:16] #0075/00602 | true=jogging(4) | pred=sitting(1) | ✗ | ent=0.729 conf=0.780 gap=0.660
[2026-05-12 10:51:25] #0076/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 10:51:38] #0077/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 10:51:51] #0078/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:52:03] #0079/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:52:18] #0080/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:52:18]   [80/602] acc=60/80=75% filt=80
[2026-05-12 10:52:30] #0081/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.501 conf=0.880 gap=0.810
[2026-05-12 10:52:40] #0082/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:52:52] #0083/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 10:53:22] #0084/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 10:53:32] #0085/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 10:53:58] #0086/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 10:54:12] #0087/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 10:54:20] #0088/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:54:32] #0089/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:55:01] #0090/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 10:55:32] #0091/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 10:55:44] #0092/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:56:04] #0093/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 10:56:17] #0094/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.740 conf=0.780 gap=0.630
[2026-05-12 10:56:26] #0095/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 10:56:39] #0096/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:57:08] #0097/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.531 conf=0.850 gap=0.730
[2026-05-12 10:57:18] #0098/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:57:30] #0099/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 10:57:39] #0100/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.728 conf=0.800 gap=0.690
[2026-05-12 10:57:39]   [100/602] acc=77/100=77% filt=100
[2026-05-12 10:57:50] #0101/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:58:05] #0102/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 10:58:16] #0103/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:58:46] #0104/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 10:58:57] #0105/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:59:12] #0106/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:59:25] #0107/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 10:59:37] #0108/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 10:59:48] #0109/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:59:59] #0110/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:00:15] #0111/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:00:27] #0112/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 11:00:39] #0113/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:00:51] #0114/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 11:01:03] #0115/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:01:11] #0116/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:01:20] #0117/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 11:01:34] #0118/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.419 conf=0.900 gap=0.830
[2026-05-12 11:01:58] #0119/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 11:02:24] #0120/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:02:24]   [120/602] acc=95/120=79% filt=120
[2026-05-12 11:02:32] #0121/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.660 conf=0.800 gap=0.650
[2026-05-12 11:02:42] #0122/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:02:54] #0123/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.482 conf=0.850 gap=0.720
[2026-05-12 11:03:14] #0124/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:03:27] #0125/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 11:03:38] #0126/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:03:48] #0127/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.781 conf=0.780 gap=0.660
[2026-05-12 11:03:51] #0128/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:03:59] #0129/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 11:04:10] #0130/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:04:18] #0131/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:04:47] #0132/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:04:55] #0133/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 11:05:20] #0134/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:05:48] #0135/00602 | true=jogging(4) | pred=lying(0) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 11:05:58] #0136/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:06:10] #0137/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 11:07:08] #0138/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 11:07:37] #0139/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 11:07:47] #0140/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 11:07:47]   [140/602] acc=113/140=81% filt=140
[2026-05-12 11:07:57] #0141/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:08:11] #0142/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:08:43] #0143/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 11:08:59] #0144/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 11:09:22] #0145/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=1.051 conf=0.650 gap=0.450
[2026-05-12 11:09:40] #0146/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:09:49] #0147/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:10:14] #0148/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:10:24] #0149/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:10:33] #0150/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:10:45] #0151/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 11:11:12] #0152/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:11:23] #0153/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:11:36] #0154/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:11:46] #0155/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:11:55] #0156/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:12:22] #0157/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:12:51] #0158/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 11:13:13] #0159/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:13:22] #0160/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:13:22]   [160/602] acc=128/160=80% filt=160
[2026-05-12 11:13:33] #0161/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:13:43] #0162/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 11:14:08] #0163/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:14:19] #0164/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 11:14:28] #0165/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.642 conf=0.800 gap=0.640
[2026-05-12 11:14:39] #0166/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.419 conf=0.900 gap=0.830
[2026-05-12 11:14:48] #0167/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:14:59] #0168/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:15:08] #0169/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 11:15:35] #0170/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:15:44] #0171/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:16:01] #0172/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 11:16:28] #0173/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:16:41] #0174/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:17:04] #0175/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:17:14] #0176/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:17:24] #0177/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 11:17:35] #0178/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:18:00] #0179/00602 | true=jogging(4) | pred=lying(0) | ✗ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 11:18:13] #0180/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 11:18:13]   [180/602] acc=146/180=81% filt=180
[2026-05-12 11:18:42] #0181/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:18:55] #0182/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:19:05] #0183/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:19:14] #0184/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.642 conf=0.800 gap=0.640
[2026-05-12 11:19:27] #0185/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:19:57] #0186/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.606 conf=0.830 gap=0.710
[2026-05-12 11:20:07] #0187/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:20:09] #0188/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 11:20:42] #0189/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:20:56] #0190/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.707 conf=0.800 gap=0.680
[2026-05-12 11:21:06] #0191/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:21:20] #0192/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:21:33] #0193/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:21:47] #0194/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:21:59] #0195/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:22:13] #0196/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:22:42] #0197/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:22:45] #0198/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:22:56] #0199/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.794 conf=0.700 gap=0.450
[2026-05-12 11:23:10] #0200/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:23:10]   [200/602] acc=164/200=82% filt=200
[2026-05-12 11:23:21] #0201/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.602 conf=0.850 gap=0.770
