[2026-05-12 22:30:43] #0001/13069 | true=walk | pred=walk | ✓ | ent=1.499 conf=0.450 gap=0.200
[2026-05-12 22:58:15] #0137/13069 | true=walk | pred=walk | ✓ | ent=1.590 conf=0.350 gap=0.050
[2026-05-12 22:58:27] #0140/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 22:58:34] #0142/13069 | true=walk | pred=walk | ✓ | ent=1.243 conf=0.650 gap=0.550
[2026-05-11 22:26:32] #0145/13069 | true=walk | pred=walk | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 22:59:51] #0147/13069 | true=walk | pred=walk | ✓ | ent=1.665 conf=0.450 gap=0.300
[2026-05-12 23:00:00] #0148/13069 | true=walk | pred=walk | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 23:00:04] #0149/13069 | true=walk | pred=walk | ✓ | ent=0.316 conf=0.945 gap=0.935
[2026-05-12 23:00:16] #0150/13069 | true=walk | pred=walk | ✓ | ent=1.852 conf=0.350 gap=0.200
[2026-05-12 23:00:26] #0151/13069 | true=walk | pred=walk | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 23:00:37] #0152/13069 | true=walk | pred=walk | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 23:00:44] #0153/13069 | true=walk | pred=walk | ✓ | ent=1.084 conf=0.720 gap=0.640
[2026-05-11 22:29:03] #0154/13069 | true=walk | pred=walk | ✓ | ent=0.756 conf=0.820 gap=0.740
[2026-05-11 22:30:20] #0157/13069 | true=walk | pred=walk | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 23:02:05] #0158/13069 | true=walk | pred=walk | ✓ | ent=0.638 conf=0.800 gap=0.689
[2026-05-11 22:30:35] #0159/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 23:02:24] #0160/13069 | true=walk | pred=walk | ✓ | ent=1.525 conf=0.520 gap=0.390
[2026-05-11 22:30:53] #0161/13069 | true=walk | pred=walk | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 23:03:21] #0164/13069 | true=walk | pred=walk | ✓ | ent=1.187 conf=0.650 gap=0.530
[2026-05-12 23:03:30] #0165/13069 | true=walk | pred=walk | ✓ | ent=1.620 conf=0.420 gap=0.220
[2026-05-12 23:04:08] #0168/13069 | true=walk | pred=walk | ✓ | ent=0.385 conf=0.920 gap=0.870
[2026-05-12 23:04:25] #0170/13069 | true=walk | pred=walk | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 23:04:37] #0171/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 22:33:47] #0174/13069 | true=walk | pred=walk | ✓ | ent=0.621 conf=0.850 gap=0.770
[2026-05-11 22:33:55] #0175/13069 | true=walk | pred=walk | ✓ | ent=0.289 conf=0.950 gap=0.940
[2026-05-12 23:05:52] #0177/13069 | true=walk | pred=walk | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 23:06:05] #0178/13069 | true=walk | pred=walk | ✓ | ent=0.638 conf=0.850 gap=0.800
[2026-05-12 23:06:09] #0179/13069 | true=walk | pred=walk | ✓ | ent=1.293 conf=0.650 gap=0.550
[2026-05-12 23:06:19] #0180/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:35:28] #0181/13069 | true=walk | pred=walk | ✓ | ent=0.841 conf=0.780 gap=0.680
[2026-05-11 22:35:56] #0182/13069 | true=walk | pred=walk | ✓ | ent=0.671 conf=0.850 gap=0.810
[2026-05-11 22:35:59] #0183/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 23:07:14] #0184/13069 | true=walk | pred=walk | ✓ | ent=0.482 conf=0.900 gap=0.850
[2026-05-11 22:36:21] #0185/13069 | true=walk | pred=walk | ✓ | ent=0.879 conf=0.550 gap=0.150
[2026-05-11 22:36:25] #0186/13069 | true=walk | pred=walk | ✓ | ent=0.501 conf=0.902 gap=0.873
[2026-05-11 22:36:35] #0187/13069 | true=walk | pred=walk | ✓ | ent=0.648 conf=0.850 gap=0.790
[2026-05-12 23:08:19] #0190/13069 | true=walk | pred=walk | ✓ | ent=1.012 conf=0.750 gap=0.700
[2026-05-12 23:08:43] #0192/13069 | true=walk | pred=walk | ✓ | ent=1.785 conf=0.250 gap=0.000
[2026-05-12 23:08:54] #0193/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 23:09:06] #0194/13069 | true=walk | pred=walk | ✓ | ent=0.702 conf=0.820 gap=0.720
[2026-05-12 23:09:22] #0195/13069 | true=walk | pred=walk | ✓ | ent=0.984 conf=0.750 gap=0.670
[2026-05-12 23:09:25] #0196/13069 | true=walk | pred=walk | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 23:09:29] #0197/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 23:09:39] #0198/13069 | true=walk | pred=walk | ✓ | ent=0.663 conf=0.850 gap=0.810
[2026-05-12 23:09:45] #0199/13069 | true=walk | pred=walk | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 23:09:52] #0200/13069 | true=walk | pred=walk | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 23:10:14] #0202/13069 | true=walk | pred=walk | ✓ | ent=0.676 conf=0.850 gap=0.800
[2026-05-12 23:10:25] #0203/13069 | true=walk | pred=walk | ✓ | ent=0.841 conf=0.780 gap=0.680
[2026-05-12 23:10:40] #0205/13069 | true=walk | pred=walk | ✓ | ent=0.803 conf=0.800 gap=0.700
[2026-05-12 23:10:56] #0206/13069 | true=walk | pred=walk | ✓ | ent=0.286 conf=0.950 gap=0.940
[2026-05-12 23:11:07] #0207/13069 | true=walk | pred=walk | ✓ | ent=1.138 conf=0.650 gap=0.450
[2026-05-12 23:11:31] #0211/13069 | true=walk | pred=walk | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 23:11:36] #0212/13069 | true=walk | pred=walk | ✓ | ent=0.752 conf=0.820 gap=0.740
[2026-05-11 22:41:39] #0215/13069 | true=walk | pred=walk | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:41:49] #0216/13069 | true=walk | pred=walk | ✓ | ent=0.998 conf=0.750 gap=0.670
[2026-05-12 23:12:45] #0217/13069 | true=walk | pred=walk | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 23:12:53] #0218/13069 | true=walk | pred=walk | ✓ | ent=0.417 conf=0.920 gap=0.900
[2026-05-11 22:42:13] #0219/13069 | true=walk | pred=walk | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-11 22:42:45] #0222/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 23:13:55] #0224/13069 | true=walk | pred=walk | ✓ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 22:43:37] #0226/13069 | true=walk | pred=walk | ✓ | ent=1.106 conf=0.450 gap=0.050
[2026-05-12 23:14:41] #0228/13069 | true=walk | pred=walk | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-12 23:14:48] #0229/13069 | true=walk | pred=walk | ✓ | ent=0.408 conf=0.915 gap=0.866
[2026-05-11 22:44:29] #0230/13069 | true=walk | pred=walk | ✓ | ent=1.111 conf=0.650 gap=0.450
[2026-05-12 23:15:24] #0231/13069 | true=walk | pred=walk | ✓ | ent=0.707 conf=0.820 gap=0.760
[2026-05-11 22:44:41] #0232/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 22:44:44] #0233/13069 | true=walk | pred=walk | ✓ | ent=0.660 conf=0.850 gap=0.800
[2026-05-12 23:16:10] #0234/13069 | true=walk | pred=walk | ✓ | ent=1.197 conf=0.650 gap=0.500
[2026-05-12 23:16:25] #0235/13069 | true=walk | pred=walk | ✓ | ent=0.514 conf=0.900 gap=0.880
[2026-05-12 23:16:33] #0236/13069 | true=walk | pred=walk | ✓ | ent=0.734 conf=0.820 gap=0.720
[2026-05-12 23:16:45] #0238/13069 | true=walk | pred=walk | ✓ | ent=1.466 conf=0.400 gap=0.150
[2026-05-11 22:46:09] #0239/13069 | true=walk | pred=walk | ✓ | ent=0.748 conf=0.820 gap=0.760
[2026-05-11 22:46:17] #0240/13069 | true=walk | pred=walk | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:46:26] #0241/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 23:17:55] #0244/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 23:18:05] #0245/13069 | true=walk | pred=walk | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:47:57] #0247/13069 | true=walk | pred=walk | ✓ | ent=1.085 conf=0.720 gap=0.640
[2026-05-12 23:18:44] #0249/13069 | true=walk | pred=walk | ✓ | ent=0.676 conf=0.850 gap=0.800
[2026-05-12 23:18:51] #0250/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:48:45] #0251/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.920
[2026-05-11 22:48:49] #0252/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:49:02] #0253/13069 | true=walk | pred=walk | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-11 22:49:14] #0254/13069 | true=walk | pred=walk | ✓ | ent=1.087 conf=0.650 gap=0.430
[2026-05-11 22:50:15] #0256/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.920
[2026-05-12 23:20:19] #0257/13069 | true=walk | pred=walk | ✓ | ent=1.012 conf=0.750 gap=0.700
[2026-05-12 23:20:22] #0258/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 23:20:32] #0259/13069 | true=walk | pred=walk | ✓ | ent=0.759 conf=0.820 gap=0.740
[2026-05-11 22:51:28] #0260/13069 | true=walk | pred=walk | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 23:21:09] #0262/13069 | true=walk | pred=walk | ✓ | ent=0.891 conf=0.780 gap=0.700
[2026-05-11 22:51:46] #0263/13069 | true=walk | pred=walk | ✓ | ent=0.676 conf=0.850 gap=0.800
[2026-05-12 23:21:31] #0264/13069 | true=walk | pred=walk | ✓ | ent=1.686 conf=0.400 gap=0.200
[2026-05-12 23:21:34] #0265/13069 | true=walk | pred=walk | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:52:45] #0267/13069 | true=walk | pred=walk | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 23:21:53] #0268/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.920
[2026-05-12 23:22:16] #0272/13069 | true=walk | pred=walk | ✓ | ent=1.024 conf=0.720 gap=0.620
[2026-05-11 22:54:15] #0273/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 22:54:27] #0274/13069 | true=walk | pred=walk | ✓ | ent=0.780 conf=0.780 gap=0.630
[2026-05-12 23:22:40] #0275/13069 | true=walk | pred=walk | ✓ | ent=0.585 conf=0.820 gap=0.670
[2026-05-11 22:55:45] #0277/13069 | true=walk | pred=walk | ✓ | ent=0.881 conf=0.750 gap=0.600
[2026-05-12 23:23:18] #0278/13069 | true=walk | pred=walk | ✓ | ent=0.556 conf=0.850 gap=0.780
[2026-05-12 23:23:48] #0281/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 23:23:54] #0283/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:58:14] #0285/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 23:24:22] #0286/13069 | true=walk | pred=walk | ✓ | ent=1.094 conf=0.650 gap=0.470
[2026-05-11 22:58:29] #0287/13069 | true=walk | pred=walk | ✓ | ent=1.086 conf=0.720 gap=0.640
[2026-05-11 22:58:34] #0288/13069 | true=walk | pred=walk | ✓ | ent=0.384 conf=0.931 gap=0.922
[2026-05-12 23:24:45] #0289/13069 | true=walk | pred=walk | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 23:25:16] #0292/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 23:25:23] #0293/13069 | true=walk | pred=walk | ✓ | ent=0.940 conf=0.750 gap=0.670
[2026-05-12 23:25:26] #0294/13069 | true=walk | pred=walk | ✓ | ent=0.341 conf=0.940 gap=0.930
[2026-05-11 22:59:37] #0295/13069 | true=walk | pred=walk | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 23:25:34] #0296/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 23:25:43] #0297/13069 | true=walk | pred=walk | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:00:05] #0298/13069 | true=walk | pred=walk | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 23:26:00] #0299/13069 | true=walk | pred=walk | ✓ | ent=0.556 conf=0.850 gap=0.780
[2026-05-11 23:00:13] #0300/13069 | true=walk | pred=walk | ✓ | ent=1.240 conf=0.350 gap=0.050
[2026-05-12 23:26:25] #0302/13069 | true=walk | pred=walk | ✓ | ent=0.862 conf=0.750 gap=0.600
[2026-05-11 23:01:57] #0306/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.920
[2026-05-11 23:02:08] #0307/13069 | true=walk | pred=walk | ✓ | ent=0.606 conf=0.850 gap=0.750
[2026-05-12 23:27:24] #0308/13069 | true=walk | pred=walk | ✓ | ent=0.635 conf=0.850 gap=0.770
[2026-05-12 23:27:35] #0311/13069 | true=walk | pred=walk | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 23:27:39] #0312/13069 | true=walk | pred=walk | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 23:27:42] #0313/13069 | true=walk | pred=walk | ✓ | ent=1.221 conf=0.500 gap=0.300
[2026-05-12 23:27:54] #0315/13069 | true=walk | pred=walk | ✓ | ent=0.332 conf=0.920 gap=0.870
[2026-05-11 23:03:38] #0316/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 23:28:20] #0317/13069 | true=walk | pred=walk | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 23:28:23] #0318/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 23:04:07] #0319/13069 | true=walk | pred=walk | ✓ | ent=0.863 conf=0.750 gap=0.600
[2026-05-12 23:28:38] #0320/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 23:04:16] #0321/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 23:28:48] #0322/13069 | true=walk | pred=walk | ✓ | ent=1.609 conf=0.350 gap=0.100
[2026-05-11 23:05:00] #0324/13069 | true=walk | pred=walk | ✓ | ent=0.646 conf=0.850 gap=0.780
[2026-05-12 23:29:14] #0325/13069 | true=walk | pred=walk | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 23:05:24] #0327/13069 | true=walk | pred=walk | ✓ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 23:29:43] #0329/13069 | true=walk | pred=walk | ✓ | ent=0.624 conf=0.850 gap=0.800
[2026-05-12 23:29:53] #0330/13069 | true=walk | pred=walk | ✓ | ent=0.282 conf=0.950 gap=0.930
[2026-05-11 23:06:27] #0331/13069 | true=walk | pred=walk | ✓ | ent=0.773 conf=0.820 gap=0.760
[2026-05-11 23:06:34] #0332/13069 | true=walk | pred=walk | ✓ | ent=0.169 conf=0.960 gap=0.919
[2026-05-12 23:30:49] #0334/13069 | true=walk | pred=walk | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 23:07:45] #0337/13069 | true=walk | pred=walk | ✓ | ent=0.316 conf=0.945 gap=0.935
[2026-05-12 23:31:40] #0338/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 23:08:21] #0340/13069 | true=walk | pred=walk | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-11 23:08:41] #0342/13069 | true=walk | pred=walk | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 23:32:44] #0344/13069 | true=walk | pred=walk | ✓ | ent=0.606 conf=0.850 gap=0.750
[2026-05-11 23:09:50] #0346/13069 | true=walk | pred=walk | ✓ | ent=1.033 conf=0.650 gap=0.500
[2026-05-12 23:32:59] #0347/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 23:33:09] #0348/13069 | true=walk | pred=walk | ✓ | ent=0.825 conf=0.800 gap=0.750
[2026-05-12 23:33:24] #0350/13069 | true=walk | pred=walk | ✓ | ent=0.979 conf=0.750 gap=0.670
[2026-05-12 23:33:36] #0352/13069 | true=walk | pred=walk | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:11:01] #0353/13069 | true=walk | pred=walk | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 23:33:59] #0354/13069 | true=walk | pred=walk | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-12 23:34:37] #0358/13069 | true=walk | pred=walk | ✓ | ent=0.405 conf=0.920 gap=0.890
[2026-05-11 23:12:26] #0359/13069 | true=walk | pred=walk | ✓ | ent=0.384 conf=0.931 gap=0.922
[2026-05-11 23:14:24] #0366/13069 | true=walk | pred=walk | ✓ | ent=1.263 conf=0.620 gap=0.520
[2026-05-12 23:35:57] #0367/13069 | true=walk | pred=walk | ✓ | ent=1.259 conf=0.650 gap=0.550
[2026-05-11 23:15:01] #0368/13069 | true=walk | pred=walk | ✓ | ent=0.631 conf=0.870 gap=0.840
[2026-05-11 23:15:41] #0371/13069 | true=walk | pred=walk | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 23:37:09] #0375/13069 | true=walk | pred=walk | ✓ | ent=0.531 conf=0.850 gap=0.730
[2026-05-11 23:17:39] #0378/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 23:17:52] #0379/13069 | true=walk | pred=walk | ✓ | ent=1.547 conf=0.350 gap=0.050
[2026-05-12 23:37:46] #0380/13069 | true=walk | pred=walk | ✓ | ent=0.282 conf=0.950 gap=0.930
