[2026-05-11 21:51:10] HARTH class 0 (walk) T=0.8
[2026-05-11 21:51:10]   13069 windows
[2026-05-12 22:30:43] #0001/13069 | true=walk | pred=walk | ✓ | ent=1.499 conf=0.450 gap=0.200
[2026-05-12 22:36:26] #0030/13069 | true=walk | pred=walk | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 22:36:31] #0031/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 22:36:40] #0032/13069 | true=walk | pred=walk | ✓ | ent=0.859 conf=0.800 gap=0.750
[2026-05-12 22:36:54] #0033/13069 | true=walk | pred=walk | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 22:37:01] #0034/13069 | true=walk | pred=walk | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 22:37:08] #0035/13069 | true=walk | pred=walk | ✓ | ent=0.571 conf=0.850 gap=0.780
[2026-05-12 22:37:26] #0036/13069 | true=walk | pred=stairs_up | ✗ | ent=1.118 conf=0.500 gap=0.100
[2026-05-12 22:37:48] #0037/13069 | true=walk | pred=stairs_up | ✗ | ent=1.241 conf=0.550 gap=0.270
[2026-05-12 22:38:17] #0038/13069 | true=walk | pred=stairs_up | ✗ | ent=1.029 conf=0.450 gap=0.000
[2026-05-12 22:38:42] #0039/13069 | true=walk | pred=stand | ✗ | ent=0.679 conf=0.800 gap=0.650
[2026-05-12 22:38:57] #0040/13069 | true=walk | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 21:59:44]   [40/13069] acc=60% filt=33
[2026-05-12 22:39:01] #0041/13069 | true=walk | pred=walk | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 22:39:14] #0042/13069 | true=walk | pred=walk | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 22:39:27] #0043/13069 | true=walk | pred=stairs_up | ✗ | ent=1.400 conf=0.450 gap=0.150
[2026-05-12 22:39:47] #0044/13069 | true=walk | pred=stairs_up | ✗ | ent=1.010 conf=0.450 gap=0.050
[2026-05-12 22:39:51] #0045/13069 | true=walk | pred=walk | ✓ | ent=0.718 conf=0.842 gap=0.792
[2026-05-12 22:40:08] #0046/13069 | true=walk | pred=shuffle | ✗ | ent=1.738 conf=0.350 gap=0.100
[2026-05-12 22:40:25] #0047/13069 | true=walk | pred=run | ✗ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 22:40:50] #0048/13069 | true=walk | pred=run | ✗ | ent=0.440 conf=0.915 gap=0.896
[2026-05-12 22:40:59] #0049/13069 | true=walk | pred=run | ✗ | ent=0.888 conf=0.780 gap=0.680
[2026-05-12 22:41:15] #0050/13069 | true=walk | pred=walk | ✓ | ent=0.786 conf=0.820 gap=0.770
[2026-05-12 22:41:32] #0051/13069 | true=walk | pred=run | ✗ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 22:41:50] #0052/13069 | true=walk | pred=walk | ✓ | ent=0.635 conf=0.850 gap=0.770
[2026-05-12 22:41:53] #0053/13069 | true=walk | pred=walk | ✓ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 22:42:01] #0054/13069 | true=walk | pred=walk | ✓ | ent=0.971 conf=0.700 gap=0.500
[2026-05-12 22:42:17] #0055/13069 | true=walk | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 22:42:20] #0056/13069 | true=walk | pred=walk | ✓ | ent=1.322 conf=0.550 gap=0.300
[2026-05-12 22:42:24] #0057/13069 | true=walk | pred=walk | ✓ | ent=1.211 conf=0.650 gap=0.500
[2026-05-12 22:42:38] #0058/13069 | true=walk | pred=walk | ✓ | ent=0.977 conf=0.750 gap=0.650
[2026-05-12 22:42:41] #0059/13069 | true=walk | pred=walk | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 22:42:54] #0060/13069 | true=walk | pred=shuffle | ✗ | ent=0.343 conf=0.930 gap=0.900
[2026-05-11 22:03:28]   [60/13069] acc=62% filt=52
[2026-05-12 22:43:01] #0061/13069 | true=walk | pred=run | ✗ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 22:43:05] #0062/13069 | true=walk | pred=walk | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 22:43:18] #0063/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 22:43:21] #0064/13069 | true=walk | pred=walk | ✓ | ent=0.830 conf=0.800 gap=0.750
[2026-05-12 22:43:35] #0065/13069 | true=walk | pred=walk | ✓ | ent=1.249 conf=0.650 gap=0.550
[2026-05-12 22:43:47] #0066/13069 | true=walk | pred=walk | ✓ | ent=0.606 conf=0.850 gap=0.750
[2026-05-12 22:43:59] #0067/13069 | true=walk | pred=walk | ✓ | ent=0.635 conf=0.850 gap=0.770
[2026-05-12 22:44:17] #0068/13069 | true=walk | pred=walk | ✓ | ent=1.004 conf=0.720 gap=0.570
[2026-05-12 22:44:27] #0069/13069 | true=walk | pred=walk | ✓ | ent=0.993 conf=0.700 gap=0.520
[2026-05-12 22:44:43] #0070/13069 | true=walk | pred=run | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 22:44:48] #0071/13069 | true=walk | pred=walk | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-12 22:45:00] #0072/13069 | true=walk | pred=walk | ✓ | ent=0.719 conf=0.820 gap=0.740
[2026-05-12 22:45:08] #0073/13069 | true=walk | pred=walk | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 22:45:35] #0074/13069 | true=walk | pred=run | ✗ | ent=0.223 conf=0.960 gap=0.950
[2026-05-12 22:45:54] #0075/13069 | true=walk | pred=stairs_up | ✗ | ent=1.235 conf=0.550 gap=0.350
[2026-05-12 22:45:56] #0076/13069 | true=walk | pred=walk | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 22:46:09] #0077/13069 | true=walk | pred=walk | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 22:46:27] #0078/13069 | true=walk | pred=stairs_up | ✗ | ent=1.379 conf=0.380 gap=0.000
[2026-05-12 22:46:39] #0079/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 22:46:51] #0080/13069 | true=walk | pred=walk | ✓ | ent=0.761 conf=0.820 gap=0.750
[2026-05-11 22:08:15]   [80/13069] acc=59% filt=70
[2026-05-12 22:47:06] #0081/13069 | true=walk | pred=stairs_up | ✗ | ent=1.575 conf=0.350 gap=0.000
[2026-05-12 22:47:22] #0082/13069 | true=walk | pred=stand | ✗ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 22:47:33] #0083/13069 | true=walk | pred=walk | ✓ | ent=0.412 conf=0.920 gap=0.890
[2026-05-12 22:47:41] #0084/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 22:47:52] #0085/13069 | true=walk | pred=run | ✗ | ent=0.233 conf=0.950 gap=0.925
[2026-05-12 22:48:13] #0086/13069 | true=walk | pred=stairs_down | ✗ | ent=1.422 conf=0.380 gap=0.030
[2026-05-12 22:48:24] #0087/13069 | true=walk | pred=walk | ✓ | ent=0.833 conf=0.700 gap=0.450
[2026-05-12 22:48:27] #0088/13069 | true=walk | pred=walk | ✓ | ent=0.384 conf=0.931 gap=0.922
[2026-05-12 22:48:42] #0089/13069 | true=walk | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 22:48:50] #0090/13069 | true=walk | pred=walk | ✓ | ent=0.537 conf=0.893 gap=0.864
[2026-05-12 22:49:07] #0091/13069 | true=walk | pred=stairs_up | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 22:49:12] #0092/13069 | true=walk | pred=walk | ✓ | ent=1.716 conf=0.350 gap=0.150
[2026-05-12 22:49:31] #0093/13069 | true=walk | pred=run | ✗ | ent=0.514 conf=0.900 gap=0.880
[2026-05-12 22:49:52] #0094/13069 | true=walk | pred=stairs_up | ✗ | ent=1.398 conf=0.420 gap=0.040
[2026-05-12 22:50:01] #0095/13069 | true=walk | pred=walk | ✓ | ent=0.571 conf=0.880 gap=0.830
[2026-05-12 22:50:23] #0096/13069 | true=walk | pred=stairs_down | ✗ | ent=1.184 conf=0.520 gap=0.170
[2026-05-12 22:50:27] #0097/13069 | true=walk | pred=walk | ✓ | ent=1.243 conf=0.650 gap=0.550
[2026-05-12 22:50:39] #0098/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 22:50:53] #0099/13069 | true=walk | pred=walk | ✓ | ent=1.676 conf=0.300 gap=0.050
[2026-05-12 22:50:57] #0100/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 22:13:44]   [100/13069] acc=58% filt=86
[2026-05-12 22:51:18] #0101/13069 | true=walk | pred=stairs_down | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 22:51:26] #0102/13069 | true=walk | pred=walk | ✓ | ent=0.654 conf=0.850 gap=0.800
[2026-05-12 22:51:43] #0103/13069 | true=walk | pred=run | ✗ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 22:52:02] #0104/13069 | true=walk | pred=stairs_up | ✗ | ent=1.245 conf=0.650 gap=0.530
[2026-05-12 22:52:07] #0105/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 22:52:22] #0106/13069 | true=walk | pred=walk | ✓ | ent=0.671 conf=0.850 gap=0.810
[2026-05-12 22:52:31] #0107/13069 | true=walk | pred=walk | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 22:52:34] #0108/13069 | true=walk | pred=walk | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 22:52:43] #0109/13069 | true=walk | pred=run | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 22:52:58] #0110/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 22:53:12] #0111/13069 | true=walk | pred=walk | ✓ | ent=0.993 conf=0.750 gap=0.670
[2026-05-12 22:53:22] #0112/13069 | true=walk | pred=walk | ✓ | ent=0.514 conf=0.900 gap=0.880
[2026-05-12 22:53:32] #0113/13069 | true=walk | pred=walk | ✓ | ent=0.694 conf=0.850 gap=0.810
[2026-05-12 22:53:43] #0114/13069 | true=walk | pred=walk | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 22:53:48] #0115/13069 | true=walk | pred=walk | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 22:54:04] #0116/13069 | true=walk | pred=run | ✗ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 22:54:23] #0117/13069 | true=walk | pred=shuffle | ✗ | ent=1.240 conf=0.350 gap=0.050
[2026-05-12 22:54:34] #0118/13069 | true=walk | pred=run | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 22:54:53] #0119/13069 | true=walk | pred=walk | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 22:55:02] #0120/13069 | true=walk | pred=run | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:17:44]   [120/13069] acc=56% filt=104
[2026-05-12 22:55:05] #0121/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 22:55:18] #0122/13069 | true=walk | pred=walk | ✓ | ent=0.606 conf=0.850 gap=0.750
[2026-05-12 22:55:36] #0123/13069 | true=walk | pred=stairs_up | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 22:55:40] #0124/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 22:55:53] #0125/13069 | true=walk | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 22:56:03] #0126/13069 | true=walk | pred=walk | ✓ | ent=0.708 conf=0.850 gap=0.820
[2026-05-12 22:56:11] #0127/13069 | true=walk | pred=walk | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 22:56:31] #0128/13069 | true=walk | pred=stairs_up | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 22:56:52] #0129/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 22:57:01] #0130/13069 | true=walk | pred=walk | ✓ | ent=0.676 conf=0.820 gap=0.700
[2026-05-12 22:57:05] #0131/13069 | true=walk | pred=walk | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-12 22:57:14] #0132/13069 | true=walk | pred=walk | ✓ | ent=1.265 conf=0.650 gap=0.550
[2026-05-12 22:57:28] #0133/13069 | true=walk | pred=stand | ✗ | ent=1.013 conf=0.750 gap=0.670
[2026-05-12 22:57:45] #0134/13069 | true=walk | pred=stairs_down | ✗ | ent=1.318 conf=0.400 gap=0.050
[2026-05-12 22:57:54] #0135/13069 | true=walk | pred=run | ✗ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 22:58:06] #0136/13069 | true=walk | pred=walk | ✓ | ent=0.786 conf=0.820 gap=0.770
[2026-05-12 22:58:15] #0137/13069 | true=walk | pred=walk | ✓ | ent=1.590 conf=0.350 gap=0.050
[2026-05-12 22:58:18] #0138/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 22:58:24] #0139/13069 | true=walk | pred=walk | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 22:58:27] #0140/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:24:26]   [140/13069] acc=56% filt=122
[2026-05-12 22:58:31] #0141/13069 | true=walk | pred=walk | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 22:58:34] #0142/13069 | true=walk | pred=walk | ✓ | ent=1.243 conf=0.650 gap=0.550
[2026-05-12 22:58:48] #0143/13069 | true=walk | pred=walk | ✓ | ent=1.214 conf=0.650 gap=0.530
[2026-05-12 22:58:57] #0144/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 22:59:20] #0145/13069 | true=walk | pred=stairs_up | ✗ | ent=1.732 conf=0.300 gap=0.000
[2026-05-12 22:59:39] #0146/13069 | true=walk | pred=stairs_down | ✗ | ent=1.195 conf=0.450 gap=0.030
[2026-05-12 22:59:51] #0147/13069 | true=walk | pred=walk | ✓ | ent=1.665 conf=0.450 gap=0.300
[2026-05-12 23:00:00] #0148/13069 | true=walk | pred=walk | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 23:00:04] #0149/13069 | true=walk | pred=walk | ✓ | ent=0.316 conf=0.945 gap=0.935
[2026-05-12 23:00:16] #0150/13069 | true=walk | pred=walk | ✓ | ent=1.852 conf=0.350 gap=0.200
[2026-05-12 23:00:26] #0151/13069 | true=walk | pred=walk | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 23:00:37] #0152/13069 | true=walk | pred=walk | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 23:00:44] #0153/13069 | true=walk | pred=walk | ✓ | ent=1.084 conf=0.720 gap=0.640
[2026-05-12 23:01:04] #0154/13069 | true=walk | pred=run | ✗ | ent=1.075 conf=0.550 gap=0.200
[2026-05-12 23:01:08] #0155/13069 | true=walk | pred=walk | ✓ | ent=0.921 conf=0.780 gap=0.730
[2026-05-12 23:01:31] #0156/13069 | true=walk | pred=stairs_up | ✗ | ent=0.999 conf=0.500 gap=0.150
[2026-05-12 23:01:48] #0157/13069 | true=walk | pred=stairs_up | ✗ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 23:02:05] #0158/13069 | true=walk | pred=walk | ✓ | ent=0.638 conf=0.800 gap=0.689
[2026-05-12 23:02:15] #0159/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 23:02:24] #0160/13069 | true=walk | pred=walk | ✓ | ent=1.525 conf=0.520 gap=0.390
[2026-05-11 22:30:43]   [160/13069] acc=57% filt=139
[2026-05-12 23:02:37] #0161/13069 | true=walk | pred=run | ✗ | ent=0.464 conf=0.911 gap=0.881
[2026-05-12 23:02:51] #0162/13069 | true=walk | pred=run | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 23:03:07] #0163/13069 | true=walk | pred=walk | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 23:03:21] #0164/13069 | true=walk | pred=walk | ✓ | ent=1.187 conf=0.650 gap=0.530
[2026-05-12 23:03:30] #0165/13069 | true=walk | pred=walk | ✓ | ent=1.620 conf=0.420 gap=0.220
[2026-05-12 23:03:33] #0166/13069 | true=walk | pred=walk | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 23:03:49] #0167/13069 | true=walk | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 23:04:08] #0168/13069 | true=walk | pred=walk | ✓ | ent=0.385 conf=0.920 gap=0.870
[2026-05-12 23:04:11] #0169/13069 | true=walk | pred=walk | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-12 23:04:25] #0170/13069 | true=walk | pred=walk | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 23:04:37] #0171/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 23:04:49] #0172/13069 | true=walk | pred=run | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 23:04:52] #0173/13069 | true=walk | pred=walk | ✓ | ent=1.011 conf=0.750 gap=0.690
[2026-05-12 23:04:58] #0174/13069 | true=walk | pred=stairs_up | ✗ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 23:05:14] #0175/13069 | true=walk | pred=stand | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 23:05:40] #0176/13069 | true=walk | pred=stairs_up | ✗ | ent=0.868 conf=0.500 gap=0.056
[2026-05-12 23:05:52] #0177/13069 | true=walk | pred=walk | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 23:06:05] #0178/13069 | true=walk | pred=walk | ✓ | ent=0.638 conf=0.850 gap=0.800
[2026-05-12 23:06:09] #0179/13069 | true=walk | pred=walk | ✓ | ent=1.293 conf=0.650 gap=0.550
[2026-05-12 23:06:19] #0180/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:35:23]   [180/13069] acc=58% filt=158
[2026-05-12 23:06:24] #0181/13069 | true=walk | pred=shuffle | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 23:06:35] #0182/13069 | true=walk | pred=run | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 23:07:01] #0183/13069 | true=walk | pred=run | ✗ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 23:07:14] #0184/13069 | true=walk | pred=walk | ✓ | ent=0.482 conf=0.900 gap=0.850
[2026-05-12 23:07:24] #0185/13069 | true=walk | pred=stairs_up | ✗ | ent=1.318 conf=0.400 gap=0.050
[2026-05-12 23:07:36] #0186/13069 | true=walk | pred=stand | ✗ | ent=1.508 conf=0.400 gap=0.050
[2026-05-12 23:07:49] #0187/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 23:07:56] #0188/13069 | true=walk | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 23:08:09] #0189/13069 | true=walk | pred=walk | ✓ | ent=0.674 conf=0.850 gap=0.800
[2026-05-12 23:08:19] #0190/13069 | true=walk | pred=walk | ✓ | ent=1.012 conf=0.750 gap=0.700
[2026-05-12 23:08:32] #0191/13069 | true=walk | pred=walk | ✓ | ent=0.379 conf=0.920 gap=0.890
[2026-05-12 23:08:43] #0192/13069 | true=walk | pred=walk | ✓ | ent=1.785 conf=0.250 gap=0.000
[2026-05-12 23:08:54] #0193/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 23:09:06] #0194/13069 | true=walk | pred=walk | ✓ | ent=0.702 conf=0.820 gap=0.720
[2026-05-12 23:09:22] #0195/13069 | true=walk | pred=walk | ✓ | ent=0.984 conf=0.750 gap=0.670
[2026-05-12 23:09:25] #0196/13069 | true=walk | pred=walk | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 23:09:29] #0197/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 23:09:39] #0198/13069 | true=walk | pred=walk | ✓ | ent=0.663 conf=0.850 gap=0.810
[2026-05-12 23:09:45] #0199/13069 | true=walk | pred=walk | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 23:09:52] #0200/13069 | true=walk | pred=walk | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-11 22:38:26]   [200/13069] acc=60% filt=177
[2026-05-12 23:10:09] #0201/13069 | true=walk | pred=stairs_up | ✗ | ent=1.433 conf=0.350 gap=0.000
[2026-05-12 23:10:14] #0202/13069 | true=walk | pred=walk | ✓ | ent=0.676 conf=0.850 gap=0.800
[2026-05-12 23:10:25] #0203/13069 | true=walk | pred=walk | ✓ | ent=0.841 conf=0.780 gap=0.680
[2026-05-12 23:10:36] #0204/13069 | true=walk | pred=run | ✗ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 23:10:40] #0205/13069 | true=walk | pred=walk | ✓ | ent=0.803 conf=0.800 gap=0.700
[2026-05-12 23:10:56] #0206/13069 | true=walk | pred=walk | ✓ | ent=0.286 conf=0.950 gap=0.940
[2026-05-12 23:11:07] #0207/13069 | true=walk | pred=walk | ✓ | ent=1.138 conf=0.650 gap=0.450
[2026-05-12 23:11:10] #0208/13069 | true=walk | pred=walk | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 23:11:20] #0209/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 23:11:28] #0210/13069 | true=walk | pred=walk | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 23:11:31] #0211/13069 | true=walk | pred=walk | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 23:11:36] #0212/13069 | true=walk | pred=walk | ✓ | ent=0.752 conf=0.820 gap=0.740
[2026-05-12 23:11:50] #0213/13069 | true=walk | pred=run | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 23:12:08] #0214/13069 | true=walk | pred=shuffle | ✗ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 23:12:19] #0215/13069 | true=walk | pred=run | ✗ | ent=0.429 conf=0.900 gap=0.850
[2026-05-12 23:12:42] #0216/13069 | true=walk | pred=shuffle | ✗ | ent=1.539 conf=0.450 gap=0.300
[2026-05-12 23:12:45] #0217/13069 | true=walk | pred=walk | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 23:12:53] #0218/13069 | true=walk | pred=walk | ✓ | ent=0.417 conf=0.920 gap=0.900
[2026-05-12 23:13:07] #0219/13069 | true=walk | pred=stairs_up | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 23:13:19] #0220/13069 | true=walk | pred=stairs_up | ✗ | ent=1.469 conf=0.350 gap=0.000
[2026-05-11 22:42:23]   [220/13069] acc=60% filt=193
[2026-05-12 23:13:23] #0221/13069 | true=walk | pred=walk | ✓ | ent=0.798 conf=0.820 gap=0.780
[2026-05-12 23:13:36] #0222/13069 | true=walk | pred=shuffle | ✗ | ent=1.855 conf=0.250 gap=0.050
[2026-05-12 23:13:43] #0223/13069 | true=walk | pred=run | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 23:13:55] #0224/13069 | true=walk | pred=walk | ✓ | ent=1.216 conf=0.650 gap=0.500
[2026-05-12 23:14:04] #0225/13069 | true=walk | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 23:14:25] #0226/13069 | true=walk | pred=stairs_up | ✗ | ent=1.249 conf=0.400 gap=0.050
