[2026-05-11 11:03:46] Class 9 (Push-up) 软标签生成开始
[2026-05-11 11:03:46]   QUICK=False LIMIT=50
[2026-05-11 11:03:46]   温度=0.8 (from api_config)
[2026-05-11 11:03:46]   本类: 1621窗口 (仅加载本类, 内存友好)
[2026-05-11 11:03:46]   实际生成: 1621 窗口
[2026-05-11 11:03:59] #0001/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:28:38] #0061/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 11:28:46] #0062/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:29:03] #0063/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 11:29:20] #0064/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.664 | conf=0.850 | gap=0.820
[2026-05-11 11:29:48] #0065/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 11:30:29] #0066/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:30:58] #0067/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:31:12] #0068/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:31:26] #0069/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:32:06] #0070/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:32:28] #0071/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:32:41] #0072/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.568 | conf=0.880 | gap=0.840
[2026-05-11 11:33:14] #0073/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:33:26] #0074/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 11:33:38] #0075/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:33:51] #0076/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 11:34:03] #0077/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:22] #0078/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:34:57] #0079/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:35:21] #0080/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.624 | conf=0.850 | gap=0.800
[2026-05-11 11:35:21]   [80/1621] acc=58/80=72.5% filtered=71/80
[2026-05-11 11:35:34] #0081/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 11:35:54] #0082/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 11:36:23] #0083/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.232 | conf=0.650 | gap=0.550
[2026-05-11 11:36:56] #0084/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:37:15] #0085/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:37:27] #0086/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:37:46] #0087/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 11:37:59] #0088/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:38:09] #0089/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:38:26] #0090/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.071 | conf=0.720 | gap=0.640
[2026-05-11 11:38:40] #0091/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:39:12] #0092/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:39:45] #0093/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:40:08] #0094/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=2.160 | conf=0.450 | gap=0.370
[2026-05-11 11:40:31] #0095/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:40:49] #0096/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.626 | conf=0.400 | gap=0.250
[2026-05-11 11:41:03] #0097/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.675 | conf=0.850 | gap=0.810
[2026-05-11 11:41:20] #0098/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.765 | conf=0.820 | gap=0.770
[2026-05-11 11:41:36] #0099/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 11:41:51] #0100/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.574 | conf=0.850 | gap=0.770
[2026-05-11 11:41:51]   [100/1621] acc=76/100=76.0% filtered=89/100
[2026-05-11 11:42:22] #0101/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:42:50] #0102/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:43:04] #0103/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 11:43:21] #0104/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 11:43:52] #0105/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.332 | conf=0.941 | gap=0.931
[2026-05-11 11:44:05] #0106/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 11:44:17] #0107/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 11:44:29] #0108/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:44:56] #0109/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 11:45:22] #0110/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:45:52] #0111/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.936 | conf=0.700 | gap=0.580
[2026-05-11 11:46:28] #0112/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 11:46:48] #0113/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.970 | conf=0.750 | gap=0.670
[2026-05-11 11:47:03] #0114/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.675 | conf=0.850 | gap=0.810
[2026-05-11 11:47:30] #0115/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.349 | conf=0.889 | gap=0.778
[2026-05-11 11:47:43] #0116/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:48:11] #0117/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:48:19] #0118/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.286 | conf=0.950 | gap=0.940
[2026-05-11 11:48:50] #0119/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 11:49:34] #0120/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:49:34]   [120/1621] acc=92/120=76.7% filtered=109/120
[2026-05-11 11:49:45] #0121/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:50:00] #0122/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 11:50:12] #0123/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.767 | conf=0.820 | gap=0.770
[2026-05-11 11:50:40] #0124/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:51:05] #0125/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:51:16] #0126/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:51:35] #0127/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 11:51:49] #0128/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.571 | conf=0.880 | gap=0.850
[2026-05-11 11:52:20] #0129/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 11:52:59] #0130/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:53:26] #0131/01621 | true=Push-up(9) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:54:00] #0132/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 11:54:14] #0133/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 11:54:23] #0134/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:55:12] #0135/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:55:26] #0136/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 11:55:42] #0137/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:56:16] #0138/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 11:56:46] #0139/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 11:57:26] #0140/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:57:26]   [140/1621] acc=105/140=75.0% filtered=129/140
[2026-05-11 11:57:54] #0141/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.999 | conf=0.750 | gap=0.700
[2026-05-11 11:58:24] #0142/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.272 | conf=0.950 | gap=0.930
[2026-05-11 11:58:38] #0143/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 11:58:49] #0144/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:59:23] #0145/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:59:35] #0146/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.093 | conf=0.700 | gap=0.600
[2026-05-11 12:00:05] #0147/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.448 | conf=0.880 | gap=0.810
[2026-05-11 12:00:21] #0148/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 12:00:33] #0149/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.582 | conf=0.880 | gap=0.860
[2026-05-11 12:00:56] #0150/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 12:01:30] #0151/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.635 | conf=0.850 | gap=0.800
[2026-05-11 12:01:47] #0152/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 12:01:59] #0153/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:02:27] #0154/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:02:56] #0155/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:03:19] #0156/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.106 | conf=0.720 | gap=0.640
[2026-05-11 12:03:33] #0157/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:03:44] #0158/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.272 | conf=0.950 | gap=0.930
[2026-05-11 12:03:56] #0159/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 12:04:30] #0160/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.137 | conf=0.969 | gap=0.939
[2026-05-11 12:04:30]   [160/1621] acc=123/160=76.9% filtered=149/160
[2026-05-11 12:05:02] #0161/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 12:05:15] #0162/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 12:05:42] #0163/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:05:53] #0164/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 12:06:04] #0165/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:06:20] #0166/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:06:51] #0167/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:07:19] #0168/01621 | true=Push-up(9) | pred=Stair-down(16) | ✗ | ent=1.358 | conf=0.600 | gap=0.500
[2026-05-11 12:08:05] #0169/01621 | true=Push-up(9) | pred=Walk(11) | ✗ | ent=1.822 | conf=0.250 | gap=0.050
[2026-05-11 12:08:32] #0170/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:08:45] #0171/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.623 | conf=0.400 | gap=0.150
[2026-05-11 12:08:58] #0172/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.293 | conf=0.650 | gap=0.550
[2026-05-11 12:09:32] #0173/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-11 12:10:02] #0174/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.757 | conf=0.820 | gap=0.770
[2026-05-11 12:10:32] #0175/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 12:10:44] #0176/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:11:10] #0177/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.466 | conf=0.824 | gap=0.647
[2026-05-11 12:11:33] #0178/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:12:01] #0179/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:12:32] #0180/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:12:32]   [180/1621] acc=137/180=76.1% filtered=166/180
[2026-05-11 12:12:45] #0181/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:13:19] #0182/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 12:13:32] #0183/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:13:57] #0184/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:14:22] #0185/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:14:53] #0186/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
