[2026-05-11 23:14:23] MotionSense class 1 (jogging) T=0.8
[2026-05-11 23:14:23]   1443 windows
[2026-05-11 23:14:26] #0001/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:23:50] #0029/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-11 23:23:58] #0030/01443 | true=jogging | pred=jogging | ✓ | ent=0.666 conf=0.820 gap=0.700
[2026-05-11 23:24:10] #0031/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:24:19] #0032/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-11 23:24:27] #0033/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:24:39] #0034/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:24:52] #0035/01443 | true=jogging | pred=jogging | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:24:55] #0036/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:25:22] #0037/01443 | true=jogging | pred=jogging | ✓ | ent=0.661 conf=0.800 gap=0.660
[2026-05-11 23:25:26] #0038/01443 | true=jogging | pred=jogging | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-11 23:25:54] #0039/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:26:03] #0040/01443 | true=jogging | pred=jogging | ✓ | ent=0.819 conf=0.750 gap=0.580
[2026-05-11 23:26:03]   [40/1443] acc=98% filt=36
[2026-05-11 23:26:22] #0041/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:26:44] #0042/01443 | true=jogging | pred=walking | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:26:59] #0043/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:27:10] #0044/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:27:13] #0045/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:27:26] #0046/01443 | true=jogging | pred=jogging | ✓ | ent=0.265 conf=0.940 gap=0.900
[2026-05-11 23:27:29] #0047/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:27:57] #0048/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-11 23:28:17] #0049/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:28:36] #0050/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:29:02] #0051/01443 | true=jogging | pred=jogging | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:29:13] #0052/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-11 23:29:18] #0053/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:29:44] #0054/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:29:47] #0055/01443 | true=jogging | pred=jogging | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:29:49] #0056/01443 | true=jogging | pred=jogging | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 23:29:52] #0057/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:30:04] #0058/01443 | true=jogging | pred=jogging | ✓ | ent=0.530 conf=0.880 gap=0.820
[2026-05-11 23:31:06] #0059/01443 | true=jogging | pred=jogging | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-11 23:31:15] #0060/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-11 23:31:15]   [60/1443] acc=97% filt=56
[2026-05-11 23:31:18] #0061/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:31:22] #0062/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:31:35] #0063/01443 | true=jogging | pred=jogging | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-11 23:31:54] #0064/01443 | true=jogging | pred=jogging | ✓ | ent=0.864 conf=0.650 gap=0.370
[2026-05-11 23:31:58] #0065/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:32:06] #0066/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-11 23:33:04] #0067/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:33:06] #0068/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:33:09] #0069/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:33:12] #0070/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:34:03] #0071/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:34:18] #0072/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 23:34:21] #0073/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-11 23:34:23] #0074/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:34:44] #0075/01443 | true=jogging | pred=jogging | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-11 23:34:55] #0076/01443 | true=jogging | pred=jogging | ✓ | ent=0.603 conf=0.850 gap=0.760
[2026-05-11 23:35:02] #0077/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:35:06] #0078/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:35:17] #0079/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:35:26] #0080/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-11 23:35:26]   [80/1443] acc=98% filt=76
[2026-05-11 23:35:28] #0081/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:35:39] #0082/01443 | true=jogging | pred=jogging | ✓ | ent=0.482 conf=0.880 gap=0.810
[2026-05-11 23:35:54] #0083/01443 | true=jogging | pred=jogging | ✓ | ent=0.119 conf=0.980 gap=0.970
[2026-05-11 23:36:04] #0084/01443 | true=jogging | pred=jogging | ✓ | ent=0.537 conf=0.850 gap=0.740
[2026-05-11 23:36:12] #0085/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:36:14] #0086/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:36:24] #0087/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:36:28] #0088/01443 | true=jogging | pred=jogging | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-11 23:36:32] #0089/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:37:32] #0090/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-11 23:37:34] #0091/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:37:42] #0092/01443 | true=jogging | pred=jogging | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 23:38:09] #0093/01443 | true=jogging | pred=jogging | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:38:22] #0094/01443 | true=jogging | pred=jogging | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-11 23:38:25] #0095/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:38:44] #0096/01443 | true=jogging | pred=jogging | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-11 23:38:55] #0097/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:39:08] #0098/01443 | true=jogging | pred=jogging | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:39:28] #0099/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:39:52] #0100/01443 | true=jogging | pred=upstairs | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 23:39:52]   [100/1443] acc=97% filt=96
[2026-05-11 23:40:39] #0101/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:40:50] #0102/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:40:54] #0103/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-11 23:41:45] #0104/01443 | true=jogging | pred=jogging | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:41:54] #0105/01443 | true=jogging | pred=jogging | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:42:45] #0106/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:42:54] #0107/01443 | true=jogging | pred=jogging | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-11 23:42:57] #0108/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:43:00] #0109/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:43:55] #0110/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:44:04] #0111/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:44:55] #0112/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:44:57] #0113/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:45:04] #0114/01443 | true=jogging | pred=jogging | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 23:45:07] #0115/01443 | true=jogging | pred=jogging | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:46:06] #0116/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:46:19] #0117/01443 | true=jogging | pred=jogging | ✓ | ent=0.265 conf=0.940 gap=0.900
[2026-05-11 23:46:38] #0118/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:46:48] #0119/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-11 23:47:01] #0120/01443 | true=jogging | pred=jogging | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-11 23:47:01]   [120/1443] acc=98% filt=116
[2026-05-11 23:47:05] #0121/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 23:47:08] #0122/01443 | true=jogging | pred=jogging | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-11 23:47:17] #0123/01443 | true=jogging | pred=jogging | ✓ | ent=0.476 conf=0.900 gap=0.870
[2026-05-11 23:48:09] #0124/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:48:12] #0125/01443 | true=jogging | pred=jogging | ✓ | ent=0.735 conf=0.750 gap=0.620
[2026-05-11 23:48:16] #0126/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:48:24] #0127/01443 | true=jogging | pred=jogging | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 23:48:32] #0128/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 23:49:23] #0129/01443 | true=jogging | pred=jogging | ✓ | ent=1.224 conf=0.400 gap=0.100
[2026-05-11 23:49:42] #0130/01443 | true=jogging | pred=jogging | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-11 23:50:10] #0131/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:50:19] #0132/01443 | true=jogging | pred=jogging | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:50:22] #0133/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:50:27] #0134/01443 | true=jogging | pred=jogging | ✓ | ent=0.537 conf=0.850 gap=0.740
[2026-05-11 23:50:33] #0135/01443 | true=jogging | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:50:52] #0136/01443 | true=jogging | pred=jogging | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 23:51:19] #0137/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-11 23:51:27] #0138/01443 | true=jogging | pred=jogging | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:51:35] #0139/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:52:26] #0140/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:52:26]   [140/1443] acc=97% filt=135
[2026-05-11 23:52:33] #0141/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:52:58] #0142/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:53:20] #0143/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:53:29] #0144/01443 | true=jogging | pred=jogging | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-11 23:53:31] #0145/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:53:33] #0146/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:53:43] #0147/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:54:41] #0148/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:54:43] #0149/01443 | true=jogging | pred=jogging | ✓ | ent=0.324 conf=0.930 gap=0.900
[2026-05-11 23:55:40] #0150/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:55:49] #0151/01443 | true=jogging | pred=jogging | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:55:55] #0152/01443 | true=jogging | pred=jogging | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 23:56:22] #0153/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 23:56:25] #0154/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-11 23:56:35] #0155/01443 | true=jogging | pred=jogging | ✓ | ent=0.466 conf=0.880 gap=0.800
[2026-05-11 23:56:37] #0156/01443 | true=jogging | pred=jogging | ✓ | ent=1.088 conf=0.520 gap=0.200
[2026-05-11 23:56:39] #0157/01443 | true=jogging | pred=jogging | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-11 23:56:41] #0158/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:56:51] #0159/01443 | true=jogging | pred=jogging | ✓ | ent=0.780 conf=0.750 gap=0.560
[2026-05-11 23:57:50] #0160/01443 | true=jogging | pred=jogging | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-11 23:57:50]   [160/1443] acc=98% filt=155
[2026-05-11 23:57:57] #0161/01443 | true=jogging | pred=jogging | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-11 23:58:17] #0162/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:58:25] #0163/01443 | true=jogging | pred=jogging | ✓ | ent=0.501 conf=0.880 gap=0.810
[2026-05-11 23:58:27] #0164/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:58:31] #0165/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:59:14] #0166/01443 | true=jogging | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:00:12] #0167/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:00:22] #0168/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 00:01:18] #0169/01443 | true=jogging | pred=jogging | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:01:37] #0170/01443 | true=jogging | pred=jogging | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 00:02:05] #0171/01443 | true=jogging | pred=jogging | ✓ | ent=0.332 conf=0.920 gap=0.870
[2026-05-12 00:02:15] #0172/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:02:25] #0173/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 00:02:28] #0174/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:03:22] #0175/01443 | true=jogging | pred=jogging | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 00:03:41] #0176/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 00:03:44] #0177/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:04:05] #0178/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:04:24] #0179/01443 | true=jogging | pred=jogging | ✓ | ent=1.202 conf=0.450 gap=0.200
[2026-05-12 00:04:27] #0180/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:04:27]   [180/1443] acc=97% filt=174
[2026-05-12 00:04:31] #0181/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:05:23] #0182/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:05:32] #0183/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:06:29] #0184/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-12 00:06:38] #0185/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 00:07:39] #0186/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:07:41] #0187/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 00:08:40] #0188/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:08:44] #0189/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 00:09:05] #0190/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:09:27] #0191/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:09:37] #0192/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 00:09:46] #0193/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:09:50] #0194/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:09:56] #0195/01443 | true=jogging | pred=jogging | ✓ | ent=1.067 conf=0.580 gap=0.330
[2026-05-12 00:10:02] #0196/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:10:36] #0197/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:10:48] #0198/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:10:53] #0199/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 00:10:55] #0200/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 00:10:55]   [200/1443] acc=98% filt=194
[2026-05-12 00:11:03] #0201/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:11:12] #0202/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:11:47] #0203/01443 | true=jogging | pred=walking | ✗ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 00:11:49] #0204/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:11:52] #0205/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:11:57] #0206/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:11:59] #0207/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:12:03] #0208/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-12 00:12:06] #0209/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:12:26] #0210/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:12:36] #0211/01443 | true=jogging | pred=jogging | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:12:57] #0212/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:13:01] #0213/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:13:05] #0214/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:13:14] #0215/01443 | true=jogging | pred=jogging | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 00:13:35] #0216/01443 | true=jogging | pred=jogging | ✓ | ent=0.389 conf=0.900 gap=0.820
[2026-05-12 00:14:02] #0217/01443 | true=jogging | pred=jogging | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 00:14:10] #0218/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:14:39] #0219/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 00:15:06] #0220/01443 | true=jogging | pred=jogging | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 00:15:06]   [220/1443] acc=97% filt=213
[2026-05-12 00:15:17] #0221/01443 | true=jogging | pred=jogging | ✓ | ent=0.655 conf=0.850 gap=0.800
