[2026-05-11 21:51:19] HARTH class 1 (run) T=0.8
[2026-05-11 21:51:19]   3185 windows
[2026-05-11 21:51:24] #0001/03185 | true=run | pred=run | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:03:13] #0071/03185 | true=run | pred=run | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 22:03:23] #0072/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-11 22:03:27] #0073/03185 | true=run | pred=run | ✓ | ent=0.803 conf=0.800 gap=0.700
[2026-05-11 22:03:36] #0074/03185 | true=run | pred=run | ✓ | ent=1.032 conf=0.650 gap=0.400
[2026-05-11 22:03:46] #0075/03185 | true=run | pred=run | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 22:03:50] #0076/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:03:53] #0077/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:04:02] #0078/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:04:24] #0079/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 22:05:18] #0080/03185 | true=run | pred=run | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:05:18]   [80/3185] acc=89% filt=79
[2026-05-11 22:05:22] #0081/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:05:48] #0082/03185 | true=run | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:05:56] #0083/03185 | true=run | pred=run | ✓ | ent=0.412 conf=0.920 gap=0.890
[2026-05-11 22:06:00] #0084/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:06:06] #0085/03185 | true=run | pred=run | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-11 22:06:14] #0086/03185 | true=run | pred=run | ✓ | ent=0.431 conf=0.920 gap=0.900
[2026-05-11 22:06:17] #0087/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 22:06:37] #0088/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:06:44] #0089/03185 | true=run | pred=walk | ✗ | ent=1.332 conf=0.400 gap=0.200
[2026-05-11 22:06:48] #0090/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:06:53] #0091/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:07:11] #0092/03185 | true=run | pred=walk | ✗ | ent=0.903 conf=0.720 gap=0.540
[2026-05-11 22:07:13] #0093/03185 | true=run | pred=run | ✓ | ent=0.674 conf=0.850 gap=0.800
[2026-05-11 22:07:20] #0094/03185 | true=run | pred=run | ✓ | ent=0.526 conf=0.891 gap=0.842
[2026-05-11 22:07:23] #0095/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:07:26] #0096/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:07:30] #0097/03185 | true=run | pred=run | ✓ | ent=0.215 conf=0.944 gap=0.889
[2026-05-11 22:07:50] #0098/03185 | true=run | pred=run | ✓ | ent=1.374 conf=0.600 gap=0.450
[2026-05-11 22:07:54] #0099/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:08:02] #0100/03185 | true=run | pred=run | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-11 22:08:02]   [100/3185] acc=88% filt=98
[2026-05-11 22:08:09] #0101/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:08:12] #0102/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:08:16] #0103/03185 | true=run | pred=run | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:08:22] #0104/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:08:43] #0105/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:08:49] #0106/03185 | true=run | pred=run | ✓ | ent=0.850 conf=0.800 gap=0.750
[2026-05-11 22:09:00] #0107/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:09:03] #0108/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:09:06] #0109/03185 | true=run | pred=run | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 22:09:25] #0110/03185 | true=run | pred=walk | ✗ | ent=0.384 conf=0.920 gap=0.890
[2026-05-11 22:09:28] #0111/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:09:37] #0112/03185 | true=run | pred=run | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:09:45] #0113/03185 | true=run | pred=run | ✓ | ent=0.182 conf=0.970 gap=0.960
[2026-05-11 22:09:49] #0114/03185 | true=run | pred=run | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-11 22:09:56] #0115/03185 | true=run | pred=run | ✓ | ent=0.870 conf=0.800 gap=0.750
[2026-05-11 22:10:21] #0116/03185 | true=run | pred=run | ✓ | ent=1.230 conf=0.500 gap=0.150
[2026-05-11 22:10:25] #0117/03185 | true=run | pred=run | ✓ | ent=0.557 conf=0.880 gap=0.830
[2026-05-11 22:10:57] #0118/03185 | true=run | pred=walk | ✗ | ent=0.631 conf=0.850 gap=0.770
[2026-05-11 22:11:15] #0119/03185 | true=run | pred=run | ✓ | ent=0.799 conf=0.700 gap=0.450
[2026-05-11 22:11:19] #0120/03185 | true=run | pred=run | ✓ | ent=0.813 conf=0.700 gap=0.450
[2026-05-11 22:11:19]   [120/3185] acc=88% filt=118
[2026-05-11 22:11:22] #0121/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:11:26] #0122/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:11:54] #0123/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:12:14] #0124/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:12:21] #0125/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:12:25] #0126/03185 | true=run | pred=run | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 22:12:37] #0127/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:12:47] #0128/03185 | true=run | pred=run | ✓ | ent=0.119 conf=0.980 gap=0.970
[2026-05-11 22:13:19] #0129/03185 | true=run | pred=walk | ✗ | ent=0.585 conf=0.850 gap=0.750
[2026-05-11 22:13:23] #0130/03185 | true=run | pred=run | ✓ | ent=0.336 conf=0.895 gap=0.789
[2026-05-11 22:13:33] #0131/03185 | true=run | pred=run | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 22:13:46] #0132/03185 | true=run | pred=walk | ✗ | ent=0.531 conf=0.850 gap=0.730
[2026-05-11 22:13:54] #0133/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:14:01] #0134/03185 | true=run | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 22:14:09] #0135/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:14:39] #0136/03185 | true=run | pred=walk | ✗ | ent=0.594 conf=0.850 gap=0.750
[2026-05-11 22:15:15] #0137/03185 | true=run | pred=run | ✓ | ent=0.724 conf=0.769 gap=0.604
[2026-05-11 22:15:20] #0138/03185 | true=run | pred=run | ✓ | ent=0.526 conf=0.891 gap=0.842
[2026-05-11 22:15:24] #0139/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:15:33] #0140/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 22:15:33]   [140/3185] acc=87% filt=138
[2026-05-11 22:15:39] #0141/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:15:47] #0142/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:15:59] #0143/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:16:03] #0144/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:16:13] #0145/03185 | true=run | pred=run | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 22:16:21] #0146/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:38] #0147/03185 | true=run | pred=walk | ✗ | ent=0.124 conf=0.980 gap=0.970
[2026-05-11 22:16:46] #0148/03185 | true=run | pred=run | ✓ | ent=0.411 conf=0.904 gap=0.851
[2026-05-11 22:16:49] #0149/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:16:57] #0150/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:17:00] #0151/03185 | true=run | pred=run | ✓ | ent=0.683 conf=0.850 gap=0.800
[2026-05-11 22:17:20] #0152/03185 | true=run | pred=run | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:17:25] #0153/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:17:33] #0154/03185 | true=run | pred=run | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 22:17:53] #0155/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:02] #0156/03185 | true=run | pred=run | ✓ | ent=0.267 conf=0.955 gap=0.945
[2026-05-11 22:18:07] #0157/03185 | true=run | pred=run | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-11 22:18:18] #0158/03185 | true=run | pred=run | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 22:18:29] #0159/03185 | true=run | pred=run | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-11 22:18:38] #0160/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:18:38]   [160/3185] acc=88% filt=158
[2026-05-11 22:18:41] #0161/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:18:54] #0162/03185 | true=run | pred=walk | ✗ | ent=0.367 conf=0.880 gap=0.760
[2026-05-11 22:19:02] #0163/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:19:06] #0164/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:14] #0165/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:19:17] #0166/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:25] #0167/03185 | true=run | pred=run | ✓ | ent=0.412 conf=0.920 gap=0.890
[2026-05-11 22:19:29] #0168/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:38] #0169/03185 | true=run | pred=run | ✓ | ent=0.254 conf=0.940 gap=0.890
[2026-05-11 22:19:42] #0170/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:19:53] #0171/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:19:57] #0172/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:20:01] #0173/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:20:04] #0174/03185 | true=run | pred=run | ✓ | ent=0.881 conf=0.750 gap=0.600
[2026-05-11 22:20:07] #0175/03185 | true=run | pred=run | ✓ | ent=0.686 conf=0.800 gap=0.650
[2026-05-11 22:20:10] #0176/03185 | true=run | pred=run | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-11 22:20:13] #0177/03185 | true=run | pred=run | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-11 22:20:20] #0178/03185 | true=run | pred=run | ✓ | ent=0.800 conf=0.800 gap=0.700
[2026-05-11 22:20:29] #0179/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:20:54] #0180/03185 | true=run | pred=run | ✓ | ent=0.765 conf=0.820 gap=0.740
[2026-05-11 22:20:54]   [180/3185] acc=89% filt=178
[2026-05-11 22:20:57] #0181/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:21:00] #0182/03185 | true=run | pred=run | ✓ | ent=1.101 conf=0.700 gap=0.600
[2026-05-11 22:21:08] #0183/03185 | true=run | pred=run | ✓ | ent=0.215 conf=0.944 gap=0.889
[2026-05-11 22:21:18] #0184/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:21:28] #0185/03185 | true=run | pred=run | ✓ | ent=0.445 conf=0.895 gap=0.842
[2026-05-11 22:21:33] #0186/03185 | true=run | pred=run | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 22:21:43] #0187/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:21:48] #0188/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:21:57] #0189/03185 | true=run | pred=run | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 22:22:00] #0190/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:22:09] #0191/03185 | true=run | pred=run | ✓ | ent=0.215 conf=0.944 gap=0.889
[2026-05-11 22:22:12] #0192/03185 | true=run | pred=run | ✓ | ent=0.984 conf=0.750 gap=0.650
[2026-05-11 22:22:15] #0193/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 22:22:18] #0194/03185 | true=run | pred=run | ✓ | ent=0.833 conf=0.700 gap=0.450
[2026-05-11 22:22:24] #0195/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:22:39] #0196/03185 | true=run | pred=run | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:23:18] #0197/03185 | true=run | pred=run | ✓ | ent=0.683 conf=0.850 gap=0.800
[2026-05-11 22:23:35] #0198/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:23:48] #0199/03185 | true=run | pred=walk | ✗ | ent=0.412 conf=0.920 gap=0.890
[2026-05-11 22:23:57] #0200/03185 | true=run | pred=walk | ✗ | ent=0.464 conf=0.911 gap=0.881
[2026-05-11 22:23:57]   [200/3185] acc=89% filt=198
[2026-05-11 22:24:09] #0201/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:24:17] #0202/03185 | true=run | pred=run | ✓ | ent=0.411 conf=0.904 gap=0.851
[2026-05-11 22:24:26] #0203/03185 | true=run | pred=run | ✓ | ent=0.215 conf=0.944 gap=0.889
[2026-05-11 22:24:36] #0204/03185 | true=run | pred=run | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 22:25:02] #0205/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:25:05] #0206/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 22:25:24] #0207/03185 | true=run | pred=walk | ✗ | ent=0.377 conf=0.920 gap=0.870
[2026-05-11 22:25:32] #0208/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-11 22:25:54] #0209/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:25:58] #0210/03185 | true=run | pred=run | ✓ | ent=1.327 conf=0.450 gap=0.200
[2026-05-11 22:26:03] #0211/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:26:15] #0212/03185 | true=run | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 22:26:27] #0213/03185 | true=run | pred=walk | ✗ | ent=0.630 conf=0.850 gap=0.770
[2026-05-11 22:26:37] #0214/03185 | true=run | pred=run | ✓ | ent=0.867 conf=0.750 gap=0.600
[2026-05-11 22:27:02] #0215/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:27:09] #0216/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 22:27:45] #0217/03185 | true=run | pred=walk | ✗ | ent=0.790 conf=0.800 gap=0.700
[2026-05-11 22:27:53] #0218/03185 | true=run | pred=walk | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:27:57] #0219/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:28:00] #0220/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-11 22:28:00]   [220/3185] acc=88% filt=217
[2026-05-11 22:28:04] #0221/03185 | true=run | pred=run | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:28:14] #0222/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:28:20] #0223/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:28:27] #0224/03185 | true=run | pred=walk | ✗ | ent=0.253 conf=0.950 gap=0.920
[2026-05-11 22:28:30] #0225/03185 | true=run | pred=run | ✓ | ent=0.349 conf=0.889 gap=0.778
[2026-05-11 22:28:42] #0226/03185 | true=run | pred=run | ✓ | ent=0.445 conf=0.895 gap=0.842
[2026-05-11 22:28:46] #0227/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:28:49] #0228/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 22:28:55] #0229/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:00] #0230/03185 | true=run | pred=run | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:29:03] #0231/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:29:07] #0232/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:29:10] #0233/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:19] #0234/03185 | true=run | pred=run | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:29:22] #0235/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:42] #0236/03185 | true=run | pred=run | ✓ | ent=0.905 conf=0.750 gap=0.600
