[2026-05-11 23:15:06] #0001/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:21:04] #0021/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:21:14] #0022/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:21:31] #0023/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:21:57] #0024/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:23:00] #0025/01676 | true=upstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:23:14] #0026/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.784 conf=0.720 gap=0.560
[2026-05-11 23:23:19] #0027/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-11 23:23:45] #0028/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.716 conf=0.830 gap=0.780
[2026-05-11 23:24:54] #0030/01676 | true=upstairs | pred=walking | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-11 23:24:57] #0031/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-11 23:25:18] #0032/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-11 23:25:22] #0033/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 23:25:34] #0034/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:25:47] #0035/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.813 conf=0.720 gap=0.520
[2026-05-11 23:26:03] #0036/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:26:23] #0037/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:26:52] #0038/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-11 23:26:56] #0039/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:27:54] #0040/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:27:57] #0041/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-11 23:28:24] #0042/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.018 conf=0.720 gap=0.640
[2026-05-11 23:28:50] #0043/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:29:07] #0045/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 23:30:07] #0046/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.559 conf=0.870 gap=0.820
[2026-05-11 23:30:17] #0047/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:30:45] #0048/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:30:59] #0049/01676 | true=upstairs | pred=jogging | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:31:03] #0050/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 23:31:06] #0051/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:31:10] #0052/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-11 23:31:21] #0053/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.753 conf=0.800 gap=0.720
[2026-05-11 23:31:54] #0054/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:32:02] #0056/01676 | true=upstairs | pred=walking | ✗ | ent=0.967 conf=0.600 gap=0.300
[2026-05-11 23:32:28] #0057/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:34:14] #0059/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:34:25] #0060/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:34:45] #0061/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 23:36:15] #0062/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-11 23:36:18] #0063/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-11 23:36:40] #0064/01676 | true=upstairs | pred=jogging | ✗ | ent=0.878 conf=0.700 gap=0.550
[2026-05-11 23:36:51] #0065/01676 | true=upstairs | pred=walking | ✗ | ent=1.271 conf=0.600 gap=0.450
[2026-05-11 23:38:22] #0066/01676 | true=upstairs | pred=jogging | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 23:38:45] #0067/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:39:14] #0068/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-11 23:39:25] #0069/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:39:37] #0070/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.644 conf=0.820 gap=0.690
[2026-05-11 23:39:49] #0071/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.833 conf=0.780 gap=0.700
[2026-05-11 23:39:58] #0072/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-11 23:40:50] #0073/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.268 conf=0.550 gap=0.350
[2026-05-11 23:41:04] #0074/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:41:16] #0075/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-11 23:43:02] #0078/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.209 conf=0.600 gap=0.450
[2026-05-11 23:44:03] #0079/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-11 23:45:36] #0080/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:45:47] #0081/01676 | true=upstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:46:07] #0082/01676 | true=upstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:46:11] #0083/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:47:11] #0084/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.091 conf=0.650 gap=0.500
[2026-05-11 23:47:25] #0085/01676 | true=upstairs | pred=walking | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:47:44] #0086/01676 | true=upstairs | pred=jogging | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:47:52] #0087/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:48:21] #0088/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.700 conf=0.820 gap=0.730
[2026-05-11 23:48:47] #0089/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-11 23:49:07] #0090/01676 | true=upstairs | pred=walking | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:49:20] #0091/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.972 conf=0.700 gap=0.570
[2026-05-11 23:49:31] #0092/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:49:41] #0093/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.700 conf=0.820 gap=0.730
[2026-05-11 23:50:32] #0094/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-11 23:50:57] #0095/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:51:09] #0096/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:51:13] #0097/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:51:25] #0098/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:52:28] #0099/01676 | true=upstairs | pred=jogging | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:52:44] #0100/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.886 conf=0.650 gap=0.450
[2026-05-11 23:53:00] #0101/01676 | true=upstairs | pred=walking | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:53:27] #0102/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-11 23:53:53] #0104/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-11 23:54:00] #0105/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 23:54:31] #0106/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:54:36] #0108/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:55:43] #0109/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 23:55:52] #0110/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.018 conf=0.720 gap=0.640
[2026-05-11 23:56:26] #0112/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:56:36] #0113/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:56:45] #0114/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:56:54] #0115/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:57:08] #0116/01676 | true=upstairs | pred=walking | ✗ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 23:57:15] #0117/01676 | true=upstairs | pred=walking | ✗ | ent=1.070 conf=0.650 gap=0.480
[2026-05-11 23:57:52] #0119/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:58:13] #0120/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:58:40] #0121/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.123 conf=0.550 gap=0.250
[2026-05-11 23:58:43] #0122/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:58:52] #0123/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.434 conf=0.910 gap=0.880
[2026-05-11 23:58:57] #0124/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.632 conf=0.850 gap=0.780
[2026-05-12 00:00:08] #0126/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:00:29] #0127/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 00:00:56] #0128/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:01:04] #0129/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:01:08] #0130/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:01:17] #0131/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 00:01:45] #0132/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:01:58] #0133/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.902 conf=0.720 gap=0.560
[2026-05-12 00:02:16] #0134/01676 | true=upstairs | pred=jogging | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:02:20] #0135/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.871 conf=0.700 gap=0.480
[2026-05-12 00:03:07] #0136/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 00:03:26] #0137/01676 | true=upstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:03:56] #0139/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.836 conf=0.780 gap=0.680
[2026-05-12 00:03:59] #0140/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:04:02] #0141/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.192 conf=0.600 gap=0.400
[2026-05-12 00:04:16] #0142/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.559 conf=0.870 gap=0.820
[2026-05-12 00:04:24] #0143/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:04:27] #0144/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 00:05:25] #0145/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.060 conf=0.700 gap=0.600
[2026-05-12 00:05:27] #0146/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 00:05:50] #0147/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.007 conf=0.700 gap=0.570
[2026-05-12 00:06:26] #0148/01676 | true=upstairs | pred=walking | ✗ | ent=0.813 conf=0.760 gap=0.610
[2026-05-12 00:07:33] #0149/01676 | true=upstairs | pred=walking | ✗ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 00:07:43] #0150/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 00:07:53] #0151/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:08:20] #0152/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:08:25] #0153/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.019 conf=0.680 gap=0.530
[2026-05-12 00:08:27] #0154/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 00:08:30] #0155/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 00:08:32] #0156/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-12 00:09:34] #0157/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.878 conf=0.700 gap=0.550
[2026-05-12 00:09:58] #0158/01676 | true=upstairs | pred=walking | ✗ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:10:55] #0159/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:11:07] #0160/01676 | true=upstairs | pred=walking | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 00:11:27] #0161/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:11:48] #0162/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 00:12:49] #0164/01676 | true=upstairs | pred=jogging | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 00:12:57] #0165/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.689 conf=0.800 gap=0.700
[2026-05-12 00:13:08] #0166/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.941 conf=0.720 gap=0.560
[2026-05-12 00:13:22] #0167/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 00:13:33] #0168/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:13:58] #0169/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:14:01] #0170/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 00:14:11] #0171/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 00:14:33] #0172/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:14:53] #0173/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:14:56] #0174/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.637 conf=0.850 gap=0.780
[2026-05-12 00:15:09] #0175/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.443 conf=0.880 gap=0.800
[2026-05-12 00:15:19] #0176/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:15:33] #0177/01676 | true=upstairs | pred=walking | ✗ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 00:15:37] #0178/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:16:07] #0179/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:16:10] #0180/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:16:30] #0182/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:16:40] #0183/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.075 conf=0.650 gap=0.500
[2026-05-12 00:17:14] #0184/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:17:22] #0185/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:18:17] #0187/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:19:19] #0188/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.497 conf=0.890 gap=0.840
[2026-05-12 00:19:21] #0189/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.837 conf=0.680 gap=0.430
[2026-05-12 00:19:48] #0190/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:20:17] #0191/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:20:27] #0192/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:20:38] #0193/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 00:20:48] #0194/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:21:09] #0195/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:21:12] #0196/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.162 conf=0.550 gap=0.300
[2026-05-12 00:21:14] #0197/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:21:18] #0198/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 00:21:28] #0199/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:21:57] #0201/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.875 conf=0.750 gap=0.630
[2026-05-12 00:22:05] #0202/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:22:29] #0203/01676 | true=upstairs | pred=walking | ✗ | ent=1.166 conf=0.550 gap=0.350
[2026-05-12 00:22:35] #0205/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:22:55] #0206/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:23:15] #0207/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.251 conf=0.600 gap=0.450
[2026-05-12 00:23:42] #0209/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.008 conf=0.650 gap=0.440
[2026-05-12 00:24:06] #0210/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:24:17] #0211/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:24:27] #0212/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.897 conf=0.750 gap=0.650
[2026-05-12 00:25:42] #0214/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.448 conf=0.880 gap=0.810
[2026-05-12 00:25:44] #0215/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 00:25:47] #0216/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.937 conf=0.750 gap=0.670
[2026-05-12 00:26:04] #0217/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:26:24] #0218/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:26:37] #0219/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:26:39] #0220/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:26:54] #0221/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:27:16] #0222/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:27:27] #0223/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:27:30] #0224/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:27:41] #0225/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.833 conf=0.780 gap=0.700
[2026-05-12 00:27:53] #0227/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:28:04] #0228/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:28:18] #0229/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.733 conf=0.820 gap=0.750
[2026-05-12 00:29:15] #0232/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:29:20] #0233/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:29:29] #0234/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-12 00:29:41] #0235/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:29:44] #0236/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:29:46] #0237/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:29:56] #0238/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:30:29] #0239/01676 | true=upstairs | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:30:33] #0240/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.262 conf=0.600 gap=0.450
[2026-05-12 00:30:44] #0241/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.910 conf=0.750 gap=0.650
[2026-05-12 00:30:52] #0242/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:31:05] #0243/01676 | true=upstairs | pred=walking | ✗ | ent=1.025 conf=0.650 gap=0.500
[2026-05-12 00:31:08] #0244/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.833 conf=0.780 gap=0.700
[2026-05-12 00:32:09] #0245/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.708 conf=0.800 gap=0.700
