[2026-05-12 10:27:59] PAMAP2 class 3 (walking) start T=0.8
[2026-05-12 10:27:59]   944 windows
[2026-05-12 10:28:26] #0001/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:36:52] #0028/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 10:37:09] #0029/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 10:37:28] #0030/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.652 conf=0.820 gap=0.700
[2026-05-12 10:37:37] #0031/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 10:38:01] #0032/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 10:38:09] #0033/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.511 conf=0.880 gap=0.820
[2026-05-12 10:38:28] #0034/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 10:38:39] #0035/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 10:39:04] #0036/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:39:14] #0037/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:39:24] #0038/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.227 conf=0.940 gap=0.880
[2026-05-12 10:39:37] #0039/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:40:05] #0040/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 10:40:05]   [40/944] acc=33/40=82% filt=40
[2026-05-12 10:40:29] #0041/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 10:40:36] #0042/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:40:54] #0043/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:41:33] #0044/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:41:41] #0045/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:42:00] #0046/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 10:42:09] #0047/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:42:19] #0048/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:42:29] #0049/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:42:49] #0050/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:42:59] #0051/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:43:08] #0052/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:43:34] #0053/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 10:44:01] #0054/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 10:44:10] #0055/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:44:14] #0056/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:44:59] #0057/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.253 conf=0.950 gap=0.920
[2026-05-12 10:45:09] #0058/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:45:14] #0059/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 10:45:55] #0060/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 10:45:55]   [60/944] acc=46/60=77% filt=60
[2026-05-12 10:46:07] #0061/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:46:11] #0062/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 10:46:22] #0063/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.526 conf=0.880 gap=0.840
[2026-05-12 10:46:51] #0064/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:47:08] #0065/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 10:47:27] #0066/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 10:47:49] #0067/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:48:10] #0068/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 10:48:18] #0069/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 10:48:47] #0070/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.348 conf=0.930 gap=0.910
[2026-05-12 10:49:14] #0071/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:49:26] #0072/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 10:50:06] #0073/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.531 conf=0.850 gap=0.730
[2026-05-12 10:51:07] #0074/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:51:18] #0075/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.598 conf=0.850 gap=0.780
[2026-05-12 10:51:45] #0076/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:52:08] #0077/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:52:17] #0078/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:52:28] #0079/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:52:54] #0080/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:52:54]   [80/944] acc=59/80=74% filt=80
[2026-05-12 10:53:21] #0081/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 10:53:31] #0082/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 10:53:57] #0083/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:54:34] #0084/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.367 conf=0.880 gap=0.760
[2026-05-12 10:55:16] #0085/00944 | true=walking(3) | pred=lying(0) | ✗ | ent=0.625 conf=0.820 gap=0.690
[2026-05-12 10:55:38] #0086/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 10:56:18] #0087/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 10:56:23] #0088/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:56:26] #0089/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.598 conf=0.850 gap=0.780
[2026-05-12 10:56:35] #0090/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 10:56:54] #0091/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:57:12] #0092/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 10:57:35] #0093/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:57:38] #0094/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:57:47] #0095/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:57:59] #0096/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 10:58:10] #0097/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 10:58:20] #0098/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:58:29] #0099/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 10:58:42] #0100/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.856 conf=0.750 gap=0.630
[2026-05-12 10:58:42]   [100/944] acc=71/100=71% filt=100
[2026-05-12 10:59:05] #0101/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:59:26] #0102/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 10:59:34] #0103/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:59:50] #0104/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:00:03] #0105/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:00:13] #0106/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 11:00:24] #0107/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:00:51] #0108/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.786 conf=0.750 gap=0.570
[2026-05-12 11:01:46] #0109/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:01:56] #0110/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:02:35] #0111/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:03:40] #0112/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:03:59] #0113/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:04:10] #0114/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:04:32] #0115/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:04:54] #0116/00944 | true=walking(3) | pred=sitting(1) | ✗ | ent=1.156 conf=0.450 gap=0.050
[2026-05-12 11:05:05] #0117/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.870 conf=0.720 gap=0.540
[2026-05-12 11:05:19] #0118/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:05:29] #0119/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 11:05:40] #0120/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:05:40]   [120/944] acc=81/120=68% filt=119
[2026-05-12 11:05:44] #0121/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 11:05:53] #0122/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 11:06:04] #0123/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:06:32] #0124/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:06:36] #0125/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:06:47] #0126/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:07:07] #0127/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 11:07:21] #0128/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:07:31] #0129/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.358 conf=0.920 gap=0.870
[2026-05-12 11:07:41] #0130/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:07:53] #0131/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:08:05] #0132/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 11:08:42] #0133/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:08:57] #0134/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 11:09:06] #0135/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 11:09:22] #0136/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 11:09:45] #0137/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 11:10:00] #0138/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 11:10:09] #0139/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 11:10:31] #0140/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.367 conf=0.880 gap=0.760
[2026-05-12 11:10:31]   [140/944] acc=97/140=69% filt=139
[2026-05-12 11:10:40] #0141/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:11:02] #0142/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.642 conf=0.800 gap=0.640
[2026-05-12 11:11:28] #0143/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.531 conf=0.850 gap=0.730
[2026-05-12 11:11:39] #0144/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:12:05] #0145/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 11:12:08] #0146/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:12:32] #0147/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:12:42] #0148/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:12:54] #0149/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:13:17] #0150/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:13:31] #0151/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:13:44] #0152/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:13:48] #0153/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:13:57] #0154/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 11:14:08] #0155/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:14:10] #0156/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:14:26] #0157/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:14:46] #0158/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 11:14:59] #0159/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:15:43] #0160/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:15:43]   [160/944] acc=110/160=69% filt=159
[2026-05-12 11:16:01] #0161/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 11:16:32] #0162/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:16:43] #0163/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:16:55] #0164/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:16:58] #0165/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 11:17:20] #0166/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 11:18:05] #0167/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:18:15] #0168/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:19:14] #0169/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:19:38] #0170/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:19:57] #0171/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 11:20:07] #0172/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.948 conf=0.720 gap=0.600
[2026-05-12 11:20:18] #0173/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:20:42] #0174/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 11:20:53] #0175/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:21:12] #0176/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:21:21] #0177/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:21:50] #0178/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.826 conf=0.750 gap=0.600
[2026-05-12 11:22:09] #0179/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.722 conf=0.800 gap=0.680
[2026-05-12 11:22:28] #0180/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:22:28]   [180/944] acc=121/180=67% filt=179
[2026-05-12 11:22:42] #0181/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.345 conf=0.920 gap=0.860
[2026-05-12 11:22:45] #0182/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:22:51] #0183/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 11:23:01] #0184/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:23:18] #0185/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:23:27] #0186/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:23:37] #0187/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:24:35] #0188/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:24:59] #0189/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:25:11] #0190/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:25:20] #0191/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:25:31] #0192/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:25:41] #0193/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:25:52] #0194/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:26:02] #0195/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 11:26:14] #0196/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:26:32] #0197/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 11:26:42] #0198/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:27:03] #0199/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 11:27:15] #0200/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:27:15]   [200/944] acc=138/200=69% filt=199
[2026-05-12 11:27:24] #0201/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 11:27:51] #0202/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:28:13] #0203/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:28:25] #0204/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:28:38] #0205/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:29:01] #0206/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.571 conf=0.840 gap=0.720
