[2026-05-12 10:28:26] #0001/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:38:39] #0035/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 10:39:14] #0037/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:39:24] #0038/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.227 conf=0.940 gap=0.880
[2026-05-12 10:39:37] #0039/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:40:05] #0040/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 10:40:36] #0042/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:41:41] #0045/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:42:09] #0047/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:42:19] #0048/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:42:29] #0049/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:42:49] #0050/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:42:59] #0051/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:43:08] #0052/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:43:34] #0053/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 10:44:10] #0055/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:44:14] #0056/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:45:09] #0058/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:45:14] #0059/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 10:46:07] #0061/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:46:11] #0062/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 10:46:22] #0063/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.526 conf=0.880 gap=0.840
[2026-05-12 10:46:51] #0064/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:48:18] #0069/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 10:48:47] #0070/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.348 conf=0.930 gap=0.910
[2026-05-12 10:49:14] #0071/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:49:26] #0072/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 10:51:07] #0074/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:51:45] #0076/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:52:17] #0078/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:52:28] #0079/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:52:54] #0080/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:53:21] #0081/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 10:53:31] #0082/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 10:53:57] #0083/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:56:23] #0088/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:56:26] #0089/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.598 conf=0.850 gap=0.780
[2026-05-12 10:56:35] #0090/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 10:57:38] #0094/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:57:47] #0095/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:57:59] #0096/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 10:58:10] #0097/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 10:58:20] #0098/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:58:29] #0099/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 10:59:34] #0103/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:00:03] #0105/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:00:13] #0106/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 11:00:24] #0107/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:01:56] #0110/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:04:10] #0114/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:05:05] #0117/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.870 conf=0.720 gap=0.540
[2026-05-12 11:05:19] #0118/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:05:29] #0119/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 11:05:40] #0120/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:05:44] #0121/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 11:05:53] #0122/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 11:06:04] #0123/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:06:32] #0124/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:06:36] #0125/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:06:47] #0126/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:07:21] #0128/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:07:31] #0129/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.358 conf=0.920 gap=0.870
[2026-05-12 11:07:41] #0130/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:07:53] #0131/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:08:05] #0132/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 11:08:57] #0134/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 11:09:06] #0135/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 11:09:22] #0136/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 11:10:00] #0138/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 11:10:09] #0139/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 11:10:40] #0141/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:11:39] #0144/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:12:05] #0145/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 11:12:08] #0146/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:12:42] #0148/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:12:54] #0149/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:13:31] #0151/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:13:44] #0152/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:13:48] #0153/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:13:57] #0154/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 11:14:08] #0155/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:14:10] #0156/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:14:59] #0159/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:16:32] #0162/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:16:43] #0163/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:16:55] #0164/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:16:58] #0165/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 11:18:15] #0168/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:19:14] #0169/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:19:57] #0171/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 11:20:07] #0172/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.948 conf=0.720 gap=0.600
[2026-05-12 11:20:18] #0173/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:20:53] #0175/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:21:21] #0177/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:22:42] #0181/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.345 conf=0.920 gap=0.860
[2026-05-12 11:22:45] #0182/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:22:51] #0183/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 11:23:01] #0184/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:23:18] #0185/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:23:27] #0186/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:23:37] #0187/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:24:35] #0188/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:25:11] #0190/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:25:20] #0191/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:25:31] #0192/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:25:41] #0193/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:25:52] #0194/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:26:02] #0195/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 11:26:14] #0196/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:26:42] #0198/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:27:15] #0200/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:27:24] #0201/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 11:27:51] #0202/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:28:25] #0204/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:28:38] #0205/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:29:09] #0207/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 11:29:28] #0208/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.263 conf=0.400 gap=0.000
[2026-05-12 11:30:20] #0210/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:30:39] #0211/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:31:09] #0212/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:31:17] #0213/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 11:32:18] #0216/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:32:31] #0217/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:32:43] #0218/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:33:17] #0220/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 11:33:31] #0221/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:33:45] #0222/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:33:55] #0223/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:34:05] #0224/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:34:15] #0225/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 11:35:29] #0228/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:35:38] #0229/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:35:50] #0230/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:36:18] #0232/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:37:13] #0234/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:37:23] #0235/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:37:39] #0236/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:37:53] #0237/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.822 conf=0.700 gap=0.460
[2026-05-12 11:38:04] #0238/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 11:38:44] #0240/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 11:39:09] #0241/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:39:18] #0242/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 11:39:53] #0244/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:40:02] #0245/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 11:40:14] #0246/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:40:24] #0247/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:40:36] #0248/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:41:43] #0250/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 11:42:15] #0252/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:42:56] #0254/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 11:43:06] #0255/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:43:30] #0256/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:44:03] #0258/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:44:39] #0260/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 11:45:10] #0261/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:45:20] #0262/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 11:45:51] #0264/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 11:46:25] #0266/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:46:51] #0267/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.758 conf=0.800 gap=0.720
[2026-05-12 11:47:03] #0268/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:47:14] #0269/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:47:53] #0271/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 11:48:20] #0273/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:48:32] #0274/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:49:24] #0276/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.526 conf=0.880 gap=0.840
[2026-05-12 11:49:40] #0277/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 11:49:54] #0278/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 11:50:19] #0279/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:50:33] #0280/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:50:59] #0281/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:51:52] #0283/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.620 gap=0.260
[2026-05-12 11:52:02] #0284/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:52:12] #0285/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:52:20] #0286/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:52:32] #0287/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:53:30] #0288/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:53:43] #0289/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:54:28] #0291/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:54:31] #0292/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:54:39] #0293/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:54:48] #0294/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:54:51] #0295/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 11:54:58] #0296/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:55:23] #0297/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:56:32] #0300/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:57:49] #0304/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.426 conf=0.910 gap=0.880
[2026-05-12 11:58:00] #0305/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
