[2026-05-11 11:02:46] Class 3 (Talk-stand) 软标签生成开始
[2026-05-11 11:02:46]   QUICK=False LIMIT=50
[2026-05-11 11:02:46]   温度=0.8 (from api_config)
[2026-05-11 11:02:46]   本类: 6015窗口 (仅加载本类, 内存友好)
[2026-05-11 11:02:46]   实际生成: 6015 窗口
[2026-05-11 11:03:28] #0001/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.693 | conf=0.850 | gap=0.800
[2026-05-11 11:51:28] #0110/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:51:59] #0111/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:52:13] #0112/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.363 | conf=0.700 | gap=0.650
[2026-05-11 11:52:50] #0113/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:53:38] #0114/06015 | true=Talk-stand(3) | pred=Stair-up(15) | ✗ | ent=1.522 | conf=0.450 | gap=0.250
[2026-05-11 11:54:01] #0115/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.436 | conf=0.907 | gap=0.876
[2026-05-11 11:54:31] #0116/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:55:02] #0117/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.109 | conf=0.977 | gap=0.954
[2026-05-11 11:55:15] #0118/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.120 | conf=0.750 | gap=0.700
[2026-05-11 11:55:52] #0119/06015 | true=Talk-stand(3) | pred=Stair-up(15) | ✗ | ent=1.722 | conf=0.400 | gap=0.250
[2026-05-11 11:56:03] #0120/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:56:03]   [120/6015] acc=68/120=56.7% filtered=112/120
[2026-05-11 11:56:32] #0121/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:56:49] #0122/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.780 | conf=0.550 | gap=0.450
[2026-05-11 11:57:17] #0123/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.780 | conf=0.700 | gap=0.450
[2026-05-11 11:57:59] #0124/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:58:38] #0125/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.760 | conf=0.720 | gap=0.520
[2026-05-11 11:59:11] #0126/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:59:41] #0127/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.926 | conf=0.750 | gap=0.670
[2026-05-11 12:00:10] #0128/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.435 | conf=0.917 | gap=0.877
[2026-05-11 12:00:36] #0129/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.974 | conf=0.667 | gap=0.500
[2026-05-11 12:00:50] #0130/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:01:25] #0131/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:01:42] #0132/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:02:15] #0133/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:02:45] #0134/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.689 | conf=0.800 | gap=0.700
[2026-05-11 12:04:00] #0135/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.685 | conf=0.850 | gap=0.820
[2026-05-11 12:04:33] #0136/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.362 | conf=0.882 | gap=0.765
[2026-05-11 12:04:47] #0137/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.952 | conf=0.720 | gap=0.620
[2026-05-11 12:04:58] #0138/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:05:33] #0139/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.563 | conf=0.550 | gap=0.400
[2026-05-11 12:05:43] #0140/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:05:43]   [140/6015] acc=77/140=55.0% filtered=130/140
[2026-05-11 12:06:16] #0141/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 12:06:39] #0142/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=1.710 | conf=0.594 | gap=0.515
[2026-05-11 12:07:00] #0143/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 12:07:15] #0144/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.559 | conf=0.526 | gap=0.368
[2026-05-11 12:07:48] #0145/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:08:01] #0146/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:08:41] #0147/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.530 | conf=0.778 | gap=0.556
[2026-05-11 12:08:55] #0148/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.042 | conf=0.750 | gap=0.698
[2026-05-11 12:09:26] #0149/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:09:39] #0150/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 12:10:08] #0151/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.444 | conf=0.882 | gap=0.824
[2026-05-11 12:10:37] #0152/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.664 | conf=0.850 | gap=0.820
[2026-05-11 12:11:24] #0153/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:49] #0154/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:12:16] #0155/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:12:44] #0156/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.602 | conf=0.812 | gap=0.688
[2026-05-11 12:12:58] #0157/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.060 | conf=0.700 | gap=0.600
[2026-05-11 12:13:33] #0158/06015 | true=Talk-stand(3) | pred=Stair-up(15) | ✗ | ent=1.716 | conf=0.300 | gap=0.050
[2026-05-11 12:13:49] #0159/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.104 | conf=0.550 | gap=0.250
[2026-05-11 12:14:18] #0160/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:14:18]   [160/6015] acc=84/160=52.5% filtered=147/160
[2026-05-11 12:14:46] #0161/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 12:15:13] #0162/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.417 | conf=0.889 | gap=0.811
[2026-05-11 12:15:28] #0163/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:16:01] #0164/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:16:27] #0165/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:16:58] #0166/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:17:43] #0167/06015 | true=Talk-stand(3) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 12:17:55] #0168/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:18:26] #0169/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:18:39] #0170/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:19:08] #0171/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 12:19:21] #0172/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 12:19:35] #0173/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.931 | conf=0.800 | gap=0.750
[2026-05-11 12:19:46] #0174/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:20:01] #0175/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:24] #0176/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:20:51] #0177/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:21:20] #0178/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
