[2026-05-11 23:14:52] #0001/03346 | true=standing | pred=standing | ✓ | ent=0.435 conf=0.880 gap=0.780
[2026-05-11 23:21:50] #0029/03346 | true=standing | pred=standing | ✓ | ent=0.859 conf=0.750 gap=0.600
[2026-05-11 23:22:11] #0030/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:22:20] #0031/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-11 23:22:24] #0032/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:22:27] #0033/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:22:53] #0034/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:13] #0035/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:18] #0036/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:37] #0037/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:48] #0038/03346 | true=standing | pred=standing | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-11 23:23:56] #0039/03346 | true=standing | pred=standing | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-11 23:24:08] #0040/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:24:12] #0041/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:24:23] #0042/03346 | true=standing | pred=standing | ✓ | ent=0.985 conf=0.650 gap=0.400
[2026-05-11 23:24:49] #0043/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:24:54] #0044/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:25:14] #0045/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:25:24] #0046/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:25:43] #0047/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:25:54] #0048/03346 | true=standing | pred=standing | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-11 23:25:57] #0049/03346 | true=standing | pred=standing | ✓ | ent=0.922 conf=0.500 gap=0.050
[2026-05-11 23:26:02] #0050/03346 | true=standing | pred=standing | ✓ | ent=1.208 conf=0.600 gap=0.400
[2026-05-11 23:26:22] #0051/03346 | true=standing | pred=standing | ✓ | ent=0.730 conf=0.820 gap=0.760
[2026-05-11 23:26:24] #0052/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:26:43] #0053/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:26:52] #0054/03346 | true=standing | pred=standing | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:27:02] #0055/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:27:08] #0056/03346 | true=standing | pred=standing | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-11 23:27:11] #0057/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:27:37] #0058/03346 | true=standing | pred=standing | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-11 23:27:57] #0059/03346 | true=standing | pred=standing | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:28:48] #0060/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:28:57] #0061/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:29:00] #0062/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:29:11] #0063/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:29:37] #0064/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-11 23:29:40] #0065/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:29:45] #0066/03346 | true=standing | pred=standing | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-11 23:30:05] #0067/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:30:27] #0068/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:30:54] #0069/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-11 23:31:05] #0070/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:31:15] #0071/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-11 23:31:23] #0072/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:31:37] #0073/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:31:57] #0074/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:31:59] #0075/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:32:01] #0076/03346 | true=standing | pred=standing | ✓ | ent=0.666 conf=0.800 gap=0.650
[2026-05-11 23:32:03] #0077/03346 | true=standing | pred=standing | ✓ | ent=0.871 conf=0.780 gap=0.730
[2026-05-11 23:32:24] #0078/03346 | true=standing | pred=standing | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-11 23:32:43] #0079/03346 | true=standing | pred=standing | ✓ | ent=0.646 conf=0.850 gap=0.800
[2026-05-11 23:33:02] #0080/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:33:05] #0081/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:33:18] #0082/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:33:26] #0083/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:33:31] #0084/03346 | true=standing | pred=standing | ✓ | ent=0.723 conf=0.820 gap=0.740
[2026-05-11 23:33:56] #0085/03346 | true=standing | pred=standing | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 23:34:07] #0086/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:34:13] #0087/03346 | true=standing | pred=standing | ✓ | ent=1.026 conf=0.600 gap=0.300
[2026-05-11 23:34:21] #0088/03346 | true=standing | pred=standing | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-11 23:34:24] #0089/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:34:28] #0090/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:34:31] #0091/03346 | true=standing | pred=standing | ✓ | ent=0.847 conf=0.750 gap=0.600
[2026-05-11 23:34:43] #0092/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:34:52] #0093/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:35:18] #0094/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:35:21] #0095/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-11 23:35:24] #0096/03346 | true=standing | pred=standing | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-11 23:35:27] #0097/03346 | true=standing | pred=standing | ✓ | ent=0.579 conf=0.870 gap=0.820
[2026-05-11 23:35:49] #0098/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:36:14] #0099/03346 | true=standing | pred=standing | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 23:36:16] #0100/03346 | true=standing | pred=standing | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-11 23:36:18] #0101/03346 | true=standing | pred=standing | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:36:21] #0102/03346 | true=standing | pred=standing | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-11 23:36:43] #0103/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:36:52] #0104/03346 | true=standing | pred=standing | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:37:51] #0105/03346 | true=standing | pred=standing | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-11 23:38:49] #0106/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:38:52] #0107/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:40:24] #0108/03346 | true=standing | pred=standing | ✓ | ent=0.890 conf=0.600 gap=0.250
[2026-05-11 23:40:26] #0109/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:40:29] #0110/03346 | true=standing | pred=standing | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:40:31] #0111/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:40:34] #0112/03346 | true=standing | pred=standing | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-11 23:40:41] #0113/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:40:44] #0114/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:41:07] #0115/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:41:10] #0116/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:41:14] #0117/03346 | true=standing | pred=standing | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 23:41:35] #0118/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:41:38] #0119/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:41:41] #0120/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:42:09] #0121/03346 | true=standing | pred=standing | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-11 23:42:31] #0122/03346 | true=standing | pred=standing | ✓ | ent=0.756 conf=0.800 gap=0.700
[2026-05-11 23:42:36] #0123/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:42:38] #0124/03346 | true=standing | pred=standing | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:42:41] #0125/03346 | true=standing | pred=standing | ✓ | ent=0.307 conf=0.940 gap=0.920
[2026-05-11 23:42:48] #0126/03346 | true=standing | pred=standing | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:42:59] #0127/03346 | true=standing | pred=standing | ✓ | ent=0.666 conf=0.800 gap=0.650
[2026-05-11 23:43:47] #0129/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:43:50] #0130/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:43:52] #0131/03346 | true=standing | pred=standing | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-11 23:43:59] #0132/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:44:04] #0133/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:44:30] #0134/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-11 23:44:57] #0135/03346 | true=standing | pred=standing | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-11 23:45:01] #0136/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:45:08] #0137/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:45:36] #0138/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 23:45:39] #0139/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:45:44] #0140/03346 | true=standing | pred=standing | ✓ | ent=0.772 conf=0.800 gap=0.700
[2026-05-11 23:45:52] #0141/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:45:56] #0142/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:45:58] #0143/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-11 23:46:09] #0144/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:46:20] #0145/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 23:46:24] #0146/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:46:26] #0147/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:46:28] #0148/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:46:34] #0149/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:46:38] #0150/03346 | true=standing | pred=standing | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-11 23:46:41] #0151/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:46:43] #0152/03346 | true=standing | pred=standing | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 23:46:47] #0153/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:46:50] #0154/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:46:59] #0155/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:47:08] #0156/03346 | true=standing | pred=standing | ✓ | ent=0.367 conf=0.900 gap=0.810
[2026-05-11 23:47:11] #0157/03346 | true=standing | pred=standing | ✓ | ent=0.357 conf=0.930 gap=0.900
[2026-05-11 23:47:13] #0158/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:47:22] #0159/03346 | true=standing | pred=standing | ✓ | ent=0.858 conf=0.650 gap=0.350
[2026-05-11 23:47:31] #0160/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-11 23:47:41] #0161/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:48:08] #0162/03346 | true=standing | pred=standing | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-11 23:48:10] #0163/03346 | true=standing | pred=standing | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-11 23:48:16] #0164/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:48:20] #0165/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:48:42] #0167/03346 | true=standing | pred=standing | ✓ | ent=0.646 conf=0.850 gap=0.800
[2026-05-11 23:49:02] #0168/03346 | true=standing | pred=standing | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-11 23:49:04] #0169/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:49:13] #0170/03346 | true=standing | pred=standing | ✓ | ent=0.890 conf=0.600 gap=0.250
[2026-05-11 23:49:21] #0171/03346 | true=standing | pred=standing | ✓ | ent=0.996 conf=0.680 gap=0.480
[2026-05-11 23:49:26] #0172/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:49:50] #0173/03346 | true=standing | pred=standing | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:50:10] #0174/03346 | true=standing | pred=standing | ✓ | ent=1.228 conf=0.600 gap=0.400
[2026-05-11 23:50:13] #0175/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:50:14] #0176/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:50:23] #0177/03346 | true=standing | pred=standing | ✓ | ent=0.426 conf=0.890 gap=0.800
[2026-05-11 23:50:33] #0178/03346 | true=standing | pred=standing | ✓ | ent=0.859 conf=0.750 gap=0.600
[2026-05-11 23:50:52] #0179/03346 | true=standing | pred=standing | ✓ | ent=0.759 conf=0.780 gap=0.630
[2026-05-11 23:51:17] #0180/03346 | true=standing | pred=standing | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-11 23:51:20] #0181/03346 | true=standing | pred=standing | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-11 23:51:29] #0182/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:51:31] #0183/03346 | true=standing | pred=standing | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:51:50] #0184/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:51:52] #0185/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:51:56] #0186/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:52:04] #0187/03346 | true=standing | pred=standing | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-11 23:52:24] #0188/03346 | true=standing | pred=standing | ✓ | ent=0.866 conf=0.720 gap=0.520
[2026-05-11 23:52:34] #0189/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-11 23:52:45] #0190/03346 | true=standing | pred=standing | ✓ | ent=0.798 conf=0.800 gap=0.720
[2026-05-11 23:53:36] #0191/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:54:15] #0192/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:54:17] #0193/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:54:20] #0194/03346 | true=standing | pred=standing | ✓ | ent=0.357 conf=0.930 gap=0.900
[2026-05-11 23:54:29] #0196/03346 | true=standing | pred=standing | ✓ | ent=0.811 conf=0.800 gap=0.750
[2026-05-11 23:54:37] #0197/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:54:40] #0198/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:55:00] #0200/03346 | true=standing | pred=standing | ✓ | ent=0.543 conf=0.880 gap=0.830
[2026-05-11 23:55:20] #0201/03346 | true=standing | pred=standing | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:55:29] #0202/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:55:33] #0203/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:55:35] #0204/03346 | true=standing | pred=standing | ✓ | ent=0.420 conf=0.910 gap=0.860
[2026-05-11 23:55:43] #0205/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:55:53] #0206/03346 | true=standing | pred=standing | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:55:57] #0207/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:56:00] #0208/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-11 23:56:03] #0209/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:56:22] #0210/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:56:24] #0211/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:56:51] #0212/03346 | true=standing | pred=standing | ✓ | ent=0.964 conf=0.580 gap=0.230
[2026-05-11 23:56:59] #0213/03346 | true=standing | pred=standing | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-11 23:57:06] #0214/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:57:19] #0215/03346 | true=standing | pred=standing | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-11 23:57:38] #0216/03346 | true=standing | pred=standing | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-11 23:57:40] #0217/03346 | true=standing | pred=standing | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 23:57:42] #0218/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-11 23:57:45] #0219/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:57:47] #0220/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:57:49] #0221/03346 | true=standing | pred=standing | ✓ | ent=0.558 conf=0.880 gap=0.850
[2026-05-11 23:57:52] #0222/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:58:50] #0223/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:58:52] #0224/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-11 23:59:02] #0225/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:59:59] #0226/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:00:03] #0227/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:00:08] #0228/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:00:11] #0229/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:00:37] #0230/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:00:40] #0231/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:00:59] #0232/03346 | true=standing | pred=standing | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-12 00:01:02] #0233/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 00:01:14] #0234/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 00:01:19] #0235/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:02:14] #0236/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:02:17] #0237/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:02:20] #0238/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:02:46] #0239/03346 | true=standing | pred=standing | ✓ | ent=0.357 conf=0.930 gap=0.900
[2026-05-12 00:02:48] #0240/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
