[2026-05-11 11:58:35] #0001/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 12:20:56] #0051/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:46] #0053/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:22:30] #0054/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 12:23:07] #0056/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:23:19] #0057/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.334 | conf=0.940 | gap=0.930
[2026-05-11 12:23:34] #0058/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.776 | conf=0.800 | gap=0.700
[2026-05-11 12:23:47] #0059/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=1.016 | conf=0.750 | gap=0.680
[2026-05-11 12:28:45] #0068/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:28:57] #0069/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:29:29] #0070/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:30:35] #0072/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:31:32] #0074/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:32:38] #0076/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 12:33:23] #0078/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:33:37] #0079/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.851 | conf=0.800 | gap=0.750
[2026-05-11 12:34:05] #0080/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:36:23] #0086/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:36:38] #0087/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:36:49] #0088/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:37:03] #0089/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:37:13] #0090/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:37:24] #0091/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:37:49] #0092/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:16] #0096/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:55] #0098/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:40:08] #0099/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:40:18] #0100/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:41:09] #0102/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:41:47] #0104/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:42:19] #0105/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:42:52] #0107/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 12:43:34] #0109/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.190 | conf=0.960 | gap=0.930
[2026-05-11 12:44:04] #0110/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:44:14] #0111/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:44:27] #0112/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:46:39] #0117/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:47:54] #0120/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:48:45] #0122/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:48:59] #0123/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:49:10] #0124/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:49:20] #0125/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:49:31] #0126/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.582 | conf=0.880 | gap=0.860
[2026-05-11 12:50:41] #0129/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:51:27] #0131/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:51:56] #0132/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 12:52:08] #0133/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 12:52:18] #0134/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.767 | conf=0.820 | gap=0.750
[2026-05-11 12:53:03] #0136/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:53:56] #0138/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:54:12] #0139/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.706 | conf=0.820 | gap=0.720
[2026-05-11 12:54:26] #0140/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:54:52] #0141/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:56:04] #0144/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:57:04] #0146/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:57:18] #0147/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:57:31] #0148/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:57:43] #0149/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:57:54] #0150/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.772 | conf=0.800 | gap=0.700
[2026-05-11 12:59:26] #0153/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:59:38] #0154/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:00:32] #0156/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:02:21] #0160/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 13:02:36] #0161/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:04:27] #0165/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:07:30] #0170/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:07:42] #0171/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:08:19] #0172/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:09:41] #0175/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:10:11] #0176/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.851 | conf=0.800 | gap=0.750
[2026-05-11 13:12:12] #0181/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.434 | conf=0.900 | gap=0.860
[2026-05-11 13:12:23] #0182/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 13:12:33] #0183/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:14:05] #0187/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:15:51] #0190/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:18:58] #0196/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:19:44] #0198/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 13:20:12] #0199/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:20:24] #0200/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:21:56] #0203/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:22:16] #0204/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:23:15] #0206/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.168 | conf=0.960 | gap=0.920
[2026-05-11 13:23:28] #0207/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:23:44] #0208/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.845 | conf=0.800 | gap=0.720
[2026-05-11 13:24:06] #0209/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:24:39] #0210/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:24:50] #0211/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 13:25:00] #0212/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:25:46] #0214/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:26:44] #0216/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:28:26] #0220/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 13:28:47] #0221/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:29:03] #0222/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.959 | conf=0.750 | gap=0.650
[2026-05-11 13:30:41] #0226/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 13:31:10] #0227/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:31:26] #0228/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:31:39] #0229/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:32:04] #0230/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 13:33:01] #0232/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:34:40] #0236/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:35:33] #0238/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:36:47] #0240/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:37:24] #0242/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:37:50] #0243/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:38:00] #0244/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:38:15] #0245/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:38:27] #0246/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 13:38:40] #0247/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.817 | conf=0.800 | gap=0.750
[2026-05-11 13:40:22] #0250/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:40:32] #0251/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:41:57] #0255/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:44:48] #0261/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 13:45:02] #0262/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:45:14] #0263/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:46:14] #0265/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.642 | conf=0.850 | gap=0.800
[2026-05-11 13:48:10] #0268/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 13:48:22] #0269/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:48:35] #0270/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.637 | conf=0.850 | gap=0.780
[2026-05-11 13:48:49] #0271/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:49:02] #0272/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 13:49:17] #0273/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 13:51:12] #0278/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:51:39] #0279/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-11 13:52:39] #0281/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:53:30] #0283/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:55:09] #0287/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:57:22] #0292/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:57:34] #0293/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:58:23] #0295/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.761 | conf=0.800 | gap=0.700
[2026-05-11 13:58:33] #0296/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:58:58] #0297/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:59:46] #0299/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 14:00:58] #0302/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:01:13] #0303/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 14:01:41] #0304/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:02:22] #0306/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 14:02:35] #0307/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 14:03:00] #0308/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:03:46] #0310/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:04:00] #0311/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:04:49] #0313/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:06:40] #0317/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:06:59] #0318/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 14:07:29] #0319/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:08:22] #0321/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 14:08:36] #0322/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:11:26] #0327/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:11:40] #0328/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:11:48] #0329/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:12:05] #0330/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:12:33] #0331/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 14:13:16] #0333/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:13:50] #0334/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 14:14:03] #0335/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-11 14:14:18] #0336/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-11 14:17:06] #0341/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 14:17:19] #0342/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:19:34] #0346/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:21:07] #0349/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
