[2026-05-11 11:58:35] #0001/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 12:11:16] #0029/01454 | true=Table-tennis(17) | pred=Pick(7) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:11:42] #0030/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 12:11:56] #0031/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:12:23] #0032/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.990 | conf=0.750 | gap=0.680
[2026-05-11 12:12:36] #0033/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:12:56] #0034/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-11 12:13:19] #0035/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:14:11] #0036/01454 | true=Table-tennis(17) | pred=Pick(7) | ✗ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 12:15:01] #0037/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:16:09] #0039/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.802 | conf=0.810 | gap=0.740
[2026-05-11 12:16:29] #0040/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:17:26] #0042/01454 | true=Table-tennis(17) | pred=Walk-circle(13) | ✗ | ent=1.175 | conf=0.600 | gap=0.450
[2026-05-11 12:18:21] #0043/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:18:45] #0044/01454 | true=Table-tennis(17) | pred=Run(14) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:19:14] #0045/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 12:19:22] #0046/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:19:50] #0047/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:20:16] #0048/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.495 | conf=0.900 | gap=0.870
[2026-05-11 12:20:25] #0049/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:43] #0050/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=1.197 | conf=0.650 | gap=0.500
[2026-05-11 12:20:56] #0051/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:17] #0052/01454 | true=Table-tennis(17) | pred=Jump(8) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:21:46] #0053/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:22:30] #0054/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 12:22:59] #0055/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:23:07] #0056/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:23:19] #0057/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.334 | conf=0.940 | gap=0.930
[2026-05-11 12:23:34] #0058/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.776 | conf=0.800 | gap=0.700
[2026-05-11 12:23:47] #0059/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=1.016 | conf=0.750 | gap=0.680
[2026-05-11 12:24:12] #0060/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:24:47] #0061/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 12:25:57] #0063/01454 | true=Table-tennis(17) | pred=Run(14) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:26:25] #0064/01454 | true=Table-tennis(17) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:26:57] #0065/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.690 | conf=0.820 | gap=0.740
[2026-05-11 12:27:25] #0066/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 12:28:15] #0067/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:28:45] #0068/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:28:57] #0069/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:29:29] #0070/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:29:59] #0071/01454 | true=Table-tennis(17) | pred=Walk-circle(13) | ✗ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 12:30:35] #0072/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:31:06] #0073/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 12:31:32] #0074/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:32:09] #0075/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=0.675 | conf=0.850 | gap=0.810
[2026-05-11 12:32:38] #0076/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 12:33:23] #0078/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:33:37] #0079/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.851 | conf=0.800 | gap=0.750
[2026-05-11 12:34:05] #0080/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:34:27] #0081/01454 | true=Table-tennis(17) | pred=Jump(8) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:34:51] #0082/01454 | true=Table-tennis(17) | pred=Jump(8) | ✗ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:35:16] #0083/01454 | true=Table-tennis(17) | pred=Pick(7) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:35:44] #0084/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:36:16] #0085/01454 | true=Table-tennis(17) | pred=Walk-circle(13) | ✗ | ent=1.139 | conf=0.550 | gap=0.250
[2026-05-11 12:36:23] #0086/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:36:38] #0087/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:36:49] #0088/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:37:03] #0089/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:37:13] #0090/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:37:24] #0091/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:37:49] #0092/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:38:40] #0094/01454 | true=Table-tennis(17) | pred=Jump(8) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:04] #0095/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.445 | conf=0.915 | gap=0.900
[2026-05-11 12:39:16] #0096/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:55] #0098/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:40:08] #0099/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:40:18] #0100/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:41:09] #0102/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:41:38] #0103/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 12:41:47] #0104/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:42:19] #0105/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:42:39] #0106/01454 | true=Table-tennis(17) | pred=Run(14) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:42:52] #0107/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 12:43:20] #0108/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:43:34] #0109/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.190 | conf=0.960 | gap=0.930
[2026-05-11 12:44:04] #0110/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:44:14] #0111/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:44:27] #0112/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:44:59] #0113/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 12:45:57] #0115/01454 | true=Table-tennis(17) | pred=Pick(7) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:46:39] #0117/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:47:06] #0118/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:47:54] #0120/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:48:35] #0121/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.950 | conf=0.600 | gap=0.400
[2026-05-11 12:48:45] #0122/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:48:59] #0123/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:49:10] #0124/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:49:20] #0125/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:49:31] #0126/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.582 | conf=0.880 | gap=0.860
[2026-05-11 12:49:55] #0127/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:50:29] #0128/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.121 | conf=0.700 | gap=0.620
[2026-05-11 12:50:41] #0129/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:51:14] #0130/01454 | true=Table-tennis(17) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:51:27] #0131/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:51:56] #0132/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 12:52:08] #0133/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 12:52:18] #0134/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.767 | conf=0.820 | gap=0.750
[2026-05-11 12:53:03] #0136/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:53:41] #0137/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.330 | conf=0.550 | gap=0.350
[2026-05-11 12:53:56] #0138/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:54:12] #0139/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.706 | conf=0.820 | gap=0.720
[2026-05-11 12:54:26] #0140/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:54:52] #0141/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:55:19] #0142/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:55:52] #0143/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 12:56:04] #0144/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:57:04] #0146/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:57:18] #0147/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:57:31] #0148/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:57:43] #0149/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:57:54] #0150/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.772 | conf=0.800 | gap=0.700
[2026-05-11 12:58:28] #0151/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:59:10] #0152/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.068 | conf=0.600 | gap=0.350
[2026-05-11 12:59:26] #0153/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:59:38] #0154/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:00:32] #0156/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:01:02] #0157/01454 | true=Table-tennis(17) | pred=Lay-stand(6) | ✗ | ent=0.613 | conf=0.850 | gap=0.780
[2026-05-11 13:01:43] #0158/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.472 | conf=0.500 | gap=0.350
[2026-05-11 13:02:09] #0159/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:02:21] #0160/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 13:02:36] #0161/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:03:30] #0163/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 13:04:11] #0164/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-11 13:04:27] #0165/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:04:57] #0166/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 13:05:23] #0167/01454 | true=Table-tennis(17) | pred=Jump(8) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:05:49] #0168/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:07:00] #0169/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.819 | conf=0.700 | gap=0.550
[2026-05-11 13:07:30] #0170/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:07:42] #0171/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:08:19] #0172/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:08:53] #0173/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:09:23] #0174/01454 | true=Table-tennis(17) | pred=Jump(8) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:09:41] #0175/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:10:11] #0176/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.851 | conf=0.800 | gap=0.750
[2026-05-11 13:10:30] #0177/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 13:10:53] #0178/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 13:11:18] #0179/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 13:11:44] #0180/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.307 | conf=0.620 | gap=0.500
[2026-05-11 13:12:12] #0181/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.434 | conf=0.900 | gap=0.860
[2026-05-11 13:12:23] #0182/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 13:12:33] #0183/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:13:01] #0184/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 13:13:25] #0185/01454 | true=Table-tennis(17) | pred=Run(14) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:13:51] #0186/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 13:14:05] #0187/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:14:41] #0188/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 13:15:17] #0189/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.275 | conf=0.550 | gap=0.300
[2026-05-11 13:15:51] #0190/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:16:22] #0191/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=0.949 | conf=0.720 | gap=0.580
[2026-05-11 13:17:05] #0192/01454 | true=Table-tennis(17) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:18:14] #0194/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=1.407 | conf=0.550 | gap=0.400
[2026-05-11 13:18:43] #0195/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=1.347 | conf=0.550 | gap=0.400
[2026-05-11 13:18:58] #0196/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:19:28] #0197/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:19:44] #0198/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 13:20:12] #0199/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:20:24] #0200/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:21:30] #0202/01454 | true=Table-tennis(17) | pred=Jump(8) | ✗ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 13:21:56] #0203/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:22:16] #0204/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
