[2026-05-11 21:51:39] HARTH class 3 (stairs_up) T=0.8
[2026-05-11 21:51:39]   837 windows
[2026-05-11 21:51:42] #0001/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:06:57] #0061/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:07:11] #0062/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.308 conf=0.450 gap=0.100
[2026-05-11 22:07:32] #0063/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:07:39] #0064/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:08:08] #0065/00837 | true=stairs_up | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:08:16] #0066/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:08:29] #0067/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-11 22:08:42] #0068/00837 | true=stairs_up | pred=walk | ✗ | ent=0.233 conf=0.950 gap=0.925
[2026-05-11 22:08:46] #0069/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:08:57] #0070/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.668 conf=0.850 gap=0.800
[2026-05-11 22:09:15] #0071/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.968 conf=0.750 gap=0.650
[2026-05-11 22:09:24] #0072/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:09:39] #0073/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:09:52] #0074/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:10:14] #0075/00837 | true=stairs_up | pred=walk | ✗ | ent=1.553 conf=0.450 gap=0.250
[2026-05-11 22:10:22] #0076/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:10:30] #0077/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.192 conf=0.650 gap=0.500
[2026-05-11 22:10:33] #0078/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:11:28] #0079/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-11 22:12:00] #0080/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.633 conf=0.789 gap=0.632
[2026-05-11 22:12:00]   [80/837] acc=71% filt=58
[2026-05-11 22:12:03] #0081/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:12:06] #0082/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:12:37] #0083/00837 | true=stairs_up | pred=walk | ✗ | ent=1.237 conf=0.650 gap=0.550
[2026-05-11 22:12:41] #0084/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:13:20] #0085/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:13:30] #0086/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:13:48] #0087/00837 | true=stairs_up | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:13:56] #0088/00837 | true=stairs_up | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:14:15] #0089/00837 | true=stairs_up | pred=walk | ✗ | ent=1.124 conf=0.700 gap=0.620
[2026-05-11 22:14:40] #0090/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:15:04] #0091/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:15:36] #0092/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-11 22:15:55] #0093/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:16:53] #0094/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.596 conf=0.350 gap=0.050
[2026-05-11 22:16:56] #0095/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:17:00] #0096/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 22:17:10] #0097/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.052 conf=0.500 gap=0.080
[2026-05-11 22:17:13] #0098/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:17:42] #0099/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.376 conf=0.450 gap=0.100
[2026-05-11 22:17:52] #0100/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.536 conf=0.350 gap=0.000
[2026-05-11 22:17:52]   [100/837] acc=73% filt=70
[2026-05-11 22:18:09] #0101/00837 | true=stairs_up | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:18:16] #0102/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:54] #0103/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.657 conf=0.400 gap=0.150
[2026-05-11 22:19:02] #0104/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:19:19] #0105/00837 | true=stairs_up | pred=walk | ✗ | ent=1.607 conf=0.350 gap=0.070
[2026-05-11 22:19:35] #0106/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.037 conf=0.700 gap=0.550
[2026-05-11 22:19:53] #0107/00837 | true=stairs_up | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 22:20:06] #0108/00837 | true=stairs_up | pred=walk | ✗ | ent=0.879 conf=0.750 gap=0.650
[2026-05-11 22:20:20] #0109/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:24] #0110/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:20:27] #0111/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:20:31] #0112/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:20:58] #0113/00837 | true=stairs_up | pred=lying | ✗ | ent=1.402 conf=0.500 gap=0.300
[2026-05-11 22:21:04] #0114/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:21:08] #0115/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:21:15] #0116/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.938 conf=0.700 gap=0.500
[2026-05-11 22:21:27] #0117/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.013 conf=0.750 gap=0.670
[2026-05-11 22:21:46] #0118/00837 | true=stairs_up | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:21:54] #0119/00837 | true=stairs_up | pred=walk | ✗ | ent=0.744 conf=0.820 gap=0.760
[2026-05-11 22:21:59] #0120/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.473 conf=0.450 gap=0.200
[2026-05-11 22:21:59]   [120/837] acc=71% filt=84
[2026-05-11 22:22:02] #0121/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-11 22:22:05] #0122/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:22:07] #0123/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:22:16] #0124/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:22:22] #0125/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-11 22:22:30] #0126/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:23:10] #0127/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.615 conf=0.816 gap=0.663
[2026-05-11 22:23:47] #0128/00837 | true=stairs_up | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:23:59] #0129/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:24:08] #0130/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.212 conf=0.550 gap=0.250
[2026-05-11 22:24:24] #0131/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.745 conf=0.820 gap=0.740
[2026-05-11 22:24:48] #0132/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.775 conf=0.800 gap=0.700
[2026-05-11 22:24:53] #0133/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:25:17] #0134/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.255 conf=0.500 gap=0.150
[2026-05-11 22:25:21] #0135/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.209 conf=0.450 gap=0.050
[2026-05-11 22:25:24] #0136/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:25:29] #0137/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.591 conf=0.400 gap=0.100
[2026-05-11 22:26:29] #0138/00837 | true=stairs_up | pred=walk | ✗ | ent=0.948 conf=0.750 gap=0.650
[2026-05-11 22:26:32] #0139/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:27:03] #0140/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:27:03]   [140/837] acc=72% filt=97
[2026-05-11 22:27:18] #0141/00837 | true=stairs_up | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:27:27] #0142/00837 | true=stairs_up | pred=walk | ✗ | ent=0.708 conf=0.850 gap=0.820
[2026-05-11 22:27:46] #0143/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.075 conf=0.700 gap=0.550
[2026-05-11 22:28:12] #0144/00837 | true=stairs_up | pred=run | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:28:16] #0145/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:28:58] #0146/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:29:13] #0147/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:29:27] #0148/00837 | true=stairs_up | pred=walk | ✗ | ent=0.703 conf=0.842 gap=0.792
[2026-05-11 22:29:48] #0149/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:29:57] #0150/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:30:07] #0151/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.974 conf=0.650 gap=0.400
[2026-05-11 22:30:16] #0152/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-11 22:30:34] #0153/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:30:38] #0154/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.653 conf=0.300 gap=0.050
[2026-05-11 22:30:49] #0155/00837 | true=stairs_up | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 22:31:02] #0156/00837 | true=stairs_up | pred=walk | ✗ | ent=0.621 conf=0.850 gap=0.770
[2026-05-11 22:31:19] #0157/00837 | true=stairs_up | pred=stand | ✗ | ent=0.867 conf=0.750 gap=0.600
[2026-05-11 22:31:30] #0158/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:31:37] #0159/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.065 conf=0.500 gap=0.100
[2026-05-11 22:31:53] #0160/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:31:53]   [160/837] acc=70% filt=112
[2026-05-11 22:32:02] #0161/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.396 conf=0.400 gap=0.000
[2026-05-11 22:32:12] #0162/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.113 conf=0.520 gap=0.140
[2026-05-11 22:32:23] #0163/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 22:32:44] #0164/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.768 conf=0.750 gap=0.550
[2026-05-11 22:32:52] #0165/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:33:06] #0166/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:33:27] #0167/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:33:42] #0168/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:34:04] #0169/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:34:20] #0170/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.839 conf=0.720 gap=0.500
[2026-05-11 22:34:26] #0171/00837 | true=stairs_up | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.810
[2026-05-11 22:35:01] #0172/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-11 22:35:38] #0173/00837 | true=stairs_up | pred=walk | ✗ | ent=1.754 conf=0.350 gap=0.170
[2026-05-11 22:35:49] #0174/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 22:35:55] #0175/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:35:58] #0176/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.410 conf=0.400 gap=0.050
[2026-05-11 22:36:03] #0177/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:36:23] #0178/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.299 conf=0.420 gap=0.020
[2026-05-11 22:36:28] #0179/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:36:36] #0180/00837 | true=stairs_up | pred=walk | ✗ | ent=0.882 conf=0.780 gap=0.710
[2026-05-11 22:36:36]   [180/837] acc=72% filt=125
[2026-05-11 22:37:23] #0181/00837 | true=stairs_up | pred=walk | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 22:37:33] #0182/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:37:59] #0183/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.371 conf=0.450 gap=0.200
[2026-05-11 22:38:05] #0184/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:38:10] #0185/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:38:30] #0186/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:38:40] #0187/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:38:43] #0188/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.912 conf=0.550 gap=0.150
[2026-05-11 22:38:47] #0189/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.165 conf=0.550 gap=0.250
[2026-05-11 22:38:59] #0190/00837 | true=stairs_up | pred=run | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:39:05] #0191/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:39:14] #0192/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:39:27] #0193/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.110 conf=0.650 gap=0.450
[2026-05-11 22:39:34] #0194/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-11 22:39:48] #0195/00837 | true=stairs_up | pred=stand | ✗ | ent=1.446 conf=0.500 gap=0.350
[2026-05-11 22:39:53] #0196/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.054 conf=0.450 gap=0.000
[2026-05-11 22:40:22] #0197/00837 | true=stairs_up | pred=walk | ✗ | ent=1.250 conf=0.550 gap=0.300
[2026-05-11 22:40:34] #0198/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:40:47] #0199/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.836 conf=0.800 gap=0.730
[2026-05-11 22:41:01] #0200/00837 | true=stairs_up | pred=walk | ✗ | ent=1.140 conf=0.700 gap=0.620
[2026-05-11 22:41:01]   [200/837] acc=71% filt=142
[2026-05-11 22:41:07] #0201/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:41:23] #0202/00837 | true=stairs_up | pred=walk | ✗ | ent=0.748 conf=0.820 gap=0.760
[2026-05-11 22:41:34] #0203/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 22:41:37] #0204/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:41:42] #0205/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:42:04] #0206/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:42:25] #0207/00837 | true=stairs_up | pred=walk | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:43:03] #0208/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.855 conf=0.800 gap=0.750
[2026-05-11 22:43:24] #0209/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.917 conf=0.680 gap=0.430
[2026-05-11 22:43:39] #0210/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.187 conf=0.410 gap=0.010
