[2026-05-11 21:51:42] #0001/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:02:57] #0047/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:04:03] #0050/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.020 conf=0.720 gap=0.600
[2026-05-11 22:04:08] #0051/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.136 conf=0.600 gap=0.350
[2026-05-11 22:04:22] #0052/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.031 conf=0.700 gap=0.550
[2026-05-11 22:04:40] #0053/00837 | true=stairs_up | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:04:59] #0054/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:05:47] #0057/00837 | true=stairs_up | pred=walk | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:06:14] #0058/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.226 conf=0.550 gap=0.250
[2026-05-11 22:06:33] #0059/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.982 conf=0.750 gap=0.650
[2026-05-11 22:06:57] #0061/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:07:39] #0064/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:08:08] #0065/00837 | true=stairs_up | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:08:16] #0066/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:08:29] #0067/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-11 22:08:42] #0068/00837 | true=stairs_up | pred=walk | ✗ | ent=0.233 conf=0.950 gap=0.925
[2026-05-11 22:08:46] #0069/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:08:57] #0070/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.668 conf=0.850 gap=0.800
[2026-05-11 22:09:15] #0071/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.968 conf=0.750 gap=0.650
[2026-05-11 22:09:24] #0072/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:09:39] #0073/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:09:52] #0074/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:10:22] #0076/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:10:30] #0077/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.192 conf=0.650 gap=0.500
[2026-05-11 22:10:33] #0078/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:11:28] #0079/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-11 22:12:00] #0080/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.633 conf=0.789 gap=0.632
[2026-05-11 22:12:03] #0081/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:12:06] #0082/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:12:37] #0083/00837 | true=stairs_up | pred=walk | ✗ | ent=1.237 conf=0.650 gap=0.550
[2026-05-11 22:12:41] #0084/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:13:20] #0085/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:13:48] #0087/00837 | true=stairs_up | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:13:56] #0088/00837 | true=stairs_up | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:14:15] #0089/00837 | true=stairs_up | pred=walk | ✗ | ent=1.124 conf=0.700 gap=0.620
[2026-05-11 22:14:40] #0090/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:15:04] #0091/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:15:36] #0092/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-11 22:15:55] #0093/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:18:09] #0101/00837 | true=stairs_up | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:18:16] #0102/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:02] #0104/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:19:35] #0106/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.037 conf=0.700 gap=0.550
[2026-05-11 22:19:53] #0107/00837 | true=stairs_up | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 22:20:06] #0108/00837 | true=stairs_up | pred=walk | ✗ | ent=0.879 conf=0.750 gap=0.650
[2026-05-11 22:20:20] #0109/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:24] #0110/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:20:31] #0112/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:21:04] #0114/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:21:15] #0116/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.938 conf=0.700 gap=0.500
[2026-05-11 22:21:27] #0117/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.013 conf=0.750 gap=0.670
[2026-05-11 22:21:46] #0118/00837 | true=stairs_up | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:21:54] #0119/00837 | true=stairs_up | pred=walk | ✗ | ent=0.744 conf=0.820 gap=0.760
[2026-05-11 22:22:02] #0121/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-11 22:22:05] #0122/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:22:07] #0123/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:22:22] #0125/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-11 22:22:30] #0126/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:23:10] #0127/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.615 conf=0.816 gap=0.663
[2026-05-11 22:23:47] #0128/00837 | true=stairs_up | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:23:59] #0129/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:24:08] #0130/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.212 conf=0.550 gap=0.250
[2026-05-11 22:24:24] #0131/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.745 conf=0.820 gap=0.740
[2026-05-11 22:24:48] #0132/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.775 conf=0.800 gap=0.700
[2026-05-11 22:26:29] #0138/00837 | true=stairs_up | pred=walk | ✗ | ent=0.948 conf=0.750 gap=0.650
[2026-05-11 22:27:03] #0140/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:27:18] #0141/00837 | true=stairs_up | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:27:27] #0142/00837 | true=stairs_up | pred=walk | ✗ | ent=0.708 conf=0.850 gap=0.820
[2026-05-11 22:27:46] #0143/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.075 conf=0.700 gap=0.550
[2026-05-11 22:28:12] #0144/00837 | true=stairs_up | pred=run | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:28:58] #0146/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:29:13] #0147/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:29:27] #0148/00837 | true=stairs_up | pred=walk | ✗ | ent=0.703 conf=0.842 gap=0.792
[2026-05-11 22:29:48] #0149/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:29:57] #0150/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:30:07] #0151/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.974 conf=0.650 gap=0.400
[2026-05-11 22:30:34] #0153/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:30:49] #0155/00837 | true=stairs_up | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 22:31:02] #0156/00837 | true=stairs_up | pred=walk | ✗ | ent=0.621 conf=0.850 gap=0.770
[2026-05-11 22:31:19] #0157/00837 | true=stairs_up | pred=stand | ✗ | ent=0.867 conf=0.750 gap=0.600
[2026-05-11 22:31:53] #0160/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:32:12] #0162/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.113 conf=0.520 gap=0.140
[2026-05-11 22:32:23] #0163/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 22:32:44] #0164/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.768 conf=0.750 gap=0.550
[2026-05-11 22:33:06] #0166/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:33:27] #0167/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:33:42] #0168/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:34:04] #0169/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:34:20] #0170/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.839 conf=0.720 gap=0.500
[2026-05-11 22:34:26] #0171/00837 | true=stairs_up | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.810
[2026-05-11 22:35:01] #0172/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-11 22:35:49] #0174/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 22:36:03] #0177/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:36:36] #0180/00837 | true=stairs_up | pred=walk | ✗ | ent=0.882 conf=0.780 gap=0.710
[2026-05-11 22:37:23] #0181/00837 | true=stairs_up | pred=walk | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 22:37:33] #0182/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:38:05] #0184/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:38:10] #0185/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:38:30] #0186/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:38:40] #0187/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:38:43] #0188/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.912 conf=0.550 gap=0.150
[2026-05-11 22:38:47] #0189/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.165 conf=0.550 gap=0.250
[2026-05-11 22:38:59] #0190/00837 | true=stairs_up | pred=run | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:39:05] #0191/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:39:14] #0192/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:39:27] #0193/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.110 conf=0.650 gap=0.450
[2026-05-11 22:39:34] #0194/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-11 22:40:22] #0197/00837 | true=stairs_up | pred=walk | ✗ | ent=1.250 conf=0.550 gap=0.300
[2026-05-11 22:40:34] #0198/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:40:47] #0199/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.836 conf=0.800 gap=0.730
[2026-05-11 22:41:01] #0200/00837 | true=stairs_up | pred=walk | ✗ | ent=1.140 conf=0.700 gap=0.620
[2026-05-11 22:41:07] #0201/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:41:23] #0202/00837 | true=stairs_up | pred=walk | ✗ | ent=0.748 conf=0.820 gap=0.760
[2026-05-11 22:41:34] #0203/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 22:42:25] #0207/00837 | true=stairs_up | pred=walk | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:43:03] #0208/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.855 conf=0.800 gap=0.750
[2026-05-11 22:43:24] #0209/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.917 conf=0.680 gap=0.430
[2026-05-11 22:45:15] #0213/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:46:01] #0216/00837 | true=stairs_up | pred=walk | ✗ | ent=0.674 conf=0.850 gap=0.800
[2026-05-11 22:46:11] #0217/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 22:46:20] #0218/00837 | true=stairs_up | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 22:46:24] #0219/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:46:50] #0220/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:47:00] #0221/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.987 conf=0.750 gap=0.650
[2026-05-11 22:47:36] #0222/00837 | true=stairs_up | pred=walk | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 22:48:35] #0225/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 22:48:57] #0226/00837 | true=stairs_up | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 22:49:33] #0228/00837 | true=stairs_up | pred=walk | ✗ | ent=0.469 conf=0.911 gap=0.891
[2026-05-11 22:50:00] #0229/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:50:09] #0230/00837 | true=stairs_up | pred=walk | ✗ | ent=0.647 conf=0.850 gap=0.800
[2026-05-11 22:50:12] #0231/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:50:41] #0233/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:50:45] #0234/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:51:01] #0236/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.372 conf=0.550 gap=0.330
[2026-05-11 22:51:21] #0238/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.222 conf=0.650 gap=0.500
[2026-05-11 22:51:57] #0240/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:51:59] #0241/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-11 22:52:27] #0242/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:52:52] #0245/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.026 conf=0.650 gap=0.400
[2026-05-11 22:53:14] #0246/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-11 22:53:35] #0248/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.146 conf=0.700 gap=0.600
[2026-05-11 22:53:48] #0249/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 22:54:01] #0250/00837 | true=stairs_up | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:54:45] #0251/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.148 conf=0.700 gap=0.650
[2026-05-11 22:55:00] #0253/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.668 conf=0.850 gap=0.800
[2026-05-11 22:55:25] #0254/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.754 conf=0.750 gap=0.550
[2026-05-11 22:55:40] #0255/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:55:57] #0256/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:57:16] #0259/00837 | true=stairs_up | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 22:57:25] #0260/00837 | true=stairs_up | pred=walk | ✗ | ent=0.962 conf=0.750 gap=0.650
[2026-05-11 22:57:35] #0261/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-11 22:57:38] #0262/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:58:03] #0263/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 22:58:28] #0264/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.332 conf=0.920 gap=0.870
[2026-05-11 22:58:36] #0265/00837 | true=stairs_up | pred=shuffle | ✗ | ent=1.079 conf=0.700 gap=0.600
[2026-05-11 22:58:58] #0267/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.045 conf=0.720 gap=0.600
[2026-05-11 22:59:19] #0268/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:59:31] #0269/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 22:59:43] #0270/00837 | true=stairs_up | pred=run | ✗ | ent=0.679 conf=0.850 gap=0.800
[2026-05-11 22:59:53] #0271/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-11 23:00:19] #0272/00837 | true=stairs_up | pred=walk | ✗ | ent=0.518 conf=0.893 gap=0.845
[2026-05-11 23:00:45] #0274/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:01:25] #0276/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:01:44] #0277/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.841 conf=0.800 gap=0.730
[2026-05-11 23:02:02] #0278/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-11 23:02:12] #0279/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:02:31] #0280/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.092 conf=0.700 gap=0.580
[2026-05-11 23:03:32] #0285/00837 | true=stairs_up | pred=walk | ✗ | ent=1.042 conf=0.700 gap=0.580
[2026-05-11 23:03:50] #0286/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:04:00] #0287/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-11 23:04:30] #0288/00837 | true=stairs_up | pred=shuffle | ✗ | ent=1.222 conf=0.650 gap=0.530
[2026-05-11 23:04:47] #0289/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.075 conf=0.700 gap=0.550
[2026-05-11 23:05:05] #0293/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:05:17] #0294/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.127 conf=0.680 gap=0.530
[2026-05-11 23:05:50] #0296/00837 | true=stairs_up | pred=walk | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:06:41] #0300/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:07:11] #0302/00837 | true=stairs_up | pred=walk | ✗ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:07:18] #0303/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.962 conf=0.750 gap=0.650
[2026-05-11 23:07:34] #0304/00837 | true=stairs_up | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:07:44] #0305/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.246 conf=0.550 gap=0.270
[2026-05-11 23:08:33] #0308/00837 | true=stairs_up | pred=stand | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:09:00] #0309/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.138 conf=0.650 gap=0.450
[2026-05-11 23:09:35] #0311/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:10:09] #0313/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:10:25] #0314/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-11 23:10:34] #0315/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
