[2026-05-11 11:03:20] #0001/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:13:23] #0027/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 11:13:35] #0028/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:13:48] #0029/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:14:18] #0030/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 11:14:49] #0031/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:15:04] #0032/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:15:36] #0033/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.780 | conf=0.700 | gap=0.450
[2026-05-11 11:16:32] #0034/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.560 | conf=0.837 | gap=0.714
[2026-05-11 11:16:57] #0035/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:17:08] #0036/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:22] #0037/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 11:17:34] #0038/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 11:17:57] #0039/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:18:10] #0040/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 11:18:24] #0041/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:18:41] #0042/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:19:10] #0043/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 11:19:26] #0044/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:19:40] #0045/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:19:54] #0046/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 11:20:07] #0047/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:20:42] #0048/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:21:32] #0049/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:21:50] #0050/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 11:22:23] #0051/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.827 | conf=0.806 | gap=0.720
[2026-05-11 11:22:41] #0052/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 11:22:54] #0053/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:23:08] #0054/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.302 | conf=0.938 | gap=0.917
[2026-05-11 11:23:18] #0055/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:23:30] #0056/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:23:43] #0057/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:24:09] #0058/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.543 | conf=0.850 | gap=0.750
[2026-05-11 11:24:23] #0059/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:24:36] #0060/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 11:24:48] #0061/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 11:25:14] #0062/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.293 | conf=0.940 | gap=0.920
[2026-05-11 11:25:40] #0063/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:25:54] #0064/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.170 | conf=0.969 | gap=0.959
[2026-05-11 11:26:06] #0065/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:26:17] #0066/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:26:32] #0067/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 11:26:42] #0068/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:27:13] #0069/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.337 | conf=0.918 | gap=0.867
[2026-05-11 11:27:39] #0070/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:27:54] #0071/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.269 | conf=0.949 | gap=0.929
[2026-05-11 11:28:06] #0072/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:28:19] #0073/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:28:48] #0074/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:29:15] #0075/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:29:27] #0076/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.257 | conf=0.948 | gap=0.928
[2026-05-11 11:29:39] #0077/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:29:50] #0078/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:30:06] #0079/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:30:34] #0080/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:30:47] #0081/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:31:00] #0082/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:31:12] #0083/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 11:31:26] #0084/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:31:41] #0085/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 11:32:06] #0086/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.873 | conf=0.720 | gap=0.570
[2026-05-11 11:32:21] #0087/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.734 | conf=0.789 | gap=0.684
[2026-05-11 11:32:34] #0088/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 11:33:02] #0089/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.302 | conf=0.938 | gap=0.917
[2026-05-11 11:33:27] #0090/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.238 | conf=0.948 | gap=0.918
[2026-05-11 11:33:40] #0091/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:33:50] #0092/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.169 | conf=0.970 | gap=0.960
[2026-05-11 11:34:03] #0093/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 11:34:17] #0094/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:34:30] #0095/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:34:49] #0096/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:56] #0097/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:35:13] #0098/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:35:47] #0099/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:36:21] #0100/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.843 | conf=0.684 | gap=0.526
[2026-05-11 11:36:52] #0101/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.704 | conf=0.820 | gap=0.740
[2026-05-11 11:37:06] #0102/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:37:38] #0103/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:37:50] #0104/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:38:18] #0105/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:38:32] #0106/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:38:46] #0107/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:38:57] #0108/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:30] #0109/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:39:59] #0110/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 11:40:08] #0111/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:40:19] #0112/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:40:32] #0113/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.411 | conf=0.907 | gap=0.876
[2026-05-11 11:40:46] #0114/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 11:41:28] #0115/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:41:54] #0116/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:42:16] #0117/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:42:46] #0118/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.288 | conf=0.940 | gap=0.910
[2026-05-11 11:42:58] #0119/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:43:13] #0120/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.257 | conf=0.948 | gap=0.928
[2026-05-11 11:43:25] #0121/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:43:49] #0122/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.434 | conf=0.900 | gap=0.860
[2026-05-11 11:44:01] #0123/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.293 | conf=0.940 | gap=0.920
[2026-05-11 11:44:16] #0124/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:44:27] #0125/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:44:40] #0126/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:44:52] #0127/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:45:18] #0128/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.066 | conf=0.990 | gap=0.985
[2026-05-11 11:45:51] #0129/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:46:31] #0130/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:47:12] #0131/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:47:24] #0132/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:47:35] #0133/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:47:45] #0134/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:48:12] #0135/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=1.110 | conf=0.550 | gap=0.300
[2026-05-11 11:48:27] #0136/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 11:48:40] #0137/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 11:49:08] #0138/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.917 | conf=0.579 | gap=0.263
[2026-05-11 11:49:33] #0139/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:49:59] #0140/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:50:09] #0141/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:50:33] #0142/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:50:59] #0143/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:51:11] #0144/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:51:38] #0145/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=1.471 | conf=0.600 | gap=0.450
[2026-05-11 11:52:02] #0146/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:52:10] #0147/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:52:22] #0148/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:52:48] #0149/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:52:59] #0150/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:53:07] #0151/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 11:53:19] #0152/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:53:34] #0153/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:54:01] #0154/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.537 | conf=0.842 | gap=0.737
[2026-05-11 11:54:12] #0155/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:54:41] #0156/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 11:54:52] #0157/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 11:55:16] #0158/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:55:38] #0159/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 11:56:06] #0160/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:56:40] #0161/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 11:57:04] #0162/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.579 | conf=0.850 | gap=0.780
[2026-05-11 11:57:27] #0163/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:57:42] #0164/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.210 | conf=0.960 | gap=0.940
[2026-05-11 11:58:10] #0165/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:58:24] #0166/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.308 | conf=0.936 | gap=0.915
[2026-05-11 11:58:37] #0167/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 11:58:50] #0168/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:59:14] #0169/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:59:33] #0170/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:59:55] #0171/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:00:08] #0172/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:00:21] #0173/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 12:00:32] #0174/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:01:15] #0175/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:01:28] #0176/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.223 | conf=0.960 | gap=0.950
[2026-05-11 12:01:38] #0177/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:01:50] #0178/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:02:03] #0179/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 12:02:32] #0180/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:02:46] #0181/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:03:13] #0182/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:03:22] #0183/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:03:41] #0184/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:03:51] #0185/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:04:00] #0186/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:04:12] #0187/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:04:21] #0188/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.302 | conf=0.938 | gap=0.917
[2026-05-11 12:04:35] #0189/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 12:04:48] #0190/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:05:00] #0191/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:05:25] #0192/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:05:37] #0193/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 12:06:09] #0194/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:06:31] #0195/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:07:06] #0196/05900 | true=Lay(5) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:07:42] #0198/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:07:54] #0199/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:08:16] #0200/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:08:27] #0201/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 12:08:54] #0202/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
