[2026-05-11 21:51:49] HARTH class 4 (stairs_down) T=0.8
[2026-05-11 21:51:49]   747 windows
[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 22:22:18] #0099/00747 | true=stairs_down | pred=walk | ✗ | ent=1.107 conf=0.600 gap=0.410
[2026-05-11 22:23:04] #0100/00747 | true=stairs_down | pred=walk | ✗ | ent=1.021 conf=0.650 gap=0.400
[2026-05-11 22:23:04]   [100/747] acc=21% filt=81
[2026-05-11 22:23:41] #0101/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:23:49] #0102/00747 | true=stairs_down | pred=run | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:24:08] #0103/00747 | true=stairs_down | pred=walk | ✗ | ent=0.468 conf=0.900 gap=0.850
[2026-05-11 22:24:19] #0104/00747 | true=stairs_down | pred=walk | ✗ | ent=0.702 conf=0.850 gap=0.820
[2026-05-11 22:24:27] #0105/00747 | true=stairs_down | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-11 22:24:57] #0106/00747 | true=stairs_down | pred=walk | ✗ | ent=0.940 conf=0.700 gap=0.600
[2026-05-11 22:25:08] #0107/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:25:25] #0108/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:25:35] #0109/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:26:07] #0110/00747 | true=stairs_down | pred=walk | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:26:16] #0111/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:26:26] #0112/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.020 conf=0.600 gap=0.300
[2026-05-11 22:26:44] #0113/00747 | true=stairs_down | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 22:27:11] #0114/00747 | true=stairs_down | pred=walk | ✗ | ent=1.158 conf=0.650 gap=0.500
[2026-05-11 22:27:38] #0115/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:27:55] #0116/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.839 conf=0.780 gap=0.660
[2026-05-11 22:28:08] #0117/00747 | true=stairs_down | pred=walk | ✗ | ent=1.400 conf=0.550 gap=0.400
[2026-05-11 22:29:09] #0118/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:43] #0119/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 22:29:57] #0120/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.068 conf=0.490 gap=0.070
[2026-05-11 22:29:57]   [120/747] acc=21% filt=99
[2026-05-11 22:30:04] #0121/00747 | true=stairs_down | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:30:18] #0122/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.825 conf=0.800 gap=0.720
[2026-05-11 22:30:27] #0123/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.399 conf=0.350 gap=0.000
[2026-05-11 22:30:45] #0124/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.005 conf=0.550 gap=0.170
[2026-05-11 22:31:04] #0125/00747 | true=stairs_down | pred=walk | ✗ | ent=1.490 conf=0.450 gap=0.200
[2026-05-11 22:31:19] #0126/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 22:31:55] #0127/00747 | true=stairs_down | pred=run | ✗ | ent=0.860 conf=0.693 gap=0.446
[2026-05-11 22:32:13] #0128/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.062 conf=0.550 gap=0.200
[2026-05-11 22:32:33] #0129/00747 | true=stairs_down | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-11 22:32:54] #0130/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:33:14] #0131/00747 | true=stairs_down | pred=walk | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 22:33:21] #0132/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:33:44] #0133/00747 | true=stairs_down | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 22:33:51] #0134/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:34:04] #0135/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:34:19] #0136/00747 | true=stairs_down | pred=walk | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 22:34:32] #0137/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.617 conf=0.380 gap=0.080
[2026-05-11 22:34:54] #0138/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:35:01] #0139/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:35:15] #0140/00747 | true=stairs_down | pred=walk | ✗ | ent=1.476 conf=0.550 gap=0.400
[2026-05-11 22:35:15]   [140/747] acc=21% filt=116
[2026-05-11 22:35:25] #0141/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:35:29] #0142/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.618 conf=0.350 gap=0.050
[2026-05-11 22:35:48] #0143/00747 | true=stairs_down | pred=walk | ✗ | ent=1.497 conf=0.400 gap=0.050
[2026-05-11 22:36:03] #0144/00747 | true=stairs_down | pred=walk | ✗ | ent=0.384 conf=0.931 gap=0.922
[2026-05-11 22:36:33] #0145/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.857 conf=0.475 gap=0.000
[2026-05-11 22:37:02] #0146/00747 | true=stairs_down | pred=walk | ✗ | ent=0.624 conf=0.850 gap=0.800
[2026-05-11 22:37:20] #0147/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:37:26] #0148/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:37:39] #0149/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:37:45] #0150/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.326 conf=0.450 gap=0.100
[2026-05-11 22:37:58] #0151/00747 | true=stairs_down | pred=walk | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:38:12] #0152/00747 | true=stairs_down | pred=walk | ✗ | ent=0.295 conf=0.930 gap=0.870
[2026-05-11 22:38:23] #0153/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.958 conf=0.500 gap=0.111
[2026-05-11 22:38:35] #0154/00747 | true=stairs_down | pred=walk | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 22:38:58] #0155/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.318 conf=0.400 gap=0.050
[2026-05-11 22:39:45] #0156/00747 | true=stairs_down | pred=run | ✗ | ent=0.904 conf=0.600 gap=0.250
[2026-05-11 22:39:57] #0157/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.404 conf=0.400 gap=0.050
[2026-05-11 22:40:10] #0158/00747 | true=stairs_down | pred=walk | ✗ | ent=0.782 conf=0.820 gap=0.760
[2026-05-11 22:40:50] #0159/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-11 22:40:57] #0160/00747 | true=stairs_down | pred=run | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:40:57]   [160/747] acc=22% filt=129
[2026-05-11 22:41:21] #0161/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:41:35] #0162/00747 | true=stairs_down | pred=walk | ✗ | ent=0.986 conf=0.750 gap=0.680
[2026-05-11 22:41:50] #0163/00747 | true=stairs_down | pred=walk | ✗ | ent=1.443 conf=0.550 gap=0.400
[2026-05-11 22:42:02] #0164/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 22:42:38] #0165/00747 | true=stairs_down | pred=walk | ✗ | ent=0.495 conf=0.900 gap=0.870
[2026-05-11 22:42:58] #0166/00747 | true=stairs_down | pred=walk | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-11 22:43:19] #0167/00747 | true=stairs_down | pred=walk | ✗ | ent=0.996 conf=0.750 gap=0.650
[2026-05-11 22:43:36] #0168/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:43:50] #0169/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:43:57] #0170/00747 | true=stairs_down | pred=walk | ✗ | ent=0.700 conf=0.800 gap=0.650
[2026-05-11 22:44:04] #0171/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:44:22] #0172/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:44:46] #0173/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.831 conf=0.688 gap=0.500
[2026-05-11 22:45:04] #0174/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.283 conf=0.420 gap=0.000
[2026-05-11 22:45:14] #0175/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:45:29] #0176/00747 | true=stairs_down | pred=walk | ✗ | ent=0.233 conf=0.950 gap=0.925
[2026-05-11 22:45:40] #0177/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.375 conf=0.350 gap=0.050
[2026-05-11 22:46:00] #0178/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.062 conf=0.700 gap=0.550
[2026-05-11 22:46:12] #0179/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:46:22] #0180/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.280 conf=0.650 gap=0.550
[2026-05-11 22:46:22]   [180/747] acc=23% filt=146
[2026-05-11 22:46:47] #0181/00747 | true=stairs_down | pred=walk | ✗ | ent=0.878 conf=0.750 gap=0.600
[2026-05-11 22:46:55] #0182/00747 | true=stairs_down | pred=walk | ✗ | ent=1.233 conf=0.650 gap=0.530
[2026-05-11 22:47:08] #0183/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:47:27] #0184/00747 | true=stairs_down | pred=walk | ✗ | ent=0.556 conf=0.850 gap=0.780
[2026-05-11 22:48:01] #0185/00747 | true=stairs_down | pred=sit | ✗ | ent=1.374 conf=0.600 gap=0.450
[2026-05-11 22:49:08] #0186/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.658 conf=0.300 gap=0.000
[2026-05-11 22:49:35] #0187/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:49:45] #0188/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:49:57] #0189/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:50:18] #0190/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:50:48] #0191/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-11 22:51:17] #0192/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:51:34] #0193/00747 | true=stairs_down | pred=walk | ✗ | ent=0.970 conf=0.750 gap=0.670
[2026-05-11 22:52:03] #0194/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:52:27] #0195/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:52:41] #0196/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.385 conf=0.400 gap=0.050
[2026-05-11 22:52:54] #0197/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:53:20] #0198/00747 | true=stairs_down | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 22:53:53] #0199/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:54:15] #0200/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:54:15]   [200/747] acc=24% filt=162
[2026-05-11 22:54:33] #0201/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:54:41] #0202/00747 | true=stairs_down | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:54:55] #0203/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.650 gap=0.450
[2026-05-11 22:55:18] #0204/00747 | true=stairs_down | pred=walk | ✗ | ent=0.675 conf=0.820 gap=0.740
[2026-05-11 22:55:42] #0205/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-11 22:55:59] #0206/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:56:07] #0207/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.481 conf=0.400 gap=0.050
[2026-05-11 22:56:22] #0208/00747 | true=stairs_down | pred=walk | ✗ | ent=0.203 conf=0.948 gap=0.897
[2026-05-11 22:56:38] #0209/00747 | true=stairs_down | pred=walk | ✗ | ent=0.672 conf=0.850 gap=0.800
[2026-05-11 22:56:53] #0210/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.073 conf=0.412 gap=0.059
[2026-05-11 22:57:19] #0211/00747 | true=stairs_down | pred=walk | ✗ | ent=1.795 conf=0.250 gap=0.050
[2026-05-11 22:57:41] #0212/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 22:58:12] #0213/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
