[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 22:04:46] #0043/00747 | true=stairs_down | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:05:06] #0045/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 22:05:21] #0046/00747 | true=stairs_down | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:05:34] #0047/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:05:47] #0048/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:06:34] #0050/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.837 conf=0.680 gap=0.430
[2026-05-11 22:07:03] #0051/00747 | true=stairs_down | pred=walk | ✗ | ent=0.288 conf=0.940 gap=0.910
[2026-05-11 22:07:13] #0052/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:07:47] #0054/00747 | true=stairs_down | pred=walk | ✗ | ent=0.683 conf=0.850 gap=0.800
[2026-05-11 22:07:56] #0055/00747 | true=stairs_down | pred=run | ✗ | ent=1.017 conf=0.700 gap=0.550
[2026-05-11 22:08:22] #0057/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.308 conf=0.550 gap=0.300
[2026-05-11 22:09:10] #0058/00747 | true=stairs_down | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-11 22:09:37] #0060/00747 | true=stairs_down | pred=walk | ✗ | ent=1.400 conf=0.600 gap=0.500
[2026-05-11 22:10:12] #0062/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:10:26] #0063/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.650 gap=0.450
[2026-05-11 22:10:56] #0064/00747 | true=stairs_down | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 22:11:02] #0065/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 22:11:18] #0066/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.982 conf=0.650 gap=0.450
[2026-05-11 22:11:26] #0067/00747 | true=stairs_down | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 22:11:40] #0068/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:11:57] #0069/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:12:05] #0070/00747 | true=stairs_down | pred=lying | ✗ | ent=1.279 conf=0.590 gap=0.440
[2026-05-11 22:12:40] #0071/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:12:53] #0072/00747 | true=stairs_down | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-11 22:13:28] #0073/00747 | true=stairs_down | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 22:13:56] #0075/00747 | true=stairs_down | pred=walk | ✗ | ent=0.689 conf=0.820 gap=0.740
[2026-05-11 22:14:18] #0076/00747 | true=stairs_down | pred=walk | ✗ | ent=0.878 conf=0.750 gap=0.600
[2026-05-11 22:14:25] #0077/00747 | true=stairs_down | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 22:14:40] #0079/00747 | true=stairs_down | pred=walk | ✗ | ent=0.417 conf=0.920 gap=0.900
[2026-05-11 22:15:11] #0080/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:15:26] #0081/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.189 conf=0.600 gap=0.350
[2026-05-11 22:15:47] #0082/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:15:53] #0083/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:51] #0084/00747 | true=stairs_down | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:17:57] #0085/00747 | true=stairs_down | pred=walk | ✗ | ent=0.635 conf=0.850 gap=0.770
[2026-05-11 22:18:14] #0086/00747 | true=stairs_down | pred=walk | ✗ | ent=1.073 conf=0.720 gap=0.630
[2026-05-11 22:18:39] #0087/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.136 conf=0.600 gap=0.350
[2026-05-11 22:18:53] #0088/00747 | true=stairs_down | pred=walk | ✗ | ent=0.384 conf=0.931 gap=0.922
[2026-05-11 22:19:19] #0089/00747 | true=stairs_down | pred=walk | ✗ | ent=0.656 conf=0.850 gap=0.800
[2026-05-11 22:19:50] #0090/00747 | true=stairs_down | pred=walk | ✗ | ent=0.903 conf=0.780 gap=0.710
[2026-05-11 22:20:04] #0091/00747 | true=stairs_down | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 22:20:19] #0092/00747 | true=stairs_down | pred=walk | ✗ | ent=1.132 conf=0.700 gap=0.600
[2026-05-11 22:20:32] #0093/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:21:05] #0094/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:21:15] #0095/00747 | true=stairs_down | pred=walk | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-11 22:21:22] #0096/00747 | true=stairs_down | pred=walk | ✗ | ent=0.260 conf=0.950 gap=0.920
[2026-05-11 22:21:33] #0097/00747 | true=stairs_down | pred=walk | ✗ | ent=0.384 conf=0.931 gap=0.922
[2026-05-11 22:21:59] #0098/00747 | true=stairs_down | pred=walk | ✗ | ent=0.962 conf=0.750 gap=0.650
[2026-05-11 22:22:18] #0099/00747 | true=stairs_down | pred=walk | ✗ | ent=1.107 conf=0.600 gap=0.410
[2026-05-11 22:23:04] #0100/00747 | true=stairs_down | pred=walk | ✗ | ent=1.021 conf=0.650 gap=0.400
[2026-05-11 22:23:49] #0102/00747 | true=stairs_down | pred=run | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:24:08] #0103/00747 | true=stairs_down | pred=walk | ✗ | ent=0.468 conf=0.900 gap=0.850
[2026-05-11 22:24:19] #0104/00747 | true=stairs_down | pred=walk | ✗ | ent=0.702 conf=0.850 gap=0.820
[2026-05-11 22:24:27] #0105/00747 | true=stairs_down | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-11 22:24:57] #0106/00747 | true=stairs_down | pred=walk | ✗ | ent=0.940 conf=0.700 gap=0.600
[2026-05-11 22:25:08] #0107/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:25:25] #0108/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:25:35] #0109/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:26:07] #0110/00747 | true=stairs_down | pred=walk | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:26:16] #0111/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:26:26] #0112/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.020 conf=0.600 gap=0.300
[2026-05-11 22:26:44] #0113/00747 | true=stairs_down | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 22:27:11] #0114/00747 | true=stairs_down | pred=walk | ✗ | ent=1.158 conf=0.650 gap=0.500
[2026-05-11 22:27:38] #0115/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:27:55] #0116/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.839 conf=0.780 gap=0.660
[2026-05-11 22:28:08] #0117/00747 | true=stairs_down | pred=walk | ✗ | ent=1.400 conf=0.550 gap=0.400
[2026-05-11 22:29:09] #0118/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:43] #0119/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 22:30:04] #0121/00747 | true=stairs_down | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:30:18] #0122/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.825 conf=0.800 gap=0.720
[2026-05-11 22:30:45] #0124/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.005 conf=0.550 gap=0.170
[2026-05-11 22:31:19] #0126/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 22:31:55] #0127/00747 | true=stairs_down | pred=run | ✗ | ent=0.860 conf=0.693 gap=0.446
[2026-05-11 22:32:13] #0128/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.062 conf=0.550 gap=0.200
[2026-05-11 22:32:33] #0129/00747 | true=stairs_down | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-11 22:32:54] #0130/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:33:14] #0131/00747 | true=stairs_down | pred=walk | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 22:33:21] #0132/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:33:44] #0133/00747 | true=stairs_down | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 22:33:51] #0134/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:34:04] #0135/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:34:19] #0136/00747 | true=stairs_down | pred=walk | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 22:34:54] #0138/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:35:01] #0139/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:35:15] #0140/00747 | true=stairs_down | pred=walk | ✗ | ent=1.476 conf=0.550 gap=0.400
[2026-05-11 22:35:25] #0141/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:36:03] #0144/00747 | true=stairs_down | pred=walk | ✗ | ent=0.384 conf=0.931 gap=0.922
[2026-05-11 22:37:02] #0146/00747 | true=stairs_down | pred=walk | ✗ | ent=0.624 conf=0.850 gap=0.800
[2026-05-11 22:37:20] #0147/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:37:26] #0148/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:37:58] #0151/00747 | true=stairs_down | pred=walk | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:38:12] #0152/00747 | true=stairs_down | pred=walk | ✗ | ent=0.295 conf=0.930 gap=0.870
[2026-05-11 22:38:23] #0153/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.958 conf=0.500 gap=0.111
[2026-05-11 22:38:35] #0154/00747 | true=stairs_down | pred=walk | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 22:39:45] #0156/00747 | true=stairs_down | pred=run | ✗ | ent=0.904 conf=0.600 gap=0.250
[2026-05-11 22:40:10] #0158/00747 | true=stairs_down | pred=walk | ✗ | ent=0.782 conf=0.820 gap=0.760
[2026-05-11 22:40:50] #0159/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-11 22:40:57] #0160/00747 | true=stairs_down | pred=run | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:41:21] #0161/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:41:35] #0162/00747 | true=stairs_down | pred=walk | ✗ | ent=0.986 conf=0.750 gap=0.680
[2026-05-11 22:41:50] #0163/00747 | true=stairs_down | pred=walk | ✗ | ent=1.443 conf=0.550 gap=0.400
[2026-05-11 22:42:02] #0164/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 22:42:38] #0165/00747 | true=stairs_down | pred=walk | ✗ | ent=0.495 conf=0.900 gap=0.870
[2026-05-11 22:42:58] #0166/00747 | true=stairs_down | pred=walk | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-11 22:43:19] #0167/00747 | true=stairs_down | pred=walk | ✗ | ent=0.996 conf=0.750 gap=0.650
[2026-05-11 22:43:36] #0168/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:43:57] #0170/00747 | true=stairs_down | pred=walk | ✗ | ent=0.700 conf=0.800 gap=0.650
[2026-05-11 22:44:04] #0171/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:44:22] #0172/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:44:46] #0173/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.831 conf=0.688 gap=0.500
[2026-05-11 22:45:14] #0175/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:45:29] #0176/00747 | true=stairs_down | pred=walk | ✗ | ent=0.233 conf=0.950 gap=0.925
[2026-05-11 22:46:00] #0178/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.062 conf=0.700 gap=0.550
[2026-05-11 22:46:12] #0179/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:46:22] #0180/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.280 conf=0.650 gap=0.550
[2026-05-11 22:46:47] #0181/00747 | true=stairs_down | pred=walk | ✗ | ent=0.878 conf=0.750 gap=0.600
[2026-05-11 22:46:55] #0182/00747 | true=stairs_down | pred=walk | ✗ | ent=1.233 conf=0.650 gap=0.530
[2026-05-11 22:47:08] #0183/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:47:27] #0184/00747 | true=stairs_down | pred=walk | ✗ | ent=0.556 conf=0.850 gap=0.780
[2026-05-11 22:48:01] #0185/00747 | true=stairs_down | pred=sit | ✗ | ent=1.374 conf=0.600 gap=0.450
[2026-05-11 22:49:35] #0187/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:49:57] #0189/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:50:18] #0190/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:50:48] #0191/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-11 22:51:17] #0192/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:51:34] #0193/00747 | true=stairs_down | pred=walk | ✗ | ent=0.970 conf=0.750 gap=0.670
[2026-05-11 22:52:03] #0194/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:52:27] #0195/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:52:54] #0197/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:53:20] #0198/00747 | true=stairs_down | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 22:53:53] #0199/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:54:33] #0201/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:54:41] #0202/00747 | true=stairs_down | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:54:55] #0203/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.650 gap=0.450
[2026-05-11 22:55:18] #0204/00747 | true=stairs_down | pred=walk | ✗ | ent=0.675 conf=0.820 gap=0.740
[2026-05-11 22:55:42] #0205/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-11 22:56:22] #0208/00747 | true=stairs_down | pred=walk | ✗ | ent=0.203 conf=0.948 gap=0.897
[2026-05-11 22:56:38] #0209/00747 | true=stairs_down | pred=walk | ✗ | ent=0.672 conf=0.850 gap=0.800
[2026-05-11 22:57:41] #0212/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 22:58:12] #0213/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:58:37] #0214/00747 | true=stairs_down | pred=walk | ✗ | ent=0.563 conf=0.880 gap=0.840
[2026-05-11 22:58:45] #0215/00747 | true=stairs_down | pred=walk | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:59:09] #0216/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:59:18] #0217/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.049 conf=0.550 gap=0.200
[2026-05-11 22:59:33] #0218/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 22:59:40] #0219/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 23:00:18] #0220/00747 | true=stairs_down | pred=walk | ✗ | ent=0.365 conf=0.920 gap=0.870
[2026-05-11 23:00:29] #0221/00747 | true=stairs_down | pred=walk | ✗ | ent=0.660 conf=0.850 gap=0.800
[2026-05-11 23:00:45] #0222/00747 | true=stairs_down | pred=lying | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:01:08] #0223/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:01:35] #0224/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.136 conf=0.600 gap=0.350
[2026-05-11 23:01:48] #0225/00747 | true=stairs_down | pred=walk | ✗ | ent=0.823 conf=0.700 gap=0.450
[2026-05-11 23:02:09] #0226/00747 | true=stairs_down | pred=walk | ✗ | ent=0.881 conf=0.750 gap=0.600
[2026-05-11 23:02:53] #0229/00747 | true=stairs_down | pred=walk | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:03:09] #0230/00747 | true=stairs_down | pred=walk | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 23:03:34] #0231/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.275 conf=0.550 gap=0.300
[2026-05-11 23:04:23] #0234/00747 | true=stairs_down | pred=walk | ✗ | ent=0.397 conf=0.920 gap=0.880
[2026-05-11 23:04:51] #0235/00747 | true=stairs_down | pred=walk | ✗ | ent=0.685 conf=0.850 gap=0.810
[2026-05-11 23:05:25] #0236/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.551 conf=0.854 gap=0.753
[2026-05-11 23:06:08] #0238/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:06:31] #0239/00747 | true=stairs_down | pred=walk | ✗ | ent=0.876 conf=0.750 gap=0.650
[2026-05-11 23:06:48] #0240/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 23:07:11] #0241/00747 | true=stairs_down | pred=walk | ✗ | ent=1.326 conf=0.550 gap=0.350
[2026-05-11 23:07:25] #0242/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:08:06] #0243/00747 | true=stairs_down | pred=walk | ✗ | ent=0.926 conf=0.750 gap=0.670
[2026-05-11 23:08:18] #0244/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:08:30] #0245/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:08:51] #0246/00747 | true=stairs_down | pred=walk | ✗ | ent=1.050 conf=0.720 gap=0.600
[2026-05-11 23:09:06] #0247/00747 | true=stairs_down | pred=walk | ✗ | ent=0.543 conf=0.850 gap=0.750
[2026-05-11 23:09:36] #0248/00747 | true=stairs_down | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:09:44] #0249/00747 | true=stairs_down | pred=walk | ✗ | ent=0.954 conf=0.750 gap=0.670
[2026-05-11 23:09:50] #0250/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:09:58] #0251/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 23:10:07] #0252/00747 | true=stairs_down | pred=walk | ✗ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 23:10:33] #0253/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 23:13:18] #0255/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.967 conf=0.600 gap=0.300
[2026-05-11 23:13:41] #0256/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:14:04] #0258/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.457 conf=0.870 gap=0.770
[2026-05-11 23:14:31] #0259/00747 | true=stairs_down | pred=walk | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:14:45] #0261/00747 | true=stairs_down | pred=walk | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:15:00] #0262/00747 | true=stairs_down | pred=walk | ✗ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 23:15:32] #0263/00747 | true=stairs_down | pred=walk | ✗ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 23:15:43] #0264/00747 | true=stairs_down | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 23:16:24] #0265/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-11 23:16:57] #0267/00747 | true=stairs_down | pred=walk | ✗ | ent=1.107 conf=0.700 gap=0.600
[2026-05-11 23:17:29] #0268/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.142 conf=0.680 gap=0.530
[2026-05-11 23:17:36] #0269/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:18:03] #0270/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 23:21:49] #0273/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.005 conf=0.550 gap=0.170
