[2026-05-11 11:05:00] Gait class 0 (sit_on_bed) start T=0.8
[2026-05-11 11:05:00]   175 windows
[2026-05-11 11:05:00]   generate 175
[2026-05-11 11:05:02] #0001/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:09:58] #0036/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:01] #0037/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:10:03] #0038/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:10:13] #0039/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 11:10:19] #0040/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:10:19]   [40/175] acc=31/40=78% filt=39
[2026-05-11 11:10:25] #0041/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:10:56] #0042/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:11:00] #0043/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:11:05] #0044/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 11:11:09] #0045/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:11:12] #0046/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:11:15] #0047/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:11:20] #0048/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:11:23] #0049/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:11:36] #0050/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:43] #0051/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:46] #0052/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:11:53] #0053/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:12:03] #0054/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:12:06] #0055/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 11:12:12] #0056/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:12:22] #0057/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.357 conf=0.920 gap=0.880
[2026-05-11 11:12:27] #0058/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-11 11:12:30] #0059/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:12:33] #0060/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.741 conf=0.740 gap=0.540
[2026-05-11 11:12:33]   [60/175] acc=48/60=80% filt=59
[2026-05-11 11:12:37] #0061/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:12:39] #0062/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 11:12:51] #0063/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 11:13:01] #0064/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:13:13] #0065/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:13:16] #0066/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:13:18] #0067/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:13:27] #0068/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:13:32] #0069/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 11:13:35] #0070/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 11:13:48] #0071/00175 | true=sit_on_bed(0) | pred=ambulating(3) | ✗ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:13:51] #0072/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:13:54] #0073/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:14:03] #0074/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-11 11:14:12] #0075/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:14:17] #0076/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:14:38] #0077/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.940 conf=0.700 gap=0.600
[2026-05-11 11:14:45] #0078/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:14:48] #0079/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:15:03] #0080/00175 | true=sit_on_bed(0) | pred=sit_on_chair(1) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:15:03]   [80/175] acc=62/80=78% filt=79
[2026-05-11 11:15:08] #0081/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:15:20] #0082/00175 | true=sit_on_bed(0) | pred=sit_on_chair(1) | ✗ | ent=0.752 conf=0.750 gap=0.570
[2026-05-11 11:15:29] #0083/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:15:35] #0084/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:15:40] #0085/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:15:43] #0086/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 11:15:57] #0087/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:16:00] #0088/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:16:04] #0089/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:16:08] #0090/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:16:10] #0091/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:16:22] #0092/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:16:27] #0093/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:16:36] #0094/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 11:16:49] #0095/00175 | true=sit_on_bed(0) | pred=sit_on_chair(1) | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 11:16:52] #0096/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 11:16:55] #0097/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:16:58] #0098/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.857 conf=0.720 gap=0.570
[2026-05-11 11:17:08] #0099/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.389 conf=0.900 gap=0.820
[2026-05-11 11:17:16] #0100/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.940 conf=0.700 gap=0.600
[2026-05-11 11:17:16]   [100/175] acc=79/100=79% filt=99
[2026-05-11 11:17:24] #0101/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.230 conf=0.950 gap=0.910
[2026-05-11 11:17:27] #0102/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:17:38] #0103/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:17:42] #0104/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:17:48] #0105/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-11 11:18:05] #0106/00175 | true=sit_on_bed(0) | pred=sit_on_chair(1) | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:18:07] #0107/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:18:12] #0108/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 11:18:21] #0109/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:18:24] #0110/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 11:18:42] #0111/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:18:50] #0112/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.338 conf=0.920 gap=0.860
[2026-05-11 11:19:01] #0113/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 11:19:11] #0114/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:19:17] #0115/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-11 11:19:29] #0116/00175 | true=sit_on_bed(0) | pred=sit_on_chair(1) | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 11:19:32] #0117/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:19:45] #0118/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 11:19:48] #0119/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:19:51] #0120/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:19:51]   [120/175] acc=96/120=80% filt=119
[2026-05-11 11:19:57] #0121/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 11:20:03] #0122/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:20:06] #0123/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:20:10] #0124/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:20:19] #0125/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:20:22] #0126/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:20:25] #0127/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 11:20:30] #0128/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 11:20:49] #0129/00175 | true=sit_on_bed(0) | pred=ambulating(3) | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:21:09] #0130/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:21:11] #0131/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:21:18] #0132/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.230 conf=0.950 gap=0.910
[2026-05-11 11:21:21] #0133/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 11:21:30] #0134/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 11:21:36] #0135/00175 | true=sit_on_bed(0) | pred=ambulating(3) | ✗ | ent=1.089 conf=0.600 gap=0.400
[2026-05-11 11:21:50] #0136/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:21:57] #0137/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:22:02] #0138/00175 | true=sit_on_bed(0) | pred=ambulating(3) | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 11:22:17] #0139/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:22:21] #0140/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 11:22:21]   [140/175] acc=110/140=79% filt=139
[2026-05-11 11:22:24] #0141/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-11 11:22:30] #0142/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:22:34] #0143/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 11:22:40] #0144/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:22:56] #0145/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 11:23:00] #0146/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 11:23:02] #0147/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:23:05] #0148/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 11:23:07] #0149/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:23:14] #0150/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:23:22] #0151/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:23:27] #0152/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.873 conf=0.720 gap=0.570
[2026-05-11 11:23:47] #0153/00175 | true=sit_on_bed(0) | pred=ambulating(3) | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:23:51] #0154/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 11:23:53] #0155/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:24:05] #0156/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.230 conf=0.950 gap=0.910
[2026-05-11 11:24:10] #0157/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:24:12] #0158/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:24:15] #0159/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:24:20] #0160/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:24:20]   [160/175] acc=127/160=79% filt=159
[2026-05-11 11:24:26] #0161/00175 | true=sit_on_bed(0) | pred=sit_on_chair(1) | ✗ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:24:38] #0162/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:24:56] #0163/00175 | true=sit_on_bed(0) | pred=ambulating(3) | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:24:58] #0164/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:25:00] #0165/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 11:25:05] #0166/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:25:15] #0167/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:25:24] #0168/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 11:25:45] #0169/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:25:49] #0170/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:25:55] #0171/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:25:59] #0172/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:26:02] #0173/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-11 11:26:05] #0174/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:26:15] #0175/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:26:16] Done: 138/175 (79%) filt=174
