[2026-05-11 21:51:29] HARTH class 2 (shuffle) T=0.8
[2026-05-11 21:51:29]   2770 windows
[2026-05-11 21:51:34] #0001/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:03:57] #0046/02770 | true=shuffle | pred=walk | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:04:17] #0047/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:04:26] #0048/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:04:30] #0049/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:04:41] #0050/02770 | true=shuffle | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 22:05:10] #0051/02770 | true=shuffle | pred=stand | ✗ | ent=0.322 conf=0.940 gap=0.910
[2026-05-11 22:05:14] #0052/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:05:28] #0053/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.694 conf=0.350 gap=0.150
[2026-05-11 22:05:31] #0054/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:05:42] #0055/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.194 conf=0.580 gap=0.430
[2026-05-11 22:06:06] #0056/02770 | true=shuffle | pred=stand | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:06:21] #0057/02770 | true=shuffle | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 22:06:38] #0058/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.127 conf=0.650 gap=0.500
[2026-05-11 22:07:08] #0059/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-11 22:07:24] #0060/02770 | true=shuffle | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-11 22:07:24]   [60/2770] acc=58% filt=49
[2026-05-11 22:07:38] #0061/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:07:42] #0062/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:08:09] #0063/02770 | true=shuffle | pred=walk | ✗ | ent=1.024 conf=0.720 gap=0.620
[2026-05-11 22:08:22] #0064/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:08:34] #0065/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.322 conf=0.550 gap=0.300
[2026-05-11 22:09:09] #0066/02770 | true=shuffle | pred=stairs_down | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:09:18] #0067/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:09:20] #0068/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:09:30] #0069/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.996 conf=0.580 gap=0.240
[2026-05-11 22:09:39] #0070/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:09:53] #0071/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.029 conf=0.680 gap=0.480
[2026-05-11 22:10:17] #0072/02770 | true=shuffle | pred=sit | ✗ | ent=1.468 conf=0.550 gap=0.400
[2026-05-11 22:10:31] #0073/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:10:34] #0074/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:10:42] #0075/02770 | true=shuffle | pred=run | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 22:10:52] #0076/02770 | true=shuffle | pred=stand | ✗ | ent=1.136 conf=0.600 gap=0.350
[2026-05-11 22:11:28] #0077/02770 | true=shuffle | pred=lying | ✗ | ent=0.816 conf=0.650 gap=0.350
[2026-05-11 22:11:36] #0078/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.167 conf=0.400 gap=0.000
[2026-05-11 22:11:53] #0079/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:12:06] #0080/02770 | true=shuffle | pred=lying | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:12:06]   [80/2770] acc=56% filt=65
[2026-05-11 22:12:36] #0081/02770 | true=shuffle | pred=stand | ✗ | ent=0.856 conf=0.500 gap=0.050
[2026-05-11 22:12:40] #0082/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:13:03] #0083/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:13:37] #0084/02770 | true=shuffle | pred=walk | ✗ | ent=1.051 conf=0.650 gap=0.450
[2026-05-11 22:13:49] #0085/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:14:52] #0086/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-11 22:15:09] #0087/02770 | true=shuffle | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:15:45] #0088/02770 | true=shuffle | pred=sit | ✗ | ent=1.259 conf=0.650 gap=0.550
[2026-05-11 22:15:48] #0089/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:16:02] #0090/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:16:06] #0091/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-11 22:16:27] #0092/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:16:38] #0093/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:16:50] #0094/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.254 conf=0.650 gap=0.550
[2026-05-11 22:17:01] #0095/02770 | true=shuffle | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-11 22:17:16] #0096/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:17:41] #0097/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:18:10] #0098/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:18:50] #0099/02770 | true=shuffle | pred=walk | ✗ | ent=0.168 conf=0.960 gap=0.920
[2026-05-11 22:18:59] #0100/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.347 conf=0.550 gap=0.370
[2026-05-11 22:18:59]   [100/2770] acc=57% filt=83
[2026-05-11 22:19:05] #0101/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.288 conf=0.450 gap=0.250
[2026-05-11 22:19:08] #0102/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.110 conf=0.450 gap=0.000
[2026-05-11 22:19:28] #0103/02770 | true=shuffle | pred=sit | ✗ | ent=0.486 conf=0.900 gap=0.860
[2026-05-11 22:20:38] #0104/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:20:44] #0105/02770 | true=shuffle | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:20:54] #0106/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 22:21:13] #0107/02770 | true=shuffle | pred=walk | ✗ | ent=1.550 conf=0.450 gap=0.200
[2026-05-11 22:21:21] #0108/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:22:23] #0109/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.571 conf=0.880 gap=0.830
[2026-05-11 22:22:44] #0110/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:22:53] #0111/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:23:12] #0112/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.368 conf=0.550 gap=0.400
[2026-05-11 22:23:43] #0113/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:23:54] #0114/02770 | true=shuffle | pred=stand | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:24:13] #0115/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:25:28] #0116/02770 | true=shuffle | pred=stand | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 22:26:26] #0117/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.231 conf=0.350 gap=0.000
[2026-05-11 22:26:41] #0118/02770 | true=shuffle | pred=walk | ✗ | ent=0.272 conf=0.950 gap=0.930
[2026-05-11 22:27:00] #0119/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:27:07] #0120/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:27:07]   [120/2770] acc=57% filt=98
[2026-05-11 22:27:50] #0121/02770 | true=shuffle | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:28:01] #0122/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.344 conf=0.400 gap=0.050
[2026-05-11 22:28:12] #0123/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:28:42] #0124/02770 | true=shuffle | pred=stand | ✗ | ent=1.418 conf=0.400 gap=0.100
[2026-05-11 22:29:20] #0125/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.393 conf=0.450 gap=0.100
[2026-05-11 22:29:31] #0126/02770 | true=shuffle | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:29:45] #0127/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:58] #0128/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:30:06] #0129/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:30:32] #0130/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 22:30:52] #0131/02770 | true=shuffle | pred=stand | ✗ | ent=0.471 conf=0.880 gap=0.800
[2026-05-11 22:31:21] #0132/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:31:42] #0133/02770 | true=shuffle | pred=lying | ✗ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:31:57] #0134/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.404 conf=0.400 gap=0.050
[2026-05-11 22:32:16] #0135/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:32:25] #0136/02770 | true=shuffle | pred=stand | ✗ | ent=0.853 conf=0.780 gap=0.660
[2026-05-11 22:32:39] #0137/02770 | true=shuffle | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 22:32:51] #0138/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:33:22] #0139/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:33:38] #0140/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:33:38]   [140/2770] acc=55% filt=113
[2026-05-11 22:33:59] #0141/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.569 conf=0.450 gap=0.200
[2026-05-11 22:34:31] #0142/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.442 conf=0.500 gap=0.300
[2026-05-11 22:34:46] #0143/02770 | true=shuffle | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-11 22:34:51] #0144/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:35:22] #0145/02770 | true=shuffle | pred=stand | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:35:25] #0146/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:35:39] #0147/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.169 conf=0.700 gap=0.620
[2026-05-11 22:35:55] #0148/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-11 22:35:58] #0149/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.600 conf=0.400 gap=0.250
[2026-05-11 22:36:13] #0150/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:36:18] #0151/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:36:24] #0152/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:36:54] #0153/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:37:24] #0154/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:37:31] #0155/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:37:56] #0156/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:38:00] #0157/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:38:11] #0158/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.789 conf=0.680 gap=0.400
[2026-05-11 22:38:37] #0159/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:38:58] #0160/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 22:38:58]   [160/2770] acc=56% filt=129
[2026-05-11 22:39:44] #0161/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 22:39:57] #0162/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.153 conf=0.450 gap=0.020
[2026-05-11 22:40:07] #0163/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:40:26] #0164/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.529 conf=0.500 gap=0.350
[2026-05-11 22:40:32] #0165/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:40:41] #0166/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:40:54] #0167/02770 | true=shuffle | pred=stand | ✗ | ent=0.702 conf=0.680 gap=0.380
[2026-05-11 22:41:11] #0168/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:41:54] #0169/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.560 conf=0.400 gap=0.100
[2026-05-11 22:42:06] #0170/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:42:18] #0171/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.952 conf=0.700 gap=0.500
[2026-05-11 22:42:39] #0172/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:42:47] #0173/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:43:02] #0174/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:43:15] #0175/02770 | true=shuffle | pred=walk | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 22:43:26] #0176/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:43:50] #0177/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:44:08] #0178/02770 | true=shuffle | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:44:17] #0179/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.442 conf=0.500 gap=0.250
[2026-05-11 22:44:27] #0180/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-11 22:44:27]   [180/2770] acc=54% filt=143
[2026-05-11 22:44:43] #0181/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.056 conf=0.720 gap=0.630
[2026-05-11 22:45:15] #0182/02770 | true=shuffle | pred=stand | ✗ | ent=0.856 conf=0.500 gap=0.050
[2026-05-11 22:45:54] #0183/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.467 conf=0.450 gap=0.150
[2026-05-11 22:46:11] #0184/02770 | true=shuffle | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:46:32] #0185/02770 | true=shuffle | pred=lying | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:46:39] #0186/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 22:46:42] #0187/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:46:50] #0188/02770 | true=shuffle | pred=walk | ✗ | ent=0.357 conf=0.935 gap=0.915
[2026-05-11 22:47:07] #0189/02770 | true=shuffle | pred=sit | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:47:33] #0190/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.720 conf=0.350 gap=0.150
[2026-05-11 22:47:38] #0191/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:47:53] #0192/02770 | true=shuffle | pred=stand | ✗ | ent=1.070 conf=0.700 gap=0.550
[2026-05-11 22:47:56] #0193/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.051 conf=0.650 gap=0.450
[2026-05-11 22:48:09] #0194/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:48:12] #0195/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:48:31] #0196/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:49:01] #0197/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.220 conf=0.400 gap=0.000
[2026-05-11 22:49:10] #0198/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.934 conf=0.250 gap=0.100
[2026-05-11 22:49:25] #0199/02770 | true=shuffle | pred=lying | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:49:28] #0200/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.089 conf=0.600 gap=0.400
[2026-05-11 22:49:28]   [200/2770] acc=52% filt=156
[2026-05-11 22:49:42] #0201/02770 | true=shuffle | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:49:55] #0202/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-11 22:50:03] #0203/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 22:50:11] #0204/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.469 conf=0.350 gap=0.000
[2026-05-11 22:50:14] #0205/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.124 conf=0.450 gap=0.000
[2026-05-11 22:50:23] #0206/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:50:36] #0207/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.664 conf=0.300 gap=0.050
[2026-05-11 22:50:40] #0208/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:50:53] #0209/02770 | true=shuffle | pred=lying | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:50:56] #0210/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-11 22:51:16] #0211/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 22:51:25] #0212/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.319 conf=0.450 gap=0.070
[2026-05-11 22:51:33] #0213/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:51:56] #0214/02770 | true=shuffle | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:51:59] #0215/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:52:24] #0216/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
