[2026-05-11 21:51:38] #0002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:54:23] #0223/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.065 conf=0.700 gap=0.600
[2026-05-11 22:55:01] #0225/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:55:45] #0227/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:55:58] #0228/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-11 22:56:09] #0229/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.275 conf=0.550 gap=0.300
[2026-05-11 22:56:56] #0232/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 22:57:06] #0233/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.977 conf=0.750 gap=0.650
[2026-05-11 22:57:28] #0234/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:58:03] #0236/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:58:26] #0237/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.029 conf=0.750 gap=0.700
[2026-05-11 22:58:37] #0238/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-11 23:00:44] #0243/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 23:00:55] #0245/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:01:49] #0247/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:02:37] #0249/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.110 conf=0.450 gap=0.000
[2026-05-11 23:03:11] #0250/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-11 23:03:38] #0251/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.240 conf=0.620 gap=0.440
[2026-05-11 23:03:42] #0252/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:04:30] #0255/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 23:04:43] #0256/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:05:05] #0257/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:05:35] #0259/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-11 23:05:47] #0260/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:06:27] #0262/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:06:30] #0263/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:06:34] #0264/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.118 conf=0.450 gap=0.000
[2026-05-11 23:07:00] #0265/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:07:11] #0266/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:07:14] #0267/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:07:37] #0268/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:07:50] #0269/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.753 conf=0.300 gap=0.100
[2026-05-11 23:08:11] #0272/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:08:19] #0273/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:09:28] #0276/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-11 23:10:08] #0278/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.818 conf=0.700 gap=0.450
[2026-05-11 23:10:35] #0279/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:10:42] #0280/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.617 conf=0.300 gap=0.000
[2026-05-11 23:11:14] #0282/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:11:19] #0283/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 23:11:27] #0284/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 23:11:41] #0285/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:12:13] #0287/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:12:39] #0288/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-11 23:13:00] #0289/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.036 conf=0.700 gap=0.550
[2026-05-11 23:13:07] #0290/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-11 23:13:13] #0291/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:13:46] #0294/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.522 conf=0.350 gap=0.000
[2026-05-11 23:14:18] #0295/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:15:51] #0299/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 23:16:51] #0300/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.367 conf=0.880 gap=0.760
[2026-05-11 23:17:14] #0301/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:17:38] #0302/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:18:49] #0304/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.515 conf=0.880 gap=0.810
[2026-05-11 23:19:03] #0305/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:20:20] #0308/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:20:25] #0309/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:20:59] #0311/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:21:07] #0312/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-11 23:22:25] #0314/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:23:49] #0318/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:24:10] #0320/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-11 23:24:17] #0321/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:25:16] #0323/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:25:55] #0324/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.087 conf=0.700 gap=0.580
[2026-05-11 23:26:05] #0325/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.127 conf=0.700 gap=0.600
[2026-05-11 23:26:34] #0326/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:28:01] #0329/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.134 conf=0.620 gap=0.370
[2026-05-11 23:28:54] #0330/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.722 conf=0.200 gap=0.000
[2026-05-11 23:29:58] #0333/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:30:45] #0335/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 23:31:55] #0337/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-11 23:33:07] #0339/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:33:18] #0340/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:33:43] #0341/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:33:52] #0342/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-11 23:36:32] #0345/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.993 conf=0.750 gap=0.670
[2026-05-11 23:37:27] #0346/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:37:41] #0348/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:39:19] #0350/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:39:30] #0351/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-11 23:39:34] #0352/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.142 conf=0.570 gap=0.260
[2026-05-11 23:40:07] #0355/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:40:54] #0357/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:41:15] #0358/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 23:41:40] #0359/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:41:53] #0360/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.950 conf=0.720 gap=0.540
[2026-05-11 23:44:02] #0364/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.871 conf=0.650 gap=0.350
[2026-05-11 23:45:50] #0366/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:46:03] #0367/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-11 23:46:40] #0370/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.745 conf=0.350 gap=0.100
[2026-05-11 23:47:12] #0372/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:47:42] #0374/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.915 conf=0.250 gap=0.100
[2026-05-11 23:49:27] #0377/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.596 conf=0.350 gap=0.050
[2026-05-11 23:49:40] #0378/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.977 conf=0.700 gap=0.500
[2026-05-11 23:51:30] #0380/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.081 conf=0.400 gap=0.050
[2026-05-11 23:51:58] #0381/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.036 conf=0.700 gap=0.550
[2026-05-11 23:52:26] #0382/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.892 conf=0.750 gap=0.620
[2026-05-11 23:52:29] #0383/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:52:42] #0384/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:52:45] #0385/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:54:44] #0388/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-11 23:55:19] #0390/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.846 conf=0.350 gap=0.200
[2026-05-11 23:55:22] #0391/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-11 23:55:24] #0392/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
