[2026-05-11 11:05:10] Gait class 1 (sit_on_chair) start T=0.8
[2026-05-11 11:05:10]   42 windows
[2026-05-11 11:05:10]   generate 42
[2026-05-11 11:05:22] #0001/00042 | true=sit_on_chair(1) | pred=sit_on_bed(0) | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:08:31] #0028/00042 | true=sit_on_chair(1) | pred=lying(2) | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 11:08:55] #0029/00042 | true=sit_on_chair(1) | pred=ambulating(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:09:00] #0030/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:09:12] #0031/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 11:09:26] #0032/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:09:31] #0033/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:42] #0034/00042 | true=sit_on_chair(1) | pred=sit_on_bed(0) | ✗ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:09:44] #0035/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 11:09:54] #0036/00042 | true=sit_on_chair(1) | pred=ambulating(3) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:17] #0037/00042 | true=sit_on_chair(1) | pred=sit_on_bed(0) | ✗ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:10:20] #0038/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 11:10:23] #0039/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 11:10:26] #0040/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:10:26]   [40/42] acc=27/40=68% filt=39
[2026-05-11 11:10:35] #0041/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:10:39] #0042/00042 | true=sit_on_chair(1) | pred=sit_on_chair(1) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 11:10:39] Done: 29/42 (69%) filt=41
