=== MotionSense all ===


--- Class 0 ---
[2026-05-11 23:14:13] MotionSense class 0 (downstairs) T=0.8
[2026-05-11 23:14:13]   1395 windows
[2026-05-11 23:14:53] #0001/01395 | true=downstairs | pred=walking | ✗ | ent=1.361 conf=0.450 gap=0.200
[2026-05-11 23:30:54] #0033/01395 | true=downstairs | pred=jogging | ✗ | ent=0.977 conf=0.550 gap=0.200
[2026-05-11 23:31:07] #0034/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-11 23:31:39] #0035/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.375 conf=0.900 gap=0.820
[2026-05-11 23:31:47] #0036/01395 | true=downstairs | pred=walking | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-11 23:32:03] #0037/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:32:49] #0038/01395 | true=downstairs | pred=walking | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:33:09] #0039/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:33:31] #0040/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:33:31]   [40/1395] acc=38% filt=32
[2026-05-11 23:33:46] #0041/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.648 conf=0.820 gap=0.720
[2026-05-11 23:34:08] #0042/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:34:21] #0043/01395 | true=downstairs | pred=jogging | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:35:00] #0044/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:35:17] #0045/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:35:35] #0046/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:36:28] #0047/01395 | true=downstairs | pred=walking | ✗ | ent=1.106 conf=0.450 gap=0.050
[2026-05-11 23:36:44] #0048/01395 | true=downstairs | pred=walking | ✗ | ent=1.142 conf=0.500 gap=0.200
[2026-05-11 23:37:08] #0049/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.852 conf=0.780 gap=0.700
[2026-05-11 23:37:30] #0050/01395 | true=downstairs | pred=walking | ✗ | ent=1.147 conf=0.500 gap=0.150
[2026-05-11 23:38:39] #0051/01395 | true=downstairs | pred=jogging | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:38:59] #0052/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-11 23:39:05] #0053/01395 | true=downstairs | pred=walking | ✗ | ent=0.856 conf=0.500 gap=0.050
[2026-05-11 23:39:34] #0054/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-11 23:39:57] #0055/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:40:10] #0056/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:40:40] #0057/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.034 conf=0.700 gap=0.570
[2026-05-11 23:40:53] #0058/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-11 23:41:53] #0059/01395 | true=downstairs | pred=jogging | ✗ | ent=0.806 conf=0.750 gap=0.630
[2026-05-11 23:42:28] #0060/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.028 conf=0.650 gap=0.490
[2026-05-11 23:42:28]   [60/1395] acc=40% filt=48
[2026-05-11 23:42:42] #0061/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.338 conf=0.450 gap=0.150
[2026-05-11 23:44:02] #0062/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.386 conf=0.900 gap=0.830
[2026-05-11 23:44:29] #0063/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-11 23:44:52] #0064/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 23:45:04] #0065/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.246 conf=0.400 gap=0.030
[2026-05-11 23:45:10] #0066/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:45:41] #0067/01395 | true=downstairs | pred=walking | ✗ | ent=1.161 conf=0.450 gap=0.100
[2026-05-11 23:46:24] #0068/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.858 conf=0.720 gap=0.520
[2026-05-11 23:46:47] #0069/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:47:18] #0070/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.900 conf=0.520 gap=0.100
[2026-05-11 23:47:40] #0071/01395 | true=downstairs | pred=walking | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-11 23:48:10] #0072/01395 | true=downstairs | pred=walking | ✗ | ent=0.864 conf=0.650 gap=0.370
[2026-05-11 23:48:30] #0073/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.717 conf=0.820 gap=0.740
[2026-05-11 23:48:53] #0074/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 23:48:59] #0075/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.330 conf=0.550 gap=0.350
[2026-05-11 23:49:11] #0076/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:49:16] #0077/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:49:28] #0078/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:49:53] #0079/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:49:58] #0080/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:49:58]   [80/1395] acc=45% filt=65
[2026-05-11 23:50:31] #0081/01395 | true=downstairs | pred=jogging | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:50:43] #0082/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:50:55] #0083/01395 | true=downstairs | pred=walking | ✗ | ent=1.094 conf=0.500 gap=0.150
[2026-05-11 23:51:30] #0084/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.791 conf=0.720 gap=0.490
[2026-05-11 23:51:51] #0085/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.123 conf=0.550 gap=0.250
[2026-05-11 23:52:21] #0086/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-11 23:52:27] #0087/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-11 23:52:34] #0088/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:53:00] #0089/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 23:53:29] #0090/01395 | true=downstairs | pred=jogging | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:53:31] #0091/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.390 conf=0.350 gap=0.000
[2026-05-11 23:53:38] #0092/01395 | true=downstairs | pred=walking | ✗ | ent=1.557 conf=0.400 gap=0.200
[2026-05-11 23:54:41] #0093/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.213 conf=0.550 gap=0.320
[2026-05-11 23:55:01] #0094/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:55:29] #0095/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:56:42] #0096/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:56:52] #0097/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-11 23:57:05] #0098/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:57:35] #0099/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:57:41] #0100/01395 | true=downstairs | pred=walking | ✗ | ent=1.235 conf=0.450 gap=0.150
[2026-05-11 23:57:41]   [100/1395] acc=44% filt=81
[2026-05-11 23:58:00] #0101/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-11 23:58:03] #0102/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.352 conf=0.400 gap=0.050
[2026-05-11 23:58:14] #0103/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:58:32] #0104/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:59:02] #0105/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:59:24] #0106/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.873 conf=0.720 gap=0.570
[2026-05-11 23:59:44] #0107/01395 | true=downstairs | pred=jogging | ✗ | ent=1.003 conf=0.550 gap=0.220
[2026-05-11 23:59:49] #0108/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 00:00:00] #0109/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:00:13] #0110/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:00:36] #0111/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-12 00:01:08] #0112/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-12 00:02:23] #0113/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.078 conf=0.620 gap=0.370
[2026-05-12 00:03:19] #0114/01395 | true=downstairs | pred=walking | ✗ | ent=1.206 conf=0.400 gap=0.050
[2026-05-12 00:03:39] #0115/01395 | true=downstairs | pred=walking | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:04:01] #0116/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 00:04:14] #0117/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:04:27] #0118/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.895 conf=0.750 gap=0.640
[2026-05-12 00:05:05] #0119/01395 | true=downstairs | pred=walking | ✗ | ent=1.035 conf=0.550 gap=0.200
[2026-05-12 00:05:10] #0120/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.910 conf=0.750 gap=0.650
[2026-05-12 00:05:10]   [120/1395] acc=46% filt=99
[2026-05-12 00:05:36] #0121/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:05:51] #0122/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 00:06:21] #0123/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:06:28] #0124/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:06:40] #0125/01395 | true=downstairs | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:07:39] #0126/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 00:07:56] #0127/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 00:08:29] #0128/01395 | true=downstairs | pred=walking | ✗ | ent=1.019 conf=0.680 gap=0.530
[2026-05-12 00:08:35] #0129/01395 | true=downstairs | pred=walking | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:08:47] #0130/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 00:09:02] #0131/01395 | true=downstairs | pred=walking | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:09:39] #0132/01395 | true=downstairs | pred=jogging | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:10:07] #0133/01395 | true=downstairs | pred=walking | ✗ | ent=1.097 conf=0.600 gap=0.350
[2026-05-12 00:10:43] #0134/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.106 conf=0.550 gap=0.220
[2026-05-12 00:10:50] #0135/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 00:12:09] #0136/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.888 conf=0.650 gap=0.360
[2026-05-12 00:12:37] #0137/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:12:50] #0138/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.769 conf=0.620 gap=0.270
[2026-05-12 00:13:13] #0139/01395 | true=downstairs | pred=walking | ✗ | ent=1.102 conf=0.500 gap=0.150
[2026-05-12 00:13:50] #0140/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:13:50]   [140/1395] acc=44% filt=118
[2026-05-12 00:13:56] #0141/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.502 conf=0.890 gap=0.840
[2026-05-12 00:14:08] #0142/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-12 00:14:46] #0143/01395 | true=downstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:15:21] #0144/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 00:16:42] #0145/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:17:12] #0146/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.305 conf=0.400 gap=0.100
[2026-05-12 00:17:36] #0147/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.890 conf=0.720 gap=0.570
[2026-05-12 00:17:40] #0148/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.067 conf=0.450 gap=0.150
[2026-05-12 00:18:12] #0149/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:18:26] #0150/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 00:18:38] #0151/01395 | true=downstairs | pred=walking | ✗ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 00:19:06] #0152/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.733 conf=0.780 gap=0.680
[2026-05-12 00:19:29] #0153/01395 | true=downstairs | pred=walking | ✗ | ent=0.911 conf=0.700 gap=0.500
[2026-05-12 00:20:24] #0154/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:20:36] #0155/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:21:16] #0156/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.949 conf=0.720 gap=0.580
[2026-05-12 00:21:35] #0157/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.911 conf=0.700 gap=0.500
[2026-05-12 00:21:48] #0158/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 00:22:27] #0159/01395 | true=downstairs | pred=sitting | ✗ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 00:23:01] #0160/01395 | true=downstairs | pred=jogging | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:23:01]   [160/1395] acc=44% filt=135
[2026-05-12 00:23:17] #0161/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:23:35] #0162/01395 | true=downstairs | pred=walking | ✗ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:23:50] #0163/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.019 conf=0.620 gap=0.360
[2026-05-12 00:24:23] #0164/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 00:24:43] #0165/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.593 conf=0.720 gap=0.440
[2026-05-12 00:25:12] #0166/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:25:22] #0167/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.090 conf=0.450 gap=0.070
[2026-05-12 00:25:48] #0168/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:26:26] #0169/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.362 conf=0.930 gap=0.910
[2026-05-12 00:26:39] #0170/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.185 conf=0.550 gap=0.300
[2026-05-12 00:26:58] #0171/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.910 conf=0.750 gap=0.650
[2026-05-12 00:27:40] #0172/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.192 conf=0.600 gap=0.400
[2026-05-12 00:27:50] #0173/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:28:08] #0174/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:28:39] #0175/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.949 conf=0.720 gap=0.580
[2026-05-12 00:28:52] #0176/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:30:01] #0177/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:30:31] #0178/01395 | true=downstairs | pred=walking | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:31:02] #0179/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:31:18] #0180/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 00:31:18]   [180/1395] acc=44% filt=154
[2026-05-12 00:31:32] #0181/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:31:50] #0182/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:32:05] #0183/01395 | true=downstairs | pred=walking | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:32:13] #0184/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:32:32] #0185/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:32:57] #0186/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.700 conf=0.820 gap=0.730
[2026-05-12 00:33:21] #0187/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:33:24] #0188/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.106 conf=0.450 gap=0.050
[2026-05-12 00:33:50] #0189/01395 | true=downstairs | pred=jogging | ✗ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 00:34:13] #0190/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:34:24] #0191/01395 | true=downstairs | pred=walking | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:35:00] #0192/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:35:13] #0193/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 00:35:35] #0194/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.052 conf=0.650 gap=0.500
[2026-05-12 00:35:49] #0195/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.035 conf=0.650 gap=0.450
[2026-05-12 00:36:21] #0196/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.223 conf=0.450 gap=0.090
[2026-05-12 00:36:38] #0197/01395 | true=downstairs | pred=walking | ✗ | ent=1.013 conf=0.600 gap=0.350
[2026-05-12 00:37:31] #0198/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.192 conf=0.450 gap=0.150
[2026-05-12 00:37:45] #0199/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.272 conf=0.500 gap=0.200
[2026-05-12 00:38:09] #0200/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.028 conf=0.650 gap=0.490
[2026-05-12 00:38:09]   [200/1395] acc=44% filt=170
[2026-05-12 00:38:12] #0201/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.345 conf=0.350 gap=0.100
[2026-05-12 00:38:31] #0202/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:38:37] #0203/01395 | true=downstairs | pred=walking | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 00:38:53] #0204/01395 | true=downstairs | pred=jogging | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:39:53] #0205/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 00:40:15] #0206/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.170 conf=0.450 gap=0.050
[2026-05-12 00:40:42] #0207/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:40:47] #0208/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 00:41:15] #0209/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.323 conf=0.420 gap=0.160
[2026-05-12 00:41:19] #0210/01395 | true=downstairs | pred=walking | ✗ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 00:41:47] #0211/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 00:42:00] #0212/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.700 conf=0.820 gap=0.730
[2026-05-12 00:42:57] #0213/01395 | true=downstairs | pred=walking | ✗ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 00:43:12] #0214/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:43:16] #0215/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
