[2026-05-11 11:04:44] #0001/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:53] #0064/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:40:07] #0065/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:40:48] #0066/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:41:07] #0067/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:41:20] #0068/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:42:44] #0071/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.510 | conf=0.350 | gap=0.100
[2026-05-11 11:42:58] #0072/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 11:43:12] #0073/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 11:44:17] #0075/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 11:45:48] #0078/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:47:02] #0081/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.444 | conf=0.900 | gap=0.860
[2026-05-11 11:47:54] #0083/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.690 | conf=0.820 | gap=0.740
[2026-05-11 11:50:02] #0086/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.940 | conf=0.700 | gap=0.600
[2026-05-11 11:51:00] #0088/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:52:20] #0090/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.938 | conf=0.700 | gap=0.500
[2026-05-11 11:52:49] #0091/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:53:15] #0092/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:54:35] #0094/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.558 | conf=0.880 | gap=0.850
[2026-05-11 11:56:09] #0096/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.635 | conf=0.850 | gap=0.800
[2026-05-11 11:56:39] #0097/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:57:34] #0098/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.701 | conf=0.796 | gap=0.647
[2026-05-11 11:57:43] #0099/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:59:12] #0101/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.593 | conf=0.870 | gap=0.840
[2026-05-11 11:59:41] #0102/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:59:58] #0103/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.347 | conf=0.550 | gap=0.400
[2026-05-11 12:01:09] #0105/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:03:50] #0110/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.450 | conf=0.880 | gap=0.820
[2026-05-11 12:04:28] #0111/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 12:04:37] #0112/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 12:05:16] #0113/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 12:05:30] #0114/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 12:05:46] #0115/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 12:08:08] #0120/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:09:05] #0122/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:09:55] #0124/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.598 | conf=0.850 | gap=0.780
[2026-05-11 12:11:49] #0128/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.257 | conf=0.450 | gap=0.100
[2026-05-11 12:12:52] #0130/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:13:56] #0132/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:14:27] #0133/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:14:58] #0134/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 12:17:50] #0140/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.526 | conf=0.850 | gap=0.770
[2026-05-11 12:20:10] #0144/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.017 | conf=0.700 | gap=0.550
[2026-05-11 12:22:23] #0149/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:22:38] #0150/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:23:12] #0151/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:23:27] #0152/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:24:02] #0153/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:24:43] #0154/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.526 | conf=0.850 | gap=0.770
[2026-05-11 12:25:57] #0156/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:26:24] #0157/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:26:36] #0158/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:27:41] #0161/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:28:52] #0163/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 12:29:53] #0165/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:30:40] #0167/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:32:53] #0170/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.666 | conf=0.800 | gap=0.650
[2026-05-11 12:33:37] #0172/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 12:34:31] #0174/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:34:50] #0175/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:35:26] #0176/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:37:18] #0180/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:38:26] #0182/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 12:38:42] #0183/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:40:54] #0187/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.557 | conf=0.400 | gap=0.200
[2026-05-11 12:41:30] #0188/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.051 | conf=0.700 | gap=0.550
[2026-05-11 12:42:36] #0191/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.208 | conf=0.500 | gap=0.250
[2026-05-11 12:43:29] #0193/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 12:43:44] #0194/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:44:43] #0197/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.701 | conf=0.820 | gap=0.750
[2026-05-11 12:44:55] #0198/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.556 | conf=0.850 | gap=0.780
[2026-05-11 12:46:26] #0201/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:49:47] #0207/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 12:50:18] #0208/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:51:35] #0210/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 12:52:50] #0213/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 12:53:15] #0214/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 12:53:43] #0215/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:55:52] #0220/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 12:56:06] #0221/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-11 12:56:18] #0222/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:59:42] #0229/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.659 | conf=0.820 | gap=0.740
[2026-05-11 12:59:54] #0230/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.552 | conf=0.820 | gap=0.670
[2026-05-11 13:00:32] #0232/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 13:04:08] #0239/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 13:05:04] #0241/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.586 | conf=0.820 | gap=0.700
[2026-05-11 13:05:19] #0242/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 13:06:53] #0245/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.886 | conf=0.650 | gap=0.450
[2026-05-11 13:07:09] #0246/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.730 | conf=0.820 | gap=0.760
[2026-05-11 13:09:22] #0249/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.571 | conf=0.850 | gap=0.780
[2026-05-11 13:09:57] #0251/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.347 | conf=0.550 | gap=0.400
[2026-05-11 13:11:11] #0254/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 13:13:43] #0258/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 13:14:17] #0259/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 13:14:33] #0260/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 13:15:57] #0263/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 13:17:18] #0266/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.453 | conf=0.900 | gap=0.860
[2026-05-11 13:17:56] #0268/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:19:07] #0271/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 13:19:26] #0272/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 13:19:44] #0273/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.960 | conf=0.650 | gap=0.400
[2026-05-11 13:20:56] #0275/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 13:22:40] #0278/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:24:28] #0282/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 13:25:31] #0284/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 13:25:42] #0285/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
[2026-05-11 13:27:55] #0290/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 13:29:20] #0293/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:30:27] #0295/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 13:31:36] #0298/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.348 | conf=0.930 | gap=0.910
[2026-05-11 13:33:02] #0301/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.686 | conf=0.820 | gap=0.750
[2026-05-11 13:35:03] #0305/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.970 | conf=0.750 | gap=0.670
[2026-05-11 13:36:46] #0308/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 13:37:26] #0310/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 13:38:23] #0312/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.571 | conf=0.850 | gap=0.750
[2026-05-11 13:40:16] #0315/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:40:31] #0316/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 13:41:12] #0317/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:41:52] #0319/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:42:09] #0320/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 13:43:16] #0322/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 13:44:31] #0325/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.444 | conf=0.900 | gap=0.860
[2026-05-11 13:46:25] #0328/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.770 | conf=0.820 | gap=0.770
[2026-05-11 13:46:38] #0329/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:47:12] #0330/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 13:47:40] #0331/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:47:52] #0332/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 13:48:21] #0333/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.467 | conf=0.900 | gap=0.860
[2026-05-11 13:49:16] #0335/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:49:32] #0336/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 13:51:21] #0339/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 13:51:47] #0340/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:52:21] #0341/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:53:36] #0344/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 13:54:17] #0346/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:54:32] #0347/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.444 | conf=0.900 | gap=0.860
[2026-05-11 13:58:18] #0354/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.819 | conf=0.700 | gap=0.550
[2026-05-11 13:58:58] #0356/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.598 | conf=0.850 | gap=0.780
[2026-05-11 13:59:31] #0357/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 14:00:43] #0359/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 14:03:40] #0364/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 14:03:54] #0365/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 14:08:06] #0373/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 14:08:21] #0374/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 14:09:07] #0376/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 14:09:51] #0378/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.624 | conf=0.850 | gap=0.800
[2026-05-11 14:10:21] #0379/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 14:10:41] #0380/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-11 14:11:29] #0382/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 14:12:03] #0383/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.454 | conf=0.900 | gap=0.850
[2026-05-11 14:12:53] #0385/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 14:13:19] #0386/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:13:34] #0387/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 14:14:31] #0388/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.867 | conf=0.722 | gap=0.515
[2026-05-11 14:14:47] #0389/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 14:16:33] #0392/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:18:26] #0395/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 14:21:45] #0400/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.964 | conf=0.700 | gap=0.550
[2026-05-11 14:24:47] #0405/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.970 | conf=0.720 | gap=0.600
[2026-05-11 14:25:13] #0406/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:26:27] #0408/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 14:26:43] #0409/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 14:28:13] #0412/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.874 | conf=0.720 | gap=0.600
[2026-05-11 14:29:02] #0414/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.357 | conf=0.920 | gap=0.880
[2026-05-11 14:29:21] #0415/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 14:29:45] #0416/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.431 | conf=0.900 | gap=0.860
[2026-05-11 14:30:05] #0417/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.261 | conf=0.550 | gap=0.350
[2026-05-11 14:30:24] #0418/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:31:28] #0420/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 14:32:35] #0422/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:33:22] #0423/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
