[2026-05-11 11:04:07] Class 11 (Walk) 软标签生成开始
[2026-05-11 11:04:07]   QUICK=False LIMIT=50
[2026-05-11 11:04:07]   温度=0.8 (from api_config)
[2026-05-11 11:04:07]   本类: 2716窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:07]   实际生成: 2716 窗口
[2026-05-11 11:04:44] #0001/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:37:18]   [180/2716] acc=92/180=51.1% filtered=165/180
[2026-05-11 12:38:07] #0181/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:38:26] #0182/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 12:38:42] #0183/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:39:20] #0184/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:39:49] #0185/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:40:19] #0186/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:40:54] #0187/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.557 | conf=0.400 | gap=0.200
[2026-05-11 12:41:30] #0188/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.051 | conf=0.700 | gap=0.550
[2026-05-11 12:41:58] #0189/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
