[2026-05-11 11:04:44] #0001/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:47:54] #0083/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.690 | conf=0.820 | gap=0.740
[2026-05-11 11:48:41] #0084/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:49:33] #0085/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 11:50:02] #0086/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.940 | conf=0.700 | gap=0.600
[2026-05-11 11:51:00] #0088/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:51:33] #0089/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 11:52:20] #0090/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.938 | conf=0.700 | gap=0.500
[2026-05-11 11:52:49] #0091/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:53:15] #0092/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:54:06] #0093/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:54:35] #0094/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.558 | conf=0.880 | gap=0.850
[2026-05-11 11:55:24] #0095/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:56:09] #0096/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.635 | conf=0.850 | gap=0.800
[2026-05-11 11:56:39] #0097/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:57:34] #0098/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.701 | conf=0.796 | gap=0.647
[2026-05-11 11:57:43] #0099/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:58:16] #0100/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 11:59:12] #0101/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.593 | conf=0.870 | gap=0.840
[2026-05-11 11:59:41] #0102/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:59:58] #0103/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.347 | conf=0.550 | gap=0.400
[2026-05-11 12:01:09] #0105/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:01:53] #0106/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:03:06] #0108/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:03:38] #0109/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:03:50] #0110/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.450 | conf=0.880 | gap=0.820
[2026-05-11 12:04:28] #0111/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 12:04:37] #0112/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 12:05:16] #0113/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 12:05:30] #0114/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 12:05:46] #0115/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 12:06:17] #0116/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:06:49] #0117/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:07:12] #0118/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:07:38] #0119/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.803 | conf=0.800 | gap=0.740
[2026-05-11 12:08:08] #0120/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:08:36] #0121/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:09:05] #0122/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:09:37] #0123/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:09:55] #0124/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.598 | conf=0.850 | gap=0.780
[2026-05-11 12:10:29] #0125/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.050 | conf=0.700 | gap=0.580
[2026-05-11 12:11:04] #0126/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:35] #0127/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.894 | conf=0.750 | gap=0.630
[2026-05-11 12:12:52] #0130/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:13:24] #0131/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 12:13:56] #0132/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:14:27] #0133/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:14:58] #0134/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 12:15:32] #0135/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:16:01] #0136/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:16:27] #0137/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 12:16:49] #0138/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:17:16] #0139/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=1.040 | conf=0.720 | gap=0.620
[2026-05-11 12:17:50] #0140/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.526 | conf=0.850 | gap=0.770
[2026-05-11 12:18:36] #0141/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:19:22] #0142/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:19:49] #0143/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:20:10] #0144/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.017 | conf=0.700 | gap=0.550
[2026-05-11 12:20:39] #0145/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:21:07] #0146/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:21:37] #0147/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:22:14] #0148/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.139 | conf=0.550 | gap=0.250
[2026-05-11 12:22:23] #0149/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:22:38] #0150/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:23:12] #0151/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:23:27] #0152/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:24:02] #0153/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:24:43] #0154/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.526 | conf=0.850 | gap=0.770
[2026-05-11 12:25:09] #0155/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:25:57] #0156/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:26:24] #0157/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:26:36] #0158/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:27:03] #0159/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 12:27:28] #0160/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:27:41] #0161/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:28:22] #0162/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:28:52] #0163/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 12:29:21] #0164/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:29:53] #0165/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:30:40] #0167/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:31:28] #0168/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:32:36] #0169/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 12:32:53] #0170/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.666 | conf=0.800 | gap=0.650
[2026-05-11 12:33:24] #0171/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:33:37] #0172/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 12:34:31] #0174/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:34:50] #0175/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:35:26] #0176/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:35:53] #0177/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 12:36:27] #0178/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:37:04] #0179/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 12:37:18] #0180/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:38:07] #0181/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:38:26] #0182/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 12:38:42] #0183/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:39:20] #0184/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:39:49] #0185/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:40:19] #0186/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:41:30] #0188/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.051 | conf=0.700 | gap=0.550
[2026-05-11 12:41:58] #0189/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:42:23] #0190/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:43:03] #0192/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:43:29] #0193/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 12:43:44] #0194/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:44:08] #0195/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:44:29] #0196/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 12:44:43] #0197/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.701 | conf=0.820 | gap=0.750
[2026-05-11 12:44:55] #0198/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.556 | conf=0.850 | gap=0.780
[2026-05-11 12:45:30] #0199/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:45:55] #0200/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:46:26] #0201/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:47:23] #0202/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 12:47:47] #0203/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:48:23] #0204/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 12:48:53] #0205/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:49:20] #0206/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:49:47] #0207/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 12:50:18] #0208/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:50:45] #0209/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:51:35] #0210/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 12:52:07] #0211/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.939 | conf=0.750 | gap=0.630
[2026-05-11 12:52:36] #0212/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.287 | conf=0.950 | gap=0.942
[2026-05-11 12:52:50] #0213/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 12:53:15] #0214/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 12:53:43] #0215/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:54:12] #0216/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
