[2026-05-12 10:27:49] PAMAP2 class 2 (standing) start T=0.8
[2026-05-12 10:27:49]   1989 windows
[2026-05-12 10:28:04] #0001/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 10:52:41] #0067/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 10:53:09] #0068/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:53:30] #0069/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 10:53:39] #0070/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 10:54:06] #0071/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 10:54:16] #0072/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 10:54:30] #0073/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 10:54:43] #0074/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:55:46] #0075/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 10:55:51] #0076/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 10:56:04] #0077/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 10:56:31] #0078/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 10:57:15] #0079/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.143 conf=0.550 gap=0.300
[2026-05-12 10:57:43] #0080/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 10:57:43]   [80/1989] acc=66/80=82% filt=78
[2026-05-12 10:58:02] #0081/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:58:13] #0082/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 10:58:36] #0083/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 10:59:17] #0084/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:59:43] #0085/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:00:04] #0086/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 11:00:17] #0087/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 11:00:29] #0088/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 11:00:49] #0089/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:01:01] #0090/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:01:29] #0091/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:01:48] #0092/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:02:01] #0093/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.083 conf=0.600 gap=0.350
[2026-05-12 11:02:40] #0094/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.659 conf=0.780 gap=0.600
[2026-05-12 11:03:05] #0095/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 11:03:37] #0096/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.511 conf=0.880 gap=0.820
[2026-05-12 11:04:01] #0097/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.103 conf=0.650 gap=0.500
[2026-05-12 11:04:16] #0098/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:04:30] #0099/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:04:38] #0100/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.743 conf=0.800 gap=0.700
[2026-05-12 11:04:38]   [100/1989] acc=77/100=77% filt=98
[2026-05-12 11:05:02] #0101/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:05:15] #0102/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 11:05:48] #0103/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.878 conf=0.720 gap=0.540
[2026-05-12 11:06:59] #0104/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:07:11] #0105/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 11:07:40] #0106/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.444 conf=0.900 gap=0.860
[2026-05-12 11:07:56] #0107/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:08:08] #0108/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.712 conf=0.820 gap=0.750
[2026-05-12 11:08:49] #0109/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:10:11] #0110/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.305 conf=0.450 gap=0.150
[2026-05-12 11:10:23] #0111/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.560 conf=0.870 gap=0.820
[2026-05-12 11:10:36] #0112/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.664 conf=0.820 gap=0.740
[2026-05-12 11:10:47] #0113/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.989 conf=0.700 gap=0.580
[2026-05-12 11:11:14] #0114/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:11:27] #0115/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:11:58] #0116/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:12:10] #0117/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.664 conf=0.820 gap=0.740
[2026-05-12 11:12:48] #0118/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 11:13:01] #0119/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:13:14] #0120/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:13:14]   [120/1989] acc=92/120=77% filt=117
[2026-05-12 11:13:22] #0121/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 11:13:32] #0122/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:13:40] #0123/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:13:59] #0124/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 11:14:28] #0125/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 11:14:40] #0126/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 11:15:04] #0127/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 11:15:23] #0128/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:15:52] #0129/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:16:05] #0130/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.887 conf=0.750 gap=0.650
[2026-05-12 11:16:42] #0131/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:17:05] #0132/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:17:28] #0133/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.205 conf=0.550 gap=0.300
[2026-05-12 11:17:41] #0134/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.701 conf=0.820 gap=0.750
[2026-05-12 11:17:54] #0135/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.936 conf=0.700 gap=0.530
[2026-05-12 11:18:08] #0136/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:18:37] #0137/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 11:18:47] #0138/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:19:14] #0139/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 11:19:24] #0140/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 11:19:24]   [140/1989] acc=107/140=76% filt=137
[2026-05-12 11:19:35] #0141/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:19:49] #0142/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:20:12] #0143/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.557 conf=0.840 gap=0.720
[2026-05-12 11:20:44] #0144/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:21:12] #0145/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 11:21:25] #0146/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.712 conf=0.820 gap=0.750
[2026-05-12 11:21:31] #0147/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:22:00] #0148/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:22:12] #0149/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:22:22] #0150/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.579 conf=0.850 gap=0.780
[2026-05-12 11:22:43] #0151/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:23:06] #0152/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:23:23] #0153/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:23:33] #0154/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.624 conf=0.820 gap=0.700
[2026-05-12 11:23:42] #0155/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.713 conf=0.800 gap=0.680
[2026-05-12 11:23:51] #0156/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 11:24:09] #0157/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 11:24:19] #0158/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.792 conf=0.750 gap=0.600
[2026-05-12 11:24:43] #0159/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.794 conf=0.700 gap=0.450
[2026-05-12 11:25:02] #0160/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 11:25:02]   [160/1989] acc=122/160=76% filt=157
[2026-05-12 11:25:23] #0161/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.258 conf=0.950 gap=0.930
[2026-05-12 11:25:35] #0162/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 11:26:13] #0163/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:26:20] #0164/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 11:26:39] #0165/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 11:26:43] #0166/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 11:27:05] #0167/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.772 conf=0.720 gap=0.490
[2026-05-12 11:27:17] #0168/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:27:43] #0169/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 11:28:43] #0170/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:28:54] #0171/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:29:06] #0172/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:29:17] #0173/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:29:30] #0174/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.046 conf=0.500 gap=0.100
[2026-05-12 11:29:59] #0175/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:30:18] #0176/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 11:30:31] #0177/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:30:46] #0178/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 11:30:49] #0179/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 11:31:17] #0180/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:31:17]   [180/1989] acc=139/180=77% filt=176
[2026-05-12 11:31:50] #0181/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 11:32:02] #0182/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:32:12] #0183/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:32:35] #0184/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 11:32:55] #0185/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:33:19] #0186/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:33:31] #0187/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 11:33:58] #0188/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 11:34:21] #0189/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 11:34:33] #0190/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:34:36] #0191/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:34:41] #0192/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 11:34:54] #0193/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:35:07] #0194/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:35:17] #0195/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:35:34] #0196/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 11:36:19] #0197/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:36:47] #0198/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 11:37:10] #0199/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.794 conf=0.700 gap=0.450
[2026-05-12 11:37:51] #0200/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.989 conf=0.700 gap=0.580
[2026-05-12 11:37:51]   [200/1989] acc=155/200=78% filt=196
[2026-05-12 11:38:06] #0201/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.667 conf=0.820 gap=0.720
[2026-05-12 11:38:35] #0202/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.030 conf=0.550 gap=0.200
[2026-05-12 11:38:47] #0203/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:39:02] #0204/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:39:15] #0205/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 11:39:31] #0206/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
