[2026-05-11 21:52:16] #0001/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:55:52] #0018/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:13] #0019/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:18] #0020/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:22] #0021/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:30] #0022/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:34] #0023/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:37] #0024/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:43] #0025/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:49] #0026/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:09] #0027/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:13] #0028/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:23] #0029/31737 | true=sit | pred=sit | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 21:57:45] #0030/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 21:57:48] #0031/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:50] #0032/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:53] #0033/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:59] #0034/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:06] #0035/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:09] #0036/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:13] #0037/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:17] #0038/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:22] #0039/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:43] #0040/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:53] #0041/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:56] #0042/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:00] #0043/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:04] #0044/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:30] #0045/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:34] #0046/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:38] #0047/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:43] #0048/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:46] #0049/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:48] #0050/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:10] #0051/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:13] #0052/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:17] #0053/31737 | true=sit | pred=sit | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:00:23] #0054/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:33] #0055/31737 | true=sit | pred=sit | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 22:00:37] #0056/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:00:41] #0057/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:47] #0058/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:52] #0059/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:00:56] #0060/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:01:04] #0061/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:01:08] #0062/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:00] #0063/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:08] #0064/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:14] #0065/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:17] #0066/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:23] #0067/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:28] #0068/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:39] #0069/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:43] #0070/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:04] #0071/31737 | true=sit | pred=sit | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-11 22:03:08] #0072/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:13] #0073/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:16] #0074/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:19] #0075/31737 | true=sit | pred=sit | ✓ | ent=1.034 conf=0.636 gap=0.455
[2026-05-11 22:03:30] #0076/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:55] #0077/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:04:15] #0078/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:04:24] #0079/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:05:18] #0080/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:05:24] #0081/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:05:28] #0082/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:05:49] #0083/31737 | true=sit | pred=sit | ✓ | ent=0.008 conf=0.999 gap=0.998
[2026-05-11 22:05:51] #0084/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:00] #0085/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:02] #0086/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:09] #0087/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:14] #0088/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:17] #0089/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:25] #0090/31737 | true=sit | pred=sit | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:06:31] #0091/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:06:58] #0092/31737 | true=sit | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:07:04] #0093/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:07:07] #0094/31737 | true=sit | pred=sit | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:07:09] #0095/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:07:35] #0096/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:07:38] #0097/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:07:42] #0098/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:07:47] #0099/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:08:11] #0100/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:08:14] #0101/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:08:26] #0102/31737 | true=sit | pred=sit | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-11 22:08:32] #0103/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:08:36] #0104/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:08:47] #0105/31737 | true=sit | pred=sit | ✓ | ent=0.065 conf=0.990 gap=0.985
[2026-05-11 22:09:06] #0106/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:09:12] #0107/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:09:38] #0108/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:09:41] #0109/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:09:44] #0110/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:09:47] #0111/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:09:52] #0112/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:03] #0113/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:10:06] #0114/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:09] #0115/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:15] #0116/31737 | true=sit | pred=sit | ✓ | ent=0.063 conf=0.990 gap=0.985
[2026-05-11 22:10:20] #0117/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:24] #0118/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:34] #0119/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:10:56] #0120/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:11:16] #0121/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:11:19] #0122/31737 | true=sit | pred=sit | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:11:22] #0123/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:11:26] #0124/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:11:48] #0125/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:11:53] #0126/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:11:55] #0127/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:12:15] #0128/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:12:18] #0129/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:12:22] #0130/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:12:30] #0131/31737 | true=sit | pred=sit | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 22:12:35] #0132/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:12:37] #0133/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:12:42] #0134/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:12:47] #0135/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:13:45] #0136/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:13:48] #0137/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:08] #0138/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:12] #0139/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:14] #0140/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:18] #0141/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:14:21] #0142/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:24] #0143/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:27] #0144/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:30] #0145/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:32] #0146/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:44] #0147/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:47] #0148/31737 | true=sit | pred=sit | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:14:51] #0149/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:15:11] #0150/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:15:20] #0151/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:15:27] #0152/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:15:34] #0153/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:15:37] #0154/31737 | true=sit | pred=sit | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:15:46] #0155/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:15:48] #0156/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:15:52] #0157/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:15:55] #0158/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:03] #0159/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:16:07] #0160/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:13] #0161/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:20] #0162/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:22] #0163/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:42] #0164/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:45] #0165/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:55] #0166/31737 | true=sit | pred=sit | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:16:58] #0167/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:17:06] #0168/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:17:14] #0169/31737 | true=sit | pred=sit | ✓ | ent=0.055 conf=0.993 gap=0.992
[2026-05-11 22:17:20] #0170/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:17:24] #0171/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:17:46] #0172/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:17:50] #0173/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:17:54] #0174/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:00] #0175/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:06] #0176/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:11] #0177/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:15] #0178/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:18] #0179/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:40] #0180/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:43] #0181/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:47] #0182/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:50] #0183/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:18:59] #0184/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:19:02] #0185/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:06] #0186/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:09] #0187/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:12] #0188/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:21] #0189/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:19:24] #0190/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:28] #0191/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:50] #0192/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:19:54] #0193/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:56] #0194/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:58] #0195/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:06] #0196/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:20:14] #0197/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:19] #0198/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:21] #0199/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:25] #0200/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:27] #0201/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:48] #0202/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:57] #0203/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:20:59] #0204/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:21:24] #0205/31737 | true=sit | pred=stand | ✗ | ent=0.693 conf=0.820 gap=0.700
[2026-05-11 22:21:28] #0206/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:21:47] #0207/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:21:51] #0208/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:22:10] #0209/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:22:17] #0210/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:22:25] #0211/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:22:29] #0212/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:22:34] #0213/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:23:02] #0214/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:23:13] #0215/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:23:38] #0216/31737 | true=sit | pred=sit | ✓ | ent=0.184 conf=0.970 gap=0.960
[2026-05-11 22:23:50] #0217/31737 | true=sit | pred=sit | ✓ | ent=0.185 conf=0.965 gap=0.945
[2026-05-11 22:23:53] #0218/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:23:57] #0219/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:02] #0220/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:06] #0221/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:12] #0222/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:23] #0223/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:24:25] #0224/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:29] #0225/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:37] #0226/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:41] #0227/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:45] #0228/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:24:48] #0229/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:25:09] #0230/31737 | true=sit | pred=sit | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:25:11] #0231/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:25:20] #0232/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:25:24] #0233/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:25:28] #0234/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:25:34] #0235/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:25:40] #0236/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
