[2026-05-11 23:14:36] #0001/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:22:12] #0040/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:22:19] #0041/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:22:27] #0042/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:22:36] #0043/03701 | true=sitting | pred=sitting | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-11 23:22:50] #0044/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:22:57] #0045/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:00] #0046/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:23:05] #0047/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:08] #0048/03701 | true=sitting | pred=sitting | ✓ | ent=0.419 conf=0.900 gap=0.830
[2026-05-11 23:23:16] #0049/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:35] #0050/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:37] #0051/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:23:50] #0052/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:23:53] #0053/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:23:56] #0054/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:24:17] #0055/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:24:20] #0056/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:24:41] #0057/03701 | true=sitting | pred=sitting | ✓ | ent=0.448 conf=0.900 gap=0.840
[2026-05-11 23:24:43] #0058/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:24:53] #0059/03701 | true=sitting | pred=sitting | ✓ | ent=0.419 conf=0.900 gap=0.830
[2026-05-11 23:25:06] #0060/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 23:25:59] #0061/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:26:02] #0062/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:26:05] #0063/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:26:31] #0064/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:26:33] #0065/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:26:36] #0066/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:26:55] #0067/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:27:19] #0069/03701 | true=sitting | pred=sitting | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:27:26] #0070/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:27:35] #0071/03701 | true=sitting | pred=sitting | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-11 23:27:37] #0072/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:27:40] #0073/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:27:44] #0074/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:27:47] #0075/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:27:50] #0076/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:27:53] #0077/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:27:56] #0078/03701 | true=sitting | pred=sitting | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:28:16] #0079/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:28:36] #0080/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:28:42] #0081/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:28:46] #0082/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:28:51] #0083/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:28:54] #0084/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:29:04] #0085/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 23:29:12] #0086/03701 | true=sitting | pred=sitting | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 23:29:14] #0087/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 23:29:35] #0088/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:29:38] #0089/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:29:58] #0090/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:30:00] #0091/03701 | true=sitting | pred=sitting | ✓ | ent=0.419 conf=0.900 gap=0.830
[2026-05-11 23:30:10] #0092/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 23:30:12] #0093/03701 | true=sitting | pred=sitting | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:30:17] #0094/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:30:21] #0095/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:30:41] #0096/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:30:44] #0097/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:30:46] #0098/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:31:44] #0099/03701 | true=sitting | pred=sitting | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-11 23:31:47] #0100/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:31:50] #0101/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:31:54] #0102/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:31:57] #0103/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:32:00] #0104/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:32:02] #0105/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:32:17] #0107/03701 | true=sitting | pred=sitting | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 23:32:20] #0108/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:33:12] #0109/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:33:16] #0110/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:34:09] #0111/03701 | true=sitting | pred=sitting | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-11 23:34:12] #0112/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:34:25] #0113/03701 | true=sitting | pred=sitting | ✓ | ent=0.400 conf=0.900 gap=0.820
[2026-05-11 23:34:28] #0114/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:34:38] #0115/03701 | true=sitting | pred=sitting | ✓ | ent=0.230 conf=0.960 gap=0.950
[2026-05-11 23:34:57] #0116/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:35:16] #0117/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:35:28] #0118/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:35:48] #0119/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:35:57] #0120/03701 | true=sitting | pred=sitting | ✓ | ent=0.531 conf=0.850 gap=0.730
[2026-05-11 23:36:00] #0121/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:36:10] #0122/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:36:14] #0123/03701 | true=sitting | pred=sitting | ✓ | ent=0.448 conf=0.900 gap=0.840
[2026-05-11 23:36:21] #0124/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:36:24] #0125/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:36:33] #0126/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:37:31] #0127/03701 | true=sitting | pred=sitting | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:37:34] #0128/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 23:37:36] #0129/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:37:39] #0130/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:38:04] #0131/03701 | true=sitting | pred=sitting | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-11 23:38:07] #0132/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:38:10] #0133/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:38:29] #0134/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:38:33] #0135/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:38:35] #0136/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:38:43] #0137/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:38:45] #0138/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:38:54] #0139/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:39:24] #0140/03701 | true=sitting | pred=sitting | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 23:39:45] #0141/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:39:53] #0142/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:40:13] #0143/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:40:32] #0144/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:40:42] #0145/03701 | true=sitting | pred=sitting | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-11 23:40:51] #0146/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:40:59] #0147/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:41:20] #0148/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:41:28] #0149/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:41:30] #0150/03701 | true=sitting | pred=sitting | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-11 23:41:33] #0151/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:41:35] #0152/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:41:42] #0153/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:41:45] #0154/03701 | true=sitting | pred=sitting | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-11 23:41:48] #0155/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:41:56] #0156/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:42:23] #0157/03701 | true=sitting | pred=sitting | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-11 23:42:47] #0158/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:42:56] #0159/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:43:04] #0160/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:43:24] #0161/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:43:28] #0162/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:43:35] #0163/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:43:38] #0164/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:43:46] #0165/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:43:48] #0166/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:43:59] #0167/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:44:01] #0168/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:44:21] #0169/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:44:40] #0170/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:44:50] #0171/03701 | true=sitting | pred=sitting | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-11 23:45:00] #0172/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:45:02] #0173/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:45:12] #0174/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:45:18] #0175/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:45:20] #0176/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:45:24] #0177/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:45:46] #0178/03701 | true=sitting | pred=sitting | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-11 23:45:54] #0179/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:45:57] #0180/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 23:46:02] #0181/03701 | true=sitting | pred=sitting | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-11 23:46:05] #0182/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:46:07] #0183/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:46:10] #0184/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:47:08] #0185/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 23:47:10] #0186/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:47:13] #0187/03701 | true=sitting | pred=sitting | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-11 23:47:15] #0188/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:48:12] #0189/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:48:16] #0190/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:48:36] #0191/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:48:49] #0192/03701 | true=sitting | pred=sitting | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-11 23:49:13] #0193/03701 | true=sitting | pred=sitting | ✓ | ent=0.046 conf=0.994 gap=0.992
[2026-05-11 23:49:15] #0194/03701 | true=sitting | pred=sitting | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-11 23:49:18] #0195/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:49:52] #0196/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:49:56] #0197/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:50:04] #0198/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:50:12] #0199/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:50:14] #0200/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:50:17] #0201/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:50:19] #0202/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:50:23] #0203/03701 | true=sitting | pred=sitting | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:50:25] #0204/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:50:28] #0205/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:50:30] #0206/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:50:50] #0207/03701 | true=sitting | pred=sitting | ✓ | ent=0.216 conf=0.960 gap=0.940
[2026-05-11 23:50:56] #0208/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:51:22] #0209/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:51:24] #0210/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 23:51:27] #0211/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:51:29] #0212/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:51:31] #0213/03701 | true=sitting | pred=sitting | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:51:39] #0214/03701 | true=sitting | pred=sitting | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-11 23:51:48] #0215/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:51:57] #0216/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:52:17] #0217/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:52:19] #0218/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:52:22] #0219/03701 | true=sitting | pred=sitting | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-11 23:52:24] #0220/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:52:32] #0221/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:52:39] #0222/03701 | true=sitting | pred=sitting | ✓ | ent=0.070 conf=0.990 gap=0.985
[2026-05-11 23:52:43] #0223/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:53:08] #0224/03701 | true=sitting | pred=sitting | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-11 23:53:11] #0225/03701 | true=sitting | pred=sitting | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-11 23:53:13] #0226/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:53:15] #0227/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 23:53:18] #0228/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:53:27] #0229/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 23:53:29] #0230/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
